

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='target', exp='electronics_dvd', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=target, exp=electronics_dvd, experiment=electronics_dvd, gpus=1, hostname=19_05_31_21_09_48, lambda_sal=0.0, lambda_ssl=0.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=1.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_21_09_48, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : target
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts
**++ E:000/300 #B:015, t=000.09m, L=00.7031, ACC : S_TRN= 56.09%, T_TRN= 73.75%, S_TST= 55.91%, T_TST= 65.92%
**++ E:001/300 #B:015, t=000.49m, L=00.6346, ACC : S_TRN= 58.02%, T_TRN= 81.61%, S_TST= 57.95%, T_TST= 73.06%
**++ E:002/300 #B:015, t=000.86m, L=00.5793, ACC : S_TRN= 69.17%, T_TRN= 89.17%, S_TST= 68.56%, T_TST= 81.04%
**++ E:003/300 #B:015, t=001.21m, L=00.5252, ACC : S_TRN= 70.89%, T_TRN= 89.17%, S_TST= 70.57%, T_TST= 81.34%
**++ E:004/300 #B:015, t=001.57m, L=00.4802, ACC : S_TRN= 75.42%, T_TRN= 90.21%, S_TST= 76.11%, T_TST= 81.90%
  ++ E:005/300 #B:015, t=001.98m, L=00.4324, ACC : S_TRN= 76.61%, T_TRN= 92.60%, S_TST= 75.62%, T_TST= 83.16%
  ++ E:006/300 #B:015, t=002.26m, L=00.3898, ACC : S_TRN= 72.81%, T_TRN= 93.91%, S_TST= 74.25%, T_TST= 83.55%
     E:007/300 #B:015, t=002.59m, L=00.3446, ACC : S_TRN= 77.03%, T_TRN= 93.75%, S_TST= 75.48%, T_TST= 83.13%
**   E:008/300 #B:015, t=002.74m, L=00.3177, ACC : S_TRN= 77.24%, T_TRN= 95.78%, S_TST= 76.59%, T_TST= 82.85%
  ++ E:009/300 #B:015, t=002.96m, L=00.2884, ACC : S_TRN= 75.16%, T_TRN= 95.68%, S_TST= 75.02%, T_TST= 83.83%
     E:010/300 #B:015, t=003.27m, L=00.2686, ACC : S_TRN= 73.80%, T_TRN= 96.15%, S_TST= 75.32%, T_TST= 83.77%
     E:011/300 #B:015, t=003.45m, L=00.2469, ACC : S_TRN= 75.42%, T_TRN= 96.51%, S_TST= 75.29%, T_TST= 83.71%
     E:012/300 #B:015, t=003.62m, L=00.2168, ACC : S_TRN= 73.12%, T_TRN= 97.29%, S_TST= 74.21%, T_TST= 83.46%
     E:013/300 #B:015, t=003.80m, L=00.1966, ACC : S_TRN= 76.51%, T_TRN= 97.97%, S_TST= 74.46%, T_TST= 83.58%
     E:014/300 #B:015, t=004.00m, L=00.1892, ACC : S_TRN= 75.31%, T_TRN= 97.81%, S_TST= 74.67%, T_TST= 83.74%
     E:015/300 #B:015, t=004.14m, L=00.1581, ACC : S_TRN= 72.92%, T_TRN= 98.02%, S_TST= 74.85%, T_TST= 83.66%
     E:016/300 #B:015, t=004.36m, L=00.1645, ACC : S_TRN= 75.31%, T_TRN= 98.75%, S_TST= 73.93%, T_TST= 83.74%
     E:017/300 #B:015, t=004.61m, L=00.1557, ACC : S_TRN= 75.21%, T_TRN= 98.23%, S_TST= 75.13%, T_TST= 83.38%
     E:018/300 #B:015, t=004.81m, L=00.1522, ACC : S_TRN= 75.99%, T_TRN= 98.80%, S_TST= 74.41%, T_TST= 83.60%
     E:019/300 #B:015, t=004.98m, L=00.1315, ACC : S_TRN= 73.65%, T_TRN= 98.28%, S_TST= 73.98%, T_TST= 83.69%
     E:020/300 #B:015, t=005.19m, L=00.1319, ACC : S_TRN= 74.95%, T_TRN= 98.49%, S_TST= 74.11%, T_TST= 83.30%
     E:021/300 #B:015, t=005.39m, L=00.1205, ACC : S_TRN= 73.49%, T_TRN= 99.17%, S_TST= 75.04%, T_TST= 83.27%
     E:022/300 #B:015, t=005.59m, L=00.1126, ACC : S_TRN= 73.28%, T_TRN= 99.64%, S_TST= 74.90%, T_TST= 83.02%
     E:023/300 #B:015, t=005.78m, L=00.1157, ACC : S_TRN= 74.17%, T_TRN= 99.01%, S_TST= 75.27%, T_TST= 83.05%
     E:024/300 #B:015, t=006.00m, L=00.0861, ACC : S_TRN= 75.73%, T_TRN= 99.01%, S_TST= 74.42%, T_TST= 83.07%
     E:025/300 #B:015, t=006.19m, L=00.0963, ACC : S_TRN= 74.74%, T_TRN= 99.32%, S_TST= 74.42%, T_TST= 83.18%
     E:026/300 #B:015, t=006.37m, L=00.0874, ACC : S_TRN= 74.38%, T_TRN= 99.22%, S_TST= 74.39%, T_TST= 83.18%
     E:027/300 #B:015, t=006.59m, L=00.0857, ACC : S_TRN= 75.68%, T_TRN= 99.53%, S_TST= 74.72%, T_TST= 82.93%
     E:028/300 #B:015, t=006.78m, L=00.0838, ACC : S_TRN= 75.16%, T_TRN= 99.38%, S_TST= 74.93%, T_TST= 82.99%
     E:029/300 #B:015, t=007.00m, L=00.0779, ACC : S_TRN= 74.43%, T_TRN= 99.58%, S_TST= 74.25%, T_TST= 83.05%
     E:030/300 #B:015, t=007.21m, L=00.0673, ACC : S_TRN= 74.64%, T_TRN= 99.32%, S_TST= 74.32%, T_TST= 83.07%
     E:031/300 #B:015, t=007.41m, L=00.0715, ACC : S_TRN= 73.91%, T_TRN= 99.43%, S_TST= 74.19%, T_TST= 82.88%
     E:032/300 #B:015, t=007.60m, L=00.0696, ACC : S_TRN= 73.80%, T_TRN= 99.48%, S_TST= 74.41%, T_TST= 82.96%
     E:033/300 #B:015, t=007.83m, L=00.0623, ACC : S_TRN= 74.32%, T_TRN= 99.69%, S_TST= 74.35%, T_TST= 82.93%
     E:034/300 #B:015, t=008.04m, L=00.0682, ACC : S_TRN= 74.27%, T_TRN= 99.38%, S_TST= 74.55%, T_TST= 83.07%
     E:035/300 #B:015, t=008.27m, L=00.0599, ACC : S_TRN= 72.29%, T_TRN= 99.69%, S_TST= 74.19%, T_TST= 82.99%
     E:036/300 #B:015, t=008.49m, L=00.0557, ACC : S_TRN= 75.57%, T_TRN= 99.69%, S_TST= 74.39%, T_TST= 83.07%
     E:037/300 #B:015, t=008.66m, L=00.0503, ACC : S_TRN= 72.66%, T_TRN= 99.84%, S_TST= 74.62%, T_TST= 82.85%
