

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_dvd', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_dvd, experiment=books_dvd, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu
**++ E:000/300 #B:015, t=000.09m, L=05.3897, ACC : S_TRN= 58.23%, T_TRN= 54.27%, S_TST= 53.15%, T_TST= 52.76%
**++ E:001/300 #B:015, t=000.45m, L=05.3158, ACC : S_TRN= 83.80%, T_TRN= 66.56%, S_TST= 74.69%, T_TST= 68.29%
**++ E:002/300 #B:015, t=000.82m, L=05.2088, ACC : S_TRN= 89.06%, T_TRN= 75.99%, S_TST= 80.47%, T_TST= 77.69%
**++ E:003/300 #B:015, t=001.21m, L=05.0973, ACC : S_TRN= 87.81%, T_TRN= 76.35%, S_TST= 81.39%, T_TST= 77.77%
**++ E:004/300 #B:015, t=001.69m, L=05.0056, ACC : S_TRN= 88.75%, T_TRN= 76.67%, S_TST= 81.43%, T_TST= 78.08%
**++ E:005/300 #B:015, t=002.09m, L=04.9240, ACC : S_TRN= 88.44%, T_TRN= 75.62%, S_TST= 81.81%, T_TST= 78.95%
**++ E:006/300 #B:015, t=002.49m, L=04.8163, ACC : S_TRN= 91.56%, T_TRN= 76.72%, S_TST= 82.42%, T_TST= 79.53%
**++ E:007/300 #B:015, t=002.89m, L=04.7660, ACC : S_TRN= 92.29%, T_TRN= 76.25%, S_TST= 82.49%, T_TST= 79.84%
**++ E:008/300 #B:015, t=003.23m, L=04.7176, ACC : S_TRN= 94.01%, T_TRN= 78.91%, S_TST= 83.43%, T_TST= 80.23%
  ++ E:009/300 #B:015, t=003.56m, L=04.6728, ACC : S_TRN= 93.59%, T_TRN= 77.92%, S_TST= 83.34%, T_TST= 80.28%
  ++ E:010/300 #B:015, t=003.94m, L=04.6047, ACC : S_TRN= 94.43%, T_TRN= 78.23%, S_TST= 83.36%, T_TST= 80.81%
**++ E:011/300 #B:015, t=004.36m, L=04.5915, ACC : S_TRN= 94.11%, T_TRN= 79.84%, S_TST= 83.56%, T_TST= 81.34%
**   E:012/300 #B:015, t=004.75m, L=04.5616, ACC : S_TRN= 96.35%, T_TRN= 78.91%, S_TST= 84.17%, T_TST= 81.23%
     E:013/300 #B:015, t=004.99m, L=04.5380, ACC : S_TRN= 96.77%, T_TRN= 77.08%, S_TST= 83.94%, T_TST= 80.95%
     E:014/300 #B:015, t=005.18m, L=04.5063, ACC : S_TRN= 97.40%, T_TRN= 78.59%, S_TST= 84.08%, T_TST= 80.73%
     E:015/300 #B:015, t=005.37m, L=04.4795, ACC : S_TRN= 97.40%, T_TRN= 78.96%, S_TST= 83.92%, T_TST= 81.20%
  ++ E:016/300 #B:015, t=005.58m, L=04.4595, ACC : S_TRN= 98.18%, T_TRN= 78.70%, S_TST= 83.72%, T_TST= 81.46%
     E:017/300 #B:015, t=006.07m, L=04.4404, ACC : S_TRN= 97.71%, T_TRN= 79.90%, S_TST= 84.14%, T_TST= 81.34%
     E:018/300 #B:015, t=006.27m, L=04.4259, ACC : S_TRN= 98.02%, T_TRN= 77.97%, S_TST= 83.92%, T_TST= 81.12%
     E:019/300 #B:015, t=006.44m, L=04.3965, ACC : S_TRN= 98.75%, T_TRN= 78.70%, S_TST= 83.94%, T_TST= 81.12%
     E:020/300 #B:015, t=006.62m, L=04.3918, ACC : S_TRN= 98.12%, T_TRN= 80.00%, S_TST= 83.92%, T_TST= 81.12%
  ++ E:021/300 #B:015, t=006.80m, L=04.3730, ACC : S_TRN= 98.65%, T_TRN= 77.60%, S_TST= 83.81%, T_TST= 81.48%
  ++ E:022/300 #B:015, t=007.14m, L=04.3671, ACC : S_TRN= 98.44%, T_TRN= 78.54%, S_TST= 83.61%, T_TST= 81.76%
     E:023/300 #B:015, t=007.55m, L=04.3518, ACC : S_TRN= 98.49%, T_TRN= 79.11%, S_TST= 83.45%, T_TST= 81.65%
     E:024/300 #B:015, t=007.75m, L=04.3362, ACC : S_TRN= 99.11%, T_TRN= 79.22%, S_TST= 83.29%, T_TST= 81.40%
     E:025/300 #B:015, t=007.95m, L=04.3324, ACC : S_TRN= 99.11%, T_TRN= 77.66%, S_TST= 83.54%, T_TST= 81.68%
  ++ E:026/300 #B:015, t=008.15m, L=04.3333, ACC : S_TRN= 98.80%, T_TRN= 80.26%, S_TST= 83.38%, T_TST= 81.87%
  ++ E:027/300 #B:015, t=008.55m, L=04.3255, ACC : S_TRN= 99.22%, T_TRN= 77.40%, S_TST= 83.52%, T_TST= 81.99%
     E:028/300 #B:015, t=008.92m, L=04.3187, ACC : S_TRN= 99.48%, T_TRN= 77.86%, S_TST= 83.63%, T_TST= 81.90%
     E:029/300 #B:015, t=009.10m, L=04.3010, ACC : S_TRN= 99.58%, T_TRN= 80.16%, S_TST= 83.61%, T_TST= 81.68%
     E:030/300 #B:015, t=009.34m, L=04.3053, ACC : S_TRN= 99.58%, T_TRN= 79.48%, S_TST= 83.74%, T_TST= 81.85%
     E:031/300 #B:015, t=009.56m, L=04.2942, ACC : S_TRN= 99.53%, T_TRN= 77.71%, S_TST= 83.56%, T_TST= 81.82%
     E:032/300 #B:015, t=009.81m, L=04.2980, ACC : S_TRN= 99.69%, T_TRN= 78.12%, S_TST= 83.52%, T_TST= 81.82%
     E:033/300 #B:015, t=010.08m, L=04.2832, ACC : S_TRN= 99.69%, T_TRN= 77.81%, S_TST= 83.52%, T_TST= 81.87%
     E:034/300 #B:015, t=010.29m, L=04.2851, ACC : S_TRN= 99.84%, T_TRN= 78.18%, S_TST= 83.58%, T_TST= 81.79%
     E:035/300 #B:015, t=010.50m, L=04.2765, ACC : S_TRN= 99.58%, T_TRN= 78.75%, S_TST= 83.58%, T_TST= 81.90%
     E:036/300 #B:015, t=010.70m, L=04.2833, ACC : S_TRN= 99.84%, T_TRN= 77.71%, S_TST= 83.36%, T_TST= 81.76%
     E:037/300 #B:015, t=010.93m, L=04.2662, ACC : S_TRN= 99.48%, T_TRN= 78.70%, S_TST= 83.54%, T_TST= 81.71%
     E:038/300 #B:015, t=011.14m, L=04.2709, ACC : S_TRN= 99.53%, T_TRN= 78.23%, S_TST= 83.34%, T_TST= 81.51%
     E:039/300 #B:015, t=011.35m, L=04.2698, ACC : S_TRN= 99.64%, T_TRN= 78.44%, S_TST= 83.36%, T_TST= 81.82%
     E:040/300 #B:015, t=011.56m, L=04.2644, ACC : S_TRN= 99.64%, T_TRN= 78.65%, S_TST= 83.11%, T_TST= 81.73%
     E:041/300 #B:015, t=011.76m, L=04.2618, ACC : S_TRN= 99.74%, T_TRN= 78.33%, S_TST= 83.27%, T_TST= 81.68%
     E:042/300 #B:015, t=011.98m, L=04.2666, ACC : S_TRN= 99.90%, T_TRN= 77.34%, S_TST= 83.18%, T_TST= 81.76%
     E:043/300 #B:015, t=012.17m, L=04.2620, ACC : S_TRN= 99.53%, T_TRN= 80.47%, S_TST= 83.11%, T_TST= 81.71%
     E:044/300 #B:015, t=012.39m, L=04.2685, ACC : S_TRN= 99.74%, T_TRN= 79.90%, S_TST= 83.00%, T_TST= 81.68%
     E:045/300 #B:015, t=012.62m, L=04.2617, ACC : S_TRN= 100.00%, T_TRN= 78.54%, S_TST= 83.05%, T_TST= 81.65%
