

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_kitchen, experiment=books_kitchen, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu
**++ E:000/300 #B:015, t=000.06m, L=05.3872, ACC : S_TRN= 57.29%, T_TRN= 51.09%, S_TST= 52.65%, T_TST= 50.40%
**++ E:001/300 #B:015, t=000.42m, L=05.3142, ACC : S_TRN= 84.84%, T_TRN= 62.76%, S_TST= 77.29%, T_TST= 62.41%
**++ E:002/300 #B:015, t=000.78m, L=05.2152, ACC : S_TRN= 88.49%, T_TRN= 73.07%, S_TST= 79.69%, T_TST= 74.30%
**   E:003/300 #B:015, t=001.17m, L=05.1197, ACC : S_TRN= 88.18%, T_TRN= 73.80%, S_TST= 80.47%, T_TST= 73.37%
**++ E:004/300 #B:015, t=001.46m, L=05.0431, ACC : S_TRN= 88.80%, T_TRN= 72.76%, S_TST= 80.78%, T_TST= 74.48%
**++ E:005/300 #B:015, t=001.89m, L=04.9618, ACC : S_TRN= 89.58%, T_TRN= 78.70%, S_TST= 81.05%, T_TST= 77.81%
**++ E:006/300 #B:015, t=002.32m, L=04.8559, ACC : S_TRN= 92.40%, T_TRN= 78.75%, S_TST= 81.41%, T_TST= 78.37%
**++ E:007/300 #B:015, t=002.71m, L=04.8039, ACC : S_TRN= 91.35%, T_TRN= 79.58%, S_TST= 81.88%, T_TST= 80.29%
**++ E:008/300 #B:015, t=003.03m, L=04.7405, ACC : S_TRN= 93.12%, T_TRN= 80.00%, S_TST= 81.88%, T_TST= 81.14%
  ++ E:009/300 #B:015, t=003.39m, L=04.6837, ACC : S_TRN= 93.59%, T_TRN= 80.00%, S_TST= 81.84%, T_TST= 81.90%
  ++ E:010/300 #B:015, t=003.82m, L=04.6404, ACC : S_TRN= 94.17%, T_TRN= 81.09%, S_TST= 81.81%, T_TST= 82.07%
**++ E:011/300 #B:015, t=004.24m, L=04.5975, ACC : S_TRN= 94.38%, T_TRN= 82.55%, S_TST= 82.08%, T_TST= 82.57%
**++ E:012/300 #B:015, t=004.61m, L=04.5816, ACC : S_TRN= 95.83%, T_TRN= 83.18%, S_TST= 82.71%, T_TST= 82.83%
**++ E:013/300 #B:015, t=005.04m, L=04.5403, ACC : S_TRN= 97.03%, T_TRN= 83.65%, S_TST= 82.89%, T_TST= 83.35%
**   E:014/300 #B:015, t=005.46m, L=04.5081, ACC : S_TRN= 97.50%, T_TRN= 82.92%, S_TST= 83.34%, T_TST= 83.31%
  ++ E:015/300 #B:015, t=005.90m, L=04.4929, ACC : S_TRN= 97.40%, T_TRN= 84.43%, S_TST= 83.18%, T_TST= 83.63%
  ++ E:016/300 #B:015, t=006.25m, L=04.4720, ACC : S_TRN= 98.33%, T_TRN= 82.55%, S_TST= 83.29%, T_TST= 83.84%
**++ E:017/300 #B:015, t=006.64m, L=04.4512, ACC : S_TRN= 97.34%, T_TRN= 82.08%, S_TST= 83.34%, T_TST= 84.00%
  ++ E:018/300 #B:015, t=007.09m, L=04.4310, ACC : S_TRN= 98.18%, T_TRN= 82.81%, S_TST= 83.09%, T_TST= 84.02%
**   E:019/300 #B:015, t=007.46m, L=04.4228, ACC : S_TRN= 98.75%, T_TRN= 83.18%, S_TST= 83.47%, T_TST= 83.84%
     E:020/300 #B:015, t=007.74m, L=04.3949, ACC : S_TRN= 98.91%, T_TRN= 81.41%, S_TST= 83.25%, T_TST= 83.75%
     E:021/300 #B:015, t=007.97m, L=04.3781, ACC : S_TRN= 99.06%, T_TRN= 81.30%, S_TST= 83.27%, T_TST= 83.84%
     E:022/300 #B:015, t=008.16m, L=04.3640, ACC : S_TRN= 98.54%, T_TRN= 82.19%, S_TST= 83.31%, T_TST= 83.89%
     E:023/300 #B:015, t=008.45m, L=04.3536, ACC : S_TRN= 98.85%, T_TRN= 82.40%, S_TST= 83.09%, T_TST= 83.58%
     E:024/300 #B:015, t=008.66m, L=04.3593, ACC : S_TRN= 99.32%, T_TRN= 82.60%, S_TST= 83.07%, T_TST= 83.60%
     E:025/300 #B:015, t=008.91m, L=04.3457, ACC : S_TRN= 99.22%, T_TRN= 82.45%, S_TST= 83.27%, T_TST= 83.53%
     E:026/300 #B:015, t=009.14m, L=04.3326, ACC : S_TRN= 99.74%, T_TRN= 83.28%, S_TST= 83.14%, T_TST= 83.65%
     E:027/300 #B:015, t=009.37m, L=04.3297, ACC : S_TRN= 99.58%, T_TRN= 82.14%, S_TST= 83.14%, T_TST= 83.84%
     E:028/300 #B:015, t=009.56m, L=04.3258, ACC : S_TRN= 99.64%, T_TRN= 82.55%, S_TST= 83.27%, T_TST= 83.99%
     E:029/300 #B:015, t=009.80m, L=04.3066, ACC : S_TRN= 99.84%, T_TRN= 83.12%, S_TST= 83.02%, T_TST= 83.67%
     E:030/300 #B:015, t=010.07m, L=04.3087, ACC : S_TRN= 99.79%, T_TRN= 81.98%, S_TST= 83.29%, T_TST= 83.78%
     E:031/300 #B:015, t=010.32m, L=04.2930, ACC : S_TRN= 99.84%, T_TRN= 83.96%, S_TST= 83.05%, T_TST= 83.77%
     E:032/300 #B:015, t=010.57m, L=04.2989, ACC : S_TRN= 99.95%, T_TRN= 82.60%, S_TST= 83.20%, T_TST= 83.58%
     E:033/300 #B:015, t=010.82m, L=04.2895, ACC : S_TRN= 99.69%, T_TRN= 83.54%, S_TST= 83.02%, T_TST= 83.75%
     E:034/300 #B:015, t=011.07m, L=04.2867, ACC : S_TRN= 99.90%, T_TRN= 83.70%, S_TST= 83.16%, T_TST= 83.97%
     E:035/300 #B:015, t=011.29m, L=04.2764, ACC : S_TRN= 99.58%, T_TRN= 82.76%, S_TST= 82.96%, T_TST= 83.99%
     E:036/300 #B:015, t=011.53m, L=04.2898, ACC : S_TRN= 99.84%, T_TRN= 82.55%, S_TST= 83.16%, T_TST= 83.75%
     E:037/300 #B:015, t=011.77m, L=04.2679, ACC : S_TRN= 99.69%, T_TRN= 83.28%, S_TST= 83.18%, T_TST= 83.78%
     E:038/300 #B:015, t=011.99m, L=04.2798, ACC : S_TRN= 99.58%, T_TRN= 83.12%, S_TST= 83.23%, T_TST= 83.73%
     E:039/300 #B:015, t=012.29m, L=04.2761, ACC : S_TRN= 99.74%, T_TRN= 82.40%, S_TST= 83.07%, T_TST= 83.84%
     E:040/300 #B:015, t=012.53m, L=04.2727, ACC : S_TRN= 99.74%, T_TRN= 83.59%, S_TST= 83.18%, T_TST= 84.00%
     E:041/300 #B:015, t=012.78m, L=04.2668, ACC : S_TRN= 99.74%, T_TRN= 82.34%, S_TST= 83.18%, T_TST= 83.94%
     E:042/300 #B:015, t=013.07m, L=04.2726, ACC : S_TRN= 99.90%, T_TRN= 83.96%, S_TST= 83.14%, T_TST= 83.97%
  ++ E:043/300 #B:015, t=013.30m, L=04.2649, ACC : S_TRN= 99.79%, T_TRN= 81.51%, S_TST= 83.11%, T_TST= 84.04%
     E:044/300 #B:015, t=013.72m, L=04.2624, ACC : S_TRN= 99.95%, T_TRN= 82.55%, S_TST= 83.25%, T_TST= 83.94%
  ++ E:045/300 #B:015, t=013.98m, L=04.2613, ACC : S_TRN= 100.00%, T_TRN= 81.88%, S_TST= 83.11%, T_TST= 84.07%
