

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_books', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_books, experiment=dvd_books, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu
**++ E:000/300 #B:015, t=000.06m, L=05.3786, ACC : S_TRN= 64.17%, T_TRN= 56.67%, S_TST= 59.31%, T_TST= 57.22%
**++ E:001/300 #B:015, t=000.41m, L=05.2991, ACC : S_TRN= 75.52%, T_TRN= 66.51%, S_TST= 67.90%, T_TST= 64.82%
**++ E:002/300 #B:015, t=000.74m, L=05.1950, ACC : S_TRN= 84.69%, T_TRN= 71.30%, S_TST= 75.40%, T_TST= 69.20%
**++ E:003/300 #B:015, t=001.08m, L=05.0825, ACC : S_TRN= 83.23%, T_TRN= 71.56%, S_TST= 75.77%, T_TST= 70.66%
**++ E:004/300 #B:015, t=001.55m, L=04.9945, ACC : S_TRN= 86.67%, T_TRN= 72.81%, S_TST= 79.25%, T_TST= 73.26%
**++ E:005/300 #B:015, t=001.97m, L=04.8963, ACC : S_TRN= 88.54%, T_TRN= 71.30%, S_TST= 80.42%, T_TST= 73.91%
**++ E:006/300 #B:015, t=002.35m, L=04.8024, ACC : S_TRN= 88.85%, T_TRN= 74.74%, S_TST= 81.43%, T_TST= 74.11%
**++ E:007/300 #B:015, t=002.80m, L=04.7536, ACC : S_TRN= 91.46%, T_TRN= 75.26%, S_TST= 82.10%, T_TST= 74.96%
**++ E:008/300 #B:015, t=003.15m, L=04.7145, ACC : S_TRN= 92.81%, T_TRN= 73.65%, S_TST= 82.32%, T_TST= 75.77%
**++ E:009/300 #B:015, t=003.52m, L=04.6553, ACC : S_TRN= 94.32%, T_TRN= 75.26%, S_TST= 82.35%, T_TST= 76.24%
**++ E:010/300 #B:015, t=003.94m, L=04.6239, ACC : S_TRN= 95.00%, T_TRN= 75.52%, S_TST= 82.77%, T_TST= 76.42%
  ++ E:011/300 #B:015, t=004.39m, L=04.5778, ACC : S_TRN= 94.48%, T_TRN= 75.57%, S_TST= 82.38%, T_TST= 76.55%
  ++ E:012/300 #B:015, t=004.75m, L=04.5354, ACC : S_TRN= 95.00%, T_TRN= 76.51%, S_TST= 82.26%, T_TST= 76.60%
  ++ E:013/300 #B:015, t=005.15m, L=04.5313, ACC : S_TRN= 95.62%, T_TRN= 75.00%, S_TST= 82.24%, T_TST= 76.75%
     E:014/300 #B:015, t=005.54m, L=04.5038, ACC : S_TRN= 96.04%, T_TRN= 76.56%, S_TST= 82.40%, T_TST= 76.26%
**   E:015/300 #B:015, t=005.83m, L=04.4902, ACC : S_TRN= 96.04%, T_TRN= 75.94%, S_TST= 82.85%, T_TST= 76.33%
  ++ E:016/300 #B:015, t=006.10m, L=04.4859, ACC : S_TRN= 96.88%, T_TRN= 74.79%, S_TST= 82.77%, T_TST= 76.77%
**++ E:017/300 #B:015, t=006.48m, L=04.4575, ACC : S_TRN= 96.67%, T_TRN= 76.46%, S_TST= 82.88%, T_TST= 76.95%
**   E:018/300 #B:015, t=006.94m, L=04.4339, ACC : S_TRN= 96.77%, T_TRN= 74.74%, S_TST= 83.07%, T_TST= 76.82%
     E:019/300 #B:015, t=007.17m, L=04.4244, ACC : S_TRN= 97.40%, T_TRN= 75.57%, S_TST= 82.93%, T_TST= 76.82%
**++ E:020/300 #B:015, t=007.35m, L=04.4145, ACC : S_TRN= 97.92%, T_TRN= 76.93%, S_TST= 83.10%, T_TST= 77.02%
     E:021/300 #B:015, t=007.80m, L=04.3848, ACC : S_TRN= 97.76%, T_TRN= 75.47%, S_TST= 82.79%, T_TST= 76.71%
     E:022/300 #B:015, t=008.00m, L=04.3901, ACC : S_TRN= 97.29%, T_TRN= 76.56%, S_TST= 82.74%, T_TST= 76.66%
     E:023/300 #B:015, t=008.18m, L=04.3793, ACC : S_TRN= 98.28%, T_TRN= 74.84%, S_TST= 82.68%, T_TST= 76.62%
     E:024/300 #B:015, t=008.44m, L=04.3583, ACC : S_TRN= 98.12%, T_TRN= 76.09%, S_TST= 82.74%, T_TST= 76.86%
     E:025/300 #B:015, t=008.62m, L=04.3485, ACC : S_TRN= 98.49%, T_TRN= 77.14%, S_TST= 82.91%, T_TST= 76.62%
     E:026/300 #B:015, t=008.78m, L=04.3605, ACC : S_TRN= 97.97%, T_TRN= 77.34%, S_TST= 82.74%, T_TST= 76.55%
     E:027/300 #B:015, t=009.02m, L=04.3438, ACC : S_TRN= 98.70%, T_TRN= 75.47%, S_TST= 82.88%, T_TST= 76.73%
     E:028/300 #B:015, t=009.26m, L=04.3317, ACC : S_TRN= 99.58%, T_TRN= 75.68%, S_TST= 83.02%, T_TST= 76.75%
     E:029/300 #B:015, t=009.47m, L=04.3208, ACC : S_TRN= 99.11%, T_TRN= 75.47%, S_TST= 82.93%, T_TST= 76.71%
     E:030/300 #B:015, t=009.68m, L=04.3138, ACC : S_TRN= 99.17%, T_TRN= 77.03%, S_TST= 83.05%, T_TST= 76.89%
     E:031/300 #B:015, t=009.91m, L=04.3232, ACC : S_TRN= 99.32%, T_TRN= 76.20%, S_TST= 82.99%, T_TST= 76.75%
     E:032/300 #B:015, t=010.13m, L=04.3078, ACC : S_TRN= 99.43%, T_TRN= 74.69%, S_TST= 82.85%, T_TST= 76.86%
     E:033/300 #B:015, t=010.31m, L=04.3064, ACC : S_TRN= 99.38%, T_TRN= 78.18%, S_TST= 82.93%, T_TST= 76.69%
**   E:034/300 #B:015, t=010.54m, L=04.3034, ACC : S_TRN= 99.11%, T_TRN= 76.15%, S_TST= 83.46%, T_TST= 76.71%
     E:035/300 #B:015, t=010.79m, L=04.3011, ACC : S_TRN= 99.53%, T_TRN= 76.88%, S_TST= 83.24%, T_TST= 76.62%
  ++ E:036/300 #B:015, t=011.03m, L=04.2953, ACC : S_TRN= 99.11%, T_TRN= 77.40%, S_TST= 83.02%, T_TST= 77.02%
     E:037/300 #B:015, t=011.38m, L=04.2887, ACC : S_TRN= 99.48%, T_TRN= 78.23%, S_TST= 83.30%, T_TST= 76.75%
     E:038/300 #B:015, t=011.64m, L=04.2841, ACC : S_TRN= 99.32%, T_TRN= 75.36%, S_TST= 83.16%, T_TST= 76.82%
     E:039/300 #B:015, t=011.88m, L=04.2906, ACC : S_TRN= 99.64%, T_TRN= 77.92%, S_TST= 82.99%, T_TST= 76.91%
     E:040/300 #B:015, t=012.11m, L=04.2873, ACC : S_TRN= 99.48%, T_TRN= 76.77%, S_TST= 82.99%, T_TST= 76.86%
     E:041/300 #B:015, t=012.33m, L=04.2793, ACC : S_TRN= 99.27%, T_TRN= 75.52%, S_TST= 82.91%, T_TST= 76.95%
     E:042/300 #B:015, t=012.57m, L=04.2717, ACC : S_TRN= 99.32%, T_TRN= 74.84%, S_TST= 82.99%, T_TST= 76.98%
     E:043/300 #B:015, t=012.80m, L=04.2770, ACC : S_TRN= 99.58%, T_TRN= 75.57%, S_TST= 82.99%, T_TST= 77.00%
     E:044/300 #B:015, t=013.04m, L=04.2766, ACC : S_TRN= 99.48%, T_TRN= 75.89%, S_TST= 82.88%, T_TST= 76.93%
  ++ E:045/300 #B:015, t=013.21m, L=04.2725, ACC : S_TRN= 99.69%, T_TRN= 74.43%, S_TST= 82.93%, T_TST= 77.13%
     E:046/300 #B:015, t=013.57m, L=04.2692, ACC : S_TRN= 99.64%, T_TRN= 74.53%, S_TST= 82.77%, T_TST= 76.95%
     E:047/300 #B:015, t=013.83m, L=04.2520, ACC : S_TRN= 99.43%, T_TRN= 76.88%, S_TST= 82.99%, T_TST= 77.02%
     E:048/300 #B:015, t=014.06m, L=04.2664, ACC : S_TRN= 99.64%, T_TRN= 74.79%, S_TST= 82.88%, T_TST= 77.00%
     E:049/300 #B:015, t=014.28m, L=04.2626, ACC : S_TRN= 99.74%, T_TRN= 76.46%, S_TST= 82.79%, T_TST= 76.89%
