

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_electronics, experiment=dvd_electronics, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu
**++ E:000/300 #B:015, t=000.07m, L=05.3808, ACC : S_TRN= 65.89%, T_TRN= 54.84%, S_TST= 58.81%, T_TST= 52.93%
**++ E:001/300 #B:015, t=000.48m, L=05.3112, ACC : S_TRN= 78.75%, T_TRN= 61.20%, S_TST= 69.72%, T_TST= 62.26%
**++ E:002/300 #B:015, t=000.87m, L=05.2211, ACC : S_TRN= 88.75%, T_TRN= 72.66%, S_TST= 79.87%, T_TST= 73.60%
  ++ E:003/300 #B:015, t=001.22m, L=05.1071, ACC : S_TRN= 87.50%, T_TRN= 73.12%, S_TST= 79.84%, T_TST= 75.67%
**++ E:004/300 #B:015, t=001.58m, L=05.0168, ACC : S_TRN= 90.10%, T_TRN= 76.35%, S_TST= 82.07%, T_TST= 77.42%
**++ E:005/300 #B:015, t=002.00m, L=04.9129, ACC : S_TRN= 92.34%, T_TRN= 77.24%, S_TST= 82.57%, T_TST= 78.45%
  ++ E:006/300 #B:015, t=002.39m, L=04.8280, ACC : S_TRN= 91.98%, T_TRN= 77.86%, S_TST= 82.54%, T_TST= 79.07%
**++ E:007/300 #B:015, t=002.81m, L=04.7680, ACC : S_TRN= 93.65%, T_TRN= 78.96%, S_TST= 82.85%, T_TST= 79.58%
  ++ E:008/300 #B:015, t=003.14m, L=04.7265, ACC : S_TRN= 94.90%, T_TRN= 79.90%, S_TST= 82.77%, T_TST= 79.79%
**   E:009/300 #B:015, t=003.48m, L=04.6618, ACC : S_TRN= 95.42%, T_TRN= 81.15%, S_TST= 82.85%, T_TST= 79.65%
  ++ E:010/300 #B:015, t=003.76m, L=04.6343, ACC : S_TRN= 95.57%, T_TRN= 80.52%, S_TST= 82.79%, T_TST= 79.83%
  ++ E:011/300 #B:015, t=004.20m, L=04.5800, ACC : S_TRN= 95.31%, T_TRN= 78.75%, S_TST= 82.54%, T_TST= 79.92%
**++ E:012/300 #B:015, t=004.51m, L=04.5469, ACC : S_TRN= 96.61%, T_TRN= 80.16%, S_TST= 82.85%, T_TST= 80.43%
**   E:013/300 #B:015, t=004.90m, L=04.5229, ACC : S_TRN= 96.61%, T_TRN= 78.07%, S_TST= 82.85%, T_TST= 80.41%
  ++ E:014/300 #B:015, t=005.16m, L=04.5040, ACC : S_TRN= 96.88%, T_TRN= 79.43%, S_TST= 82.77%, T_TST= 80.60%
**   E:015/300 #B:015, t=005.58m, L=04.4738, ACC : S_TRN= 97.14%, T_TRN= 81.15%, S_TST= 83.18%, T_TST= 80.53%
  ++ E:016/300 #B:015, t=005.94m, L=04.4689, ACC : S_TRN= 98.07%, T_TRN= 80.21%, S_TST= 82.93%, T_TST= 80.60%
  ++ E:017/300 #B:015, t=006.31m, L=04.4525, ACC : S_TRN= 97.29%, T_TRN= 80.00%, S_TST= 82.91%, T_TST= 80.60%
  ++ E:018/300 #B:015, t=006.67m, L=04.4294, ACC : S_TRN= 97.08%, T_TRN= 79.17%, S_TST= 82.68%, T_TST= 80.71%
  ++ E:019/300 #B:015, t=007.07m, L=04.4230, ACC : S_TRN= 97.45%, T_TRN= 78.85%, S_TST= 82.88%, T_TST= 80.73%
  ++ E:020/300 #B:015, t=007.47m, L=04.4052, ACC : S_TRN= 98.23%, T_TRN= 81.20%, S_TST= 82.85%, T_TST= 81.08%
     E:021/300 #B:015, t=007.83m, L=04.3847, ACC : S_TRN= 97.92%, T_TRN= 82.03%, S_TST= 82.82%, T_TST= 80.80%
     E:022/300 #B:015, t=008.08m, L=04.3892, ACC : S_TRN= 97.81%, T_TRN= 79.84%, S_TST= 82.63%, T_TST= 80.99%
     E:023/300 #B:015, t=008.30m, L=04.3672, ACC : S_TRN= 98.49%, T_TRN= 77.97%, S_TST= 82.79%, T_TST= 80.99%
     E:024/300 #B:015, t=008.49m, L=04.3536, ACC : S_TRN= 98.59%, T_TRN= 79.64%, S_TST= 82.85%, T_TST= 80.97%
     E:025/300 #B:015, t=008.73m, L=04.3530, ACC : S_TRN= 98.12%, T_TRN= 79.84%, S_TST= 82.79%, T_TST= 80.88%
     E:026/300 #B:015, t=008.93m, L=04.3601, ACC : S_TRN= 98.33%, T_TRN= 80.83%, S_TST= 82.38%, T_TST= 81.06%
     E:027/300 #B:015, t=009.15m, L=04.3479, ACC : S_TRN= 99.06%, T_TRN= 79.84%, S_TST= 82.26%, T_TST= 80.87%
     E:028/300 #B:015, t=009.38m, L=04.3322, ACC : S_TRN= 99.17%, T_TRN= 79.27%, S_TST= 82.54%, T_TST= 80.94%
  ++ E:029/300 #B:015, t=009.59m, L=04.3180, ACC : S_TRN= 99.11%, T_TRN= 81.82%, S_TST= 82.40%, T_TST= 81.15%
  ++ E:030/300 #B:015, t=009.98m, L=04.2991, ACC : S_TRN= 99.43%, T_TRN= 78.91%, S_TST= 82.29%, T_TST= 81.25%
     E:031/300 #B:015, t=010.44m, L=04.3120, ACC : S_TRN= 99.58%, T_TRN= 80.42%, S_TST= 82.32%, T_TST= 81.02%
     E:032/300 #B:015, t=010.68m, L=04.3086, ACC : S_TRN= 99.64%, T_TRN= 76.72%, S_TST= 82.40%, T_TST= 81.08%
