

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu
**++ E:000/300 #B:015, t=000.05m, L=05.3789, ACC : S_TRN= 65.68%, T_TRN= 52.71%, S_TST= 58.95%, T_TST= 51.40%
**++ E:001/300 #B:015, t=000.44m, L=05.3047, ACC : S_TRN= 81.88%, T_TRN= 61.35%, S_TST= 73.20%, T_TST= 63.13%
**++ E:002/300 #B:015, t=000.85m, L=05.2121, ACC : S_TRN= 89.48%, T_TRN= 77.92%, S_TST= 81.18%, T_TST= 78.40%
**   E:003/300 #B:015, t=001.21m, L=05.1068, ACC : S_TRN= 88.54%, T_TRN= 76.67%, S_TST= 81.57%, T_TST= 76.87%
**++ E:004/300 #B:015, t=001.47m, L=05.0140, ACC : S_TRN= 90.26%, T_TRN= 78.28%, S_TST= 82.74%, T_TST= 80.44%
**++ E:005/300 #B:015, t=001.85m, L=04.9122, ACC : S_TRN= 92.14%, T_TRN= 82.24%, S_TST= 82.77%, T_TST= 81.83%
**++ E:006/300 #B:015, t=002.31m, L=04.8243, ACC : S_TRN= 91.93%, T_TRN= 80.89%, S_TST= 82.88%, T_TST= 82.19%
**++ E:007/300 #B:015, t=002.73m, L=04.7707, ACC : S_TRN= 93.44%, T_TRN= 81.67%, S_TST= 83.07%, T_TST= 82.71%
**++ E:008/300 #B:015, t=003.12m, L=04.7057, ACC : S_TRN= 94.43%, T_TRN= 81.56%, S_TST= 83.24%, T_TST= 83.04%
  ++ E:009/300 #B:015, t=003.49m, L=04.6479, ACC : S_TRN= 94.90%, T_TRN= 80.99%, S_TST= 83.13%, T_TST= 83.63%
     E:010/300 #B:015, t=003.90m, L=04.6376, ACC : S_TRN= 95.94%, T_TRN= 81.67%, S_TST= 83.02%, T_TST= 83.55%
  ++ E:011/300 #B:015, t=004.16m, L=04.5780, ACC : S_TRN= 95.94%, T_TRN= 82.24%, S_TST= 82.63%, T_TST= 83.70%
**++ E:012/300 #B:015, t=004.53m, L=04.5590, ACC : S_TRN= 96.98%, T_TRN= 82.76%, S_TST= 83.27%, T_TST= 84.02%
  ++ E:013/300 #B:015, t=004.91m, L=04.5242, ACC : S_TRN= 96.35%, T_TRN= 83.23%, S_TST= 83.07%, T_TST= 84.04%
  ++ E:014/300 #B:015, t=005.34m, L=04.4944, ACC : S_TRN= 96.61%, T_TRN= 83.75%, S_TST= 83.07%, T_TST= 84.29%
**++ E:015/300 #B:015, t=005.90m, L=04.4688, ACC : S_TRN= 96.88%, T_TRN= 83.18%, S_TST= 83.44%, T_TST= 84.37%
**   E:016/300 #B:015, t=006.33m, L=04.4768, ACC : S_TRN= 97.45%, T_TRN= 82.81%, S_TST= 83.55%, T_TST= 84.21%
     E:017/300 #B:015, t=006.63m, L=04.4475, ACC : S_TRN= 97.60%, T_TRN= 81.88%, S_TST= 83.38%, T_TST= 84.15%
     E:018/300 #B:015, t=006.85m, L=04.4362, ACC : S_TRN= 97.08%, T_TRN= 82.55%, S_TST= 83.10%, T_TST= 83.95%
     E:019/300 #B:015, t=007.03m, L=04.4096, ACC : S_TRN= 97.92%, T_TRN= 83.80%, S_TST= 83.35%, T_TST= 84.15%
     E:020/300 #B:015, t=007.22m, L=04.3999, ACC : S_TRN= 98.28%, T_TRN= 81.35%, S_TST= 83.27%, T_TST= 83.94%
     E:021/300 #B:015, t=007.44m, L=04.3894, ACC : S_TRN= 97.97%, T_TRN= 82.24%, S_TST= 83.21%, T_TST= 84.15%
     E:022/300 #B:015, t=007.66m, L=04.3799, ACC : S_TRN= 98.18%, T_TRN= 82.76%, S_TST= 83.32%, T_TST= 83.90%
     E:023/300 #B:015, t=007.88m, L=04.3594, ACC : S_TRN= 98.39%, T_TRN= 82.81%, S_TST= 83.05%, T_TST= 84.00%
     E:024/300 #B:015, t=008.13m, L=04.3628, ACC : S_TRN= 98.65%, T_TRN= 84.01%, S_TST= 83.18%, T_TST= 84.09%
     E:025/300 #B:015, t=008.32m, L=04.3466, ACC : S_TRN= 98.44%, T_TRN= 84.74%, S_TST= 83.16%, T_TST= 84.04%
     E:026/300 #B:015, t=008.50m, L=04.3388, ACC : S_TRN= 98.44%, T_TRN= 83.85%, S_TST= 83.07%, T_TST= 83.87%
     E:027/300 #B:015, t=008.74m, L=04.3417, ACC : S_TRN= 98.85%, T_TRN= 82.50%, S_TST= 82.99%, T_TST= 84.05%
     E:028/300 #B:015, t=008.95m, L=04.3295, ACC : S_TRN= 99.27%, T_TRN= 82.66%, S_TST= 83.24%, T_TST= 84.09%
     E:029/300 #B:015, t=009.18m, L=04.3172, ACC : S_TRN= 98.59%, T_TRN= 83.44%, S_TST= 82.88%, T_TST= 84.07%
     E:030/300 #B:015, t=009.40m, L=04.3013, ACC : S_TRN= 99.11%, T_TRN= 82.92%, S_TST= 83.07%, T_TST= 84.04%
     E:031/300 #B:015, t=009.66m, L=04.3125, ACC : S_TRN= 99.06%, T_TRN= 83.18%, S_TST= 83.07%, T_TST= 83.95%
     E:032/300 #B:015, t=009.88m, L=04.3080, ACC : S_TRN= 99.48%, T_TRN= 81.77%, S_TST= 83.07%, T_TST= 84.09%
     E:033/300 #B:015, t=010.17m, L=04.3077, ACC : S_TRN= 99.38%, T_TRN= 84.38%, S_TST= 82.93%, T_TST= 83.92%
     E:034/300 #B:015, t=010.40m, L=04.2963, ACC : S_TRN= 99.01%, T_TRN= 83.49%, S_TST= 82.93%, T_TST= 84.12%
     E:035/300 #B:015, t=010.67m, L=04.2960, ACC : S_TRN= 99.01%, T_TRN= 83.18%, S_TST= 82.82%, T_TST= 84.12%
     E:036/300 #B:015, t=010.90m, L=04.2866, ACC : S_TRN= 99.27%, T_TRN= 82.76%, S_TST= 82.93%, T_TST= 84.32%
     E:037/300 #B:015, t=011.15m, L=04.2812, ACC : S_TRN= 99.38%, T_TRN= 84.22%, S_TST= 82.96%, T_TST= 84.15%
     E:038/300 #B:015, t=011.36m, L=04.2758, ACC : S_TRN= 99.11%, T_TRN= 83.23%, S_TST= 82.91%, T_TST= 84.14%
     E:039/300 #B:015, t=011.60m, L=04.2830, ACC : S_TRN= 99.58%, T_TRN= 83.28%, S_TST= 82.96%, T_TST= 84.14%
     E:040/300 #B:015, t=011.85m, L=04.2797, ACC : S_TRN= 99.11%, T_TRN= 83.12%, S_TST= 82.85%, T_TST= 84.07%
     E:041/300 #B:015, t=012.07m, L=04.2693, ACC : S_TRN= 99.17%, T_TRN= 82.24%, S_TST= 82.77%, T_TST= 84.04%
     E:042/300 #B:015, t=012.32m, L=04.2793, ACC : S_TRN= 99.32%, T_TRN= 81.82%, S_TST= 82.85%, T_TST= 84.07%
     E:043/300 #B:015, t=012.59m, L=04.2800, ACC : S_TRN= 99.48%, T_TRN= 81.67%, S_TST= 82.57%, T_TST= 84.15%
     E:044/300 #B:015, t=012.86m, L=04.2615, ACC : S_TRN= 99.58%, T_TRN= 81.56%, S_TST= 82.85%, T_TST= 84.21%
     E:045/300 #B:015, t=013.10m, L=04.2739, ACC : S_TRN= 99.48%, T_TRN= 83.49%, S_TST= 82.79%, T_TST= 84.09%
