

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_kitchen, experiment=electronics_kitchen, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu
**++ E:000/300 #B:015, t=000.06m, L=05.3806, ACC : S_TRN= 65.10%, T_TRN= 58.91%, S_TST= 62.10%, T_TST= 57.65%
**++ E:001/300 #B:015, t=000.45m, L=05.2897, ACC : S_TRN= 86.30%, T_TRN= 81.09%, S_TST= 81.22%, T_TST= 81.40%
**++ E:002/300 #B:015, t=000.83m, L=05.1694, ACC : S_TRN= 89.27%, T_TRN= 82.71%, S_TST= 83.52%, T_TST= 83.65%
**++ E:003/300 #B:015, t=001.17m, L=05.0476, ACC : S_TRN= 89.64%, T_TRN= 82.71%, S_TST= 84.28%, T_TST= 84.05%
**   E:004/300 #B:015, t=001.63m, L=04.9482, ACC : S_TRN= 89.58%, T_TRN= 82.14%, S_TST= 84.58%, T_TST= 83.97%
**++ E:005/300 #B:015, t=001.92m, L=04.8726, ACC : S_TRN= 91.30%, T_TRN= 82.66%, S_TST= 84.74%, T_TST= 84.10%
**++ E:006/300 #B:015, t=002.35m, L=04.7693, ACC : S_TRN= 94.53%, T_TRN= 84.74%, S_TST= 85.60%, T_TST= 85.94%
**++ E:007/300 #B:015, t=002.81m, L=04.6966, ACC : S_TRN= 93.85%, T_TRN= 85.05%, S_TST= 86.09%, T_TST= 85.95%
  ++ E:008/300 #B:015, t=003.23m, L=04.6664, ACC : S_TRN= 95.00%, T_TRN= 85.42%, S_TST= 86.04%, T_TST= 86.31%
**++ E:009/300 #B:015, t=003.59m, L=04.6068, ACC : S_TRN= 94.11%, T_TRN= 83.85%, S_TST= 86.23%, T_TST= 86.36%
**   E:010/300 #B:015, t=004.05m, L=04.5781, ACC : S_TRN= 95.73%, T_TRN= 84.17%, S_TST= 86.52%, T_TST= 86.21%
**++ E:011/300 #B:015, t=004.35m, L=04.5498, ACC : S_TRN= 96.61%, T_TRN= 85.26%, S_TST= 86.64%, T_TST= 86.41%
**   E:012/300 #B:015, t=004.74m, L=04.5163, ACC : S_TRN= 96.46%, T_TRN= 83.91%, S_TST= 86.75%, T_TST= 86.26%
**++ E:013/300 #B:015, t=004.97m, L=04.4806, ACC : S_TRN= 97.24%, T_TRN= 83.85%, S_TST= 87.04%, T_TST= 86.49%
**++ E:014/300 #B:015, t=005.40m, L=04.4765, ACC : S_TRN= 97.19%, T_TRN= 84.11%, S_TST= 87.20%, T_TST= 86.76%
  ++ E:015/300 #B:015, t=006.05m, L=04.4266, ACC : S_TRN= 96.98%, T_TRN= 86.15%, S_TST= 87.10%, T_TST= 86.80%
     E:016/300 #B:015, t=006.46m, L=04.4167, ACC : S_TRN= 98.18%, T_TRN= 84.53%, S_TST= 86.99%, T_TST= 86.76%
**++ E:017/300 #B:015, t=006.69m, L=04.4060, ACC : S_TRN= 98.54%, T_TRN= 85.16%, S_TST= 87.24%, T_TST= 87.00%
**   E:018/300 #B:015, t=007.12m, L=04.4099, ACC : S_TRN= 98.65%, T_TRN= 84.90%, S_TST= 87.33%, T_TST= 86.95%
**++ E:019/300 #B:015, t=007.38m, L=04.3822, ACC : S_TRN= 98.75%, T_TRN= 85.83%, S_TST= 87.33%, T_TST= 87.06%
  ++ E:020/300 #B:015, t=007.84m, L=04.3557, ACC : S_TRN= 98.70%, T_TRN= 84.06%, S_TST= 87.08%, T_TST= 87.18%
**++ E:021/300 #B:015, t=008.29m, L=04.3460, ACC : S_TRN= 98.80%, T_TRN= 86.25%, S_TST= 87.33%, T_TST= 87.22%
     E:022/300 #B:015, t=008.69m, L=04.3372, ACC : S_TRN= 99.27%, T_TRN= 85.83%, S_TST= 87.27%, T_TST= 87.10%
**   E:023/300 #B:015, t=008.90m, L=04.3371, ACC : S_TRN= 98.65%, T_TRN= 85.73%, S_TST= 87.34%, T_TST= 87.15%
     E:024/300 #B:015, t=009.16m, L=04.3310, ACC : S_TRN= 98.75%, T_TRN= 86.25%, S_TST= 87.22%, T_TST= 87.12%
  ++ E:025/300 #B:015, t=009.38m, L=04.3229, ACC : S_TRN= 99.38%, T_TRN= 86.67%, S_TST= 87.27%, T_TST= 87.28%
  ++ E:026/300 #B:015, t=009.83m, L=04.3118, ACC : S_TRN= 99.38%, T_TRN= 86.15%, S_TST= 87.11%, T_TST= 87.30%
     E:027/300 #B:015, t=010.34m, L=04.3154, ACC : S_TRN= 99.17%, T_TRN= 84.95%, S_TST= 87.13%, T_TST= 87.22%
     E:028/300 #B:015, t=010.59m, L=04.3058, ACC : S_TRN= 99.53%, T_TRN= 86.09%, S_TST= 87.13%, T_TST= 87.22%
     E:029/300 #B:015, t=010.83m, L=04.3056, ACC : S_TRN= 99.06%, T_TRN= 86.25%, S_TST= 87.15%, T_TST= 87.10%
     E:030/300 #B:015, t=011.10m, L=04.2887, ACC : S_TRN= 99.58%, T_TRN= 83.59%, S_TST= 87.26%, T_TST= 87.03%
**   E:031/300 #B:015, t=011.32m, L=04.2901, ACC : S_TRN= 99.58%, T_TRN= 87.24%, S_TST= 87.38%, T_TST= 87.05%
     E:032/300 #B:015, t=011.55m, L=04.2716, ACC : S_TRN= 99.48%, T_TRN= 85.83%, S_TST= 87.24%, T_TST= 86.95%
     E:033/300 #B:015, t=011.79m, L=04.2765, ACC : S_TRN= 99.32%, T_TRN= 87.14%, S_TST= 87.17%, T_TST= 86.98%
     E:034/300 #B:015, t=012.05m, L=04.2856, ACC : S_TRN= 99.32%, T_TRN= 86.20%, S_TST= 87.22%, T_TST= 86.91%
     E:035/300 #B:015, t=012.26m, L=04.2651, ACC : S_TRN= 99.64%, T_TRN= 86.51%, S_TST= 87.22%, T_TST= 86.90%
     E:036/300 #B:015, t=012.55m, L=04.2726, ACC : S_TRN= 99.38%, T_TRN= 86.46%, S_TST= 87.36%, T_TST= 86.96%
     E:037/300 #B:015, t=012.80m, L=04.2685, ACC : S_TRN= 99.74%, T_TRN= 86.04%, S_TST= 87.26%, T_TST= 86.88%
     E:038/300 #B:015, t=013.07m, L=04.2621, ACC : S_TRN= 99.58%, T_TRN= 87.29%, S_TST= 87.24%, T_TST= 86.96%
     E:039/300 #B:015, t=013.33m, L=04.2626, ACC : S_TRN= 99.48%, T_TRN= 86.09%, S_TST= 87.22%, T_TST= 86.90%
     E:040/300 #B:015, t=013.57m, L=04.2620, ACC : S_TRN= 99.74%, T_TRN= 86.09%, S_TST= 87.22%, T_TST= 86.81%
     E:041/300 #B:015, t=013.81m, L=04.2553, ACC : S_TRN= 99.58%, T_TRN= 85.31%, S_TST= 87.01%, T_TST= 86.86%
     E:042/300 #B:015, t=014.06m, L=04.2547, ACC : S_TRN= 99.32%, T_TRN= 85.94%, S_TST= 87.06%, T_TST= 86.88%
     E:043/300 #B:015, t=014.28m, L=04.2594, ACC : S_TRN= 99.69%, T_TRN= 85.78%, S_TST= 87.01%, T_TST= 86.95%
     E:044/300 #B:015, t=014.50m, L=04.2457, ACC : S_TRN= 99.79%, T_TRN= 86.25%, S_TST= 87.06%, T_TST= 86.88%
     E:045/300 #B:015, t=014.75m, L=04.2520, ACC : S_TRN= 99.69%, T_TRN= 86.46%, S_TST= 87.19%, T_TST= 86.81%
     E:046/300 #B:015, t=014.98m, L=04.2525, ACC : S_TRN= 99.79%, T_TRN= 85.52%, S_TST= 87.17%, T_TST= 86.71%
     E:047/300 #B:015, t=015.23m, L=04.2476, ACC : S_TRN= 99.90%, T_TRN= 86.88%, S_TST= 87.15%, T_TST= 86.78%
     E:048/300 #B:015, t=015.49m, L=04.2388, ACC : S_TRN= 99.84%, T_TRN= 85.36%, S_TST= 87.22%, T_TST= 86.71%
     E:049/300 #B:015, t=015.72m, L=04.2408, ACC : S_TRN= 100.00%, T_TRN= 85.62%, S_TST= 87.10%, T_TST= 86.73%
     E:050/300 #B:015, t=015.95m, L=04.2449, ACC : S_TRN= 99.64%, T_TRN= 86.25%, S_TST= 87.13%, T_TST= 86.64%
     E:051/300 #B:015, t=016.18m, L=04.2386, ACC : S_TRN= 99.69%, T_TRN= 86.93%, S_TST= 87.10%, T_TST= 86.66%
     E:052/300 #B:015, t=016.43m, L=04.2366, ACC : S_TRN= 99.84%, T_TRN= 87.03%, S_TST= 87.15%, T_TST= 86.64%
     E:053/300 #B:015, t=016.68m, L=04.2376, ACC : S_TRN= 99.90%, T_TRN= 86.25%, S_TST= 87.17%, T_TST= 86.86%
     E:054/300 #B:015, t=016.93m, L=04.2334, ACC : S_TRN= 99.79%, T_TRN= 85.99%, S_TST= 87.08%, T_TST= 86.90%
     E:055/300 #B:015, t=017.18m, L=04.2271, ACC : S_TRN= 99.95%, T_TRN= 86.41%, S_TST= 87.01%, T_TST= 86.85%
     E:056/300 #B:015, t=017.45m, L=04.2376, ACC : S_TRN= 99.69%, T_TRN= 85.36%, S_TST= 87.04%, T_TST= 86.80%
     E:057/300 #B:015, t=017.69m, L=04.2433, ACC : S_TRN= 99.79%, T_TRN= 86.25%, S_TST= 87.08%, T_TST= 86.80%
