

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_books', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_books, experiment=kitchen_books, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu
**++ E:000/300 #B:015, t=000.07m, L=05.3773, ACC : S_TRN= 64.43%, T_TRN= 52.60%, S_TST= 60.08%, T_TST= 50.08%
**++ E:001/300 #B:015, t=000.46m, L=05.2899, ACC : S_TRN= 86.61%, T_TRN= 61.25%, S_TST= 81.55%, T_TST= 59.57%
**++ E:002/300 #B:015, t=000.84m, L=05.1828, ACC : S_TRN= 88.65%, T_TRN= 70.94%, S_TST= 84.12%, T_TST= 67.91%
**   E:003/300 #B:015, t=001.20m, L=05.0788, ACC : S_TRN= 90.94%, T_TRN= 68.18%, S_TST= 86.14%, T_TST= 66.07%
  ++ E:004/300 #B:015, t=001.45m, L=04.9832, ACC : S_TRN= 90.73%, T_TRN= 70.83%, S_TST= 85.75%, T_TST= 68.13%
  ++ E:005/300 #B:015, t=001.85m, L=04.8954, ACC : S_TRN= 90.83%, T_TRN= 68.96%, S_TST= 86.01%, T_TST= 68.42%
**++ E:006/300 #B:015, t=002.21m, L=04.8120, ACC : S_TRN= 93.07%, T_TRN= 71.09%, S_TST= 86.90%, T_TST= 68.51%
**++ E:007/300 #B:015, t=002.60m, L=04.7405, ACC : S_TRN= 94.74%, T_TRN= 71.35%, S_TST= 87.13%, T_TST= 69.20%
**   E:008/300 #B:015, t=002.97m, L=04.6836, ACC : S_TRN= 95.21%, T_TRN= 69.95%, S_TST= 87.30%, T_TST= 69.12%
**   E:009/300 #B:015, t=003.19m, L=04.6371, ACC : S_TRN= 95.05%, T_TRN= 71.30%, S_TST= 87.60%, T_TST= 69.03%
     E:010/300 #B:015, t=003.40m, L=04.5930, ACC : S_TRN= 95.62%, T_TRN= 70.89%, S_TST= 87.52%, T_TST= 69.07%
**++ E:011/300 #B:015, t=003.60m, L=04.5536, ACC : S_TRN= 96.15%, T_TRN= 71.20%, S_TST= 87.94%, T_TST= 69.41%
**++ E:012/300 #B:015, t=004.13m, L=04.5309, ACC : S_TRN= 96.67%, T_TRN= 71.20%, S_TST= 88.04%, T_TST= 69.56%
**++ E:013/300 #B:015, t=004.57m, L=04.5067, ACC : S_TRN= 96.72%, T_TRN= 70.68%, S_TST= 88.11%, T_TST= 69.76%
     E:014/300 #B:015, t=005.02m, L=04.4731, ACC : S_TRN= 97.45%, T_TRN= 71.46%, S_TST= 88.02%, T_TST= 69.68%
**   E:015/300 #B:015, t=005.23m, L=04.4571, ACC : S_TRN= 97.55%, T_TRN= 70.36%, S_TST= 88.28%, T_TST= 69.74%
  ++ E:016/300 #B:015, t=005.54m, L=04.4210, ACC : S_TRN= 97.45%, T_TRN= 71.77%, S_TST= 88.07%, T_TST= 69.83%
     E:017/300 #B:015, t=006.06m, L=04.4342, ACC : S_TRN= 97.45%, T_TRN= 71.15%, S_TST= 88.11%, T_TST= 69.74%
     E:018/300 #B:015, t=006.29m, L=04.4208, ACC : S_TRN= 98.23%, T_TRN= 69.38%, S_TST= 88.26%, T_TST= 69.45%
**++ E:019/300 #B:015, t=006.48m, L=04.3995, ACC : S_TRN= 98.54%, T_TRN= 70.26%, S_TST= 88.48%, T_TST= 69.85%
     E:020/300 #B:015, t=006.91m, L=04.3728, ACC : S_TRN= 98.12%, T_TRN= 72.60%, S_TST= 88.14%, T_TST= 69.81%
  ++ E:021/300 #B:015, t=007.11m, L=04.3630, ACC : S_TRN= 98.28%, T_TRN= 73.65%, S_TST= 88.19%, T_TST= 70.17%
     E:022/300 #B:015, t=007.52m, L=04.3536, ACC : S_TRN= 98.18%, T_TRN= 72.50%, S_TST= 88.17%, T_TST= 69.94%
     E:023/300 #B:015, t=007.73m, L=04.3382, ACC : S_TRN= 99.06%, T_TRN= 71.09%, S_TST= 88.02%, T_TST= 69.90%
     E:024/300 #B:015, t=007.96m, L=04.3405, ACC : S_TRN= 98.65%, T_TRN= 69.64%, S_TST= 87.96%, T_TST= 69.68%
     E:025/300 #B:015, t=008.16m, L=04.3234, ACC : S_TRN= 99.06%, T_TRN= 71.61%, S_TST= 88.04%, T_TST= 69.90%
     E:026/300 #B:015, t=008.44m, L=04.3215, ACC : S_TRN= 98.85%, T_TRN= 70.05%, S_TST= 88.19%, T_TST= 70.08%
     E:027/300 #B:015, t=008.67m, L=04.3128, ACC : S_TRN= 99.22%, T_TRN= 73.02%, S_TST= 88.28%, T_TST= 70.10%
  ++ E:028/300 #B:015, t=008.91m, L=04.3060, ACC : S_TRN= 99.27%, T_TRN= 71.93%, S_TST= 88.23%, T_TST= 70.17%
     E:029/300 #B:015, t=009.29m, L=04.3079, ACC : S_TRN= 99.43%, T_TRN= 72.03%, S_TST= 88.16%, T_TST= 69.97%
     E:030/300 #B:015, t=009.52m, L=04.2887, ACC : S_TRN= 99.32%, T_TRN= 72.08%, S_TST= 88.02%, T_TST= 70.08%
     E:031/300 #B:015, t=009.82m, L=04.2904, ACC : S_TRN= 99.17%, T_TRN= 72.55%, S_TST= 88.09%, T_TST= 70.08%
  ++ E:032/300 #B:015, t=010.09m, L=04.2887, ACC : S_TRN= 99.53%, T_TRN= 71.82%, S_TST= 88.09%, T_TST= 70.28%
     E:033/300 #B:015, t=010.59m, L=04.2768, ACC : S_TRN= 99.32%, T_TRN= 70.99%, S_TST= 88.07%, T_TST= 70.10%
     E:034/300 #B:015, t=010.93m, L=04.2810, ACC : S_TRN= 99.74%, T_TRN= 71.72%, S_TST= 88.17%, T_TST= 70.15%
