

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_electronics, experiment=kitchen_electronics, gpus=1, hostname=19_05_31_22_24_23, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_22_24_23, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_22_24_23_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu
**++ E:000/300 #B:015, t=000.07m, L=05.3818, ACC : S_TRN= 66.30%, T_TRN= 58.96%, S_TST= 62.99%, T_TST= 59.23%
**++ E:001/300 #B:015, t=000.49m, L=05.2956, ACC : S_TRN= 83.07%, T_TRN= 68.07%, S_TST= 77.54%, T_TST= 71.33%
**++ E:002/300 #B:015, t=000.87m, L=05.1644, ACC : S_TRN= 88.80%, T_TRN= 79.43%, S_TST= 84.69%, T_TST= 80.32%
**++ E:003/300 #B:015, t=001.23m, L=05.0467, ACC : S_TRN= 91.88%, T_TRN= 80.89%, S_TST= 85.26%, T_TST= 80.44%
**++ E:004/300 #B:015, t=001.65m, L=04.9459, ACC : S_TRN= 91.98%, T_TRN= 79.38%, S_TST= 86.38%, T_TST= 82.12%
**++ E:005/300 #B:015, t=002.12m, L=04.8477, ACC : S_TRN= 91.67%, T_TRN= 81.67%, S_TST= 87.01%, T_TST= 82.66%
**++ E:006/300 #B:015, t=002.55m, L=04.7595, ACC : S_TRN= 93.75%, T_TRN= 83.44%, S_TST= 87.32%, T_TST= 83.30%
**++ E:007/300 #B:015, t=002.97m, L=04.6785, ACC : S_TRN= 94.69%, T_TRN= 84.17%, S_TST= 87.42%, T_TST= 83.63%
**++ E:008/300 #B:015, t=003.34m, L=04.6581, ACC : S_TRN= 94.69%, T_TRN= 83.49%, S_TST= 87.70%, T_TST= 83.89%
**   E:009/300 #B:015, t=003.80m, L=04.5931, ACC : S_TRN= 95.16%, T_TRN= 84.11%, S_TST= 87.89%, T_TST= 83.82%
**++ E:010/300 #B:015, t=004.14m, L=04.5480, ACC : S_TRN= 95.83%, T_TRN= 84.58%, S_TST= 88.02%, T_TST= 83.95%
**++ E:011/300 #B:015, t=004.55m, L=04.5211, ACC : S_TRN= 95.94%, T_TRN= 82.45%, S_TST= 88.12%, T_TST= 84.07%
**   E:012/300 #B:015, t=005.00m, L=04.4963, ACC : S_TRN= 96.46%, T_TRN= 82.24%, S_TST= 88.29%, T_TST= 83.81%
     E:013/300 #B:015, t=005.29m, L=04.4661, ACC : S_TRN= 97.03%, T_TRN= 82.97%, S_TST= 88.19%, T_TST= 83.98%
     E:014/300 #B:015, t=005.50m, L=04.4461, ACC : S_TRN= 96.93%, T_TRN= 81.98%, S_TST= 88.23%, T_TST= 83.84%
     E:015/300 #B:015, t=005.82m, L=04.4252, ACC : S_TRN= 97.76%, T_TRN= 85.26%, S_TST= 88.24%, T_TST= 83.96%
**   E:016/300 #B:015, t=006.05m, L=04.4127, ACC : S_TRN= 97.81%, T_TRN= 83.23%, S_TST= 88.46%, T_TST= 83.84%
     E:017/300 #B:015, t=006.34m, L=04.4051, ACC : S_TRN= 98.33%, T_TRN= 82.76%, S_TST= 88.41%, T_TST= 83.96%
**   E:018/300 #B:015, t=006.53m, L=04.4005, ACC : S_TRN= 98.59%, T_TRN= 82.97%, S_TST= 88.46%, T_TST= 83.98%
  ++ E:019/300 #B:015, t=006.83m, L=04.3776, ACC : S_TRN= 98.54%, T_TRN= 82.76%, S_TST= 88.34%, T_TST= 84.10%
     E:020/300 #B:015, t=007.19m, L=04.3503, ACC : S_TRN= 98.54%, T_TRN= 83.96%, S_TST= 88.34%, T_TST= 84.07%
  ++ E:021/300 #B:015, t=007.41m, L=04.3360, ACC : S_TRN= 99.11%, T_TRN= 85.05%, S_TST= 88.31%, T_TST= 84.21%
  ++ E:022/300 #B:015, t=007.77m, L=04.3346, ACC : S_TRN= 98.44%, T_TRN= 84.32%, S_TST= 88.31%, T_TST= 84.37%
     E:023/300 #B:015, t=008.18m, L=04.3209, ACC : S_TRN= 99.32%, T_TRN= 83.80%, S_TST= 88.24%, T_TST= 84.33%
**   E:024/300 #B:015, t=008.41m, L=04.3200, ACC : S_TRN= 98.91%, T_TRN= 84.01%, S_TST= 88.46%, T_TST= 83.89%
  ++ E:025/300 #B:015, t=008.69m, L=04.3201, ACC : S_TRN= 99.11%, T_TRN= 83.33%, S_TST= 88.41%, T_TST= 84.44%
  ++ E:026/300 #B:015, t=009.05m, L=04.2993, ACC : S_TRN= 99.01%, T_TRN= 83.80%, S_TST= 88.28%, T_TST= 84.49%
     E:027/300 #B:015, t=009.52m, L=04.3081, ACC : S_TRN= 99.48%, T_TRN= 83.12%, S_TST= 88.33%, T_TST= 84.42%
     E:028/300 #B:015, t=009.80m, L=04.2996, ACC : S_TRN= 99.32%, T_TRN= 83.28%, S_TST= 88.36%, T_TST= 84.28%
     E:029/300 #B:015, t=010.09m, L=04.2915, ACC : S_TRN= 99.43%, T_TRN= 83.44%, S_TST= 88.41%, T_TST= 84.33%
     E:030/300 #B:015, t=010.35m, L=04.2924, ACC : S_TRN= 99.43%, T_TRN= 82.66%, S_TST= 88.29%, T_TST= 84.44%
  ++ E:031/300 #B:015, t=010.58m, L=04.2742, ACC : S_TRN= 99.48%, T_TRN= 83.18%, S_TST= 88.23%, T_TST= 84.67%
  ++ E:032/300 #B:015, t=010.98m, L=04.2778, ACC : S_TRN= 99.64%, T_TRN= 82.19%, S_TST= 88.17%, T_TST= 84.79%
     E:033/300 #B:015, t=011.40m, L=04.2716, ACC : S_TRN= 99.43%, T_TRN= 82.71%, S_TST= 88.26%, T_TST= 84.47%
     E:034/300 #B:015, t=011.63m, L=04.2798, ACC : S_TRN= 99.74%, T_TRN= 82.76%, S_TST= 88.23%, T_TST= 84.49%
     E:035/300 #B:015, t=011.88m, L=04.2696, ACC : S_TRN= 99.53%, T_TRN= 83.44%, S_TST= 88.23%, T_TST= 84.53%
     E:036/300 #B:015, t=012.14m, L=04.2652, ACC : S_TRN= 99.64%, T_TRN= 84.69%, S_TST= 88.07%, T_TST= 84.30%
     E:037/300 #B:015, t=012.41m, L=04.2509, ACC : S_TRN= 99.48%, T_TRN= 82.81%, S_TST= 88.07%, T_TST= 84.26%
     E:038/300 #B:015, t=012.68m, L=04.2652, ACC : S_TRN= 99.64%, T_TRN= 83.75%, S_TST= 88.12%, T_TST= 84.26%
     E:039/300 #B:015, t=012.99m, L=04.2576, ACC : S_TRN= 99.74%, T_TRN= 84.01%, S_TST= 88.12%, T_TST= 84.23%
     E:040/300 #B:015, t=013.21m, L=04.2650, ACC : S_TRN= 99.74%, T_TRN= 84.69%, S_TST= 88.11%, T_TST= 84.28%
     E:041/300 #B:015, t=013.44m, L=04.2646, ACC : S_TRN= 99.74%, T_TRN= 83.70%, S_TST= 88.16%, T_TST= 84.54%
     E:042/300 #B:015, t=013.69m, L=04.2575, ACC : S_TRN= 99.79%, T_TRN= 84.11%, S_TST= 88.11%, T_TST= 84.49%
     E:043/300 #B:015, t=013.92m, L=04.2501, ACC : S_TRN= 99.95%, T_TRN= 82.29%, S_TST= 88.09%, T_TST= 84.33%
     E:044/300 #B:015, t=014.15m, L=04.2447, ACC : S_TRN= 99.90%, T_TRN= 82.50%, S_TST= 88.12%, T_TST= 84.25%
     E:045/300 #B:015, t=014.39m, L=04.2453, ACC : S_TRN= 99.79%, T_TRN= 83.02%, S_TST= 88.07%, T_TST= 84.42%
     E:046/300 #B:015, t=014.63m, L=04.2427, ACC : S_TRN= 99.69%, T_TRN= 84.95%, S_TST= 88.16%, T_TST= 84.30%
     E:047/300 #B:015, t=014.84m, L=04.2467, ACC : S_TRN= 99.95%, T_TRN= 84.22%, S_TST= 88.11%, T_TST= 84.35%
     E:048/300 #B:015, t=015.10m, L=04.2371, ACC : S_TRN= 99.84%, T_TRN= 84.32%, S_TST= 88.26%, T_TST= 84.30%
     E:049/300 #B:015, t=015.35m, L=04.2452, ACC : S_TRN= 99.69%, T_TRN= 83.96%, S_TST= 88.19%, T_TST= 84.47%
     E:050/300 #B:015, t=015.58m, L=04.2323, ACC : S_TRN= 99.90%, T_TRN= 85.21%, S_TST= 88.23%, T_TST= 84.49%
     E:051/300 #B:015, t=015.80m, L=04.2350, ACC : S_TRN= 100.00%, T_TRN= 82.76%, S_TST= 88.14%, T_TST= 84.49%
     E:052/300 #B:015, t=016.02m, L=04.2348, ACC : S_TRN= 99.95%, T_TRN= 85.05%, S_TST= 88.11%, T_TST= 84.32%
     E:053/300 #B:015, t=016.27m, L=04.2275, ACC : S_TRN= 99.95%, T_TRN= 83.33%, S_TST= 88.17%, T_TST= 84.51%
