

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='kitchen_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=kitchen_electronics, experiment=kitchen_electronics, gpus=1, hostname=19_05_31_23_43_13, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_23_43_13, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_13_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss
**++ E:000/300 #B:015, t=000.09m, L=00.6850, ACC : S_TRN= 72.50%, T_TRN= 62.03%, S_TST= 67.75%, T_TST= 61.50%
**++ E:001/300 #B:015, t=000.48m, L=00.6193, ACC : S_TRN= 87.24%, T_TRN= 71.98%, S_TST= 81.38%, T_TST= 73.77%
**++ E:002/300 #B:015, t=000.86m, L=00.5555, ACC : S_TRN= 90.83%, T_TRN= 80.73%, S_TST= 86.26%, T_TST= 82.98%
**   E:003/300 #B:015, t=001.25m, L=00.5142, ACC : S_TRN= 93.75%, T_TRN= 79.95%, S_TST= 86.58%, T_TST= 80.97%
**++ E:004/300 #B:015, t=001.50m, L=00.4542, ACC : S_TRN= 92.86%, T_TRN= 81.09%, S_TST= 87.25%, T_TST= 83.07%
**++ E:005/300 #B:015, t=001.84m, L=00.4053, ACC : S_TRN= 93.28%, T_TRN= 83.59%, S_TST= 87.84%, T_TST= 83.95%
**++ E:006/300 #B:015, t=002.23m, L=00.3580, ACC : S_TRN= 95.36%, T_TRN= 83.75%, S_TST= 88.34%, T_TST= 84.10%
**   E:007/300 #B:015, t=002.67m, L=00.3138, ACC : S_TRN= 96.09%, T_TRN= 82.55%, S_TST= 88.41%, T_TST= 83.86%
  ++ E:008/300 #B:015, t=002.93m, L=00.2879, ACC : S_TRN= 95.89%, T_TRN= 84.22%, S_TST= 88.38%, T_TST= 84.56%
**   E:009/300 #B:015, t=003.35m, L=00.2595, ACC : S_TRN= 96.56%, T_TRN= 84.22%, S_TST= 88.75%, T_TST= 84.37%
**++ E:010/300 #B:015, t=003.57m, L=00.2256, ACC : S_TRN= 96.82%, T_TRN= 85.31%, S_TST= 88.95%, T_TST= 84.95%
     E:011/300 #B:015, t=003.98m, L=00.2118, ACC : S_TRN= 97.29%, T_TRN= 81.88%, S_TST= 88.85%, T_TST= 84.67%
**++ E:012/300 #B:015, t=004.19m, L=00.1894, ACC : S_TRN= 97.97%, T_TRN= 83.85%, S_TST= 89.08%, T_TST= 85.23%
     E:013/300 #B:015, t=004.57m, L=00.1723, ACC : S_TRN= 97.71%, T_TRN= 81.77%, S_TST= 88.80%, T_TST= 84.76%
**   E:014/300 #B:015, t=004.73m, L=00.1587, ACC : S_TRN= 98.28%, T_TRN= 83.18%, S_TST= 89.12%, T_TST= 84.90%
     E:015/300 #B:015, t=004.98m, L=00.1392, ACC : S_TRN= 98.49%, T_TRN= 83.96%, S_TST= 89.08%, T_TST= 84.84%
  ++ E:016/300 #B:015, t=005.24m, L=00.1443, ACC : S_TRN= 98.23%, T_TRN= 83.65%, S_TST= 89.03%, T_TST= 85.32%
**   E:017/300 #B:015, t=005.63m, L=00.1362, ACC : S_TRN= 98.75%, T_TRN= 84.64%, S_TST= 89.20%, T_TST= 85.18%
  ++ E:018/300 #B:015, t=005.89m, L=00.1324, ACC : S_TRN= 98.70%, T_TRN= 84.17%, S_TST= 89.17%, T_TST= 85.57%
     E:019/300 #B:015, t=006.23m, L=00.1039, ACC : S_TRN= 99.32%, T_TRN= 84.01%, S_TST= 89.17%, T_TST= 85.55%
  ++ E:020/300 #B:015, t=006.47m, L=00.1089, ACC : S_TRN= 98.91%, T_TRN= 85.16%, S_TST= 88.97%, T_TST= 85.57%
  ++ E:021/300 #B:015, t=006.91m, L=00.0975, ACC : S_TRN= 99.53%, T_TRN= 84.58%, S_TST= 88.98%, T_TST= 85.67%
     E:022/300 #B:015, t=007.32m, L=00.1001, ACC : S_TRN= 99.06%, T_TRN= 83.85%, S_TST= 88.88%, T_TST= 85.48%
  ++ E:023/300 #B:015, t=007.59m, L=00.0832, ACC : S_TRN= 99.38%, T_TRN= 84.64%, S_TST= 89.05%, T_TST= 85.87%
  ++ E:024/300 #B:015, t=008.08m, L=00.0881, ACC : S_TRN= 99.38%, T_TRN= 84.84%, S_TST= 89.03%, T_TST= 85.90%
  ++ E:025/300 #B:015, t=008.46m, L=00.0742, ACC : S_TRN= 99.53%, T_TRN= 84.58%, S_TST= 89.00%, T_TST= 85.92%
     E:026/300 #B:015, t=008.94m, L=00.0730, ACC : S_TRN= 99.32%, T_TRN= 84.27%, S_TST= 88.93%, T_TST= 85.71%
     E:027/300 #B:015, t=009.17m, L=00.0717, ACC : S_TRN= 99.64%, T_TRN= 83.96%, S_TST= 89.02%, T_TST= 85.83%
     E:028/300 #B:015, t=009.37m, L=00.0709, ACC : S_TRN= 99.74%, T_TRN= 84.53%, S_TST= 88.88%, T_TST= 85.83%
     E:029/300 #B:015, t=009.61m, L=00.0688, ACC : S_TRN= 99.69%, T_TRN= 83.23%, S_TST= 88.83%, T_TST= 85.78%
     E:030/300 #B:015, t=009.83m, L=00.0608, ACC : S_TRN= 99.74%, T_TRN= 82.50%, S_TST= 88.88%, T_TST= 85.72%
     E:031/300 #B:015, t=010.07m, L=00.0550, ACC : S_TRN= 99.69%, T_TRN= 83.49%, S_TST= 88.95%, T_TST= 85.65%
     E:032/300 #B:015, t=010.31m, L=00.0555, ACC : S_TRN= 99.95%, T_TRN= 81.56%, S_TST= 89.03%, T_TST= 85.74%
     E:033/300 #B:015, t=010.55m, L=00.0521, ACC : S_TRN= 99.64%, T_TRN= 84.01%, S_TST= 89.05%, T_TST= 85.71%
     E:034/300 #B:015, t=010.78m, L=00.0525, ACC : S_TRN= 99.95%, T_TRN= 83.65%, S_TST= 88.93%, T_TST= 85.72%
     E:035/300 #B:015, t=011.04m, L=00.0519, ACC : S_TRN= 99.84%, T_TRN= 83.59%, S_TST= 89.15%, T_TST= 85.78%
     E:036/300 #B:015, t=011.26m, L=00.0473, ACC : S_TRN= 99.84%, T_TRN= 82.60%, S_TST= 88.97%, T_TST= 85.81%
     E:037/300 #B:015, t=011.49m, L=00.0451, ACC : S_TRN= 99.79%, T_TRN= 82.81%, S_TST= 88.95%, T_TST= 85.69%
     E:038/300 #B:015, t=011.71m, L=00.0416, ACC : S_TRN= 99.79%, T_TRN= 84.17%, S_TST= 88.88%, T_TST= 85.83%
     E:039/300 #B:015, t=011.94m, L=00.0477, ACC : S_TRN= 99.84%, T_TRN= 83.44%, S_TST= 89.02%, T_TST= 85.60%
     E:040/300 #B:015, t=012.16m, L=00.0452, ACC : S_TRN= 99.74%, T_TRN= 82.81%, S_TST= 88.95%, T_TST= 85.51%
     E:041/300 #B:015, t=012.40m, L=00.0470, ACC : S_TRN= 99.90%, T_TRN= 83.44%, S_TST= 89.00%, T_TST= 85.71%
     E:042/300 #B:015, t=012.62m, L=00.0411, ACC : S_TRN= 100.00%, T_TRN= 82.81%, S_TST= 88.92%, T_TST= 85.69%
