

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='books_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=books_electronics, experiment=books_electronics, gpus=1, hostname=19_05_31_23_43_14, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_23_43_14, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_source_ss
**++ E:000/300 #B:015, t=000.04m, L=00.6913, ACC : S_TRN= 63.18%, T_TRN= 51.30%, S_TST= 57.13%, T_TST= 49.90%
**++ E:001/300 #B:015, t=000.36m, L=00.6336, ACC : S_TRN= 86.61%, T_TRN= 61.56%, S_TST= 78.52%, T_TST= 61.66%
**++ E:002/300 #B:015, t=000.68m, L=00.5777, ACC : S_TRN= 90.83%, T_TRN= 70.89%, S_TST= 81.77%, T_TST= 71.29%
**   E:003/300 #B:015, t=001.02m, L=00.5318, ACC : S_TRN= 90.83%, T_TRN= 69.84%, S_TST= 82.40%, T_TST= 70.01%
     E:004/300 #B:015, t=001.18m, L=00.4844, ACC : S_TRN= 90.73%, T_TRN= 70.10%, S_TST= 82.35%, T_TST= 70.52%
**++ E:005/300 #B:015, t=001.36m, L=00.4360, ACC : S_TRN= 91.77%, T_TRN= 72.29%, S_TST= 82.84%, T_TST= 72.35%
**++ E:006/300 #B:015, t=001.71m, L=00.3886, ACC : S_TRN= 94.53%, T_TRN= 73.59%, S_TST= 83.18%, T_TST= 72.59%
**   E:007/300 #B:015, t=002.10m, L=00.3594, ACC : S_TRN= 94.79%, T_TRN= 70.78%, S_TST= 83.47%, T_TST= 72.05%
**++ E:008/300 #B:015, t=002.36m, L=00.3095, ACC : S_TRN= 94.84%, T_TRN= 72.66%, S_TST= 83.47%, T_TST= 72.59%
**++ E:009/300 #B:015, t=002.76m, L=00.2930, ACC : S_TRN= 95.73%, T_TRN= 73.54%, S_TST= 83.56%, T_TST= 72.93%
  ++ E:010/300 #B:015, t=003.18m, L=00.2571, ACC : S_TRN= 95.89%, T_TRN= 72.40%, S_TST= 83.27%, T_TST= 73.02%
  ++ E:011/300 #B:015, t=003.55m, L=00.2372, ACC : S_TRN= 96.30%, T_TRN= 71.88%, S_TST= 83.52%, T_TST= 73.14%
**   E:012/300 #B:015, t=003.86m, L=00.2194, ACC : S_TRN= 97.29%, T_TRN= 71.20%, S_TST= 83.67%, T_TST= 73.09%
     E:013/300 #B:015, t=004.08m, L=00.2066, ACC : S_TRN= 97.60%, T_TRN= 72.76%, S_TST= 83.61%, T_TST= 73.03%
     E:014/300 #B:015, t=004.29m, L=00.2003, ACC : S_TRN= 97.97%, T_TRN= 72.34%, S_TST= 83.61%, T_TST= 72.70%
**   E:015/300 #B:015, t=004.51m, L=00.1760, ACC : S_TRN= 98.23%, T_TRN= 71.82%, S_TST= 83.72%, T_TST= 72.82%
     E:016/300 #B:015, t=004.71m, L=00.1676, ACC : S_TRN= 98.49%, T_TRN= 73.85%, S_TST= 83.47%, T_TST= 72.89%
  ++ E:017/300 #B:015, t=004.90m, L=00.1523, ACC : S_TRN= 98.70%, T_TRN= 73.96%, S_TST= 83.67%, T_TST= 74.04%
**   E:018/300 #B:015, t=005.27m, L=00.1433, ACC : S_TRN= 98.80%, T_TRN= 72.60%, S_TST= 83.74%, T_TST= 73.88%
     E:019/300 #B:015, t=005.52m, L=00.1253, ACC : S_TRN= 99.01%, T_TRN= 71.30%, S_TST= 83.58%, T_TST= 73.19%
**   E:020/300 #B:015, t=005.76m, L=00.1179, ACC : S_TRN= 98.96%, T_TRN= 73.49%, S_TST= 83.81%, T_TST= 73.40%
     E:021/300 #B:015, t=006.00m, L=00.1087, ACC : S_TRN= 99.01%, T_TRN= 74.43%, S_TST= 83.74%, T_TST= 73.88%
     E:022/300 #B:015, t=006.19m, L=00.1006, ACC : S_TRN= 99.06%, T_TRN= 74.43%, S_TST= 83.61%, T_TST= 73.84%
  ++ E:023/300 #B:015, t=006.39m, L=00.1040, ACC : S_TRN= 98.80%, T_TRN= 74.17%, S_TST= 83.45%, T_TST= 74.27%
  ++ E:024/300 #B:015, t=006.76m, L=00.0854, ACC : S_TRN= 99.53%, T_TRN= 74.48%, S_TST= 83.65%, T_TST= 74.46%
     E:025/300 #B:015, t=007.16m, L=00.0830, ACC : S_TRN= 99.48%, T_TRN= 73.28%, S_TST= 83.38%, T_TST= 74.34%
     E:026/300 #B:015, t=007.37m, L=00.0851, ACC : S_TRN= 99.69%, T_TRN= 74.38%, S_TST= 83.54%, T_TST= 74.41%
     E:027/300 #B:015, t=007.62m, L=00.0758, ACC : S_TRN= 99.64%, T_TRN= 73.49%, S_TST= 83.56%, T_TST= 74.21%
  ++ E:028/300 #B:015, t=007.86m, L=00.0740, ACC : S_TRN= 99.90%, T_TRN= 73.02%, S_TST= 83.31%, T_TST= 74.74%
  ++ E:029/300 #B:015, t=008.24m, L=00.0762, ACC : S_TRN= 99.84%, T_TRN= 72.24%, S_TST= 83.40%, T_TST= 74.83%
     E:030/300 #B:015, t=008.60m, L=00.0732, ACC : S_TRN= 99.90%, T_TRN= 72.29%, S_TST= 83.27%, T_TST= 74.78%
     E:031/300 #B:015, t=008.85m, L=00.0686, ACC : S_TRN= 99.74%, T_TRN= 74.48%, S_TST= 83.40%, T_TST= 74.74%
  ++ E:032/300 #B:015, t=009.08m, L=00.0604, ACC : S_TRN= 99.74%, T_TRN= 73.96%, S_TST= 83.52%, T_TST= 75.06%
     E:033/300 #B:015, t=009.48m, L=00.0570, ACC : S_TRN= 99.74%, T_TRN= 73.75%, S_TST= 83.40%, T_TST= 74.95%
     E:034/300 #B:015, t=009.74m, L=00.0653, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 83.25%, T_TST= 74.51%
     E:035/300 #B:015, t=010.03m, L=00.0544, ACC : S_TRN= 99.79%, T_TRN= 72.60%, S_TST= 83.14%, T_TST= 74.63%
  ++ E:036/300 #B:015, t=010.31m, L=00.0495, ACC : S_TRN= 99.95%, T_TRN= 73.80%, S_TST= 83.49%, T_TST= 75.11%
     E:037/300 #B:015, t=010.72m, L=00.0485, ACC : S_TRN= 99.79%, T_TRN= 73.70%, S_TST= 83.49%, T_TST= 75.04%
     E:038/300 #B:015, t=010.93m, L=00.0502, ACC : S_TRN= 99.90%, T_TRN= 74.84%, S_TST= 83.43%, T_TST= 75.04%
     E:039/300 #B:015, t=011.15m, L=00.0500, ACC : S_TRN= 99.90%, T_TRN= 73.75%, S_TST= 83.34%, T_TST= 74.62%
     E:040/300 #B:015, t=011.36m, L=00.0507, ACC : S_TRN= 99.90%, T_TRN= 74.69%, S_TST= 83.40%, T_TST= 74.76%
     E:041/300 #B:015, t=011.58m, L=00.0496, ACC : S_TRN= 100.00%, T_TRN= 75.36%, S_TST= 83.31%, T_TST= 74.79%
     E:042/300 #B:015, t=011.77m, L=00.0486, ACC : S_TRN= 99.95%, T_TRN= 73.12%, S_TST= 83.16%, T_TST= 74.76%
     E:043/300 #B:015, t=011.96m, L=00.0427, ACC : S_TRN= 99.95%, T_TRN= 74.27%, S_TST= 83.14%, T_TST= 74.83%
     E:044/300 #B:015, t=012.16m, L=00.0419, ACC : S_TRN= 99.95%, T_TRN= 73.91%, S_TST= 83.23%, T_TST= 74.69%
     E:045/300 #B:015, t=012.39m, L=00.0427, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 83.20%, T_TST= 74.49%
     E:046/300 #B:015, t=012.61m, L=00.0366, ACC : S_TRN= 100.00%, T_TRN= 75.16%, S_TST= 83.25%, T_TST= 74.63%
     E:047/300 #B:015, t=012.82m, L=00.0429, ACC : S_TRN= 100.00%, T_TRN= 74.43%, S_TST= 83.20%, T_TST= 74.55%
     E:048/300 #B:015, t=013.07m, L=00.0403, ACC : S_TRN= 100.00%, T_TRN= 74.84%, S_TST= 83.36%, T_TST= 74.67%
     E:049/300 #B:015, t=013.32m, L=00.0350, ACC : S_TRN= 99.95%, T_TRN= 75.00%, S_TST= 83.34%, T_TST= 74.65%
     E:050/300 #B:015, t=013.53m, L=00.0345, ACC : S_TRN= 99.95%, T_TRN= 74.79%, S_TST= 83.29%, T_TST= 74.63%
     E:051/300 #B:015, t=013.78m, L=00.0347, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 83.18%, T_TST= 74.41%
     E:052/300 #B:015, t=014.02m, L=00.0311, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 83.23%, T_TST= 74.44%
     E:053/300 #B:015, t=014.23m, L=00.0335, ACC : S_TRN= 99.90%, T_TRN= 72.50%, S_TST= 83.29%, T_TST= 74.46%
     E:054/300 #B:015, t=014.49m, L=00.0285, ACC : S_TRN= 99.95%, T_TRN= 73.80%, S_TST= 83.18%, T_TST= 74.39%
     E:055/300 #B:015, t=014.74m, L=00.0324, ACC : S_TRN= 100.00%, T_TRN= 73.96%, S_TST= 83.16%, T_TST= 74.44%
     E:056/300 #B:015, t=014.99m, L=00.0319, ACC : S_TRN= 100.00%, T_TRN= 73.49%, S_TST= 83.29%, T_TST= 74.51%
     E:057/300 #B:015, t=015.21m, L=00.0287, ACC : S_TRN= 99.90%, T_TRN= 73.85%, S_TST= 83.29%, T_TST= 74.48%
     E:058/300 #B:015, t=015.43m, L=00.0288, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 83.31%, T_TST= 74.58%
     E:059/300 #B:015, t=015.63m, L=00.0256, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 83.23%, T_TST= 74.34%
     E:060/300 #B:015, t=015.86m, L=00.0267, ACC : S_TRN= 99.95%, T_TRN= 72.86%, S_TST= 83.27%, T_TST= 74.32%
     E:061/300 #B:015, t=016.11m, L=00.0312, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 83.16%, T_TST= 74.28%
     E:062/300 #B:015, t=016.36m, L=00.0278, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 83.18%, T_TST= 74.19%
     E:063/300 #B:015, t=016.58m, L=00.0303, ACC : S_TRN= 99.84%, T_TRN= 73.91%, S_TST= 83.16%, T_TST= 74.34%
     E:064/300 #B:015, t=016.84m, L=00.0301, ACC : S_TRN= 100.00%, T_TRN= 70.78%, S_TST= 83.16%, T_TST= 74.42%
     E:065/300 #B:015, t=017.06m, L=00.0237, ACC : S_TRN= 100.00%, T_TRN= 72.14%, S_TST= 83.09%, T_TST= 74.30%
     E:066/300 #B:015, t=017.27m, L=00.0287, ACC : S_TRN= 100.00%, T_TRN= 74.17%, S_TST= 83.07%, T_TST= 74.37%
     E:067/300 #B:015, t=017.49m, L=00.0253, ACC : S_TRN= 100.00%, T_TRN= 72.24%, S_TST= 83.07%, T_TST= 74.34%
     E:068/300 #B:015, t=017.71m, L=00.0246, ACC : S_TRN= 100.00%, T_TRN= 73.49%, S_TST= 83.07%, T_TST= 74.44%
     E:069/300 #B:015, t=017.95m, L=00.0238, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 83.11%, T_TST= 74.48%
     E:070/300 #B:015, t=018.18m, L=00.0230, ACC : S_TRN= 100.00%, T_TRN= 74.17%, S_TST= 83.05%, T_TST= 74.44%
     E:071/300 #B:015, t=018.37m, L=00.0234, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 83.18%, T_TST= 74.37%
     E:072/300 #B:015, t=018.58m, L=00.0207, ACC : S_TRN= 100.00%, T_TRN= 72.24%, S_TST= 83.07%, T_TST= 74.48%
     E:073/300 #B:015, t=018.81m, L=00.0200, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 83.05%, T_TST= 74.41%
     E:074/300 #B:015, t=019.04m, L=00.0201, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 83.02%, T_TST= 74.39%
     E:075/300 #B:015, t=019.25m, L=00.0228, ACC : S_TRN= 100.00%, T_TRN= 75.00%, S_TST= 83.18%, T_TST= 74.28%
     E:076/300 #B:015, t=019.46m, L=00.0203, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 83.07%, T_TST= 74.39%
     E:077/300 #B:015, t=019.67m, L=00.0192, ACC : S_TRN= 100.00%, T_TRN= 73.12%, S_TST= 83.20%, T_TST= 74.41%
     E:078/300 #B:015, t=019.90m, L=00.0216, ACC : S_TRN= 100.00%, T_TRN= 74.38%, S_TST= 83.23%, T_TST= 74.48%
     E:079/300 #B:015, t=020.14m, L=00.0222, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 83.11%, T_TST= 74.41%
     E:080/300 #B:015, t=020.35m, L=00.0196, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 83.14%, T_TST= 74.46%
     E:081/300 #B:015, t=020.58m, L=00.0218, ACC : S_TRN= 100.00%, T_TRN= 72.19%, S_TST= 83.11%, T_TST= 74.46%
     E:082/300 #B:015, t=020.79m, L=00.0190, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 83.11%, T_TST= 74.32%
     E:083/300 #B:015, t=021.04m, L=00.0243, ACC : S_TRN= 100.00%, T_TRN= 74.48%, S_TST= 83.02%, T_TST= 74.46%
     E:084/300 #B:015, t=021.27m, L=00.0212, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 83.09%, T_TST= 74.44%
     E:085/300 #B:015, t=021.52m, L=00.0221, ACC : S_TRN= 100.00%, T_TRN= 72.29%, S_TST= 83.02%, T_TST= 74.42%
     E:086/300 #B:015, t=021.76m, L=00.0151, ACC : S_TRN= 100.00%, T_TRN= 74.74%, S_TST= 83.00%, T_TST= 74.41%
     E:087/300 #B:015, t=022.02m, L=00.0188, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 83.02%, T_TST= 74.27%
     E:088/300 #B:015, t=022.24m, L=00.0184, ACC : S_TRN= 100.00%, T_TRN= 74.90%, S_TST= 83.00%, T_TST= 74.28%
     E:089/300 #B:015, t=022.44m, L=00.0166, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 82.96%, T_TST= 74.28%
     E:090/300 #B:015, t=022.66m, L=00.0186, ACC : S_TRN= 100.00%, T_TRN= 74.43%, S_TST= 82.89%, T_TST= 74.41%
     E:091/300 #B:015, t=022.90m, L=00.0227, ACC : S_TRN= 100.00%, T_TRN= 71.88%, S_TST= 83.07%, T_TST= 74.41%
     E:092/300 #B:015, t=023.11m, L=00.0178, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 83.07%, T_TST= 74.49%
     E:093/300 #B:015, t=023.29m, L=00.0149, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 82.96%, T_TST= 74.34%
     E:094/300 #B:015, t=023.50m, L=00.0173, ACC : S_TRN= 100.00%, T_TRN= 71.51%, S_TST= 82.93%, T_TST= 74.44%
     E:095/300 #B:015, t=023.72m, L=00.0137, ACC : S_TRN= 100.00%, T_TRN= 74.84%, S_TST= 82.93%, T_TST= 74.41%
     E:096/300 #B:015, t=023.92m, L=00.0150, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 83.02%, T_TST= 74.41%
     E:097/300 #B:015, t=024.12m, L=00.0180, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 82.96%, T_TST= 74.41%
     E:098/300 #B:015, t=024.40m, L=00.0163, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 82.96%, T_TST= 74.39%
     E:099/300 #B:015, t=024.65m, L=00.0148, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 82.96%, T_TST= 74.37%
     E:100/300 #B:015, t=024.86m, L=00.0174, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 83.07%, T_TST= 74.37%
     E:101/300 #B:015, t=025.05m, L=00.0173, ACC : S_TRN= 100.00%, T_TRN= 72.14%, S_TST= 83.00%, T_TST= 74.35%
     E:102/300 #B:015, t=025.29m, L=00.0172, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 83.00%, T_TST= 74.34%
     E:103/300 #B:015, t=025.52m, L=00.0149, ACC : S_TRN= 100.00%, T_TRN= 73.23%, S_TST= 82.96%, T_TST= 74.35%
     E:104/300 #B:015, t=025.72m, L=00.0123, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 83.02%, T_TST= 74.42%
     E:105/300 #B:015, t=025.95m, L=00.0171, ACC : S_TRN= 100.00%, T_TRN= 73.96%, S_TST= 82.96%, T_TST= 74.41%
     E:106/300 #B:015, t=026.20m, L=00.0135, ACC : S_TRN= 100.00%, T_TRN= 74.06%, S_TST= 83.02%, T_TST= 74.49%
     E:107/300 #B:015, t=026.43m, L=00.0176, ACC : S_TRN= 100.00%, T_TRN= 72.92%, S_TST= 82.91%, T_TST= 74.42%
     E:108/300 #B:015, t=026.66m, L=00.0144, ACC : S_TRN= 100.00%, T_TRN= 72.24%, S_TST= 82.96%, T_TST= 74.44%
     E:109/300 #B:015, t=026.87m, L=00.0159, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 83.05%, T_TST= 74.41%
     E:110/300 #B:015, t=027.12m, L=00.0158, ACC : S_TRN= 100.00%, T_TRN= 72.60%, S_TST= 83.05%, T_TST= 74.42%
     E:111/300 #B:015, t=027.33m, L=00.0133, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 82.96%, T_TST= 74.41%
     E:112/300 #B:015, t=027.57m, L=00.0142, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 83.00%, T_TST= 74.42%
     E:113/300 #B:015, t=027.79m, L=00.0156, ACC : S_TRN= 100.00%, T_TRN= 75.36%, S_TST= 83.02%, T_TST= 74.42%
     E:114/300 #B:015, t=028.02m, L=00.0159, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 83.00%, T_TST= 74.41%
     E:115/300 #B:015, t=028.27m, L=00.0130, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 83.02%, T_TST= 74.35%
     E:116/300 #B:015, t=028.51m, L=00.0144, ACC : S_TRN= 100.00%, T_TRN= 74.53%, S_TST= 83.00%, T_TST= 74.41%
