

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='electronics_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=electronics_kitchen, experiment=electronics_kitchen, gpus=1, hostname=19_05_31_23_43_14, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_23_43_14, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_23_43_14_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_source_ss
**++ E:000/300 #B:015, t=000.10m, L=00.6845, ACC : S_TRN= 72.29%, T_TRN= 65.73%, S_TST= 67.95%, T_TST= 65.15%
**++ E:001/300 #B:015, t=000.49m, L=00.6182, ACC : S_TRN= 88.59%, T_TRN= 82.14%, S_TST= 82.26%, T_TST= 83.04%
**++ E:002/300 #B:015, t=000.87m, L=00.5518, ACC : S_TRN= 90.57%, T_TRN= 82.81%, S_TST= 83.56%, T_TST= 83.55%
**++ E:003/300 #B:015, t=001.29m, L=00.5022, ACC : S_TRN= 91.04%, T_TRN= 83.12%, S_TST= 84.40%, T_TST= 84.31%
**   E:004/300 #B:015, t=001.68m, L=00.4432, ACC : S_TRN= 91.41%, T_TRN= 82.60%, S_TST= 84.86%, T_TST= 84.09%
     E:005/300 #B:015, t=001.92m, L=00.4154, ACC : S_TRN= 92.60%, T_TRN= 81.82%, S_TST= 84.76%, T_TST= 82.96%
**++ E:006/300 #B:015, t=002.07m, L=00.3528, ACC : S_TRN= 96.04%, T_TRN= 85.16%, S_TST= 85.76%, T_TST= 85.33%
**++ E:007/300 #B:015, t=002.52m, L=00.3092, ACC : S_TRN= 94.95%, T_TRN= 85.26%, S_TST= 86.09%, T_TST= 85.74%
**   E:008/300 #B:015, t=002.98m, L=00.2914, ACC : S_TRN= 95.36%, T_TRN= 86.93%, S_TST= 86.27%, T_TST= 85.52%
**   E:009/300 #B:015, t=003.27m, L=00.2521, ACC : S_TRN= 95.47%, T_TRN= 83.65%, S_TST= 86.38%, T_TST= 84.91%
**   E:010/300 #B:015, t=003.58m, L=00.2312, ACC : S_TRN= 96.82%, T_TRN= 84.01%, S_TST= 86.45%, T_TST= 85.00%
**   E:011/300 #B:015, t=003.84m, L=00.2259, ACC : S_TRN= 97.45%, T_TRN= 85.57%, S_TST= 86.78%, T_TST= 85.26%
     E:012/300 #B:015, t=004.09m, L=00.2031, ACC : S_TRN= 97.60%, T_TRN= 83.59%, S_TST= 86.73%, T_TST= 85.55%
**++ E:013/300 #B:015, t=004.31m, L=00.1812, ACC : S_TRN= 98.44%, T_TRN= 84.01%, S_TST= 86.83%, T_TST= 86.19%
**   E:014/300 #B:015, t=004.70m, L=00.1821, ACC : S_TRN= 98.59%, T_TRN= 84.95%, S_TST= 86.89%, T_TST= 86.06%
**   E:015/300 #B:015, t=004.95m, L=00.1453, ACC : S_TRN= 98.44%, T_TRN= 86.46%, S_TST= 86.92%, T_TST= 86.01%
**   E:016/300 #B:015, t=005.21m, L=00.1421, ACC : S_TRN= 98.91%, T_TRN= 84.48%, S_TST= 86.94%, T_TST= 85.87%
**   E:017/300 #B:015, t=005.53m, L=00.1362, ACC : S_TRN= 98.96%, T_TRN= 84.22%, S_TST= 86.99%, T_TST= 85.77%
**   E:018/300 #B:015, t=005.82m, L=00.1328, ACC : S_TRN= 99.22%, T_TRN= 83.91%, S_TST= 87.13%, T_TST= 86.16%
     E:019/300 #B:015, t=006.11m, L=00.1147, ACC : S_TRN= 99.38%, T_TRN= 85.68%, S_TST= 87.10%, T_TST= 85.99%
     E:020/300 #B:015, t=006.35m, L=00.1175, ACC : S_TRN= 99.11%, T_TRN= 84.84%, S_TST= 87.10%, T_TST= 85.99%
     E:021/300 #B:015, t=006.61m, L=00.0946, ACC : S_TRN= 98.96%, T_TRN= 85.89%, S_TST= 86.97%, T_TST= 85.99%
     E:022/300 #B:015, t=006.84m, L=00.0920, ACC : S_TRN= 99.43%, T_TRN= 84.90%, S_TST= 86.90%, T_TST= 85.84%
     E:023/300 #B:015, t=007.06m, L=00.0907, ACC : S_TRN= 99.01%, T_TRN= 85.47%, S_TST= 86.94%, T_TST= 85.74%
     E:024/300 #B:015, t=007.28m, L=00.0812, ACC : S_TRN= 98.80%, T_TRN= 85.42%, S_TST= 87.01%, T_TST= 85.55%
     E:025/300 #B:015, t=007.53m, L=00.0718, ACC : S_TRN= 99.58%, T_TRN= 86.04%, S_TST= 86.96%, T_TST= 85.53%
     E:026/300 #B:015, t=007.79m, L=00.0732, ACC : S_TRN= 99.38%, T_TRN= 86.09%, S_TST= 86.75%, T_TST= 85.35%
     E:027/300 #B:015, t=008.06m, L=00.0768, ACC : S_TRN= 99.32%, T_TRN= 84.22%, S_TST= 86.73%, T_TST= 85.28%
     E:028/300 #B:015, t=008.29m, L=00.0725, ACC : S_TRN= 99.69%, T_TRN= 84.22%, S_TST= 86.92%, T_TST= 85.21%
     E:029/300 #B:015, t=008.52m, L=00.0679, ACC : S_TRN= 99.27%, T_TRN= 84.95%, S_TST= 86.89%, T_TST= 85.28%
     E:030/300 #B:015, t=008.78m, L=00.0597, ACC : S_TRN= 99.69%, T_TRN= 84.64%, S_TST= 86.78%, T_TST= 85.37%
     E:031/300 #B:015, t=009.04m, L=00.0640, ACC : S_TRN= 99.90%, T_TRN= 85.57%, S_TST= 86.92%, T_TST= 85.42%
     E:032/300 #B:015, t=009.32m, L=00.0575, ACC : S_TRN= 99.74%, T_TRN= 83.85%, S_TST= 86.92%, T_TST= 85.32%
     E:033/300 #B:015, t=009.54m, L=00.0591, ACC : S_TRN= 99.74%, T_TRN= 85.47%, S_TST= 86.83%, T_TST= 85.43%
     E:034/300 #B:015, t=009.82m, L=00.0510, ACC : S_TRN= 99.58%, T_TRN= 85.10%, S_TST= 86.87%, T_TST= 85.52%
     E:035/300 #B:015, t=010.10m, L=00.0517, ACC : S_TRN= 99.90%, T_TRN= 85.42%, S_TST= 86.90%, T_TST= 85.32%
     E:036/300 #B:015, t=010.31m, L=00.0504, ACC : S_TRN= 99.79%, T_TRN= 85.62%, S_TST= 86.82%, T_TST= 85.28%
     E:037/300 #B:015, t=010.58m, L=00.0568, ACC : S_TRN= 99.84%, T_TRN= 86.20%, S_TST= 86.85%, T_TST= 85.40%
