

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_dvd', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_dvd, experiment=books_dvd, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.10m, L=10.0678, ACC : S_TRN= 62.97%, T_TRN= 57.50%, S_TST= 56.24%, T_TST= 56.61%
**++ E:001/300 #B:015, t=000.42m, L=09.9561, ACC : S_TRN= 81.04%, T_TRN= 66.41%, S_TST= 72.47%, T_TST= 69.05%
**++ E:002/300 #B:015, t=000.80m, L=09.8099, ACC : S_TRN= 87.08%, T_TRN= 76.46%, S_TST= 80.90%, T_TST= 78.05%
     E:003/300 #B:015, t=001.27m, L=09.6251, ACC : S_TRN= 87.81%, T_TRN= 76.82%, S_TST= 80.83%, T_TST= 77.97%
     E:004/300 #B:015, t=001.50m, L=09.4851, ACC : S_TRN= 88.39%, T_TRN= 76.82%, S_TST= 80.78%, T_TST= 77.64%
**++ E:005/300 #B:015, t=001.68m, L=09.3482, ACC : S_TRN= 86.67%, T_TRN= 75.68%, S_TST= 81.66%, T_TST= 78.78%
**++ E:006/300 #B:015, t=002.08m, L=09.2009, ACC : S_TRN= 89.74%, T_TRN= 75.42%, S_TST= 81.97%, T_TST= 79.11%
  ++ E:007/300 #B:015, t=002.45m, L=09.1338, ACC : S_TRN= 90.00%, T_TRN= 76.09%, S_TST= 81.95%, T_TST= 79.48%
**++ E:008/300 #B:015, t=002.76m, L=09.0522, ACC : S_TRN= 91.46%, T_TRN= 79.11%, S_TST= 82.46%, T_TST= 80.12%
**++ E:009/300 #B:015, t=003.13m, L=08.9841, ACC : S_TRN= 91.51%, T_TRN= 77.71%, S_TST= 82.60%, T_TST= 80.45%
**++ E:010/300 #B:015, t=003.52m, L=08.9143, ACC : S_TRN= 92.81%, T_TRN= 77.55%, S_TST= 82.89%, T_TST= 80.51%
**++ E:011/300 #B:015, t=003.85m, L=08.8855, ACC : S_TRN= 92.29%, T_TRN= 79.11%, S_TST= 83.14%, T_TST= 80.93%
**++ E:012/300 #B:015, t=004.23m, L=08.8628, ACC : S_TRN= 94.38%, T_TRN= 78.65%, S_TST= 83.31%, T_TST= 81.29%
**   E:013/300 #B:015, t=004.62m, L=08.8505, ACC : S_TRN= 95.16%, T_TRN= 77.50%, S_TST= 83.78%, T_TST= 81.12%
     E:014/300 #B:015, t=004.91m, L=08.7868, ACC : S_TRN= 95.89%, T_TRN= 77.66%, S_TST= 83.76%, T_TST= 81.12%
**++ E:015/300 #B:015, t=005.09m, L=08.7612, ACC : S_TRN= 95.73%, T_TRN= 76.93%, S_TST= 83.96%, T_TST= 81.48%
     E:016/300 #B:015, t=005.46m, L=08.7246, ACC : S_TRN= 96.56%, T_TRN= 78.80%, S_TST= 83.87%, T_TST= 81.07%
  ++ E:017/300 #B:015, t=005.64m, L=08.7081, ACC : S_TRN= 95.89%, T_TRN= 79.95%, S_TST= 83.87%, T_TST= 81.71%
     E:018/300 #B:015, t=005.96m, L=08.6844, ACC : S_TRN= 96.93%, T_TRN= 77.86%, S_TST= 83.81%, T_TST= 81.68%
     E:019/300 #B:015, t=006.18m, L=08.6441, ACC : S_TRN= 97.60%, T_TRN= 79.06%, S_TST= 83.94%, T_TST= 81.68%
  ++ E:020/300 #B:015, t=006.37m, L=08.6300, ACC : S_TRN= 97.34%, T_TRN= 79.27%, S_TST= 83.67%, T_TST= 81.82%
     E:021/300 #B:015, t=006.73m, L=08.6096, ACC : S_TRN= 97.60%, T_TRN= 78.59%, S_TST= 83.67%, T_TST= 81.71%
  ++ E:022/300 #B:015, t=006.93m, L=08.5934, ACC : S_TRN= 97.34%, T_TRN= 78.59%, S_TST= 83.54%, T_TST= 81.85%
     E:023/300 #B:015, t=007.32m, L=08.5818, ACC : S_TRN= 97.66%, T_TRN= 78.12%, S_TST= 83.61%, T_TST= 81.71%
     E:024/300 #B:015, t=007.56m, L=08.5631, ACC : S_TRN= 98.18%, T_TRN= 78.91%, S_TST= 83.90%, T_TST= 81.82%
  ++ E:025/300 #B:015, t=007.83m, L=08.5575, ACC : S_TRN= 98.49%, T_TRN= 78.18%, S_TST= 83.83%, T_TST= 81.96%
  ++ E:026/300 #B:015, t=008.24m, L=08.5323, ACC : S_TRN= 98.49%, T_TRN= 80.78%, S_TST= 83.63%, T_TST= 81.96%
  ++ E:027/300 #B:015, t=008.62m, L=08.5467, ACC : S_TRN= 98.85%, T_TRN= 77.81%, S_TST= 83.76%, T_TST= 81.96%
  ++ E:028/300 #B:015, t=009.06m, L=08.5422, ACC : S_TRN= 98.91%, T_TRN= 78.02%, S_TST= 83.49%, T_TST= 82.07%
     E:029/300 #B:015, t=009.43m, L=08.5173, ACC : S_TRN= 99.32%, T_TRN= 78.75%, S_TST= 83.38%, T_TST= 81.93%
     E:030/300 #B:015, t=009.68m, L=08.5205, ACC : S_TRN= 99.22%, T_TRN= 79.43%, S_TST= 83.36%, T_TST= 81.82%
  ++ E:031/300 #B:015, t=009.94m, L=08.5335, ACC : S_TRN= 98.91%, T_TRN= 77.97%, S_TST= 83.47%, T_TST= 82.10%
  ++ E:032/300 #B:015, t=010.35m, L=08.5071, ACC : S_TRN= 98.85%, T_TRN= 78.75%, S_TST= 83.54%, T_TST= 82.21%
