

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_electronics, experiment=books_electronics, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.11m, L=10.0704, ACC : S_TRN= 55.62%, T_TRN= 51.25%, S_TST= 51.87%, T_TST= 49.76%
**++ E:001/300 #B:015, t=000.45m, L=09.9586, ACC : S_TRN= 82.55%, T_TRN= 55.73%, S_TST= 74.47%, T_TST= 56.93%
**++ E:002/300 #B:015, t=000.83m, L=09.8144, ACC : S_TRN= 86.93%, T_TRN= 70.47%, S_TST= 79.06%, T_TST= 70.18%
**++ E:003/300 #B:015, t=001.22m, L=09.6420, ACC : S_TRN= 85.83%, T_TRN= 70.10%, S_TST= 79.44%, T_TST= 70.45%
**++ E:004/300 #B:015, t=001.70m, L=09.5306, ACC : S_TRN= 86.77%, T_TRN= 71.46%, S_TST= 79.73%, T_TST= 71.11%
**++ E:005/300 #B:015, t=002.11m, L=09.3996, ACC : S_TRN= 86.25%, T_TRN= 72.40%, S_TST= 80.02%, T_TST= 73.12%
**++ E:006/300 #B:015, t=002.48m, L=09.2574, ACC : S_TRN= 89.43%, T_TRN= 76.41%, S_TST= 80.65%, T_TST= 73.63%
**++ E:007/300 #B:015, t=002.84m, L=09.1846, ACC : S_TRN= 87.86%, T_TRN= 73.85%, S_TST= 81.12%, T_TST= 74.46%
**++ E:008/300 #B:015, t=003.23m, L=09.1132, ACC : S_TRN= 90.83%, T_TRN= 75.47%, S_TST= 81.55%, T_TST= 75.06%
**++ E:009/300 #B:015, t=003.67m, L=09.0476, ACC : S_TRN= 91.98%, T_TRN= 77.92%, S_TST= 81.57%, T_TST= 76.32%
**   E:010/300 #B:015, t=004.10m, L=08.9665, ACC : S_TRN= 92.71%, T_TRN= 76.77%, S_TST= 81.75%, T_TST= 75.99%
**++ E:011/300 #B:015, t=004.33m, L=08.9267, ACC : S_TRN= 91.67%, T_TRN= 77.81%, S_TST= 81.95%, T_TST= 77.28%
**   E:012/300 #B:015, t=004.70m, L=08.9131, ACC : S_TRN= 93.49%, T_TRN= 75.26%, S_TST= 82.53%, T_TST= 77.06%
**++ E:013/300 #B:015, t=004.97m, L=08.8981, ACC : S_TRN= 94.32%, T_TRN= 78.07%, S_TST= 82.53%, T_TST= 78.19%
**++ E:014/300 #B:015, t=005.39m, L=08.8172, ACC : S_TRN= 95.52%, T_TRN= 77.97%, S_TST= 82.87%, T_TST= 78.21%
**++ E:015/300 #B:015, t=005.78m, L=08.8083, ACC : S_TRN= 95.31%, T_TRN= 78.39%, S_TST= 82.91%, T_TST= 79.16%
     E:016/300 #B:015, t=006.19m, L=08.7588, ACC : S_TRN= 96.61%, T_TRN= 79.48%, S_TST= 82.89%, T_TST= 78.77%
**++ E:017/300 #B:015, t=006.38m, L=08.7199, ACC : S_TRN= 96.15%, T_TRN= 78.75%, S_TST= 83.00%, T_TST= 79.90%
  ++ E:018/300 #B:015, t=006.84m, L=08.7012, ACC : S_TRN= 97.03%, T_TRN= 78.44%, S_TST= 82.93%, T_TST= 79.92%
**++ E:019/300 #B:015, t=007.26m, L=08.6735, ACC : S_TRN= 97.60%, T_TRN= 77.81%, S_TST= 83.23%, T_TST= 79.92%
**++ E:020/300 #B:015, t=007.74m, L=08.6580, ACC : S_TRN= 97.66%, T_TRN= 79.48%, S_TST= 83.36%, T_TST= 80.55%
**++ E:021/300 #B:015, t=008.16m, L=08.6418, ACC : S_TRN= 97.55%, T_TRN= 79.27%, S_TST= 83.40%, T_TST= 80.55%
     E:022/300 #B:015, t=008.62m, L=08.6253, ACC : S_TRN= 97.60%, T_TRN= 80.00%, S_TST= 83.27%, T_TST= 80.30%
  ++ E:023/300 #B:015, t=008.88m, L=08.5964, ACC : S_TRN= 97.92%, T_TRN= 80.16%, S_TST= 83.29%, T_TST= 80.92%
**++ E:024/300 #B:015, t=009.31m, L=08.5934, ACC : S_TRN= 98.80%, T_TRN= 80.21%, S_TST= 83.43%, T_TST= 81.04%
**   E:025/300 #B:015, t=009.86m, L=08.5973, ACC : S_TRN= 98.49%, T_TRN= 78.85%, S_TST= 83.56%, T_TST= 80.58%
     E:026/300 #B:015, t=010.20m, L=08.5661, ACC : S_TRN= 98.54%, T_TRN= 78.59%, S_TST= 83.54%, T_TST= 80.73%
     E:027/300 #B:015, t=010.44m, L=08.5616, ACC : S_TRN= 98.70%, T_TRN= 78.65%, S_TST= 83.38%, T_TST= 80.57%
     E:028/300 #B:015, t=010.65m, L=08.5607, ACC : S_TRN= 98.85%, T_TRN= 79.64%, S_TST= 83.09%, T_TST= 80.78%
     E:029/300 #B:015, t=010.91m, L=08.5320, ACC : S_TRN= 99.11%, T_TRN= 78.96%, S_TST= 83.29%, T_TST= 80.57%
     E:030/300 #B:015, t=011.15m, L=08.5324, ACC : S_TRN= 99.11%, T_TRN= 78.91%, S_TST= 83.29%, T_TST= 80.71%
     E:031/300 #B:015, t=011.40m, L=08.5377, ACC : S_TRN= 98.75%, T_TRN= 80.36%, S_TST= 83.16%, T_TST= 80.99%
     E:032/300 #B:015, t=011.64m, L=08.5219, ACC : S_TRN= 98.54%, T_TRN= 79.90%, S_TST= 83.25%, T_TST= 81.02%
     E:033/300 #B:015, t=011.85m, L=08.5171, ACC : S_TRN= 99.22%, T_TRN= 79.69%, S_TST= 83.14%, T_TST= 80.97%
     E:034/300 #B:015, t=012.09m, L=08.5111, ACC : S_TRN= 99.53%, T_TRN= 80.42%, S_TST= 83.25%, T_TST= 80.92%
     E:035/300 #B:015, t=012.34m, L=08.5098, ACC : S_TRN= 99.48%, T_TRN= 79.22%, S_TST= 83.05%, T_TST= 81.02%
  ++ E:036/300 #B:015, t=012.57m, L=08.5061, ACC : S_TRN= 99.32%, T_TRN= 79.06%, S_TST= 83.20%, T_TST= 81.06%
     E:037/300 #B:015, t=012.99m, L=08.4843, ACC : S_TRN= 99.06%, T_TRN= 78.75%, S_TST= 83.16%, T_TST= 81.04%
  ++ E:038/300 #B:015, t=013.22m, L=08.4857, ACC : S_TRN= 99.32%, T_TRN= 80.62%, S_TST= 83.18%, T_TST= 81.13%
     E:039/300 #B:015, t=013.62m, L=08.4823, ACC : S_TRN= 99.38%, T_TRN= 81.41%, S_TST= 83.11%, T_TST= 80.95%
     E:040/300 #B:015, t=013.87m, L=08.4836, ACC : S_TRN= 99.53%, T_TRN= 80.42%, S_TST= 83.00%, T_TST= 80.94%
     E:041/300 #B:015, t=014.12m, L=08.4794, ACC : S_TRN= 99.64%, T_TRN= 81.04%, S_TST= 83.16%, T_TST= 81.02%
     E:042/300 #B:015, t=014.36m, L=08.4816, ACC : S_TRN= 99.90%, T_TRN= 79.69%, S_TST= 83.02%, T_TST= 81.11%
  ++ E:043/300 #B:015, t=014.59m, L=08.4741, ACC : S_TRN= 99.53%, T_TRN= 79.69%, S_TST= 83.14%, T_TST= 81.13%
     E:044/300 #B:015, t=014.99m, L=08.4708, ACC : S_TRN= 99.64%, T_TRN= 80.10%, S_TST= 83.07%, T_TST= 81.08%
     E:045/300 #B:015, t=015.24m, L=08.4628, ACC : S_TRN= 99.79%, T_TRN= 79.79%, S_TST= 83.27%, T_TST= 81.06%
     E:046/300 #B:015, t=015.51m, L=08.4540, ACC : S_TRN= 99.64%, T_TRN= 82.08%, S_TST= 83.23%, T_TST= 81.04%
     E:047/300 #B:015, t=015.77m, L=08.4603, ACC : S_TRN= 99.79%, T_TRN= 81.67%, S_TST= 83.05%, T_TST= 81.02%
  ++ E:048/300 #B:015, t=015.99m, L=08.4515, ACC : S_TRN= 99.64%, T_TRN= 80.26%, S_TST= 83.18%, T_TST= 81.13%
     E:049/300 #B:015, t=016.40m, L=08.4447, ACC : S_TRN= 99.69%, T_TRN= 81.46%, S_TST= 83.11%, T_TST= 81.09%
     E:050/300 #B:015, t=016.67m, L=08.4564, ACC : S_TRN= 99.84%, T_TRN= 81.51%, S_TST= 83.14%, T_TST= 81.09%
     E:051/300 #B:015, t=016.93m, L=08.4535, ACC : S_TRN= 99.79%, T_TRN= 80.62%, S_TST= 82.98%, T_TST= 81.08%
     E:052/300 #B:015, t=017.20m, L=08.4510, ACC : S_TRN= 99.79%, T_TRN= 80.21%, S_TST= 82.84%, T_TST= 81.08%
  ++ E:053/300 #B:015, t=017.41m, L=08.4371, ACC : S_TRN= 99.84%, T_TRN= 79.58%, S_TST= 82.96%, T_TST= 81.45%
     E:054/300 #B:015, t=017.86m, L=08.4377, ACC : S_TRN= 99.90%, T_TRN= 79.90%, S_TST= 83.07%, T_TST= 81.06%
     E:055/300 #B:015, t=018.15m, L=08.4319, ACC : S_TRN= 99.90%, T_TRN= 80.31%, S_TST= 83.02%, T_TST= 81.27%
     E:056/300 #B:015, t=018.39m, L=08.4297, ACC : S_TRN= 99.90%, T_TRN= 80.36%, S_TST= 82.91%, T_TST= 81.39%
     E:057/300 #B:015, t=018.66m, L=08.4417, ACC : S_TRN= 99.79%, T_TRN= 78.85%, S_TST= 82.98%, T_TST= 81.38%
  ++ E:058/300 #B:015, t=018.99m, L=08.4341, ACC : S_TRN= 99.95%, T_TRN= 80.73%, S_TST= 82.93%, T_TST= 81.45%
     E:059/300 #B:015, t=019.41m, L=08.4345, ACC : S_TRN= 100.00%, T_TRN= 79.43%, S_TST= 82.96%, T_TST= 81.31%
