

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_kitchen, experiment=books_kitchen, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.11m, L=10.0697, ACC : S_TRN= 56.09%, T_TRN= 51.35%, S_TST= 51.96%, T_TST= 50.46%
**++ E:001/300 #B:015, t=000.53m, L=09.9542, ACC : S_TRN= 82.34%, T_TRN= 62.19%, S_TST= 74.98%, T_TST= 62.30%
**++ E:002/300 #B:015, t=000.96m, L=09.8017, ACC : S_TRN= 86.20%, T_TRN= 73.44%, S_TST= 79.26%, T_TST= 74.74%
**   E:003/300 #B:015, t=001.45m, L=09.6410, ACC : S_TRN= 85.68%, T_TRN= 74.43%, S_TST= 79.80%, T_TST= 74.48%
**++ E:004/300 #B:015, t=001.68m, L=09.5207, ACC : S_TRN= 87.29%, T_TRN= 73.33%, S_TST= 80.47%, T_TST= 74.99%
**++ E:005/300 #B:015, t=002.11m, L=09.3860, ACC : S_TRN= 86.56%, T_TRN= 77.24%, S_TST= 80.60%, T_TST= 76.53%
**++ E:006/300 #B:015, t=002.50m, L=09.2394, ACC : S_TRN= 90.00%, T_TRN= 78.18%, S_TST= 81.16%, T_TST= 77.98%
**++ E:007/300 #B:015, t=002.89m, L=09.1768, ACC : S_TRN= 88.12%, T_TRN= 78.75%, S_TST= 81.23%, T_TST= 79.21%
**++ E:008/300 #B:015, t=003.32m, L=09.0960, ACC : S_TRN= 91.41%, T_TRN= 78.65%, S_TST= 81.93%, T_TST= 79.70%
**++ E:009/300 #B:015, t=003.75m, L=09.0110, ACC : S_TRN= 91.82%, T_TRN= 80.10%, S_TST= 81.97%, T_TST= 80.24%
**++ E:010/300 #B:015, t=004.20m, L=08.9580, ACC : S_TRN= 92.81%, T_TRN= 80.16%, S_TST= 82.11%, T_TST= 80.86%
**++ E:011/300 #B:015, t=004.59m, L=08.9102, ACC : S_TRN= 92.45%, T_TRN= 81.67%, S_TST= 82.51%, T_TST= 81.46%
**++ E:012/300 #B:015, t=005.04m, L=08.8900, ACC : S_TRN= 94.32%, T_TRN= 82.86%, S_TST= 82.73%, T_TST= 82.25%
  ++ E:013/300 #B:015, t=005.51m, L=08.8384, ACC : S_TRN= 95.73%, T_TRN= 82.19%, S_TST= 82.53%, T_TST= 82.67%
**   E:014/300 #B:015, t=005.88m, L=08.7880, ACC : S_TRN= 95.73%, T_TRN= 81.82%, S_TST= 83.31%, T_TST= 82.25%
  ++ E:015/300 #B:015, t=006.15m, L=08.7688, ACC : S_TRN= 95.42%, T_TRN= 83.59%, S_TST= 83.07%, T_TST= 82.86%
**   E:016/300 #B:015, t=006.53m, L=08.7362, ACC : S_TRN= 96.61%, T_TRN= 82.86%, S_TST= 83.31%, T_TST= 82.74%
  ++ E:017/300 #B:015, t=006.79m, L=08.6991, ACC : S_TRN= 96.35%, T_TRN= 81.15%, S_TST= 83.16%, T_TST= 83.25%
**   E:018/300 #B:015, t=007.20m, L=08.6892, ACC : S_TRN= 97.45%, T_TRN= 82.40%, S_TST= 83.34%, T_TST= 83.04%
     E:019/300 #B:015, t=007.54m, L=08.6671, ACC : S_TRN= 97.66%, T_TRN= 83.12%, S_TST= 83.31%, T_TST= 83.06%
**   E:020/300 #B:015, t=007.79m, L=08.6358, ACC : S_TRN= 97.81%, T_TRN= 81.51%, S_TST= 83.47%, T_TST= 83.01%
**   E:021/300 #B:015, t=008.04m, L=08.6346, ACC : S_TRN= 97.86%, T_TRN= 81.46%, S_TST= 83.90%, T_TST= 83.08%
  ++ E:022/300 #B:015, t=008.28m, L=08.6025, ACC : S_TRN= 97.71%, T_TRN= 82.08%, S_TST= 83.58%, T_TST= 83.31%
     E:023/300 #B:015, t=008.67m, L=08.5843, ACC : S_TRN= 97.92%, T_TRN= 81.88%, S_TST= 83.52%, T_TST= 83.15%
  ++ E:024/300 #B:015, t=008.91m, L=08.5848, ACC : S_TRN= 98.96%, T_TRN= 83.49%, S_TST= 83.72%, T_TST= 83.41%
  ++ E:025/300 #B:015, t=009.34m, L=08.5741, ACC : S_TRN= 98.70%, T_TRN= 81.98%, S_TST= 83.72%, T_TST= 83.43%
     E:026/300 #B:015, t=009.72m, L=08.5545, ACC : S_TRN= 99.38%, T_TRN= 84.11%, S_TST= 83.58%, T_TST= 83.41%
  ++ E:027/300 #B:015, t=009.96m, L=08.5488, ACC : S_TRN= 98.70%, T_TRN= 82.60%, S_TST= 83.49%, T_TST= 83.72%
  ++ E:028/300 #B:015, t=010.37m, L=08.5475, ACC : S_TRN= 99.06%, T_TRN= 83.12%, S_TST= 83.36%, T_TST= 83.75%
     E:029/300 #B:015, t=010.80m, L=08.5304, ACC : S_TRN= 99.22%, T_TRN= 81.98%, S_TST= 83.29%, T_TST= 83.62%
     E:030/300 #B:015, t=011.01m, L=08.5218, ACC : S_TRN= 99.32%, T_TRN= 80.68%, S_TST= 83.34%, T_TST= 83.62%
     E:031/300 #B:015, t=011.28m, L=08.5146, ACC : S_TRN= 99.06%, T_TRN= 82.76%, S_TST= 83.40%, T_TST= 83.62%
     E:032/300 #B:015, t=011.57m, L=08.5104, ACC : S_TRN= 98.80%, T_TRN= 80.99%, S_TST= 83.47%, T_TST= 83.53%
     E:033/300 #B:015, t=011.83m, L=08.5027, ACC : S_TRN= 98.85%, T_TRN= 82.24%, S_TST= 83.25%, T_TST= 83.41%
     E:034/300 #B:015, t=012.07m, L=08.5034, ACC : S_TRN= 99.48%, T_TRN= 82.24%, S_TST= 83.29%, T_TST= 83.20%
     E:035/300 #B:015, t=012.28m, L=08.4944, ACC : S_TRN= 99.43%, T_TRN= 81.67%, S_TST= 83.29%, T_TST= 83.50%
     E:036/300 #B:015, t=012.49m, L=08.4833, ACC : S_TRN= 99.17%, T_TRN= 81.72%, S_TST= 83.34%, T_TST= 83.45%
     E:037/300 #B:015, t=012.73m, L=08.4662, ACC : S_TRN= 98.96%, T_TRN= 83.59%, S_TST= 83.38%, T_TST= 83.23%
     E:038/300 #B:015, t=012.97m, L=08.4791, ACC : S_TRN= 99.17%, T_TRN= 83.07%, S_TST= 83.23%, T_TST= 83.36%
     E:039/300 #B:015, t=013.19m, L=08.4810, ACC : S_TRN= 99.01%, T_TRN= 82.60%, S_TST= 83.18%, T_TST= 83.28%
     E:040/300 #B:015, t=013.40m, L=08.4718, ACC : S_TRN= 99.17%, T_TRN= 82.40%, S_TST= 83.20%, T_TST= 83.23%
     E:041/300 #B:015, t=013.64m, L=08.4676, ACC : S_TRN= 99.27%, T_TRN= 81.41%, S_TST= 83.18%, T_TST= 83.38%
     E:042/300 #B:015, t=013.92m, L=08.4648, ACC : S_TRN= 99.69%, T_TRN= 82.81%, S_TST= 83.07%, T_TST= 83.35%
     E:043/300 #B:015, t=014.15m, L=08.4661, ACC : S_TRN= 99.17%, T_TRN= 80.16%, S_TST= 83.11%, T_TST= 83.40%
     E:044/300 #B:015, t=014.40m, L=08.4705, ACC : S_TRN= 99.58%, T_TRN= 81.41%, S_TST= 83.02%, T_TST= 83.35%
     E:045/300 #B:015, t=014.67m, L=08.4512, ACC : S_TRN= 99.84%, T_TRN= 81.56%, S_TST= 82.93%, T_TST= 83.33%
     E:046/300 #B:015, t=014.91m, L=08.4554, ACC : S_TRN= 99.58%, T_TRN= 82.55%, S_TST= 82.75%, T_TST= 83.31%
     E:047/300 #B:015, t=015.17m, L=08.4524, ACC : S_TRN= 99.74%, T_TRN= 82.19%, S_TST= 82.80%, T_TST= 83.15%
     E:048/300 #B:015, t=015.45m, L=08.4508, ACC : S_TRN= 99.48%, T_TRN= 82.66%, S_TST= 82.89%, T_TST= 83.48%
     E:049/300 #B:015, t=015.68m, L=08.4406, ACC : S_TRN= 99.69%, T_TRN= 81.88%, S_TST= 82.82%, T_TST= 83.41%
     E:050/300 #B:015, t=015.93m, L=08.4310, ACC : S_TRN= 99.79%, T_TRN= 80.21%, S_TST= 82.87%, T_TST= 83.30%
     E:051/300 #B:015, t=016.17m, L=08.4423, ACC : S_TRN= 99.69%, T_TRN= 81.30%, S_TST= 83.00%, T_TST= 83.40%
     E:052/300 #B:015, t=016.35m, L=08.4452, ACC : S_TRN= 99.79%, T_TRN= 82.03%, S_TST= 82.98%, T_TST= 83.41%
     E:053/300 #B:015, t=016.61m, L=08.4386, ACC : S_TRN= 99.84%, T_TRN= 83.39%, S_TST= 82.78%, T_TST= 83.41%
