

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_books', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_books, experiment=dvd_books, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.10m, L=10.0426, ACC : S_TRN= 59.06%, T_TRN= 54.79%, S_TST= 55.63%, T_TST= 53.62%
**++ E:001/300 #B:015, t=000.48m, L=09.9206, ACC : S_TRN= 65.83%, T_TRN= 59.95%, S_TST= 61.15%, T_TST= 59.13%
**++ E:002/300 #B:015, t=000.82m, L=09.7645, ACC : S_TRN= 72.03%, T_TRN= 61.56%, S_TST= 64.25%, T_TST= 60.83%
**++ E:003/300 #B:015, t=001.25m, L=09.6096, ACC : S_TRN= 74.11%, T_TRN= 66.15%, S_TST= 68.07%, T_TST= 64.93%
**++ E:004/300 #B:015, t=001.81m, L=09.5199, ACC : S_TRN= 80.00%, T_TRN= 70.05%, S_TST= 72.87%, T_TST= 68.22%
**++ E:005/300 #B:015, t=002.17m, L=09.3457, ACC : S_TRN= 85.68%, T_TRN= 67.81%, S_TST= 77.13%, T_TST= 70.06%
**++ E:006/300 #B:015, t=002.52m, L=09.2260, ACC : S_TRN= 87.14%, T_TRN= 70.62%, S_TST= 79.14%, T_TST= 71.94%
**++ E:007/300 #B:015, t=002.91m, L=09.1559, ACC : S_TRN= 89.17%, T_TRN= 72.34%, S_TST= 80.42%, T_TST= 71.96%
**++ E:008/300 #B:015, t=003.26m, L=09.0823, ACC : S_TRN= 90.94%, T_TRN= 71.56%, S_TST= 81.34%, T_TST= 72.43%
**++ E:009/300 #B:015, t=003.66m, L=09.0219, ACC : S_TRN= 92.60%, T_TRN= 72.86%, S_TST= 81.87%, T_TST= 73.03%
**++ E:010/300 #B:015, t=004.06m, L=08.9936, ACC : S_TRN= 93.18%, T_TRN= 73.91%, S_TST= 82.29%, T_TST= 73.55%
**++ E:011/300 #B:015, t=004.46m, L=08.9142, ACC : S_TRN= 93.39%, T_TRN= 72.81%, S_TST= 82.43%, T_TST= 74.38%
**++ E:012/300 #B:015, t=004.88m, L=08.8532, ACC : S_TRN= 93.59%, T_TRN= 75.57%, S_TST= 82.49%, T_TST= 75.30%
**   E:013/300 #B:015, t=005.35m, L=08.8527, ACC : S_TRN= 94.11%, T_TRN= 73.39%, S_TST= 82.85%, T_TST= 74.76%
**++ E:014/300 #B:015, t=005.57m, L=08.8141, ACC : S_TRN= 94.79%, T_TRN= 73.85%, S_TST= 82.96%, T_TST= 75.43%
  ++ E:015/300 #B:015, t=005.90m, L=08.7937, ACC : S_TRN= 95.00%, T_TRN= 74.11%, S_TST= 82.82%, T_TST= 75.81%
     E:016/300 #B:015, t=006.27m, L=08.7907, ACC : S_TRN= 95.47%, T_TRN= 73.70%, S_TST= 82.63%, T_TST= 75.54%
**   E:017/300 #B:015, t=006.49m, L=08.7618, ACC : S_TRN= 95.00%, T_TRN= 75.26%, S_TST= 82.99%, T_TST= 75.34%
**   E:018/300 #B:015, t=006.78m, L=08.7197, ACC : S_TRN= 95.94%, T_TRN= 73.44%, S_TST= 82.99%, T_TST= 75.54%
     E:019/300 #B:015, t=007.08m, L=08.6900, ACC : S_TRN= 95.99%, T_TRN= 73.18%, S_TST= 82.93%, T_TST= 75.39%
     E:020/300 #B:015, t=007.37m, L=08.6898, ACC : S_TRN= 97.40%, T_TRN= 74.32%, S_TST= 82.91%, T_TST= 75.34%
     E:021/300 #B:015, t=007.60m, L=08.6536, ACC : S_TRN= 96.93%, T_TRN= 74.64%, S_TST= 82.79%, T_TST= 75.30%
     E:022/300 #B:015, t=007.85m, L=08.6554, ACC : S_TRN= 97.08%, T_TRN= 75.68%, S_TST= 82.82%, T_TST= 75.34%
     E:023/300 #B:015, t=008.07m, L=08.6308, ACC : S_TRN= 97.50%, T_TRN= 73.28%, S_TST= 82.71%, T_TST= 75.23%
     E:024/300 #B:015, t=008.25m, L=08.6033, ACC : S_TRN= 97.34%, T_TRN= 72.92%, S_TST= 82.46%, T_TST= 74.98%
     E:025/300 #B:015, t=008.44m, L=08.5922, ACC : S_TRN= 98.07%, T_TRN= 75.10%, S_TST= 82.79%, T_TST= 75.05%
     E:026/300 #B:015, t=008.59m, L=08.6020, ACC : S_TRN= 97.71%, T_TRN= 74.43%, S_TST= 82.79%, T_TST= 75.14%
     E:027/300 #B:015, t=008.88m, L=08.6025, ACC : S_TRN= 98.12%, T_TRN= 74.48%, S_TST= 82.71%, T_TST= 75.07%
     E:028/300 #B:015, t=009.15m, L=08.5857, ACC : S_TRN= 98.80%, T_TRN= 73.85%, S_TST= 82.40%, T_TST= 75.16%
     E:029/300 #B:015, t=009.36m, L=08.5835, ACC : S_TRN= 98.28%, T_TRN= 73.23%, S_TST= 82.65%, T_TST= 75.48%
     E:030/300 #B:015, t=009.61m, L=08.5460, ACC : S_TRN= 98.70%, T_TRN= 75.10%, S_TST= 82.57%, T_TST= 75.43%
     E:031/300 #B:015, t=009.87m, L=08.5579, ACC : S_TRN= 98.70%, T_TRN= 74.79%, S_TST= 82.63%, T_TST= 75.43%
     E:032/300 #B:015, t=010.12m, L=08.5593, ACC : S_TRN= 98.59%, T_TRN= 74.01%, S_TST= 82.65%, T_TST= 75.61%
     E:033/300 #B:015, t=010.32m, L=08.5453, ACC : S_TRN= 98.59%, T_TRN= 76.25%, S_TST= 82.68%, T_TST= 75.41%
     E:034/300 #B:015, t=010.50m, L=08.5300, ACC : S_TRN= 98.07%, T_TRN= 74.22%, S_TST= 82.77%, T_TST= 75.61%
     E:035/300 #B:015, t=010.69m, L=08.5423, ACC : S_TRN= 98.85%, T_TRN= 75.47%, S_TST= 82.79%, T_TST= 75.77%
  ++ E:036/300 #B:015, t=010.95m, L=08.5221, ACC : S_TRN= 98.65%, T_TRN= 75.26%, S_TST= 82.82%, T_TST= 75.88%
     E:037/300 #B:015, t=011.35m, L=08.5160, ACC : S_TRN= 99.01%, T_TRN= 76.51%, S_TST= 82.85%, T_TST= 75.52%
  ++ E:038/300 #B:015, t=011.56m, L=08.5124, ACC : S_TRN= 98.75%, T_TRN= 73.91%, S_TST= 82.85%, T_TST= 75.88%
     E:039/300 #B:015, t=011.99m, L=08.5214, ACC : S_TRN= 99.01%, T_TRN= 76.04%, S_TST= 82.77%, T_TST= 75.66%
     E:040/300 #B:015, t=012.20m, L=08.5257, ACC : S_TRN= 98.70%, T_TRN= 74.58%, S_TST= 82.68%, T_TST= 75.57%
     E:041/300 #B:015, t=012.40m, L=08.5109, ACC : S_TRN= 98.70%, T_TRN= 74.53%, S_TST= 82.77%, T_TST= 75.63%
     E:042/300 #B:015, t=012.63m, L=08.5288, ACC : S_TRN= 98.91%, T_TRN= 74.58%, S_TST= 82.77%, T_TST= 75.74%
     E:043/300 #B:015, t=012.86m, L=08.4886, ACC : S_TRN= 98.96%, T_TRN= 73.39%, S_TST= 82.82%, T_TST= 75.68%
     E:044/300 #B:015, t=013.09m, L=08.4955, ACC : S_TRN= 99.22%, T_TRN= 74.69%, S_TST= 82.68%, T_TST= 75.54%
     E:045/300 #B:015, t=013.29m, L=08.5133, ACC : S_TRN= 99.43%, T_TRN= 72.45%, S_TST= 82.60%, T_TST= 75.23%
     E:046/300 #B:015, t=013.49m, L=08.5113, ACC : S_TRN= 99.27%, T_TRN= 74.22%, S_TST= 82.63%, T_TST= 75.27%
     E:047/300 #B:015, t=013.74m, L=08.4849, ACC : S_TRN= 98.96%, T_TRN= 75.26%, S_TST= 82.88%, T_TST= 75.74%
     E:048/300 #B:015, t=013.97m, L=08.4922, ACC : S_TRN= 99.43%, T_TRN= 75.00%, S_TST= 82.74%, T_TST= 75.36%
     E:049/300 #B:015, t=014.18m, L=08.4856, ACC : S_TRN= 99.32%, T_TRN= 76.09%, S_TST= 82.68%, T_TST= 75.32%
     E:050/300 #B:015, t=014.41m, L=08.4892, ACC : S_TRN= 99.27%, T_TRN= 74.84%, S_TST= 82.85%, T_TST= 75.77%
     E:051/300 #B:015, t=014.62m, L=08.4722, ACC : S_TRN= 99.22%, T_TRN= 75.05%, S_TST= 82.68%, T_TST= 75.39%
     E:052/300 #B:015, t=014.84m, L=08.4725, ACC : S_TRN= 99.32%, T_TRN= 75.73%, S_TST= 82.77%, T_TST= 75.57%
     E:053/300 #B:015, t=015.04m, L=08.4688, ACC : S_TRN= 99.43%, T_TRN= 73.91%, S_TST= 82.63%, T_TST= 75.23%
     E:054/300 #B:015, t=015.29m, L=08.4775, ACC : S_TRN= 99.69%, T_TRN= 76.61%, S_TST= 82.71%, T_TST= 75.74%
     E:055/300 #B:015, t=015.57m, L=08.4661, ACC : S_TRN= 99.58%, T_TRN= 75.78%, S_TST= 82.82%, T_TST= 75.59%
     E:056/300 #B:015, t=015.82m, L=08.4750, ACC : S_TRN= 99.69%, T_TRN= 73.39%, S_TST= 82.68%, T_TST= 75.36%
     E:057/300 #B:015, t=016.03m, L=08.4794, ACC : S_TRN= 99.38%, T_TRN= 76.46%, S_TST= 82.65%, T_TST= 75.61%
