

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_electronics, experiment=dvd_electronics, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.11m, L=10.0536, ACC : S_TRN= 60.83%, T_TRN= 54.58%, S_TST= 57.47%, T_TST= 52.65%
**++ E:001/300 #B:015, t=000.43m, L=09.9467, ACC : S_TRN= 69.48%, T_TRN= 56.56%, S_TST= 63.41%, T_TST= 57.28%
**++ E:002/300 #B:015, t=000.82m, L=09.8050, ACC : S_TRN= 77.08%, T_TRN= 60.21%, S_TST= 69.24%, T_TST= 60.73%
**++ E:003/300 #B:015, t=001.21m, L=09.6306, ACC : S_TRN= 79.43%, T_TRN= 64.06%, S_TST= 72.17%, T_TST= 65.62%
**++ E:004/300 #B:015, t=001.67m, L=09.5041, ACC : S_TRN= 85.10%, T_TRN= 69.01%, S_TST= 77.89%, T_TST= 69.83%
**++ E:005/300 #B:015, t=002.11m, L=09.3268, ACC : S_TRN= 89.64%, T_TRN= 71.46%, S_TST= 80.51%, T_TST= 70.96%
**++ E:006/300 #B:015, t=002.45m, L=09.2140, ACC : S_TRN= 89.69%, T_TRN= 73.18%, S_TST= 81.54%, T_TST= 73.26%
**++ E:007/300 #B:015, t=002.85m, L=09.1383, ACC : S_TRN= 91.67%, T_TRN= 74.69%, S_TST= 81.96%, T_TST= 73.56%
**++ E:008/300 #B:015, t=003.21m, L=09.0769, ACC : S_TRN= 92.92%, T_TRN= 75.47%, S_TST= 82.63%, T_TST= 74.41%
**++ E:009/300 #B:015, t=003.64m, L=09.0041, ACC : S_TRN= 93.54%, T_TRN= 76.30%, S_TST= 82.77%, T_TST= 74.90%
**++ E:010/300 #B:015, t=004.04m, L=08.9653, ACC : S_TRN= 94.32%, T_TRN= 77.81%, S_TST= 83.05%, T_TST= 75.32%
  ++ E:011/300 #B:015, t=004.44m, L=08.8885, ACC : S_TRN= 94.17%, T_TRN= 74.79%, S_TST= 82.49%, T_TST= 75.78%
  ++ E:012/300 #B:015, t=004.78m, L=08.8542, ACC : S_TRN= 95.42%, T_TRN= 76.77%, S_TST= 82.60%, T_TST= 75.97%
     E:013/300 #B:015, t=005.14m, L=08.8259, ACC : S_TRN= 95.73%, T_TRN= 75.10%, S_TST= 82.54%, T_TST= 75.66%
  ++ E:014/300 #B:015, t=005.31m, L=08.7837, ACC : S_TRN= 95.21%, T_TRN= 75.99%, S_TST= 82.54%, T_TST= 76.01%
  ++ E:015/300 #B:015, t=005.68m, L=08.7597, ACC : S_TRN= 95.78%, T_TRN= 76.88%, S_TST= 82.74%, T_TST= 76.85%
     E:016/300 #B:015, t=005.96m, L=08.7544, ACC : S_TRN= 96.15%, T_TRN= 77.03%, S_TST= 82.63%, T_TST= 76.71%
     E:017/300 #B:015, t=006.19m, L=08.7341, ACC : S_TRN= 96.15%, T_TRN= 73.85%, S_TST= 82.68%, T_TST= 75.88%
     E:018/300 #B:015, t=006.43m, L=08.6959, ACC : S_TRN= 95.89%, T_TRN= 76.15%, S_TST= 82.79%, T_TST= 76.69%
     E:019/300 #B:015, t=006.67m, L=08.6790, ACC : S_TRN= 96.82%, T_TRN= 74.84%, S_TST= 82.79%, T_TST= 76.29%
     E:020/300 #B:015, t=006.91m, L=08.6666, ACC : S_TRN= 97.71%, T_TRN= 78.18%, S_TST= 82.49%, T_TST= 75.97%
     E:021/300 #B:015, t=007.14m, L=08.6316, ACC : S_TRN= 97.19%, T_TRN= 77.50%, S_TST= 82.68%, T_TST= 76.69%
     E:022/300 #B:015, t=007.39m, L=08.6330, ACC : S_TRN= 96.93%, T_TRN= 75.99%, S_TST= 82.57%, T_TST= 76.78%
  ++ E:023/300 #B:015, t=007.64m, L=08.6026, ACC : S_TRN= 97.66%, T_TRN= 76.20%, S_TST= 82.46%, T_TST= 76.85%
  ++ E:024/300 #B:015, t=008.11m, L=08.6021, ACC : S_TRN= 97.97%, T_TRN= 77.55%, S_TST= 82.49%, T_TST= 76.99%
     E:025/300 #B:015, t=008.45m, L=08.5894, ACC : S_TRN= 97.60%, T_TRN= 77.86%, S_TST= 82.52%, T_TST= 76.73%
     E:026/300 #B:015, t=008.60m, L=08.5992, ACC : S_TRN= 97.76%, T_TRN= 78.65%, S_TST= 82.29%, T_TST= 76.64%
     E:027/300 #B:015, t=008.85m, L=08.5849, ACC : S_TRN= 98.23%, T_TRN= 77.19%, S_TST= 82.35%, T_TST= 76.82%
  ++ E:028/300 #B:015, t=009.03m, L=08.5728, ACC : S_TRN= 98.39%, T_TRN= 76.30%, S_TST= 82.77%, T_TST= 77.10%
  ++ E:029/300 #B:015, t=009.51m, L=08.5514, ACC : S_TRN= 98.18%, T_TRN= 77.45%, S_TST= 82.77%, T_TST= 77.20%
     E:030/300 #B:015, t=009.97m, L=08.5138, ACC : S_TRN= 98.75%, T_TRN= 77.81%, S_TST= 82.79%, T_TST= 77.08%
  ++ E:031/300 #B:015, t=010.20m, L=08.5505, ACC : S_TRN= 99.06%, T_TRN= 77.81%, S_TST= 82.91%, T_TST= 77.28%
  ++ E:032/300 #B:015, t=010.67m, L=08.5381, ACC : S_TRN= 98.49%, T_TRN= 74.79%, S_TST= 82.79%, T_TST= 77.45%
     E:033/300 #B:015, t=011.11m, L=08.5344, ACC : S_TRN= 98.80%, T_TRN= 77.24%, S_TST= 82.60%, T_TST= 77.15%
     E:034/300 #B:015, t=011.32m, L=08.5298, ACC : S_TRN= 98.59%, T_TRN= 76.09%, S_TST= 82.77%, T_TST= 77.26%
     E:035/300 #B:015, t=011.62m, L=08.5187, ACC : S_TRN= 98.70%, T_TRN= 75.94%, S_TST= 82.60%, T_TST= 77.36%
     E:036/300 #B:015, t=011.81m, L=08.5188, ACC : S_TRN= 98.85%, T_TRN= 79.79%, S_TST= 82.65%, T_TST= 77.12%
     E:037/300 #B:015, t=012.01m, L=08.5164, ACC : S_TRN= 98.85%, T_TRN= 77.08%, S_TST= 82.54%, T_TST= 77.13%
     E:038/300 #B:015, t=012.21m, L=08.4963, ACC : S_TRN= 98.44%, T_TRN= 78.33%, S_TST= 82.57%, T_TST= 77.06%
     E:039/300 #B:015, t=012.44m, L=08.5033, ACC : S_TRN= 99.01%, T_TRN= 77.66%, S_TST= 82.54%, T_TST= 76.94%
     E:040/300 #B:015, t=012.66m, L=08.5083, ACC : S_TRN= 98.54%, T_TRN= 77.40%, S_TST= 82.68%, T_TST= 77.03%
     E:041/300 #B:015, t=012.87m, L=08.4888, ACC : S_TRN= 98.75%, T_TRN= 78.23%, S_TST= 82.63%, T_TST= 77.24%
     E:042/300 #B:015, t=013.10m, L=08.4997, ACC : S_TRN= 99.06%, T_TRN= 76.67%, S_TST= 82.54%, T_TST= 77.05%
     E:043/300 #B:015, t=013.34m, L=08.4884, ACC : S_TRN= 99.01%, T_TRN= 77.03%, S_TST= 82.57%, T_TST= 76.98%
     E:044/300 #B:015, t=013.56m, L=08.4919, ACC : S_TRN= 99.11%, T_TRN= 77.55%, S_TST= 82.46%, T_TST= 77.08%
     E:045/300 #B:015, t=013.78m, L=08.4863, ACC : S_TRN= 99.43%, T_TRN= 77.81%, S_TST= 82.63%, T_TST= 77.15%
     E:046/300 #B:015, t=014.03m, L=08.4722, ACC : S_TRN= 99.11%, T_TRN= 79.90%, S_TST= 82.68%, T_TST= 77.10%
     E:047/300 #B:015, t=014.27m, L=08.4870, ACC : S_TRN= 99.11%, T_TRN= 78.07%, S_TST= 82.52%, T_TST= 76.94%
     E:048/300 #B:015, t=014.49m, L=08.4810, ACC : S_TRN= 99.32%, T_TRN= 79.11%, S_TST= 82.60%, T_TST= 76.94%
     E:049/300 #B:015, t=014.72m, L=08.4739, ACC : S_TRN= 99.38%, T_TRN= 77.97%, S_TST= 82.57%, T_TST= 76.87%
