

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_kitchen, experiment=electronics_kitchen, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.11m, L=10.0596, ACC : S_TRN= 63.54%, T_TRN= 57.40%, S_TST= 59.62%, T_TST= 56.37%
**++ E:001/300 #B:015, t=000.52m, L=09.9227, ACC : S_TRN= 85.16%, T_TRN= 81.25%, S_TST= 80.43%, T_TST= 80.59%
**++ E:002/300 #B:015, t=000.98m, L=09.7241, ACC : S_TRN= 85.89%, T_TRN= 81.88%, S_TST= 81.89%, T_TST= 82.09%
**++ E:003/300 #B:015, t=001.48m, L=09.5295, ACC : S_TRN= 86.46%, T_TRN= 82.66%, S_TST= 82.98%, T_TST= 83.18%
**   E:004/300 #B:015, t=001.96m, L=09.3801, ACC : S_TRN= 88.07%, T_TRN= 82.14%, S_TST= 83.49%, T_TST= 82.91%
**   E:005/300 #B:015, t=002.17m, L=09.2880, ACC : S_TRN= 88.91%, T_TRN= 82.66%, S_TST= 83.49%, T_TST= 82.98%
**++ E:006/300 #B:015, t=002.40m, L=09.1406, ACC : S_TRN= 91.30%, T_TRN= 84.74%, S_TST= 84.84%, T_TST= 85.18%
**++ E:007/300 #B:015, t=002.73m, L=09.0318, ACC : S_TRN= 91.35%, T_TRN= 85.00%, S_TST= 85.27%, T_TST= 85.48%
**++ E:008/300 #B:015, t=003.14m, L=08.9952, ACC : S_TRN= 93.18%, T_TRN= 85.62%, S_TST= 85.60%, T_TST= 85.58%
**   E:009/300 #B:015, t=003.65m, L=08.9167, ACC : S_TRN= 92.19%, T_TRN= 82.71%, S_TST= 85.71%, T_TST= 85.48%
**   E:010/300 #B:015, t=003.89m, L=08.8893, ACC : S_TRN= 94.43%, T_TRN= 83.59%, S_TST= 86.04%, T_TST= 85.43%
**++ E:011/300 #B:015, t=004.14m, L=08.8262, ACC : S_TRN= 95.31%, T_TRN= 84.90%, S_TST= 86.06%, T_TST= 85.92%
**   E:012/300 #B:015, t=004.53m, L=08.7994, ACC : S_TRN= 95.00%, T_TRN= 84.22%, S_TST= 86.43%, T_TST= 85.74%
**++ E:013/300 #B:015, t=004.78m, L=08.7767, ACC : S_TRN= 95.78%, T_TRN= 83.54%, S_TST= 86.66%, T_TST= 86.26%
**++ E:014/300 #B:015, t=005.26m, L=08.7457, ACC : S_TRN= 96.41%, T_TRN= 85.52%, S_TST= 86.80%, T_TST= 86.36%
  ++ E:015/300 #B:015, t=005.68m, L=08.6920, ACC : S_TRN= 95.99%, T_TRN= 86.41%, S_TST= 86.75%, T_TST= 86.69%
**++ E:016/300 #B:015, t=006.04m, L=08.6771, ACC : S_TRN= 96.98%, T_TRN= 84.74%, S_TST= 87.03%, T_TST= 86.76%
**++ E:017/300 #B:015, t=006.46m, L=08.6612, ACC : S_TRN= 97.50%, T_TRN= 85.00%, S_TST= 87.20%, T_TST= 86.86%
  ++ E:018/300 #B:015, t=006.85m, L=08.6408, ACC : S_TRN= 98.07%, T_TRN= 85.47%, S_TST= 87.13%, T_TST= 87.05%
**   E:019/300 #B:015, t=007.24m, L=08.6155, ACC : S_TRN= 97.97%, T_TRN= 85.42%, S_TST= 87.27%, T_TST= 86.83%
     E:020/300 #B:015, t=007.63m, L=08.6070, ACC : S_TRN= 98.33%, T_TRN= 84.38%, S_TST= 87.19%, T_TST= 86.95%
**++ E:021/300 #B:015, t=007.85m, L=08.5767, ACC : S_TRN= 98.39%, T_TRN= 86.72%, S_TST= 87.36%, T_TST= 87.25%
**   E:022/300 #B:015, t=008.30m, L=08.5758, ACC : S_TRN= 98.70%, T_TRN= 86.25%, S_TST= 87.48%, T_TST= 87.12%
     E:023/300 #B:015, t=008.53m, L=08.5637, ACC : S_TRN= 98.39%, T_TRN= 85.99%, S_TST= 87.15%, T_TST= 86.91%
     E:024/300 #B:015, t=008.74m, L=08.5468, ACC : S_TRN= 98.28%, T_TRN= 85.94%, S_TST= 87.13%, T_TST= 87.13%
  ++ E:025/300 #B:015, t=009.01m, L=08.5238, ACC : S_TRN= 98.91%, T_TRN= 86.72%, S_TST= 87.34%, T_TST= 87.30%
     E:026/300 #B:015, t=009.38m, L=08.5210, ACC : S_TRN= 98.49%, T_TRN= 86.82%, S_TST= 87.17%, T_TST= 87.10%
     E:027/300 #B:015, t=009.67m, L=08.5367, ACC : S_TRN= 98.75%, T_TRN= 85.47%, S_TST= 87.20%, T_TST= 87.18%
     E:028/300 #B:015, t=009.96m, L=08.5252, ACC : S_TRN= 98.54%, T_TRN= 85.52%, S_TST= 87.33%, T_TST= 87.22%
  ++ E:029/300 #B:015, t=010.22m, L=08.5057, ACC : S_TRN= 98.80%, T_TRN= 86.35%, S_TST= 87.22%, T_TST= 87.32%
  ++ E:030/300 #B:015, t=010.71m, L=08.5024, ACC : S_TRN= 99.01%, T_TRN= 85.21%, S_TST= 87.20%, T_TST= 87.37%
     E:031/300 #B:015, t=011.10m, L=08.4947, ACC : S_TRN= 99.11%, T_TRN= 87.03%, S_TST= 87.29%, T_TST= 87.22%
     E:032/300 #B:015, t=011.36m, L=08.4795, ACC : S_TRN= 99.06%, T_TRN= 84.90%, S_TST= 87.27%, T_TST= 87.12%
     E:033/300 #B:015, t=011.61m, L=08.4732, ACC : S_TRN= 99.22%, T_TRN= 87.29%, S_TST= 87.36%, T_TST= 87.18%
     E:034/300 #B:015, t=011.83m, L=08.4960, ACC : S_TRN= 99.01%, T_TRN= 85.52%, S_TST= 87.27%, T_TST= 86.98%
     E:035/300 #B:015, t=012.04m, L=08.4684, ACC : S_TRN= 99.48%, T_TRN= 86.67%, S_TST= 87.22%, T_TST= 87.12%
     E:036/300 #B:015, t=012.25m, L=08.4697, ACC : S_TRN= 99.17%, T_TRN= 86.93%, S_TST= 87.19%, T_TST= 87.03%
     E:037/300 #B:015, t=012.46m, L=08.4752, ACC : S_TRN= 99.64%, T_TRN= 87.34%, S_TST= 87.26%, T_TST= 87.01%
     E:038/300 #B:015, t=012.70m, L=08.4609, ACC : S_TRN= 99.48%, T_TRN= 87.55%, S_TST= 87.36%, T_TST= 87.08%
     E:039/300 #B:015, t=012.92m, L=08.4532, ACC : S_TRN= 99.27%, T_TRN= 85.68%, S_TST= 87.31%, T_TST= 87.00%
     E:040/300 #B:015, t=013.16m, L=08.4649, ACC : S_TRN= 99.64%, T_TRN= 86.04%, S_TST= 87.34%, T_TST= 87.01%
     E:041/300 #B:015, t=013.41m, L=08.4586, ACC : S_TRN= 99.48%, T_TRN= 86.15%, S_TST= 87.31%, T_TST= 86.91%
     E:042/300 #B:015, t=013.63m, L=08.4415, ACC : S_TRN= 99.17%, T_TRN= 86.67%, S_TST= 87.19%, T_TST= 86.93%
     E:043/300 #B:015, t=013.86m, L=08.4461, ACC : S_TRN= 99.64%, T_TRN= 85.89%, S_TST= 87.24%, T_TST= 86.83%
     E:044/300 #B:015, t=014.10m, L=08.4368, ACC : S_TRN= 99.53%, T_TRN= 86.20%, S_TST= 87.31%, T_TST= 86.83%
     E:045/300 #B:015, t=014.35m, L=08.4418, ACC : S_TRN= 99.58%, T_TRN= 86.09%, S_TST= 87.11%, T_TST= 86.85%
     E:046/300 #B:015, t=014.59m, L=08.4506, ACC : S_TRN= 99.79%, T_TRN= 86.72%, S_TST= 87.17%, T_TST= 86.90%
     E:047/300 #B:015, t=014.82m, L=08.4457, ACC : S_TRN= 99.64%, T_TRN= 87.24%, S_TST= 87.15%, T_TST= 86.80%
     E:048/300 #B:015, t=015.03m, L=08.4384, ACC : S_TRN= 99.58%, T_TRN= 85.99%, S_TST= 87.15%, T_TST= 86.78%
     E:049/300 #B:015, t=015.25m, L=08.4353, ACC : S_TRN= 99.79%, T_TRN= 86.15%, S_TST= 87.11%, T_TST= 86.98%
     E:050/300 #B:015, t=015.50m, L=08.4340, ACC : S_TRN= 99.58%, T_TRN= 86.82%, S_TST= 87.10%, T_TST= 86.98%
     E:051/300 #B:015, t=015.78m, L=08.4246, ACC : S_TRN= 99.48%, T_TRN= 87.14%, S_TST= 87.11%, T_TST= 86.88%
     E:052/300 #B:015, t=016.09m, L=08.4230, ACC : S_TRN= 99.74%, T_TRN= 87.19%, S_TST= 86.97%, T_TST= 86.85%
     E:053/300 #B:015, t=016.34m, L=08.4250, ACC : S_TRN= 99.74%, T_TRN= 85.99%, S_TST= 86.99%, T_TST= 86.86%
     E:054/300 #B:015, t=016.59m, L=08.4174, ACC : S_TRN= 99.58%, T_TRN= 86.88%, S_TST= 86.99%, T_TST= 86.78%
     E:055/300 #B:015, t=016.85m, L=08.4136, ACC : S_TRN= 99.79%, T_TRN= 85.78%, S_TST= 86.90%, T_TST= 86.86%
     E:056/300 #B:015, t=017.12m, L=08.4196, ACC : S_TRN= 99.53%, T_TRN= 86.30%, S_TST= 87.08%, T_TST= 86.90%
     E:057/300 #B:015, t=017.37m, L=08.4278, ACC : S_TRN= 99.79%, T_TRN= 86.30%, S_TST= 87.11%, T_TST= 86.91%
