

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_books', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_books, experiment=kitchen_books, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.10m, L=10.0613, ACC : S_TRN= 63.23%, T_TRN= 53.39%, S_TST= 59.33%, T_TST= 50.59%
**++ E:001/300 #B:015, t=000.44m, L=09.9308, ACC : S_TRN= 84.84%, T_TRN= 64.84%, S_TST= 80.62%, T_TST= 63.40%
**++ E:002/300 #B:015, t=000.85m, L=09.7638, ACC : S_TRN= 87.76%, T_TRN= 70.16%, S_TST= 84.61%, T_TST= 69.83%
**++ E:003/300 #B:015, t=001.31m, L=09.6006, ACC : S_TRN= 90.16%, T_TRN= 70.83%, S_TST= 85.53%, T_TST= 70.21%
**++ E:004/300 #B:015, t=001.79m, L=09.4314, ACC : S_TRN= 90.16%, T_TRN= 72.60%, S_TST= 85.57%, T_TST= 70.73%
**++ E:005/300 #B:015, t=002.20m, L=09.3169, ACC : S_TRN= 90.00%, T_TRN= 70.73%, S_TST= 86.34%, T_TST= 71.35%
**   E:006/300 #B:015, t=002.58m, L=09.1746, ACC : S_TRN= 92.34%, T_TRN= 72.92%, S_TST= 86.90%, T_TST= 71.00%
**++ E:007/300 #B:015, t=002.78m, L=09.0825, ACC : S_TRN= 93.28%, T_TRN= 73.02%, S_TST= 87.17%, T_TST= 71.40%
**++ E:008/300 #B:015, t=003.21m, L=09.0167, ACC : S_TRN= 94.06%, T_TRN= 72.76%, S_TST= 87.45%, T_TST= 71.49%
     E:009/300 #B:015, t=003.67m, L=08.9528, ACC : S_TRN= 93.18%, T_TRN= 72.50%, S_TST= 87.43%, T_TST= 71.27%
**   E:010/300 #B:015, t=003.84m, L=08.8725, ACC : S_TRN= 94.58%, T_TRN= 73.49%, S_TST= 87.57%, T_TST= 71.42%
**   E:011/300 #B:015, t=004.06m, L=08.8533, ACC : S_TRN= 95.00%, T_TRN= 72.34%, S_TST= 87.65%, T_TST= 71.38%
**++ E:012/300 #B:015, t=004.27m, L=08.8077, ACC : S_TRN= 95.21%, T_TRN= 74.38%, S_TST= 88.16%, T_TST= 71.71%
**   E:013/300 #B:015, t=004.67m, L=08.7844, ACC : S_TRN= 95.52%, T_TRN= 73.23%, S_TST= 88.48%, T_TST= 71.56%
  ++ E:014/300 #B:015, t=004.97m, L=08.7224, ACC : S_TRN= 95.10%, T_TRN= 72.29%, S_TST= 88.44%, T_TST= 71.78%
**++ E:015/300 #B:015, t=005.38m, L=08.7132, ACC : S_TRN= 95.62%, T_TRN= 71.35%, S_TST= 88.56%, T_TST= 71.96%
     E:016/300 #B:015, t=005.77m, L=08.6808, ACC : S_TRN= 96.25%, T_TRN= 74.38%, S_TST= 88.51%, T_TST= 71.87%
**++ E:017/300 #B:015, t=005.98m, L=08.6712, ACC : S_TRN= 97.40%, T_TRN= 72.45%, S_TST= 88.56%, T_TST= 72.07%
**++ E:018/300 #B:015, t=006.41m, L=08.6673, ACC : S_TRN= 96.88%, T_TRN= 72.50%, S_TST= 88.56%, T_TST= 72.39%
**   E:019/300 #B:015, t=006.81m, L=08.6263, ACC : S_TRN= 97.60%, T_TRN= 72.19%, S_TST= 88.65%, T_TST= 72.23%
     E:020/300 #B:015, t=007.08m, L=08.6229, ACC : S_TRN= 97.24%, T_TRN= 74.17%, S_TST= 88.44%, T_TST= 72.25%
     E:021/300 #B:015, t=007.35m, L=08.5987, ACC : S_TRN= 97.76%, T_TRN= 75.21%, S_TST= 88.41%, T_TST= 72.30%
**   E:022/300 #B:015, t=007.57m, L=08.5856, ACC : S_TRN= 97.76%, T_TRN= 74.32%, S_TST= 88.65%, T_TST= 72.36%
  ++ E:023/300 #B:015, t=007.83m, L=08.5564, ACC : S_TRN= 98.70%, T_TRN= 72.86%, S_TST= 88.63%, T_TST= 72.45%
  ++ E:024/300 #B:015, t=008.20m, L=08.5498, ACC : S_TRN= 98.54%, T_TRN= 72.24%, S_TST= 88.49%, T_TST= 72.56%
  ++ E:025/300 #B:015, t=008.61m, L=08.5387, ACC : S_TRN= 98.33%, T_TRN= 72.34%, S_TST= 88.58%, T_TST= 72.61%
  ++ E:026/300 #B:015, t=009.10m, L=08.5245, ACC : S_TRN= 98.18%, T_TRN= 72.08%, S_TST= 88.31%, T_TST= 72.99%
     E:027/300 #B:015, t=009.51m, L=08.5265, ACC : S_TRN= 99.01%, T_TRN= 74.38%, S_TST= 88.41%, T_TST= 72.86%
     E:028/300 #B:015, t=009.79m, L=08.5227, ACC : S_TRN= 98.70%, T_TRN= 73.39%, S_TST= 88.38%, T_TST= 72.81%
     E:029/300 #B:015, t=010.04m, L=08.5180, ACC : S_TRN= 98.91%, T_TRN= 74.95%, S_TST= 88.31%, T_TST= 72.68%
     E:030/300 #B:015, t=010.27m, L=08.4965, ACC : S_TRN= 99.22%, T_TRN= 74.79%, S_TST= 88.24%, T_TST= 72.77%
     E:031/300 #B:015, t=010.52m, L=08.4868, ACC : S_TRN= 98.85%, T_TRN= 74.58%, S_TST= 88.26%, T_TST= 72.56%
     E:032/300 #B:015, t=010.70m, L=08.4974, ACC : S_TRN= 99.22%, T_TRN= 73.18%, S_TST= 88.31%, T_TST= 72.56%
     E:033/300 #B:015, t=010.95m, L=08.4876, ACC : S_TRN= 98.70%, T_TRN= 73.33%, S_TST= 88.29%, T_TST= 72.54%
     E:034/300 #B:015, t=011.17m, L=08.4905, ACC : S_TRN= 99.43%, T_TRN= 72.55%, S_TST= 88.33%, T_TST= 72.65%
     E:035/300 #B:015, t=011.41m, L=08.4857, ACC : S_TRN= 99.43%, T_TRN= 74.53%, S_TST= 88.33%, T_TST= 72.63%
     E:036/300 #B:015, t=011.68m, L=08.4800, ACC : S_TRN= 99.32%, T_TRN= 73.44%, S_TST= 88.31%, T_TST= 72.54%
     E:037/300 #B:015, t=011.93m, L=08.4619, ACC : S_TRN= 99.27%, T_TRN= 73.80%, S_TST= 88.21%, T_TST= 72.59%
     E:038/300 #B:015, t=012.19m, L=08.4802, ACC : S_TRN= 99.22%, T_TRN= 73.54%, S_TST= 88.24%, T_TST= 72.68%
     E:039/300 #B:015, t=012.44m, L=08.4585, ACC : S_TRN= 99.38%, T_TRN= 73.12%, S_TST= 88.36%, T_TST= 72.70%
     E:040/300 #B:015, t=012.66m, L=08.4557, ACC : S_TRN= 99.53%, T_TRN= 72.14%, S_TST= 88.21%, T_TST= 72.59%
     E:041/300 #B:015, t=012.89m, L=08.4576, ACC : S_TRN= 99.43%, T_TRN= 73.02%, S_TST= 88.21%, T_TST= 72.47%
     E:042/300 #B:015, t=013.12m, L=08.4573, ACC : S_TRN= 99.06%, T_TRN= 71.67%, S_TST= 88.21%, T_TST= 72.50%
     E:043/300 #B:015, t=013.31m, L=08.4504, ACC : S_TRN= 99.22%, T_TRN= 73.49%, S_TST= 88.29%, T_TST= 72.50%
     E:044/300 #B:015, t=013.56m, L=08.4405, ACC : S_TRN= 99.58%, T_TRN= 74.48%, S_TST= 88.34%, T_TST= 72.50%
     E:045/300 #B:015, t=013.82m, L=08.4611, ACC : S_TRN= 99.48%, T_TRN= 73.12%, S_TST= 88.29%, T_TST= 72.23%
