

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_dvd', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_dvd, experiment=kitchen_dvd, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.10m, L=10.0608, ACC : S_TRN= 67.08%, T_TRN= 55.94%, S_TST= 63.77%, T_TST= 54.29%
**++ E:001/300 #B:015, t=000.48m, L=09.9347, ACC : S_TRN= 80.42%, T_TRN= 62.29%, S_TST= 75.86%, T_TST= 58.95%
**++ E:002/300 #B:015, t=000.89m, L=09.7522, ACC : S_TRN= 85.94%, T_TRN= 61.41%, S_TST= 81.19%, T_TST= 60.54%
**++ E:003/300 #B:015, t=001.35m, L=09.5956, ACC : S_TRN= 87.81%, T_TRN= 62.45%, S_TST= 81.23%, T_TST= 62.41%
**++ E:004/300 #B:015, t=001.83m, L=09.4470, ACC : S_TRN= 89.64%, T_TRN= 64.84%, S_TST= 83.97%, T_TST= 62.49%
**   E:005/300 #B:015, t=002.19m, L=09.3328, ACC : S_TRN= 90.62%, T_TRN= 62.29%, S_TST= 85.05%, T_TST= 62.10%
**++ E:006/300 #B:015, t=002.42m, L=09.2445, ACC : S_TRN= 91.88%, T_TRN= 63.39%, S_TST= 85.60%, T_TST= 62.69%
**++ E:007/300 #B:015, t=002.78m, L=09.1573, ACC : S_TRN= 92.29%, T_TRN= 65.05%, S_TST= 85.72%, T_TST= 62.97%
**   E:008/300 #B:015, t=003.22m, L=09.1111, ACC : S_TRN= 94.01%, T_TRN= 64.90%, S_TST= 86.85%, T_TST= 62.35%
**++ E:009/300 #B:015, t=003.43m, L=09.0477, ACC : S_TRN= 93.54%, T_TRN= 61.88%, S_TST= 87.15%, T_TST= 63.36%
**++ E:010/300 #B:015, t=003.81m, L=08.9544, ACC : S_TRN= 94.79%, T_TRN= 65.78%, S_TST= 87.62%, T_TST= 63.52%
**++ E:011/300 #B:015, t=004.24m, L=08.9528, ACC : S_TRN= 94.38%, T_TRN= 63.44%, S_TST= 87.72%, T_TST= 64.00%
**++ E:012/300 #B:015, t=004.66m, L=08.9108, ACC : S_TRN= 95.36%, T_TRN= 63.85%, S_TST= 87.72%, T_TST= 64.36%
  ++ E:013/300 #B:015, t=005.11m, L=08.8751, ACC : S_TRN= 95.73%, T_TRN= 65.26%, S_TST= 87.47%, T_TST= 64.81%
**   E:014/300 #B:015, t=005.44m, L=08.8106, ACC : S_TRN= 95.94%, T_TRN= 65.36%, S_TST= 87.79%, T_TST= 64.22%
     E:015/300 #B:015, t=005.65m, L=08.8169, ACC : S_TRN= 96.25%, T_TRN= 65.42%, S_TST= 87.75%, T_TST= 64.61%
**   E:016/300 #B:015, t=005.82m, L=08.7723, ACC : S_TRN= 96.82%, T_TRN= 64.32%, S_TST= 87.94%, T_TST= 64.67%
**++ E:017/300 #B:015, t=006.07m, L=08.7657, ACC : S_TRN= 97.50%, T_TRN= 64.84%, S_TST= 88.06%, T_TST= 64.81%
     E:018/300 #B:015, t=006.50m, L=08.7501, ACC : S_TRN= 97.55%, T_TRN= 64.64%, S_TST= 88.04%, T_TST= 64.78%
**++ E:019/300 #B:015, t=006.70m, L=08.7180, ACC : S_TRN= 98.33%, T_TRN= 65.57%, S_TST= 88.06%, T_TST= 64.81%
  ++ E:020/300 #B:015, t=007.13m, L=08.7124, ACC : S_TRN= 97.14%, T_TRN= 65.52%, S_TST= 87.99%, T_TST= 65.53%
     E:021/300 #B:015, t=007.53m, L=08.6934, ACC : S_TRN= 98.18%, T_TRN= 67.60%, S_TST= 87.97%, T_TST= 65.39%
  ++ E:022/300 #B:015, t=007.81m, L=08.6754, ACC : S_TRN= 97.60%, T_TRN= 66.61%, S_TST= 87.92%, T_TST= 65.92%
  ++ E:023/300 #B:015, t=008.22m, L=08.6547, ACC : S_TRN= 98.28%, T_TRN= 66.20%, S_TST= 88.04%, T_TST= 66.12%
     E:024/300 #B:015, t=008.61m, L=08.6512, ACC : S_TRN= 98.65%, T_TRN= 67.24%, S_TST= 88.04%, T_TST= 65.95%
     E:025/300 #B:015, t=008.84m, L=08.6380, ACC : S_TRN= 98.49%, T_TRN= 67.03%, S_TST= 87.99%, T_TST= 65.92%
**++ E:026/300 #B:015, t=009.08m, L=08.6361, ACC : S_TRN= 98.28%, T_TRN= 67.86%, S_TST= 88.11%, T_TST= 66.87%
     E:027/300 #B:015, t=009.57m, L=08.6156, ACC : S_TRN= 98.96%, T_TRN= 65.62%, S_TST= 87.97%, T_TST= 66.01%
     E:028/300 #B:015, t=009.81m, L=08.6119, ACC : S_TRN= 98.54%, T_TRN= 65.73%, S_TST= 88.01%, T_TST= 65.95%
     E:029/300 #B:015, t=010.06m, L=08.6152, ACC : S_TRN= 98.91%, T_TRN= 64.95%, S_TST= 88.02%, T_TST= 66.59%
     E:030/300 #B:015, t=010.29m, L=08.5818, ACC : S_TRN= 99.32%, T_TRN= 67.45%, S_TST= 88.01%, T_TST= 66.70%
  ++ E:031/300 #B:015, t=010.52m, L=08.5925, ACC : S_TRN= 99.22%, T_TRN= 68.49%, S_TST= 88.06%, T_TST= 66.90%
     E:032/300 #B:015, t=010.95m, L=08.5920, ACC : S_TRN= 99.32%, T_TRN= 66.61%, S_TST= 87.94%, T_TST= 66.34%
     E:033/300 #B:015, t=011.20m, L=08.5628, ACC : S_TRN= 98.75%, T_TRN= 67.40%, S_TST= 88.01%, T_TST= 66.65%
     E:034/300 #B:015, t=011.42m, L=08.5738, ACC : S_TRN= 99.58%, T_TRN= 69.11%, S_TST= 88.02%, T_TST= 66.73%
**   E:035/300 #B:015, t=011.65m, L=08.5631, ACC : S_TRN= 99.06%, T_TRN= 67.29%, S_TST= 88.23%, T_TST= 66.54%
     E:036/300 #B:015, t=011.96m, L=08.5479, ACC : S_TRN= 99.01%, T_TRN= 69.22%, S_TST= 88.09%, T_TST= 66.84%
  ++ E:037/300 #B:015, t=012.17m, L=08.5362, ACC : S_TRN= 98.91%, T_TRN= 67.81%, S_TST= 87.91%, T_TST= 67.09%
     E:038/300 #B:015, t=012.55m, L=08.5472, ACC : S_TRN= 98.96%, T_TRN= 67.81%, S_TST= 88.12%, T_TST= 66.79%
     E:039/300 #B:015, t=012.79m, L=08.5702, ACC : S_TRN= 99.43%, T_TRN= 68.28%, S_TST= 88.19%, T_TST= 66.84%
  ++ E:040/300 #B:015, t=013.01m, L=08.5475, ACC : S_TRN= 99.22%, T_TRN= 66.30%, S_TST= 88.04%, T_TST= 67.15%
     E:041/300 #B:015, t=013.38m, L=08.5526, ACC : S_TRN= 99.38%, T_TRN= 67.60%, S_TST= 88.11%, T_TST= 67.01%
  ++ E:042/300 #B:015, t=013.59m, L=08.5348, ACC : S_TRN= 99.17%, T_TRN= 69.32%, S_TST= 88.17%, T_TST= 67.15%
     E:043/300 #B:015, t=014.03m, L=08.5338, ACC : S_TRN= 99.74%, T_TRN= 68.39%, S_TST= 88.11%, T_TST= 67.09%
     E:044/300 #B:015, t=014.26m, L=08.5096, ACC : S_TRN= 99.53%, T_TRN= 69.69%, S_TST= 88.06%, T_TST= 67.09%
     E:045/300 #B:015, t=014.49m, L=08.5310, ACC : S_TRN= 99.32%, T_TRN= 68.44%, S_TST= 88.04%, T_TST= 67.07%
     E:046/300 #B:015, t=014.70m, L=08.5023, ACC : S_TRN= 99.27%, T_TRN= 66.56%, S_TST= 88.04%, T_TST= 67.07%
     E:047/300 #B:015, t=014.90m, L=08.5394, ACC : S_TRN= 99.48%, T_TRN= 68.70%, S_TST= 88.06%, T_TST= 67.01%
     E:048/300 #B:015, t=015.14m, L=08.5257, ACC : S_TRN= 99.84%, T_TRN= 67.55%, S_TST= 88.02%, T_TST= 67.01%
     E:049/300 #B:015, t=015.41m, L=08.5213, ACC : S_TRN= 99.53%, T_TRN= 66.09%, S_TST= 88.09%, T_TST= 66.95%
     E:050/300 #B:015, t=015.66m, L=08.5212, ACC : S_TRN= 99.64%, T_TRN= 67.97%, S_TST= 88.02%, T_TST= 67.01%
     E:051/300 #B:015, t=015.88m, L=08.5113, ACC : S_TRN= 99.79%, T_TRN= 67.97%, S_TST= 88.06%, T_TST= 66.95%
     E:052/300 #B:015, t=016.13m, L=08.5326, ACC : S_TRN= 99.90%, T_TRN= 67.29%, S_TST= 87.99%, T_TST= 66.95%
     E:053/300 #B:015, t=016.34m, L=08.5046, ACC : S_TRN= 99.69%, T_TRN= 68.33%, S_TST= 88.01%, T_TST= 66.76%
