

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_electronics, experiment=kitchen_electronics, gpus=1, hostname=19_06_01_07_23_26, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_07_23_26, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_07_23_26_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.11m, L=10.0634, ACC : S_TRN= 66.51%, T_TRN= 59.17%, S_TST= 63.11%, T_TST= 59.20%
**++ E:001/300 #B:015, t=000.53m, L=09.9335, ACC : S_TRN= 81.04%, T_TRN= 68.44%, S_TST= 76.33%, T_TST= 70.09%
**++ E:002/300 #B:015, t=000.99m, L=09.7295, ACC : S_TRN= 87.24%, T_TRN= 76.82%, S_TST= 82.86%, T_TST= 77.79%
**++ E:003/300 #B:015, t=001.46m, L=09.5533, ACC : S_TRN= 90.05%, T_TRN= 80.31%, S_TST= 83.90%, T_TST= 79.48%
**++ E:004/300 #B:015, t=001.90m, L=09.3760, ACC : S_TRN= 90.68%, T_TRN= 78.59%, S_TST= 85.67%, T_TST= 81.18%
**++ E:005/300 #B:015, t=002.26m, L=09.2410, ACC : S_TRN= 90.73%, T_TRN= 80.62%, S_TST= 86.38%, T_TST= 82.06%
**++ E:006/300 #B:015, t=002.63m, L=09.1126, ACC : S_TRN= 92.40%, T_TRN= 82.03%, S_TST= 86.80%, T_TST= 82.59%
**++ E:007/300 #B:015, t=003.08m, L=09.0104, ACC : S_TRN= 93.49%, T_TRN= 83.80%, S_TST= 87.08%, T_TST= 82.89%
**++ E:008/300 #B:015, t=003.48m, L=08.9738, ACC : S_TRN= 92.66%, T_TRN= 82.86%, S_TST= 87.45%, T_TST= 83.14%
**++ E:009/300 #B:015, t=003.95m, L=08.8909, ACC : S_TRN= 94.17%, T_TRN= 83.39%, S_TST= 87.77%, T_TST= 83.51%
**++ E:010/300 #B:015, t=004.39m, L=08.8267, ACC : S_TRN= 94.79%, T_TRN= 84.22%, S_TST= 87.96%, T_TST= 83.51%
**   E:011/300 #B:015, t=004.81m, L=08.8057, ACC : S_TRN= 94.90%, T_TRN= 82.71%, S_TST= 88.21%, T_TST= 83.45%
  ++ E:012/300 #B:015, t=005.11m, L=08.7678, ACC : S_TRN= 95.52%, T_TRN= 82.03%, S_TST= 88.11%, T_TST= 83.52%
**++ E:013/300 #B:015, t=005.50m, L=08.7409, ACC : S_TRN= 96.09%, T_TRN= 83.33%, S_TST= 88.34%, T_TST= 83.70%
     E:014/300 #B:015, t=005.86m, L=08.6824, ACC : S_TRN= 95.89%, T_TRN= 81.46%, S_TST= 88.33%, T_TST= 83.47%
  ++ E:015/300 #B:015, t=006.07m, L=08.6764, ACC : S_TRN= 96.67%, T_TRN= 85.16%, S_TST= 88.26%, T_TST= 83.74%
**++ E:016/300 #B:015, t=006.50m, L=08.6561, ACC : S_TRN= 96.72%, T_TRN= 83.23%, S_TST= 88.46%, T_TST= 83.75%
**++ E:017/300 #B:015, t=007.00m, L=08.6430, ACC : S_TRN= 97.55%, T_TRN= 82.55%, S_TST= 88.65%, T_TST= 83.98%
**   E:018/300 #B:015, t=007.51m, L=08.6448, ACC : S_TRN= 97.45%, T_TRN= 82.45%, S_TST= 88.75%, T_TST= 83.95%
**   E:019/300 #B:015, t=007.80m, L=08.5925, ACC : S_TRN= 98.07%, T_TRN= 82.81%, S_TST= 88.75%, T_TST= 83.88%
**++ E:020/300 #B:015, t=008.10m, L=08.5786, ACC : S_TRN= 97.34%, T_TRN= 83.91%, S_TST= 88.76%, T_TST= 84.21%
**   E:021/300 #B:015, t=008.55m, L=08.5633, ACC : S_TRN= 98.23%, T_TRN= 85.21%, S_TST= 88.80%, T_TST= 84.14%
     E:022/300 #B:015, t=008.82m, L=08.5614, ACC : S_TRN= 97.60%, T_TRN= 84.11%, S_TST= 88.66%, T_TST= 84.16%
     E:023/300 #B:015, t=009.06m, L=08.5313, ACC : S_TRN= 98.80%, T_TRN= 83.54%, S_TST= 88.58%, T_TST= 84.05%
     E:024/300 #B:015, t=009.29m, L=08.5490, ACC : S_TRN= 98.49%, T_TRN= 83.96%, S_TST= 88.63%, T_TST= 83.68%
     E:025/300 #B:015, t=009.51m, L=08.5335, ACC : S_TRN= 98.54%, T_TRN= 83.18%, S_TST= 88.63%, T_TST= 83.93%
     E:026/300 #B:015, t=009.79m, L=08.5242, ACC : S_TRN= 98.54%, T_TRN= 83.75%, S_TST= 88.78%, T_TST= 84.12%
     E:027/300 #B:015, t=010.05m, L=08.5185, ACC : S_TRN= 99.01%, T_TRN= 82.76%, S_TST= 88.76%, T_TST= 83.98%
     E:028/300 #B:015, t=010.27m, L=08.5102, ACC : S_TRN= 98.96%, T_TRN= 83.65%, S_TST= 88.68%, T_TST= 84.10%
     E:029/300 #B:015, t=010.53m, L=08.5009, ACC : S_TRN= 99.06%, T_TRN= 83.18%, S_TST= 88.60%, T_TST= 84.14%
  ++ E:030/300 #B:015, t=010.79m, L=08.5001, ACC : S_TRN= 99.11%, T_TRN= 82.14%, S_TST= 88.68%, T_TST= 84.26%
     E:031/300 #B:015, t=011.23m, L=08.4890, ACC : S_TRN= 98.91%, T_TRN= 82.14%, S_TST= 88.61%, T_TST= 84.19%
     E:032/300 #B:015, t=011.48m, L=08.4827, ACC : S_TRN= 99.43%, T_TRN= 80.47%, S_TST= 88.61%, T_TST= 83.95%
     E:033/300 #B:015, t=011.77m, L=08.4712, ACC : S_TRN= 99.01%, T_TRN= 82.45%, S_TST= 88.44%, T_TST= 83.98%
     E:034/300 #B:015, t=012.04m, L=08.4912, ACC : S_TRN= 99.58%, T_TRN= 82.81%, S_TST= 88.41%, T_TST= 84.09%
     E:035/300 #B:015, t=012.28m, L=08.4665, ACC : S_TRN= 99.43%, T_TRN= 82.86%, S_TST= 88.58%, T_TST= 84.23%
     E:036/300 #B:015, t=012.49m, L=08.4656, ACC : S_TRN= 99.38%, T_TRN= 84.58%, S_TST= 88.49%, T_TST= 84.03%
     E:037/300 #B:015, t=012.75m, L=08.4450, ACC : S_TRN= 99.32%, T_TRN= 81.09%, S_TST= 88.48%, T_TST= 84.19%
     E:038/300 #B:015, t=012.99m, L=08.4643, ACC : S_TRN= 99.43%, T_TRN= 83.28%, S_TST= 88.60%, T_TST= 84.03%
     E:039/300 #B:015, t=013.24m, L=08.4519, ACC : S_TRN= 99.64%, T_TRN= 83.02%, S_TST= 88.58%, T_TST= 84.03%
     E:040/300 #B:015, t=013.43m, L=08.4633, ACC : S_TRN= 99.69%, T_TRN= 84.38%, S_TST= 88.58%, T_TST= 84.25%
     E:041/300 #B:015, t=013.71m, L=08.4685, ACC : S_TRN= 99.43%, T_TRN= 83.44%, S_TST= 88.58%, T_TST= 84.18%
     E:042/300 #B:015, t=013.99m, L=08.4558, ACC : S_TRN= 99.22%, T_TRN= 84.79%, S_TST= 88.60%, T_TST= 84.25%
  ++ E:043/300 #B:015, t=014.23m, L=08.4375, ACC : S_TRN= 99.64%, T_TRN= 81.93%, S_TST= 88.58%, T_TST= 84.32%
     E:044/300 #B:015, t=014.66m, L=08.4352, ACC : S_TRN= 99.53%, T_TRN= 82.34%, S_TST= 88.66%, T_TST= 84.28%
     E:045/300 #B:015, t=014.88m, L=08.4340, ACC : S_TRN= 99.43%, T_TRN= 82.76%, S_TST= 88.65%, T_TST= 84.23%
     E:046/300 #B:015, t=015.14m, L=08.4205, ACC : S_TRN= 99.32%, T_TRN= 84.27%, S_TST= 88.61%, T_TST= 84.18%
     E:047/300 #B:015, t=015.43m, L=08.4335, ACC : S_TRN= 99.74%, T_TRN= 83.33%, S_TST= 88.66%, T_TST= 84.21%
     E:048/300 #B:015, t=015.67m, L=08.4198, ACC : S_TRN= 99.79%, T_TRN= 83.70%, S_TST= 88.56%, T_TST= 84.26%
  ++ E:049/300 #B:015, t=015.92m, L=08.4391, ACC : S_TRN= 99.38%, T_TRN= 83.75%, S_TST= 88.58%, T_TST= 84.35%
  ++ E:050/300 #B:015, t=016.42m, L=08.4296, ACC : S_TRN= 99.84%, T_TRN= 85.21%, S_TST= 88.48%, T_TST= 84.35%
     E:051/300 #B:015, t=016.81m, L=08.4174, ACC : S_TRN= 99.84%, T_TRN= 83.07%, S_TST= 88.49%, T_TST= 84.26%
