

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_dvd', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_dvd, experiment=books_dvd, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_dvd_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.17m, L=10.8220, ACC : S_TRN= 60.16%, T_TRN= 55.78%, S_TST= 56.22%, T_TST= 54.68%
**++ E:001/300 #B:015, t=000.48m, L=10.6988, ACC : S_TRN= 65.00%, T_TRN= 58.07%, S_TST= 61.41%, T_TST= 58.56%
**++ E:002/300 #B:015, t=000.89m, L=10.5860, ACC : S_TRN= 71.20%, T_TRN= 62.55%, S_TST= 65.64%, T_TST= 62.55%
**++ E:003/300 #B:015, t=001.34m, L=10.4546, ACC : S_TRN= 76.82%, T_TRN= 65.83%, S_TST= 68.20%, T_TST= 65.25%
**++ E:004/300 #B:015, t=001.78m, L=10.3524, ACC : S_TRN= 83.39%, T_TRN= 69.79%, S_TST= 74.76%, T_TST= 70.91%
**++ E:005/300 #B:015, t=002.16m, L=10.2403, ACC : S_TRN= 87.14%, T_TRN= 73.18%, S_TST= 79.04%, T_TST= 74.76%
**++ E:006/300 #B:015, t=002.57m, L=10.1508, ACC : S_TRN= 89.79%, T_TRN= 76.67%, S_TST= 81.84%, T_TST= 77.64%
**++ E:007/300 #B:015, t=003.00m, L=10.0752, ACC : S_TRN= 91.20%, T_TRN= 78.80%, S_TST= 82.19%, T_TST= 78.92%
**++ E:008/300 #B:015, t=003.39m, L=10.0265, ACC : S_TRN= 90.57%, T_TRN= 78.54%, S_TST= 82.84%, T_TST= 79.50%
**++ E:009/300 #B:015, t=003.86m, L=09.9797, ACC : S_TRN= 92.40%, T_TRN= 77.76%, S_TST= 83.02%, T_TST= 79.92%
**++ E:010/300 #B:015, t=004.36m, L=09.9306, ACC : S_TRN= 92.86%, T_TRN= 79.90%, S_TST= 83.31%, T_TST= 79.95%
**++ E:011/300 #B:015, t=004.89m, L=09.9309, ACC : S_TRN= 93.91%, T_TRN= 79.01%, S_TST= 83.78%, T_TST= 80.84%
**++ E:012/300 #B:015, t=005.30m, L=09.8763, ACC : S_TRN= 93.39%, T_TRN= 78.70%, S_TST= 83.90%, T_TST= 80.95%
**++ E:013/300 #B:015, t=005.76m, L=09.8694, ACC : S_TRN= 94.38%, T_TRN= 78.39%, S_TST= 84.05%, T_TST= 81.26%
  ++ E:014/300 #B:015, t=006.25m, L=09.8521, ACC : S_TRN= 94.32%, T_TRN= 79.90%, S_TST= 83.99%, T_TST= 81.37%
  ++ E:015/300 #B:015, t=006.71m, L=09.8516, ACC : S_TRN= 94.74%, T_TRN= 80.52%, S_TST= 83.96%, T_TST= 81.99%
     E:016/300 #B:015, t=007.07m, L=09.8165, ACC : S_TRN= 95.57%, T_TRN= 80.26%, S_TST= 84.01%, T_TST= 81.76%
**++ E:017/300 #B:015, t=007.32m, L=09.8012, ACC : S_TRN= 95.42%, T_TRN= 79.48%, S_TST= 84.14%, T_TST= 82.01%
**++ E:018/300 #B:015, t=007.83m, L=09.7824, ACC : S_TRN= 94.95%, T_TRN= 78.91%, S_TST= 84.14%, T_TST= 82.15%
     E:019/300 #B:015, t=008.31m, L=09.7539, ACC : S_TRN= 96.09%, T_TRN= 79.84%, S_TST= 83.96%, T_TST= 81.93%
     E:020/300 #B:015, t=008.54m, L=09.7677, ACC : S_TRN= 95.68%, T_TRN= 80.10%, S_TST= 84.03%, T_TST= 81.90%
**   E:021/300 #B:015, t=008.81m, L=09.7256, ACC : S_TRN= 95.89%, T_TRN= 79.27%, S_TST= 84.17%, T_TST= 81.79%
**   E:022/300 #B:015, t=009.13m, L=09.6996, ACC : S_TRN= 96.35%, T_TRN= 80.68%, S_TST= 84.41%, T_TST= 81.85%
     E:023/300 #B:015, t=009.40m, L=09.6981, ACC : S_TRN= 96.35%, T_TRN= 79.01%, S_TST= 84.28%, T_TST= 81.85%
     E:024/300 #B:015, t=009.65m, L=09.6750, ACC : S_TRN= 96.67%, T_TRN= 79.43%, S_TST= 84.30%, T_TST= 81.54%
     E:025/300 #B:015, t=009.87m, L=09.6637, ACC : S_TRN= 96.77%, T_TRN= 80.00%, S_TST= 84.37%, T_TST= 81.90%
**++ E:026/300 #B:015, t=010.16m, L=09.6575, ACC : S_TRN= 97.03%, T_TRN= 78.65%, S_TST= 84.48%, T_TST= 82.24%
     E:027/300 #B:015, t=010.74m, L=09.6441, ACC : S_TRN= 97.08%, T_TRN= 79.27%, S_TST= 84.46%, T_TST= 82.21%
  ++ E:028/300 #B:015, t=011.02m, L=09.6434, ACC : S_TRN= 96.82%, T_TRN= 78.85%, S_TST= 84.28%, T_TST= 82.40%
  ++ E:029/300 #B:015, t=011.42m, L=09.6416, ACC : S_TRN= 97.08%, T_TRN= 79.48%, S_TST= 84.23%, T_TST= 82.46%
  ++ E:030/300 #B:015, t=011.88m, L=09.6058, ACC : S_TRN= 96.72%, T_TRN= 79.69%, S_TST= 84.30%, T_TST= 82.54%
**   E:031/300 #B:015, t=012.29m, L=09.6088, ACC : S_TRN= 97.03%, T_TRN= 80.36%, S_TST= 84.57%, T_TST= 82.32%
     E:032/300 #B:015, t=012.60m, L=09.5998, ACC : S_TRN= 96.77%, T_TRN= 79.17%, S_TST= 84.41%, T_TST= 82.52%
  ++ E:033/300 #B:015, t=012.89m, L=09.6067, ACC : S_TRN= 97.76%, T_TRN= 79.38%, S_TST= 84.34%, T_TST= 82.57%
  ++ E:034/300 #B:015, t=013.31m, L=09.6006, ACC : S_TRN= 97.92%, T_TRN= 78.49%, S_TST= 84.17%, T_TST= 82.60%
     E:035/300 #B:015, t=013.82m, L=09.5732, ACC : S_TRN= 98.07%, T_TRN= 79.69%, S_TST= 84.14%, T_TST= 82.43%
     E:036/300 #B:015, t=014.07m, L=09.5803, ACC : S_TRN= 98.28%, T_TRN= 80.26%, S_TST= 84.23%, T_TST= 82.54%
  ++ E:037/300 #B:015, t=014.37m, L=09.5865, ACC : S_TRN= 97.45%, T_TRN= 79.69%, S_TST= 84.39%, T_TST= 82.65%
     E:038/300 #B:015, t=014.81m, L=09.5602, ACC : S_TRN= 97.45%, T_TRN= 81.46%, S_TST= 84.28%, T_TST= 82.26%
  ++ E:039/300 #B:015, t=015.15m, L=09.5691, ACC : S_TRN= 98.23%, T_TRN= 79.58%, S_TST= 84.21%, T_TST= 82.65%
  ++ E:040/300 #B:015, t=015.70m, L=09.5587, ACC : S_TRN= 97.66%, T_TRN= 79.58%, S_TST= 84.26%, T_TST= 82.68%
  ++ E:041/300 #B:015, t=016.19m, L=09.5504, ACC : S_TRN= 98.33%, T_TRN= 80.26%, S_TST= 84.19%, T_TST= 82.71%
     E:042/300 #B:015, t=016.63m, L=09.5322, ACC : S_TRN= 98.33%, T_TRN= 80.31%, S_TST= 84.23%, T_TST= 82.24%
     E:043/300 #B:015, t=016.95m, L=09.5317, ACC : S_TRN= 98.65%, T_TRN= 79.53%, S_TST= 84.21%, T_TST= 82.21%
     E:044/300 #B:015, t=017.19m, L=09.5474, ACC : S_TRN= 98.28%, T_TRN= 80.36%, S_TST= 84.14%, T_TST= 82.24%
     E:045/300 #B:015, t=017.49m, L=09.5260, ACC : S_TRN= 97.92%, T_TRN= 78.28%, S_TST= 83.96%, T_TST= 82.43%
     E:046/300 #B:015, t=017.77m, L=09.5152, ACC : S_TRN= 98.33%, T_TRN= 80.31%, S_TST= 84.08%, T_TST= 82.29%
     E:047/300 #B:015, t=018.07m, L=09.5270, ACC : S_TRN= 98.39%, T_TRN= 78.44%, S_TST= 84.23%, T_TST= 82.18%
     E:048/300 #B:015, t=018.41m, L=09.4987, ACC : S_TRN= 98.96%, T_TRN= 79.43%, S_TST= 84.21%, T_TST= 82.40%
     E:049/300 #B:015, t=018.70m, L=09.5083, ACC : S_TRN= 98.33%, T_TRN= 80.10%, S_TST= 84.26%, T_TST= 82.29%
     E:050/300 #B:015, t=018.96m, L=09.5130, ACC : S_TRN= 99.17%, T_TRN= 80.00%, S_TST= 84.34%, T_TST= 82.29%
     E:051/300 #B:015, t=019.28m, L=09.4978, ACC : S_TRN= 98.44%, T_TRN= 80.26%, S_TST= 84.05%, T_TST= 82.40%
     E:052/300 #B:015, t=019.56m, L=09.5157, ACC : S_TRN= 99.17%, T_TRN= 79.43%, S_TST= 84.12%, T_TST= 82.46%
     E:053/300 #B:015, t=019.81m, L=09.4938, ACC : S_TRN= 98.65%, T_TRN= 79.90%, S_TST= 84.10%, T_TST= 82.32%
     E:054/300 #B:015, t=020.14m, L=09.4754, ACC : S_TRN= 98.75%, T_TRN= 80.52%, S_TST= 84.10%, T_TST= 82.43%
     E:055/300 #B:015, t=020.46m, L=09.4672, ACC : S_TRN= 99.22%, T_TRN= 79.95%, S_TST= 84.12%, T_TST= 82.43%
