

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_electronics', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_electronics, experiment=books_electronics, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.17m, L=10.8320, ACC : S_TRN= 64.11%, T_TRN= 55.78%, S_TST= 59.06%, T_TST= 54.43%
**++ E:001/300 #B:015, t=000.67m, L=10.7215, ACC : S_TRN= 81.77%, T_TRN= 58.75%, S_TST= 74.62%, T_TST= 60.15%
**++ E:002/300 #B:015, t=001.18m, L=10.6132, ACC : S_TRN= 83.80%, T_TRN= 68.07%, S_TST= 77.18%, T_TST= 67.56%
**++ E:003/300 #B:015, t=001.71m, L=10.4781, ACC : S_TRN= 87.14%, T_TRN= 72.97%, S_TST= 78.90%, T_TST= 72.17%
**++ E:004/300 #B:015, t=002.13m, L=10.3525, ACC : S_TRN= 89.69%, T_TRN= 76.41%, S_TST= 81.95%, T_TST= 75.09%
**++ E:005/300 #B:015, t=002.57m, L=10.2225, ACC : S_TRN= 89.90%, T_TRN= 76.41%, S_TST= 82.78%, T_TST= 77.40%
**++ E:006/300 #B:015, t=003.04m, L=10.1461, ACC : S_TRN= 90.57%, T_TRN= 77.97%, S_TST= 83.05%, T_TST= 78.14%
  ++ E:007/300 #B:015, t=003.52m, L=10.0668, ACC : S_TRN= 90.00%, T_TRN= 79.11%, S_TST= 82.78%, T_TST= 79.21%
  ++ E:008/300 #B:015, t=003.95m, L=10.0121, ACC : S_TRN= 90.62%, T_TRN= 79.27%, S_TST= 82.96%, T_TST= 80.30%
**++ E:009/300 #B:015, t=004.32m, L=09.9666, ACC : S_TRN= 90.89%, T_TRN= 80.99%, S_TST= 83.14%, T_TST= 80.48%
**   E:010/300 #B:015, t=004.86m, L=09.9163, ACC : S_TRN= 92.34%, T_TRN= 81.09%, S_TST= 83.47%, T_TST= 80.46%
**   E:011/300 #B:015, t=005.16m, L=09.9155, ACC : S_TRN= 93.75%, T_TRN= 81.82%, S_TST= 83.65%, T_TST= 80.32%
  ++ E:012/300 #B:015, t=005.48m, L=09.8758, ACC : S_TRN= 92.97%, T_TRN= 79.74%, S_TST= 83.54%, T_TST= 80.92%
**++ E:013/300 #B:015, t=005.92m, L=09.8492, ACC : S_TRN= 93.39%, T_TRN= 80.73%, S_TST= 83.87%, T_TST= 81.24%
  ++ E:014/300 #B:015, t=006.43m, L=09.8456, ACC : S_TRN= 94.69%, T_TRN= 82.55%, S_TST= 83.67%, T_TST= 81.52%
**   E:015/300 #B:015, t=006.90m, L=09.8146, ACC : S_TRN= 94.84%, T_TRN= 80.57%, S_TST= 83.90%, T_TST= 81.41%
**   E:016/300 #B:015, t=007.25m, L=09.8040, ACC : S_TRN= 95.89%, T_TRN= 82.29%, S_TST= 83.90%, T_TST= 81.48%
**++ E:017/300 #B:015, t=007.61m, L=09.7623, ACC : S_TRN= 94.64%, T_TRN= 80.83%, S_TST= 84.30%, T_TST= 81.73%
**++ E:018/300 #B:015, t=008.17m, L=09.7553, ACC : S_TRN= 96.09%, T_TRN= 80.94%, S_TST= 84.32%, T_TST= 81.90%
**   E:019/300 #B:015, t=008.63m, L=09.7423, ACC : S_TRN= 96.30%, T_TRN= 80.83%, S_TST= 84.39%, T_TST= 81.76%
**++ E:020/300 #B:015, t=008.99m, L=09.7383, ACC : S_TRN= 95.73%, T_TRN= 82.29%, S_TST= 84.43%, T_TST= 82.20%
**   E:021/300 #B:015, t=009.55m, L=09.7039, ACC : S_TRN= 97.03%, T_TRN= 82.19%, S_TST= 84.61%, T_TST= 81.96%
**   E:022/300 #B:015, t=009.85m, L=09.6992, ACC : S_TRN= 96.93%, T_TRN= 81.04%, S_TST= 84.79%, T_TST= 82.17%
     E:023/300 #B:015, t=010.21m, L=09.6926, ACC : S_TRN= 96.93%, T_TRN= 83.07%, S_TST= 84.77%, T_TST= 81.90%
**   E:024/300 #B:015, t=010.52m, L=09.6558, ACC : S_TRN= 96.98%, T_TRN= 82.40%, S_TST= 84.82%, T_TST= 81.99%
     E:025/300 #B:015, t=010.87m, L=09.6429, ACC : S_TRN= 96.72%, T_TRN= 82.76%, S_TST= 84.79%, T_TST= 82.17%
  ++ E:026/300 #B:015, t=011.18m, L=09.6507, ACC : S_TRN= 97.19%, T_TRN= 83.85%, S_TST= 84.59%, T_TST= 82.20%
  ++ E:027/300 #B:015, t=011.64m, L=09.6337, ACC : S_TRN= 97.66%, T_TRN= 81.30%, S_TST= 84.66%, T_TST= 82.38%
     E:028/300 #B:015, t=012.10m, L=09.6307, ACC : S_TRN= 97.08%, T_TRN= 83.39%, S_TST= 84.46%, T_TST= 82.17%
  ++ E:029/300 #B:015, t=012.35m, L=09.6189, ACC : S_TRN= 97.34%, T_TRN= 81.41%, S_TST= 84.19%, T_TST= 82.54%
  ++ E:030/300 #B:015, t=012.85m, L=09.6046, ACC : S_TRN= 96.88%, T_TRN= 81.46%, S_TST= 84.41%, T_TST= 82.56%
     E:031/300 #B:015, t=013.40m, L=09.5937, ACC : S_TRN= 97.14%, T_TRN= 79.48%, S_TST= 84.34%, T_TST= 82.49%
     E:032/300 #B:015, t=013.71m, L=09.5793, ACC : S_TRN= 97.55%, T_TRN= 82.45%, S_TST= 84.37%, T_TST= 82.54%
     E:033/300 #B:015, t=014.02m, L=09.5946, ACC : S_TRN= 98.07%, T_TRN= 82.19%, S_TST= 84.48%, T_TST= 82.54%
  ++ E:034/300 #B:015, t=014.38m, L=09.5949, ACC : S_TRN= 98.18%, T_TRN= 82.55%, S_TST= 84.48%, T_TST= 82.68%
     E:035/300 #B:015, t=014.87m, L=09.5594, ACC : S_TRN= 98.12%, T_TRN= 82.08%, S_TST= 84.23%, T_TST= 82.47%
  ++ E:036/300 #B:015, t=015.16m, L=09.5647, ACC : S_TRN= 97.76%, T_TRN= 80.89%, S_TST= 84.46%, T_TST= 82.73%
  ++ E:037/300 #B:015, t=015.63m, L=09.5521, ACC : S_TRN= 97.92%, T_TRN= 82.50%, S_TST= 84.21%, T_TST= 82.77%
     E:038/300 #B:015, t=016.14m, L=09.5498, ACC : S_TRN= 97.97%, T_TRN= 83.75%, S_TST= 84.41%, T_TST= 82.75%
     E:039/300 #B:015, t=016.45m, L=09.5603, ACC : S_TRN= 98.12%, T_TRN= 82.45%, S_TST= 84.30%, T_TST= 82.71%
     E:040/300 #B:015, t=016.77m, L=09.5437, ACC : S_TRN= 98.33%, T_TRN= 81.30%, S_TST= 84.43%, T_TST= 82.70%
     E:041/300 #B:015, t=017.11m, L=09.5402, ACC : S_TRN= 98.39%, T_TRN= 82.66%, S_TST= 84.21%, T_TST= 82.71%
