

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_kitchen, experiment=books_kitchen, gpus=1, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.17m, L=10.8307, ACC : S_TRN= 64.27%, T_TRN= 56.67%, S_TST= 60.13%, T_TST= 56.99%
**++ E:001/300 #B:015, t=000.72m, L=10.7216, ACC : S_TRN= 82.92%, T_TRN= 67.55%, S_TST= 74.60%, T_TST= 65.23%
**++ E:002/300 #B:015, t=001.14m, L=10.6052, ACC : S_TRN= 84.64%, T_TRN= 71.20%, S_TST= 77.69%, T_TST= 71.91%
**++ E:003/300 #B:015, t=001.59m, L=10.4653, ACC : S_TRN= 87.97%, T_TRN= 75.31%, S_TST= 79.87%, T_TST= 75.81%
**++ E:004/300 #B:015, t=002.10m, L=10.3408, ACC : S_TRN= 89.27%, T_TRN= 75.89%, S_TST= 81.63%, T_TST= 78.07%
**++ E:005/300 #B:015, t=002.54m, L=10.2118, ACC : S_TRN= 90.73%, T_TRN= 78.44%, S_TST= 82.42%, T_TST= 79.50%
**++ E:006/300 #B:015, t=002.95m, L=10.1294, ACC : S_TRN= 91.61%, T_TRN= 79.22%, S_TST= 82.44%, T_TST= 80.54%
**++ E:007/300 #B:015, t=003.40m, L=10.0463, ACC : S_TRN= 91.25%, T_TRN= 80.26%, S_TST= 82.84%, T_TST= 81.31%
**++ E:008/300 #B:015, t=003.82m, L=09.9980, ACC : S_TRN= 91.51%, T_TRN= 81.82%, S_TST= 82.87%, T_TST= 82.24%
  ++ E:009/300 #B:015, t=004.23m, L=09.9491, ACC : S_TRN= 92.24%, T_TRN= 81.56%, S_TST= 82.82%, T_TST= 82.41%
**++ E:010/300 #B:015, t=004.63m, L=09.9096, ACC : S_TRN= 93.02%, T_TRN= 82.34%, S_TST= 83.18%, T_TST= 82.49%
**++ E:011/300 #B:015, t=005.08m, L=09.8912, ACC : S_TRN= 94.58%, T_TRN= 82.81%, S_TST= 83.49%, T_TST= 83.06%
  ++ E:012/300 #B:015, t=005.54m, L=09.8509, ACC : S_TRN= 93.70%, T_TRN= 81.15%, S_TST= 83.47%, T_TST= 83.21%
**++ E:013/300 #B:015, t=005.97m, L=09.8435, ACC : S_TRN= 94.27%, T_TRN= 80.73%, S_TST= 83.76%, T_TST= 83.40%
**++ E:014/300 #B:015, t=006.46m, L=09.8249, ACC : S_TRN= 95.00%, T_TRN= 83.23%, S_TST= 83.76%, T_TST= 83.43%
**++ E:015/300 #B:015, t=006.96m, L=09.8279, ACC : S_TRN= 95.31%, T_TRN= 83.12%, S_TST= 84.12%, T_TST= 83.53%
**++ E:016/300 #B:015, t=007.56m, L=09.7842, ACC : S_TRN= 95.99%, T_TRN= 83.02%, S_TST= 84.19%, T_TST= 83.63%
     E:017/300 #B:015, t=008.13m, L=09.7442, ACC : S_TRN= 95.36%, T_TRN= 84.27%, S_TST= 84.08%, T_TST= 83.55%
  ++ E:018/300 #B:015, t=008.40m, L=09.7581, ACC : S_TRN= 95.94%, T_TRN= 84.17%, S_TST= 84.17%, T_TST= 83.78%
**   E:019/300 #B:015, t=008.79m, L=09.7179, ACC : S_TRN= 96.67%, T_TRN= 83.80%, S_TST= 84.39%, T_TST= 83.67%
  ++ E:020/300 #B:015, t=009.04m, L=09.7462, ACC : S_TRN= 96.25%, T_TRN= 83.80%, S_TST= 84.17%, T_TST= 83.85%
**   E:021/300 #B:015, t=009.45m, L=09.7193, ACC : S_TRN= 97.08%, T_TRN= 84.74%, S_TST= 84.46%, T_TST= 83.84%
  ++ E:022/300 #B:015, t=009.77m, L=09.6739, ACC : S_TRN= 96.98%, T_TRN= 84.27%, S_TST= 84.28%, T_TST= 83.95%
  ++ E:023/300 #B:015, t=010.26m, L=09.6656, ACC : S_TRN= 96.51%, T_TRN= 84.58%, S_TST= 84.19%, T_TST= 84.27%
     E:024/300 #B:015, t=010.67m, L=09.6407, ACC : S_TRN= 97.03%, T_TRN= 85.00%, S_TST= 84.08%, T_TST= 84.10%
  ++ E:025/300 #B:015, t=010.97m, L=09.6489, ACC : S_TRN= 97.08%, T_TRN= 85.83%, S_TST= 84.32%, T_TST= 84.31%
  ++ E:026/300 #B:015, t=011.49m, L=09.6478, ACC : S_TRN= 97.66%, T_TRN= 84.48%, S_TST= 84.34%, T_TST= 84.51%
     E:027/300 #B:015, t=011.93m, L=09.6433, ACC : S_TRN= 97.76%, T_TRN= 84.74%, S_TST= 84.26%, T_TST= 84.46%
     E:028/300 #B:015, t=012.20m, L=09.6262, ACC : S_TRN= 97.50%, T_TRN= 85.00%, S_TST= 84.43%, T_TST= 84.49%
  ++ E:029/300 #B:015, t=012.51m, L=09.6085, ACC : S_TRN= 97.86%, T_TRN= 84.38%, S_TST= 84.32%, T_TST= 84.64%
     E:030/300 #B:015, t=012.98m, L=09.6054, ACC : S_TRN= 97.60%, T_TRN= 84.27%, S_TST= 84.14%, T_TST= 84.59%
     E:031/300 #B:015, t=013.27m, L=09.6020, ACC : S_TRN= 97.92%, T_TRN= 83.49%, S_TST= 84.08%, T_TST= 84.41%
     E:032/300 #B:015, t=013.55m, L=09.5906, ACC : S_TRN= 98.07%, T_TRN= 84.11%, S_TST= 84.26%, T_TST= 84.61%
  ++ E:033/300 #B:015, t=013.86m, L=09.5907, ACC : S_TRN= 98.23%, T_TRN= 85.78%, S_TST= 84.10%, T_TST= 84.88%
     E:034/300 #B:015, t=014.38m, L=09.5949, ACC : S_TRN= 98.12%, T_TRN= 84.74%, S_TST= 84.21%, T_TST= 84.78%
     E:035/300 #B:015, t=014.67m, L=09.5704, ACC : S_TRN= 98.33%, T_TRN= 84.64%, S_TST= 84.08%, T_TST= 84.71%
     E:036/300 #B:015, t=014.98m, L=09.5785, ACC : S_TRN= 98.28%, T_TRN= 84.79%, S_TST= 83.78%, T_TST= 84.63%
     E:037/300 #B:015, t=015.27m, L=09.5739, ACC : S_TRN= 98.12%, T_TRN= 85.47%, S_TST= 83.76%, T_TST= 84.54%
     E:038/300 #B:015, t=015.53m, L=09.5480, ACC : S_TRN= 97.86%, T_TRN= 85.00%, S_TST= 83.83%, T_TST= 84.64%
     E:039/300 #B:015, t=015.86m, L=09.5710, ACC : S_TRN= 98.49%, T_TRN= 84.06%, S_TST= 83.83%, T_TST= 84.69%
     E:040/300 #B:015, t=016.17m, L=09.5562, ACC : S_TRN= 98.44%, T_TRN= 85.31%, S_TST= 83.49%, T_TST= 84.51%
     E:041/300 #B:015, t=016.43m, L=09.5466, ACC : S_TRN= 98.54%, T_TRN= 84.64%, S_TST= 83.85%, T_TST= 84.66%
     E:042/300 #B:015, t=016.74m, L=09.5451, ACC : S_TRN= 98.07%, T_TRN= 84.74%, S_TST= 83.83%, T_TST= 84.56%
     E:043/300 #B:015, t=017.11m, L=09.5452, ACC : S_TRN= 98.80%, T_TRN= 84.69%, S_TST= 83.78%, T_TST= 84.46%
     E:044/300 #B:015, t=017.46m, L=09.5351, ACC : S_TRN= 98.59%, T_TRN= 83.23%, S_TST= 84.17%, T_TST= 84.81%
     E:045/300 #B:015, t=017.75m, L=09.5310, ACC : S_TRN= 98.49%, T_TRN= 84.53%, S_TST= 83.76%, T_TST= 84.58%
