

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_books', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_books, experiment=dvd_books, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.18m, L=10.7968, ACC : S_TRN= 59.79%, T_TRN= 54.48%, S_TST= 55.63%, T_TST= 53.89%
**++ E:001/300 #B:015, t=000.59m, L=10.6486, ACC : S_TRN= 62.97%, T_TRN= 55.68%, S_TST= 58.53%, T_TST= 56.86%
**++ E:002/300 #B:015, t=001.10m, L=10.5397, ACC : S_TRN= 67.71%, T_TRN= 59.53%, S_TST= 62.05%, T_TST= 59.51%
**++ E:003/300 #B:015, t=001.55m, L=10.4137, ACC : S_TRN= 74.01%, T_TRN= 60.62%, S_TST= 65.06%, T_TST= 62.46%
**++ E:004/300 #B:015, t=002.03m, L=10.3537, ACC : S_TRN= 80.31%, T_TRN= 65.62%, S_TST= 70.44%, T_TST= 67.19%
**++ E:005/300 #B:015, t=002.43m, L=10.2206, ACC : S_TRN= 85.36%, T_TRN= 71.67%, S_TST= 74.82%, T_TST= 70.93%
**++ E:006/300 #B:015, t=002.86m, L=10.1362, ACC : S_TRN= 88.28%, T_TRN= 71.30%, S_TST= 77.75%, T_TST= 73.37%
**++ E:007/300 #B:015, t=003.23m, L=10.0652, ACC : S_TRN= 89.27%, T_TRN= 74.32%, S_TST= 79.98%, T_TST= 74.71%
**++ E:008/300 #B:015, t=003.64m, L=10.0045, ACC : S_TRN= 90.83%, T_TRN= 73.02%, S_TST= 81.18%, T_TST= 75.52%
**++ E:009/300 #B:015, t=004.02m, L=09.9764, ACC : S_TRN= 92.19%, T_TRN= 74.32%, S_TST= 82.60%, T_TST= 77.36%
**++ E:010/300 #B:015, t=004.41m, L=09.9342, ACC : S_TRN= 92.40%, T_TRN= 75.89%, S_TST= 82.85%, T_TST= 78.01%
**++ E:011/300 #B:015, t=004.83m, L=09.9326, ACC : S_TRN= 93.54%, T_TRN= 76.46%, S_TST= 82.88%, T_TST= 78.66%
**++ E:012/300 #B:015, t=005.26m, L=09.8770, ACC : S_TRN= 94.06%, T_TRN= 75.52%, S_TST= 83.41%, T_TST= 78.90%
**++ E:013/300 #B:015, t=005.66m, L=09.8806, ACC : S_TRN= 94.17%, T_TRN= 74.84%, S_TST= 83.71%, T_TST= 79.19%
  ++ E:014/300 #B:015, t=006.08m, L=09.8504, ACC : S_TRN= 94.48%, T_TRN= 78.44%, S_TST= 83.41%, T_TST= 79.37%
**++ E:015/300 #B:015, t=006.51m, L=09.8290, ACC : S_TRN= 94.95%, T_TRN= 78.12%, S_TST= 83.88%, T_TST= 79.60%
     E:016/300 #B:015, t=007.02m, L=09.8209, ACC : S_TRN= 94.69%, T_TRN= 77.71%, S_TST= 83.80%, T_TST= 79.26%
     E:017/300 #B:015, t=007.26m, L=09.7876, ACC : S_TRN= 95.31%, T_TRN= 76.72%, S_TST= 83.85%, T_TST= 79.35%
**++ E:018/300 #B:015, t=007.45m, L=09.7442, ACC : S_TRN= 95.26%, T_TRN= 78.75%, S_TST= 83.88%, T_TST= 79.91%
**   E:019/300 #B:015, t=007.91m, L=09.7418, ACC : S_TRN= 95.52%, T_TRN= 79.01%, S_TST= 83.88%, T_TST= 79.64%
**++ E:020/300 #B:015, t=008.17m, L=09.7360, ACC : S_TRN= 96.61%, T_TRN= 79.06%, S_TST= 84.10%, T_TST= 79.91%
**   E:021/300 #B:015, t=008.61m, L=09.7183, ACC : S_TRN= 95.68%, T_TRN= 79.69%, S_TST= 84.10%, T_TST= 79.64%
**++ E:022/300 #B:015, t=008.91m, L=09.7207, ACC : S_TRN= 95.21%, T_TRN= 79.43%, S_TST= 84.16%, T_TST= 80.02%
**   E:023/300 #B:015, t=009.37m, L=09.6899, ACC : S_TRN= 95.47%, T_TRN= 79.27%, S_TST= 84.16%, T_TST= 79.98%
**   E:024/300 #B:015, t=009.70m, L=09.6795, ACC : S_TRN= 95.99%, T_TRN= 80.00%, S_TST= 84.27%, T_TST= 79.75%
**   E:025/300 #B:015, t=009.99m, L=09.6820, ACC : S_TRN= 96.67%, T_TRN= 80.73%, S_TST= 84.30%, T_TST= 79.71%
     E:026/300 #B:015, t=010.38m, L=09.6693, ACC : S_TRN= 96.30%, T_TRN= 79.38%, S_TST= 84.05%, T_TST= 79.71%
**   E:027/300 #B:015, t=010.65m, L=09.6442, ACC : S_TRN= 97.08%, T_TRN= 79.01%, S_TST= 84.30%, T_TST= 79.66%
     E:028/300 #B:015, t=011.03m, L=09.6350, ACC : S_TRN= 97.45%, T_TRN= 77.92%, S_TST= 84.27%, T_TST= 79.62%
     E:029/300 #B:015, t=011.28m, L=09.6284, ACC : S_TRN= 97.40%, T_TRN= 80.52%, S_TST= 84.22%, T_TST= 79.84%
     E:030/300 #B:015, t=011.53m, L=09.6105, ACC : S_TRN= 97.19%, T_TRN= 79.01%, S_TST= 84.19%, T_TST= 79.53%
     E:031/300 #B:015, t=011.75m, L=09.6140, ACC : S_TRN= 97.29%, T_TRN= 79.64%, S_TST= 84.02%, T_TST= 79.66%
     E:032/300 #B:015, t=012.01m, L=09.5947, ACC : S_TRN= 97.50%, T_TRN= 78.33%, S_TST= 83.97%, T_TST= 79.71%
     E:033/300 #B:015, t=012.26m, L=09.5768, ACC : S_TRN= 97.66%, T_TRN= 78.12%, S_TST= 84.13%, T_TST= 79.35%
     E:034/300 #B:015, t=012.56m, L=09.5980, ACC : S_TRN= 97.55%, T_TRN= 78.59%, S_TST= 84.22%, T_TST= 79.53%
     E:035/300 #B:015, t=012.87m, L=09.5819, ACC : S_TRN= 97.86%, T_TRN= 78.02%, S_TST= 84.08%, T_TST= 79.46%
     E:036/300 #B:015, t=013.13m, L=09.5772, ACC : S_TRN= 97.92%, T_TRN= 80.00%, S_TST= 84.13%, T_TST= 79.46%
     E:037/300 #B:015, t=013.41m, L=09.5757, ACC : S_TRN= 98.12%, T_TRN= 77.71%, S_TST= 84.24%, T_TST= 79.42%
     E:038/300 #B:015, t=013.68m, L=09.5705, ACC : S_TRN= 97.45%, T_TRN= 79.11%, S_TST= 84.08%, T_TST= 79.64%
     E:039/300 #B:015, t=013.94m, L=09.5613, ACC : S_TRN= 98.39%, T_TRN= 79.58%, S_TST= 84.24%, T_TST= 79.53%
     E:040/300 #B:015, t=014.23m, L=09.5477, ACC : S_TRN= 97.86%, T_TRN= 78.28%, S_TST= 84.16%, T_TST= 79.55%
     E:041/300 #B:015, t=014.53m, L=09.5593, ACC : S_TRN= 98.07%, T_TRN= 78.12%, S_TST= 84.22%, T_TST= 79.31%
     E:042/300 #B:015, t=014.80m, L=09.5223, ACC : S_TRN= 97.40%, T_TRN= 76.93%, S_TST= 84.27%, T_TST= 79.62%
     E:043/300 #B:015, t=015.07m, L=09.5306, ACC : S_TRN= 98.07%, T_TRN= 80.42%, S_TST= 84.19%, T_TST= 79.57%
**   E:044/300 #B:015, t=015.35m, L=09.5305, ACC : S_TRN= 98.39%, T_TRN= 80.68%, S_TST= 84.38%, T_TST= 79.53%
     E:045/300 #B:015, t=015.66m, L=09.5375, ACC : S_TRN= 97.60%, T_TRN= 77.92%, S_TST= 84.24%, T_TST= 79.46%
**   E:046/300 #B:015, t=015.93m, L=09.5273, ACC : S_TRN= 98.33%, T_TRN= 80.16%, S_TST= 84.47%, T_TST= 79.55%
     E:047/300 #B:015, t=016.23m, L=09.5135, ACC : S_TRN= 97.97%, T_TRN= 78.28%, S_TST= 84.30%, T_TST= 79.51%
     E:048/300 #B:015, t=016.52m, L=09.5197, ACC : S_TRN= 97.97%, T_TRN= 78.54%, S_TST= 84.27%, T_TST= 79.53%
     E:049/300 #B:015, t=016.78m, L=09.5062, ACC : S_TRN= 98.07%, T_TRN= 79.64%, S_TST= 84.22%, T_TST= 79.57%
**   E:050/300 #B:015, t=017.08m, L=09.5031, ACC : S_TRN= 98.12%, T_TRN= 79.95%, S_TST= 84.50%, T_TST= 79.71%
     E:051/300 #B:015, t=017.47m, L=09.4952, ACC : S_TRN= 98.49%, T_TRN= 78.44%, S_TST= 84.27%, T_TST= 79.64%
     E:052/300 #B:015, t=017.68m, L=09.4822, ACC : S_TRN= 98.39%, T_TRN= 78.39%, S_TST= 84.38%, T_TST= 79.69%
     E:053/300 #B:015, t=017.98m, L=09.4857, ACC : S_TRN= 98.49%, T_TRN= 81.51%, S_TST= 84.36%, T_TST= 79.75%
     E:054/300 #B:015, t=018.31m, L=09.4664, ACC : S_TRN= 98.02%, T_TRN= 81.04%, S_TST= 84.24%, T_TST= 79.51%
     E:055/300 #B:015, t=018.63m, L=09.4744, ACC : S_TRN= 98.49%, T_TRN= 79.64%, S_TST= 84.05%, T_TST= 79.51%
