

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_electronics', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_electronics, experiment=dvd_electronics, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.12m, L=10.8140, ACC : S_TRN= 61.98%, T_TRN= 51.15%, S_TST= 57.39%, T_TST= 50.70%
**++ E:001/300 #B:015, t=000.60m, L=10.6706, ACC : S_TRN= 66.51%, T_TRN= 50.57%, S_TST= 61.32%, T_TST= 52.86%
**++ E:002/300 #B:015, t=001.11m, L=10.5645, ACC : S_TRN= 72.03%, T_TRN= 54.95%, S_TST= 65.00%, T_TST= 55.91%
**++ E:003/300 #B:015, t=001.55m, L=10.4249, ACC : S_TRN= 77.08%, T_TRN= 57.92%, S_TST= 67.68%, T_TST= 59.69%
**++ E:004/300 #B:015, t=002.03m, L=10.3608, ACC : S_TRN= 82.19%, T_TRN= 60.99%, S_TST= 71.92%, T_TST= 63.19%
**++ E:005/300 #B:015, t=002.51m, L=10.2243, ACC : S_TRN= 86.72%, T_TRN= 65.42%, S_TST= 76.07%, T_TST= 67.14%
**++ E:006/300 #B:015, t=002.96m, L=10.1432, ACC : S_TRN= 90.68%, T_TRN= 67.40%, S_TST= 78.97%, T_TST= 70.64%
**++ E:007/300 #B:015, t=003.44m, L=10.0697, ACC : S_TRN= 89.84%, T_TRN= 70.31%, S_TST= 80.15%, T_TST= 72.61%
**++ E:008/300 #B:015, t=003.96m, L=09.9983, ACC : S_TRN= 90.73%, T_TRN= 72.86%, S_TST= 81.12%, T_TST= 74.95%
**++ E:009/300 #B:015, t=004.43m, L=09.9682, ACC : S_TRN= 92.34%, T_TRN= 72.86%, S_TST= 82.71%, T_TST= 76.84%
**++ E:010/300 #B:015, t=004.89m, L=09.9261, ACC : S_TRN= 93.18%, T_TRN= 74.79%, S_TST= 83.18%, T_TST= 77.28%
**++ E:011/300 #B:015, t=005.41m, L=09.9103, ACC : S_TRN= 94.53%, T_TRN= 77.40%, S_TST= 83.27%, T_TST= 77.82%
  ++ E:012/300 #B:015, t=005.88m, L=09.8689, ACC : S_TRN= 94.43%, T_TRN= 76.09%, S_TST= 83.10%, T_TST= 78.37%
**++ E:013/300 #B:015, t=006.31m, L=09.8468, ACC : S_TRN= 94.95%, T_TRN= 76.98%, S_TST= 83.35%, T_TST= 78.84%
  ++ E:014/300 #B:015, t=006.77m, L=09.8335, ACC : S_TRN= 95.05%, T_TRN= 80.05%, S_TST= 83.32%, T_TST= 79.19%
**++ E:015/300 #B:015, t=007.20m, L=09.8287, ACC : S_TRN= 95.47%, T_TRN= 79.06%, S_TST= 83.55%, T_TST= 79.74%
  ++ E:016/300 #B:015, t=007.87m, L=09.8050, ACC : S_TRN= 94.95%, T_TRN= 79.53%, S_TST= 83.27%, T_TST= 79.83%
     E:017/300 #B:015, t=008.29m, L=09.7553, ACC : S_TRN= 95.89%, T_TRN= 79.64%, S_TST= 83.18%, T_TST= 79.60%
  ++ E:018/300 #B:015, t=008.55m, L=09.7516, ACC : S_TRN= 95.62%, T_TRN= 80.57%, S_TST= 83.16%, T_TST= 80.16%
  ++ E:019/300 #B:015, t=009.01m, L=09.7090, ACC : S_TRN= 95.89%, T_TRN= 78.49%, S_TST= 83.30%, T_TST= 80.48%
  ++ E:020/300 #B:015, t=009.47m, L=09.7248, ACC : S_TRN= 96.88%, T_TRN= 78.07%, S_TST= 83.30%, T_TST= 80.78%
**++ E:021/300 #B:015, t=009.99m, L=09.7141, ACC : S_TRN= 96.61%, T_TRN= 80.99%, S_TST= 83.58%, T_TST= 80.92%
  ++ E:022/300 #B:015, t=010.62m, L=09.6898, ACC : S_TRN= 96.09%, T_TRN= 81.98%, S_TST= 83.13%, T_TST= 81.36%
  ++ E:023/300 #B:015, t=011.20m, L=09.6807, ACC : S_TRN= 96.46%, T_TRN= 79.95%, S_TST= 83.05%, T_TST= 81.76%
  ++ E:024/300 #B:015, t=011.68m, L=09.6538, ACC : S_TRN= 96.82%, T_TRN= 81.41%, S_TST= 83.41%, T_TST= 81.76%
  ++ E:025/300 #B:015, t=012.13m, L=09.6696, ACC : S_TRN= 97.03%, T_TRN= 81.41%, S_TST= 83.13%, T_TST= 81.87%
  ++ E:026/300 #B:015, t=012.64m, L=09.6562, ACC : S_TRN= 97.24%, T_TRN= 81.67%, S_TST= 82.99%, T_TST= 81.92%
  ++ E:027/300 #B:015, t=013.11m, L=09.6442, ACC : S_TRN= 97.97%, T_TRN= 81.51%, S_TST= 83.46%, T_TST= 82.01%
     E:028/300 #B:015, t=013.66m, L=09.6184, ACC : S_TRN= 97.50%, T_TRN= 82.29%, S_TST= 83.32%, T_TST= 81.90%
     E:029/300 #B:015, t=014.00m, L=09.6078, ACC : S_TRN= 97.92%, T_TRN= 81.41%, S_TST= 83.07%, T_TST= 81.61%
     E:030/300 #B:015, t=014.35m, L=09.6144, ACC : S_TRN= 97.24%, T_TRN= 81.41%, S_TST= 82.99%, T_TST= 81.62%
     E:031/300 #B:015, t=014.67m, L=09.6008, ACC : S_TRN= 97.60%, T_TRN= 80.57%, S_TST= 82.96%, T_TST= 81.64%
     E:032/300 #B:015, t=014.99m, L=09.5925, ACC : S_TRN= 98.23%, T_TRN= 82.60%, S_TST= 83.16%, T_TST= 81.71%
     E:033/300 #B:015, t=015.25m, L=09.5986, ACC : S_TRN= 98.18%, T_TRN= 82.24%, S_TST= 83.35%, T_TST= 81.68%
     E:034/300 #B:015, t=015.56m, L=09.6034, ACC : S_TRN= 98.44%, T_TRN= 81.35%, S_TST= 83.32%, T_TST= 81.89%
     E:035/300 #B:015, t=015.87m, L=09.5730, ACC : S_TRN= 98.44%, T_TRN= 82.03%, S_TST= 82.99%, T_TST= 81.66%
  ++ E:036/300 #B:015, t=016.19m, L=09.5755, ACC : S_TRN= 98.49%, T_TRN= 82.14%, S_TST= 83.30%, T_TST= 82.06%
     E:037/300 #B:015, t=016.67m, L=09.5639, ACC : S_TRN= 98.65%, T_TRN= 82.40%, S_TST= 83.21%, T_TST= 81.85%
     E:038/300 #B:015, t=017.00m, L=09.5471, ACC : S_TRN= 98.02%, T_TRN= 82.14%, S_TST= 83.27%, T_TST= 81.64%
     E:039/300 #B:015, t=017.31m, L=09.5450, ACC : S_TRN= 98.54%, T_TRN= 81.35%, S_TST= 83.44%, T_TST= 81.73%
     E:040/300 #B:015, t=017.59m, L=09.5428, ACC : S_TRN= 98.18%, T_TRN= 80.62%, S_TST= 83.10%, T_TST= 81.64%
     E:041/300 #B:015, t=017.88m, L=09.5557, ACC : S_TRN= 98.59%, T_TRN= 82.19%, S_TST= 83.18%, T_TST= 81.55%
     E:042/300 #B:015, t=018.22m, L=09.5247, ACC : S_TRN= 98.44%, T_TRN= 82.29%, S_TST= 83.18%, T_TST= 81.59%
     E:043/300 #B:015, t=018.55m, L=09.5204, ACC : S_TRN= 98.80%, T_TRN= 80.62%, S_TST= 83.24%, T_TST= 81.61%
     E:044/300 #B:015, t=018.90m, L=09.5316, ACC : S_TRN= 98.59%, T_TRN= 81.20%, S_TST= 83.13%, T_TST= 81.52%
     E:045/300 #B:015, t=019.19m, L=09.5353, ACC : S_TRN= 98.59%, T_TRN= 81.20%, S_TST= 83.24%, T_TST= 81.48%
     E:046/300 #B:015, t=019.52m, L=09.5165, ACC : S_TRN= 98.54%, T_TRN= 80.83%, S_TST= 82.99%, T_TST= 81.57%
     E:047/300 #B:015, t=019.84m, L=09.5020, ACC : S_TRN= 98.96%, T_TRN= 81.09%, S_TST= 82.91%, T_TST= 81.57%
     E:048/300 #B:015, t=020.18m, L=09.5035, ACC : S_TRN= 98.44%, T_TRN= 81.72%, S_TST= 82.79%, T_TST= 81.75%
     E:049/300 #B:015, t=020.49m, L=09.5004, ACC : S_TRN= 98.70%, T_TRN= 80.94%, S_TST= 82.91%, T_TST= 81.53%
     E:050/300 #B:015, t=020.80m, L=09.5064, ACC : S_TRN= 99.17%, T_TRN= 81.56%, S_TST= 83.02%, T_TST= 81.46%
     E:051/300 #B:015, t=021.10m, L=09.4796, ACC : S_TRN= 98.65%, T_TRN= 80.99%, S_TST= 82.91%, T_TST= 81.52%
