

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.17m, L=10.8145, ACC : S_TRN= 62.19%, T_TRN= 53.23%, S_TST= 57.45%, T_TST= 53.37%
**++ E:001/300 #B:015, t=000.69m, L=10.6775, ACC : S_TRN= 67.71%, T_TRN= 56.51%, S_TST= 62.60%, T_TST= 57.85%
**++ E:002/300 #B:015, t=001.11m, L=10.5634, ACC : S_TRN= 74.01%, T_TRN= 60.10%, S_TST= 66.93%, T_TST= 61.88%
**++ E:003/300 #B:015, t=001.58m, L=10.4171, ACC : S_TRN= 79.48%, T_TRN= 64.69%, S_TST= 69.83%, T_TST= 66.83%
**++ E:004/300 #B:015, t=002.05m, L=10.3542, ACC : S_TRN= 84.84%, T_TRN= 70.68%, S_TST= 74.82%, T_TST= 72.55%
**++ E:005/300 #B:015, t=002.48m, L=10.2009, ACC : S_TRN= 88.39%, T_TRN= 75.31%, S_TST= 78.22%, T_TST= 75.56%
**++ E:006/300 #B:015, t=002.95m, L=10.1221, ACC : S_TRN= 91.15%, T_TRN= 76.72%, S_TST= 80.81%, T_TST= 78.54%
**++ E:007/300 #B:015, t=003.33m, L=10.0369, ACC : S_TRN= 90.89%, T_TRN= 78.80%, S_TST= 81.54%, T_TST= 79.78%
**++ E:008/300 #B:015, t=003.79m, L=09.9821, ACC : S_TRN= 91.46%, T_TRN= 79.38%, S_TST= 82.52%, T_TST= 81.58%
**++ E:009/300 #B:015, t=004.23m, L=09.9323, ACC : S_TRN= 92.81%, T_TRN= 80.89%, S_TST= 82.99%, T_TST= 82.76%
  ++ E:010/300 #B:015, t=004.67m, L=09.9059, ACC : S_TRN= 92.29%, T_TRN= 81.09%, S_TST= 82.91%, T_TST= 83.30%
**++ E:011/300 #B:015, t=005.06m, L=09.8810, ACC : S_TRN= 94.69%, T_TRN= 81.09%, S_TST= 83.41%, T_TST= 83.63%
**++ E:012/300 #B:015, t=005.50m, L=09.8425, ACC : S_TRN= 94.48%, T_TRN= 80.05%, S_TST= 83.91%, T_TST= 83.84%
**   E:013/300 #B:015, t=006.02m, L=09.8406, ACC : S_TRN= 94.84%, T_TRN= 80.68%, S_TST= 83.91%, T_TST= 83.80%
     E:014/300 #B:015, t=006.29m, L=09.8088, ACC : S_TRN= 95.31%, T_TRN= 81.56%, S_TST= 83.80%, T_TST= 83.77%
**++ E:015/300 #B:015, t=006.53m, L=09.7812, ACC : S_TRN= 95.73%, T_TRN= 82.19%, S_TST= 84.22%, T_TST= 84.05%
**   E:016/300 #B:015, t=007.01m, L=09.7993, ACC : S_TRN= 95.73%, T_TRN= 81.35%, S_TST= 84.41%, T_TST= 84.02%
  ++ E:017/300 #B:015, t=007.31m, L=09.7410, ACC : S_TRN= 96.04%, T_TRN= 82.19%, S_TST= 84.02%, T_TST= 84.44%
  ++ E:018/300 #B:015, t=007.71m, L=09.7254, ACC : S_TRN= 96.09%, T_TRN= 83.44%, S_TST= 84.02%, T_TST= 84.54%
  ++ E:019/300 #B:015, t=008.25m, L=09.7067, ACC : S_TRN= 96.30%, T_TRN= 82.14%, S_TST= 83.88%, T_TST= 84.68%
  ++ E:020/300 #B:015, t=008.68m, L=09.7056, ACC : S_TRN= 96.61%, T_TRN= 82.45%, S_TST= 83.91%, T_TST= 84.91%
  ++ E:021/300 #B:015, t=009.18m, L=09.6907, ACC : S_TRN= 96.46%, T_TRN= 83.65%, S_TST= 83.91%, T_TST= 85.15%
     E:022/300 #B:015, t=009.68m, L=09.6770, ACC : S_TRN= 96.46%, T_TRN= 83.18%, S_TST= 83.94%, T_TST= 84.89%
     E:023/300 #B:015, t=009.95m, L=09.6815, ACC : S_TRN= 96.46%, T_TRN= 83.75%, S_TST= 83.63%, T_TST= 84.86%
     E:024/300 #B:015, t=010.25m, L=09.6552, ACC : S_TRN= 96.41%, T_TRN= 83.80%, S_TST= 83.77%, T_TST= 85.00%
     E:025/300 #B:015, t=010.53m, L=09.6609, ACC : S_TRN= 96.82%, T_TRN= 84.43%, S_TST= 83.80%, T_TST= 84.98%
     E:026/300 #B:015, t=010.80m, L=09.6545, ACC : S_TRN= 97.34%, T_TRN= 83.07%, S_TST= 83.07%, T_TST= 85.00%
     E:027/300 #B:015, t=011.14m, L=09.6480, ACC : S_TRN= 98.44%, T_TRN= 83.85%, S_TST= 83.38%, T_TST= 85.03%
  ++ E:028/300 #B:015, t=011.46m, L=09.6238, ACC : S_TRN= 97.86%, T_TRN= 81.88%, S_TST= 83.24%, T_TST= 85.16%
  ++ E:029/300 #B:015, t=011.93m, L=09.5966, ACC : S_TRN= 98.33%, T_TRN= 84.11%, S_TST= 83.41%, T_TST= 85.47%
     E:030/300 #B:015, t=012.42m, L=09.5987, ACC : S_TRN= 98.02%, T_TRN= 83.12%, S_TST= 83.21%, T_TST= 85.23%
     E:031/300 #B:015, t=012.77m, L=09.5844, ACC : S_TRN= 98.12%, T_TRN= 84.01%, S_TST= 83.21%, T_TST= 85.06%
     E:032/300 #B:015, t=013.07m, L=09.5966, ACC : S_TRN= 98.28%, T_TRN= 82.50%, S_TST= 83.18%, T_TST= 85.18%
     E:033/300 #B:015, t=013.39m, L=09.5770, ACC : S_TRN= 98.39%, T_TRN= 83.75%, S_TST= 83.16%, T_TST= 85.21%
     E:034/300 #B:015, t=013.68m, L=09.5797, ACC : S_TRN= 98.44%, T_TRN= 84.38%, S_TST= 83.30%, T_TST= 85.16%
     E:035/300 #B:015, t=013.98m, L=09.5696, ACC : S_TRN= 98.54%, T_TRN= 84.53%, S_TST= 83.32%, T_TST= 85.15%
     E:036/300 #B:015, t=014.25m, L=09.5568, ACC : S_TRN= 98.75%, T_TRN= 83.33%, S_TST= 83.16%, T_TST= 85.28%
     E:037/300 #B:015, t=014.61m, L=09.5775, ACC : S_TRN= 98.85%, T_TRN= 83.96%, S_TST= 83.24%, T_TST= 85.30%
     E:038/300 #B:015, t=014.88m, L=09.5579, ACC : S_TRN= 98.49%, T_TRN= 83.23%, S_TST= 83.10%, T_TST= 85.16%
     E:039/300 #B:015, t=015.18m, L=09.5551, ACC : S_TRN= 98.44%, T_TRN= 83.07%, S_TST= 83.21%, T_TST= 85.16%
     E:040/300 #B:015, t=015.43m, L=09.5416, ACC : S_TRN= 98.39%, T_TRN= 84.22%, S_TST= 83.24%, T_TST= 85.42%
     E:041/300 #B:015, t=015.72m, L=09.5396, ACC : S_TRN= 98.70%, T_TRN= 84.74%, S_TST= 83.16%, T_TST= 85.23%
     E:042/300 #B:015, t=016.00m, L=09.5422, ACC : S_TRN= 98.33%, T_TRN= 83.23%, S_TST= 83.49%, T_TST= 85.33%
     E:043/300 #B:015, t=016.29m, L=09.5404, ACC : S_TRN= 98.59%, T_TRN= 84.27%, S_TST= 83.10%, T_TST= 85.38%
     E:044/300 #B:015, t=016.60m, L=09.5385, ACC : S_TRN= 98.65%, T_TRN= 81.82%, S_TST= 83.58%, T_TST= 85.38%
     E:045/300 #B:015, t=016.96m, L=09.5348, ACC : S_TRN= 98.49%, T_TRN= 84.38%, S_TST= 83.07%, T_TST= 85.42%
     E:046/300 #B:015, t=017.32m, L=09.5153, ACC : S_TRN= 98.85%, T_TRN= 84.69%, S_TST= 83.55%, T_TST= 85.42%
     E:047/300 #B:015, t=017.63m, L=09.5135, ACC : S_TRN= 98.70%, T_TRN= 84.11%, S_TST= 83.52%, T_TST= 85.42%
     E:048/300 #B:015, t=017.99m, L=09.5266, ACC : S_TRN= 98.65%, T_TRN= 84.27%, S_TST= 83.55%, T_TST= 85.38%
     E:049/300 #B:015, t=018.33m, L=09.4964, ACC : S_TRN= 98.49%, T_TRN= 83.70%, S_TST= 83.41%, T_TST= 85.45%
  ++ E:050/300 #B:015, t=018.66m, L=09.4976, ACC : S_TRN= 98.59%, T_TRN= 83.39%, S_TST= 83.71%, T_TST= 85.55%
  ++ E:051/300 #B:015, t=019.17m, L=09.4841, ACC : S_TRN= 98.91%, T_TRN= 83.75%, S_TST= 83.44%, T_TST= 85.70%
     E:052/300 #B:015, t=019.66m, L=09.5197, ACC : S_TRN= 99.11%, T_TRN= 83.23%, S_TST= 83.32%, T_TST= 85.33%
     E:053/300 #B:015, t=019.97m, L=09.4844, ACC : S_TRN= 98.75%, T_TRN= 83.02%, S_TST= 83.24%, T_TST= 85.38%
     E:054/300 #B:015, t=020.34m, L=09.4912, ACC : S_TRN= 99.01%, T_TRN= 83.70%, S_TST= 83.32%, T_TST= 85.45%
     E:055/300 #B:015, t=020.66m, L=09.4790, ACC : S_TRN= 99.01%, T_TRN= 83.23%, S_TST= 82.96%, T_TST= 85.16%
     E:056/300 #B:015, t=020.95m, L=09.4841, ACC : S_TRN= 98.85%, T_TRN= 83.39%, S_TST= 83.05%, T_TST= 85.16%
     E:057/300 #B:015, t=021.26m, L=09.4851, ACC : S_TRN= 99.17%, T_TRN= 83.80%, S_TST= 83.07%, T_TST= 85.35%
     E:058/300 #B:015, t=021.55m, L=09.4855, ACC : S_TRN= 98.70%, T_TRN= 80.31%, S_TST= 82.93%, T_TST= 85.05%
     E:059/300 #B:015, t=021.89m, L=09.4778, ACC : S_TRN= 98.91%, T_TRN= 82.76%, S_TST= 82.96%, T_TST= 85.00%
     E:060/300 #B:015, t=022.16m, L=09.4660, ACC : S_TRN= 98.85%, T_TRN= 83.54%, S_TST= 82.99%, T_TST= 85.26%
     E:061/300 #B:015, t=022.46m, L=09.4583, ACC : S_TRN= 98.70%, T_TRN= 83.91%, S_TST= 82.96%, T_TST= 85.15%
     E:062/300 #B:015, t=022.80m, L=09.4568, ACC : S_TRN= 99.11%, T_TRN= 82.40%, S_TST= 83.02%, T_TST= 85.25%
     E:063/300 #B:015, t=023.16m, L=09.4640, ACC : S_TRN= 99.22%, T_TRN= 82.55%, S_TST= 82.85%, T_TST= 85.20%
     E:064/300 #B:015, t=023.49m, L=09.4594, ACC : S_TRN= 99.22%, T_TRN= 82.29%, S_TST= 82.91%, T_TST= 85.10%
     E:065/300 #B:015, t=023.83m, L=09.4679, ACC : S_TRN= 99.11%, T_TRN= 82.71%, S_TST= 82.85%, T_TST= 85.33%
     E:066/300 #B:015, t=024.12m, L=09.4589, ACC : S_TRN= 99.17%, T_TRN= 83.54%, S_TST= 83.05%, T_TST= 85.32%
     E:067/300 #B:015, t=024.39m, L=09.4542, ACC : S_TRN= 99.32%, T_TRN= 83.65%, S_TST= 82.93%, T_TST= 85.35%
     E:068/300 #B:015, t=024.72m, L=09.4785, ACC : S_TRN= 99.11%, T_TRN= 84.48%, S_TST= 82.99%, T_TST= 85.26%
     E:069/300 #B:015, t=025.01m, L=09.4408, ACC : S_TRN= 99.06%, T_TRN= 84.01%, S_TST= 82.88%, T_TST= 85.25%
     E:070/300 #B:015, t=025.31m, L=09.4340, ACC : S_TRN= 99.11%, T_TRN= 82.76%, S_TST= 82.79%, T_TST= 85.05%
     E:071/300 #B:015, t=025.63m, L=09.4530, ACC : S_TRN= 98.96%, T_TRN= 83.80%, S_TST= 82.91%, T_TST= 85.11%
     E:072/300 #B:015, t=025.96m, L=09.4568, ACC : S_TRN= 99.17%, T_TRN= 84.64%, S_TST= 83.02%, T_TST= 85.08%
