

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_dvd', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_dvd, experiment=electronics_dvd, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.17m, L=10.8098, ACC : S_TRN= 60.16%, T_TRN= 52.76%, S_TST= 58.21%, T_TST= 51.62%
**++ E:001/300 #B:015, t=000.61m, L=10.6788, ACC : S_TRN= 68.39%, T_TRN= 55.26%, S_TST= 65.64%, T_TST= 54.88%
**++ E:002/300 #B:015, t=001.10m, L=10.5538, ACC : S_TRN= 73.85%, T_TRN= 57.50%, S_TST= 70.62%, T_TST= 58.81%
**++ E:003/300 #B:015, t=001.51m, L=10.4024, ACC : S_TRN= 77.14%, T_TRN= 63.18%, S_TST= 74.46%, T_TST= 62.69%
**++ E:004/300 #B:015, t=001.96m, L=10.3041, ACC : S_TRN= 85.73%, T_TRN= 66.77%, S_TST= 80.51%, T_TST= 65.59%
**++ E:005/300 #B:015, t=002.35m, L=10.2078, ACC : S_TRN= 89.43%, T_TRN= 67.50%, S_TST= 83.72%, T_TST= 70.44%
**++ E:006/300 #B:015, t=002.74m, L=10.1280, ACC : S_TRN= 90.21%, T_TRN= 70.99%, S_TST= 85.06%, T_TST= 72.03%
**++ E:007/300 #B:015, t=003.16m, L=10.0415, ACC : S_TRN= 91.82%, T_TRN= 72.45%, S_TST= 85.41%, T_TST= 73.45%
**++ E:008/300 #B:015, t=003.59m, L=10.0033, ACC : S_TRN= 93.39%, T_TRN= 71.93%, S_TST= 85.71%, T_TST= 74.37%
**++ E:009/300 #B:015, t=004.03m, L=09.9403, ACC : S_TRN= 92.81%, T_TRN= 71.20%, S_TST= 86.22%, T_TST= 75.21%
  ++ E:010/300 #B:015, t=004.46m, L=09.8852, ACC : S_TRN= 93.02%, T_TRN= 74.38%, S_TST= 86.11%, T_TST= 75.32%
**++ E:011/300 #B:015, t=004.86m, L=09.8792, ACC : S_TRN= 94.22%, T_TRN= 72.97%, S_TST= 86.32%, T_TST= 75.43%
**++ E:012/300 #B:015, t=005.33m, L=09.8459, ACC : S_TRN= 94.84%, T_TRN= 72.03%, S_TST= 86.52%, T_TST= 75.77%
**   E:013/300 #B:015, t=005.80m, L=09.8278, ACC : S_TRN= 95.99%, T_TRN= 74.27%, S_TST= 86.62%, T_TST= 75.40%
**   E:014/300 #B:015, t=006.10m, L=09.7903, ACC : S_TRN= 95.62%, T_TRN= 74.95%, S_TST= 86.80%, T_TST= 75.38%
     E:015/300 #B:015, t=006.35m, L=09.7522, ACC : S_TRN= 95.31%, T_TRN= 75.42%, S_TST= 86.64%, T_TST= 75.71%
     E:016/300 #B:015, t=006.62m, L=09.7652, ACC : S_TRN= 95.26%, T_TRN= 72.71%, S_TST= 86.62%, T_TST= 75.54%
**   E:017/300 #B:015, t=006.84m, L=09.7385, ACC : S_TRN= 95.78%, T_TRN= 74.01%, S_TST= 86.89%, T_TST= 75.46%
     E:018/300 #B:015, t=007.13m, L=09.7126, ACC : S_TRN= 95.89%, T_TRN= 73.65%, S_TST= 86.85%, T_TST= 75.35%
     E:019/300 #B:015, t=007.41m, L=09.7203, ACC : S_TRN= 96.82%, T_TRN= 76.46%, S_TST= 86.80%, T_TST= 75.46%
     E:020/300 #B:015, t=007.74m, L=09.6814, ACC : S_TRN= 96.61%, T_TRN= 74.22%, S_TST= 86.82%, T_TST= 75.54%
**   E:021/300 #B:015, t=008.03m, L=09.6571, ACC : S_TRN= 96.56%, T_TRN= 74.74%, S_TST= 86.92%, T_TST= 75.49%
**   E:022/300 #B:015, t=008.30m, L=09.6634, ACC : S_TRN= 97.19%, T_TRN= 75.78%, S_TST= 86.97%, T_TST= 75.60%
     E:023/300 #B:015, t=008.60m, L=09.6398, ACC : S_TRN= 97.55%, T_TRN= 74.79%, S_TST= 86.59%, T_TST= 75.57%
     E:024/300 #B:015, t=008.91m, L=09.6298, ACC : S_TRN= 97.86%, T_TRN= 75.31%, S_TST= 86.59%, T_TST= 75.40%
     E:025/300 #B:015, t=009.21m, L=09.6100, ACC : S_TRN= 98.02%, T_TRN= 74.64%, S_TST= 86.48%, T_TST= 75.66%
     E:026/300 #B:015, t=009.45m, L=09.6090, ACC : S_TRN= 98.12%, T_TRN= 72.76%, S_TST= 86.57%, T_TST= 75.54%
     E:027/300 #B:015, t=009.67m, L=09.6019, ACC : S_TRN= 98.07%, T_TRN= 75.57%, S_TST= 86.67%, T_TST= 75.57%
     E:028/300 #B:015, t=009.93m, L=09.5717, ACC : S_TRN= 98.59%, T_TRN= 74.95%, S_TST= 86.75%, T_TST= 75.52%
  ++ E:029/300 #B:015, t=010.22m, L=09.5649, ACC : S_TRN= 97.66%, T_TRN= 75.73%, S_TST= 86.66%, T_TST= 76.05%
     E:030/300 #B:015, t=010.69m, L=09.5566, ACC : S_TRN= 98.49%, T_TRN= 75.10%, S_TST= 86.75%, T_TST= 75.60%
     E:031/300 #B:015, t=011.04m, L=09.5464, ACC : S_TRN= 98.39%, T_TRN= 74.79%, S_TST= 86.78%, T_TST= 75.77%
     E:032/300 #B:015, t=011.33m, L=09.5330, ACC : S_TRN= 97.66%, T_TRN= 75.10%, S_TST= 86.73%, T_TST= 76.02%
     E:033/300 #B:015, t=011.63m, L=09.5191, ACC : S_TRN= 98.07%, T_TRN= 74.64%, S_TST= 86.78%, T_TST= 75.79%
     E:034/300 #B:015, t=011.88m, L=09.5490, ACC : S_TRN= 97.97%, T_TRN= 73.54%, S_TST= 86.83%, T_TST= 75.79%
     E:035/300 #B:015, t=012.16m, L=09.5173, ACC : S_TRN= 98.28%, T_TRN= 75.05%, S_TST= 86.73%, T_TST= 75.54%
     E:036/300 #B:015, t=012.44m, L=09.5260, ACC : S_TRN= 98.75%, T_TRN= 76.15%, S_TST= 86.78%, T_TST= 75.74%
     E:037/300 #B:015, t=012.79m, L=09.5062, ACC : S_TRN= 98.65%, T_TRN= 74.79%, S_TST= 86.76%, T_TST= 75.85%
     E:038/300 #B:015, t=013.11m, L=09.5196, ACC : S_TRN= 98.75%, T_TRN= 77.71%, S_TST= 86.69%, T_TST= 75.52%
     E:039/300 #B:015, t=013.40m, L=09.4997, ACC : S_TRN= 98.54%, T_TRN= 73.44%, S_TST= 86.83%, T_TST= 75.71%
     E:040/300 #B:015, t=013.71m, L=09.4783, ACC : S_TRN= 98.49%, T_TRN= 74.79%, S_TST= 86.64%, T_TST= 75.71%
     E:041/300 #B:015, t=014.06m, L=09.4802, ACC : S_TRN= 98.85%, T_TRN= 75.73%, S_TST= 86.73%, T_TST= 75.71%
     E:042/300 #B:015, t=014.31m, L=09.4648, ACC : S_TRN= 99.01%, T_TRN= 76.25%, S_TST= 86.67%, T_TST= 75.93%
     E:043/300 #B:015, t=014.63m, L=09.4896, ACC : S_TRN= 99.11%, T_TRN= 75.31%, S_TST= 86.67%, T_TST= 75.66%
     E:044/300 #B:015, t=014.98m, L=09.4704, ACC : S_TRN= 98.65%, T_TRN= 74.11%, S_TST= 86.62%, T_TST= 75.57%
     E:045/300 #B:015, t=015.22m, L=09.4563, ACC : S_TRN= 98.85%, T_TRN= 74.74%, S_TST= 86.53%, T_TST= 75.57%
     E:046/300 #B:015, t=015.52m, L=09.4512, ACC : S_TRN= 99.06%, T_TRN= 74.58%, S_TST= 86.64%, T_TST= 75.79%
     E:047/300 #B:015, t=015.86m, L=09.4281, ACC : S_TRN= 98.85%, T_TRN= 74.11%, S_TST= 86.55%, T_TST= 75.52%
     E:048/300 #B:015, t=016.08m, L=09.4408, ACC : S_TRN= 99.38%, T_TRN= 73.80%, S_TST= 86.53%, T_TST= 75.57%
