

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_kitchen', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_kitchen, experiment=electronics_kitchen, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.18m, L=10.8230, ACC : S_TRN= 64.69%, T_TRN= 61.88%, S_TST= 62.15%, T_TST= 61.88%
**++ E:001/300 #B:015, t=000.70m, L=10.6827, ACC : S_TRN= 78.02%, T_TRN= 74.38%, S_TST= 73.23%, T_TST= 73.57%
**++ E:002/300 #B:015, t=001.18m, L=10.5266, ACC : S_TRN= 84.58%, T_TRN= 78.28%, S_TST= 79.00%, T_TST= 78.64%
**++ E:003/300 #B:015, t=001.75m, L=10.3439, ACC : S_TRN= 85.83%, T_TRN= 82.34%, S_TST= 81.53%, T_TST= 82.64%
**++ E:004/300 #B:015, t=002.22m, L=10.2325, ACC : S_TRN= 89.01%, T_TRN= 84.53%, S_TST= 83.98%, T_TST= 84.12%
**++ E:005/300 #B:015, t=002.67m, L=10.1027, ACC : S_TRN= 91.56%, T_TRN= 84.32%, S_TST= 85.09%, T_TST= 85.52%
**++ E:006/300 #B:015, t=003.06m, L=10.0535, ACC : S_TRN= 91.77%, T_TRN= 84.01%, S_TST= 85.79%, T_TST= 85.70%
**++ E:007/300 #B:015, t=003.47m, L=09.9580, ACC : S_TRN= 92.97%, T_TRN= 85.36%, S_TST= 86.08%, T_TST= 85.92%
**++ E:008/300 #B:015, t=003.98m, L=09.9280, ACC : S_TRN= 93.39%, T_TRN= 85.99%, S_TST= 86.41%, T_TST= 86.63%
**++ E:009/300 #B:015, t=004.43m, L=09.8759, ACC : S_TRN= 92.86%, T_TRN= 84.95%, S_TST= 86.53%, T_TST= 86.69%
**   E:010/300 #B:015, t=004.93m, L=09.8321, ACC : S_TRN= 93.59%, T_TRN= 86.25%, S_TST= 86.76%, T_TST= 86.66%
**++ E:011/300 #B:015, t=005.24m, L=09.8214, ACC : S_TRN= 94.79%, T_TRN= 84.53%, S_TST= 86.92%, T_TST= 86.80%
**++ E:012/300 #B:015, t=005.77m, L=09.8101, ACC : S_TRN= 95.26%, T_TRN= 86.15%, S_TST= 87.04%, T_TST= 87.05%
**   E:013/300 #B:015, t=006.25m, L=09.7887, ACC : S_TRN= 95.52%, T_TRN= 84.84%, S_TST= 87.11%, T_TST= 86.91%
**++ E:014/300 #B:015, t=006.61m, L=09.7711, ACC : S_TRN= 95.57%, T_TRN= 84.69%, S_TST= 87.34%, T_TST= 87.08%
  ++ E:015/300 #B:015, t=007.08m, L=09.7444, ACC : S_TRN= 95.26%, T_TRN= 86.25%, S_TST= 87.11%, T_TST= 87.12%
**   E:016/300 #B:015, t=007.52m, L=09.7410, ACC : S_TRN= 94.90%, T_TRN= 85.94%, S_TST= 87.36%, T_TST= 87.05%
**++ E:017/300 #B:015, t=007.92m, L=09.7202, ACC : S_TRN= 95.62%, T_TRN= 85.21%, S_TST= 87.47%, T_TST= 87.20%
     E:018/300 #B:015, t=008.47m, L=09.7058, ACC : S_TRN= 96.04%, T_TRN= 86.88%, S_TST= 87.43%, T_TST= 87.12%
     E:019/300 #B:015, t=008.79m, L=09.7095, ACC : S_TRN= 96.41%, T_TRN= 85.89%, S_TST= 87.27%, T_TST= 87.00%
     E:020/300 #B:015, t=009.10m, L=09.6990, ACC : S_TRN= 96.35%, T_TRN= 86.30%, S_TST= 87.20%, T_TST= 86.95%
  ++ E:021/300 #B:015, t=009.40m, L=09.6849, ACC : S_TRN= 96.61%, T_TRN= 86.88%, S_TST= 87.26%, T_TST= 87.22%
  ++ E:022/300 #B:015, t=009.90m, L=09.6726, ACC : S_TRN= 97.60%, T_TRN= 86.56%, S_TST= 87.19%, T_TST= 87.30%
     E:023/300 #B:015, t=010.53m, L=09.6540, ACC : S_TRN= 97.45%, T_TRN= 86.98%, S_TST= 87.27%, T_TST= 87.23%
     E:024/300 #B:015, t=010.87m, L=09.6556, ACC : S_TRN= 97.66%, T_TRN= 85.10%, S_TST= 87.27%, T_TST= 87.10%
     E:025/300 #B:015, t=011.22m, L=09.6372, ACC : S_TRN= 97.60%, T_TRN= 85.62%, S_TST= 87.22%, T_TST= 86.85%
     E:026/300 #B:015, t=011.56m, L=09.6305, ACC : S_TRN= 97.29%, T_TRN= 84.58%, S_TST= 87.27%, T_TST= 86.83%
     E:027/300 #B:015, t=011.82m, L=09.6296, ACC : S_TRN= 97.76%, T_TRN= 84.43%, S_TST= 87.27%, T_TST= 87.08%
     E:028/300 #B:015, t=012.08m, L=09.6188, ACC : S_TRN= 98.12%, T_TRN= 85.00%, S_TST= 87.31%, T_TST= 87.08%
     E:029/300 #B:015, t=012.39m, L=09.5939, ACC : S_TRN= 97.29%, T_TRN= 86.82%, S_TST= 87.20%, T_TST= 87.15%
     E:030/300 #B:015, t=012.69m, L=09.5973, ACC : S_TRN= 98.07%, T_TRN= 85.52%, S_TST= 87.13%, T_TST= 87.05%
     E:031/300 #B:015, t=012.99m, L=09.6016, ACC : S_TRN= 97.97%, T_TRN= 86.93%, S_TST= 87.08%, T_TST= 87.00%
     E:032/300 #B:015, t=013.27m, L=09.5756, ACC : S_TRN= 97.55%, T_TRN= 86.15%, S_TST= 87.29%, T_TST= 86.93%
     E:033/300 #B:015, t=013.58m, L=09.5724, ACC : S_TRN= 97.86%, T_TRN= 86.46%, S_TST= 87.24%, T_TST= 86.93%
     E:034/300 #B:015, t=013.95m, L=09.6047, ACC : S_TRN= 97.45%, T_TRN= 87.03%, S_TST= 87.33%, T_TST= 86.96%
     E:035/300 #B:015, t=014.22m, L=09.5572, ACC : S_TRN= 97.45%, T_TRN= 85.52%, S_TST= 87.40%, T_TST= 86.93%
     E:036/300 #B:015, t=014.54m, L=09.5743, ACC : S_TRN= 98.39%, T_TRN= 87.34%, S_TST= 87.33%, T_TST= 87.05%
**   E:037/300 #B:015, t=014.88m, L=09.5544, ACC : S_TRN= 97.97%, T_TRN= 86.56%, S_TST= 87.47%, T_TST= 87.15%
     E:038/300 #B:015, t=015.27m, L=09.5698, ACC : S_TRN= 98.33%, T_TRN= 85.78%, S_TST= 87.34%, T_TST= 87.03%
     E:039/300 #B:015, t=015.56m, L=09.5497, ACC : S_TRN= 97.97%, T_TRN= 85.05%, S_TST= 87.38%, T_TST= 87.15%
     E:040/300 #B:015, t=015.86m, L=09.5476, ACC : S_TRN= 97.92%, T_TRN= 86.72%, S_TST= 87.41%, T_TST= 87.06%
**   E:041/300 #B:015, t=016.17m, L=09.5418, ACC : S_TRN= 98.23%, T_TRN= 87.50%, S_TST= 87.50%, T_TST= 87.13%
**   E:042/300 #B:015, t=016.50m, L=09.5331, ACC : S_TRN= 98.59%, T_TRN= 86.30%, S_TST= 87.59%, T_TST= 87.18%
**   E:043/300 #B:015, t=016.85m, L=09.5458, ACC : S_TRN= 98.70%, T_TRN= 86.51%, S_TST= 87.71%, T_TST= 87.22%
     E:044/300 #B:015, t=017.29m, L=09.5377, ACC : S_TRN= 98.44%, T_TRN= 84.95%, S_TST= 87.63%, T_TST= 87.15%
     E:045/300 #B:015, t=017.61m, L=09.5346, ACC : S_TRN= 98.39%, T_TRN= 86.61%, S_TST= 87.61%, T_TST= 87.13%
     E:046/300 #B:015, t=017.95m, L=09.5372, ACC : S_TRN= 98.18%, T_TRN= 85.73%, S_TST= 87.57%, T_TST= 87.05%
     E:047/300 #B:015, t=018.29m, L=09.5294, ACC : S_TRN= 98.33%, T_TRN= 86.67%, S_TST= 87.48%, T_TST= 87.25%
     E:048/300 #B:015, t=018.66m, L=09.5296, ACC : S_TRN= 98.91%, T_TRN= 85.94%, S_TST= 87.50%, T_TST= 87.10%
     E:049/300 #B:015, t=018.98m, L=09.5333, ACC : S_TRN= 98.54%, T_TRN= 85.99%, S_TST= 87.48%, T_TST= 86.95%
     E:050/300 #B:015, t=019.31m, L=09.4987, ACC : S_TRN= 98.75%, T_TRN= 86.30%, S_TST= 87.40%, T_TST= 87.05%
     E:051/300 #B:015, t=019.63m, L=09.5066, ACC : S_TRN= 98.65%, T_TRN= 86.41%, S_TST= 87.36%, T_TST= 87.06%
     E:052/300 #B:015, t=019.92m, L=09.5040, ACC : S_TRN= 98.85%, T_TRN= 85.57%, S_TST= 87.56%, T_TST= 87.06%
     E:053/300 #B:015, t=020.30m, L=09.5050, ACC : S_TRN= 98.96%, T_TRN= 85.31%, S_TST= 87.54%, T_TST= 86.96%
     E:054/300 #B:015, t=020.68m, L=09.5172, ACC : S_TRN= 98.49%, T_TRN= 84.74%, S_TST= 87.45%, T_TST= 86.83%
     E:055/300 #B:015, t=021.07m, L=09.4966, ACC : S_TRN= 98.85%, T_TRN= 86.35%, S_TST= 87.47%, T_TST= 86.96%
     E:056/300 #B:015, t=021.41m, L=09.4944, ACC : S_TRN= 99.22%, T_TRN= 85.31%, S_TST= 87.47%, T_TST= 87.01%
     E:057/300 #B:015, t=021.75m, L=09.4996, ACC : S_TRN= 98.80%, T_TRN= 87.14%, S_TST= 87.48%, T_TST= 86.95%
     E:058/300 #B:015, t=022.06m, L=09.4961, ACC : S_TRN= 99.22%, T_TRN= 85.00%, S_TST= 87.48%, T_TST= 86.91%
