

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_books', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_books, experiment=kitchen_books, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.18m, L=10.8099, ACC : S_TRN= 60.68%, T_TRN= 52.71%, S_TST= 58.00%, T_TST= 51.56%
**++ E:001/300 #B:015, t=000.71m, L=10.6927, ACC : S_TRN= 69.64%, T_TRN= 56.41%, S_TST= 66.16%, T_TST= 54.51%
**++ E:002/300 #B:015, t=001.21m, L=10.5521, ACC : S_TRN= 77.76%, T_TRN= 60.00%, S_TST= 72.57%, T_TST= 58.97%
**++ E:003/300 #B:015, t=001.70m, L=10.3999, ACC : S_TRN= 81.30%, T_TRN= 59.32%, S_TST= 76.18%, T_TST= 61.10%
**++ E:004/300 #B:015, t=002.19m, L=10.2838, ACC : S_TRN= 86.98%, T_TRN= 63.54%, S_TST= 80.37%, T_TST= 63.56%
**++ E:005/300 #B:015, t=002.62m, L=10.1776, ACC : S_TRN= 90.00%, T_TRN= 64.64%, S_TST= 83.78%, T_TST= 66.36%
**++ E:006/300 #B:015, t=003.05m, L=10.0916, ACC : S_TRN= 90.89%, T_TRN= 67.55%, S_TST= 84.71%, T_TST= 67.41%
**++ E:007/300 #B:015, t=003.48m, L=09.9966, ACC : S_TRN= 92.14%, T_TRN= 67.55%, S_TST= 85.85%, T_TST= 69.23%
     E:008/300 #B:015, t=003.96m, L=09.9763, ACC : S_TRN= 92.14%, T_TRN= 66.35%, S_TST= 85.65%, T_TST= 68.96%
**++ E:009/300 #B:015, t=004.18m, L=09.9679, ACC : S_TRN= 92.97%, T_TRN= 67.34%, S_TST= 86.85%, T_TST= 71.20%
  ++ E:010/300 #B:015, t=004.62m, L=09.8680, ACC : S_TRN= 95.10%, T_TRN= 69.48%, S_TST= 86.49%, T_TST= 71.71%
  ++ E:011/300 #B:015, t=005.07m, L=09.8805, ACC : S_TRN= 94.27%, T_TRN= 70.05%, S_TST= 86.69%, T_TST= 71.85%
**++ E:012/300 #B:015, t=005.48m, L=09.8384, ACC : S_TRN= 95.05%, T_TRN= 69.90%, S_TST= 87.00%, T_TST= 72.00%
**++ E:013/300 #B:015, t=006.02m, L=09.8136, ACC : S_TRN= 96.15%, T_TRN= 69.95%, S_TST= 87.06%, T_TST= 72.27%
**++ E:014/300 #B:015, t=006.49m, L=09.7884, ACC : S_TRN= 96.30%, T_TRN= 71.98%, S_TST= 87.30%, T_TST= 72.74%
**   E:015/300 #B:015, t=007.01m, L=09.7639, ACC : S_TRN= 96.67%, T_TRN= 71.20%, S_TST= 87.54%, T_TST= 72.72%
     E:016/300 #B:015, t=007.37m, L=09.7525, ACC : S_TRN= 96.41%, T_TRN= 71.88%, S_TST= 87.40%, T_TST= 72.59%
**   E:017/300 #B:015, t=007.67m, L=09.7056, ACC : S_TRN= 96.61%, T_TRN= 71.98%, S_TST= 87.54%, T_TST= 72.27%
**++ E:018/300 #B:015, t=008.01m, L=09.6994, ACC : S_TRN= 96.88%, T_TRN= 72.50%, S_TST= 87.70%, T_TST= 72.79%
**   E:019/300 #B:015, t=008.47m, L=09.6926, ACC : S_TRN= 96.88%, T_TRN= 71.15%, S_TST= 87.91%, T_TST= 72.50%
     E:020/300 #B:015, t=008.85m, L=09.6514, ACC : S_TRN= 97.34%, T_TRN= 72.19%, S_TST= 87.84%, T_TST= 72.50%
**   E:021/300 #B:015, t=009.22m, L=09.6689, ACC : S_TRN= 97.29%, T_TRN= 72.86%, S_TST= 87.97%, T_TST= 72.34%
     E:022/300 #B:015, t=009.50m, L=09.6107, ACC : S_TRN= 97.55%, T_TRN= 73.33%, S_TST= 87.86%, T_TST= 72.41%
     E:023/300 #B:015, t=009.86m, L=09.6174, ACC : S_TRN= 97.92%, T_TRN= 73.75%, S_TST= 87.80%, T_TST= 72.63%
     E:024/300 #B:015, t=010.16m, L=09.5939, ACC : S_TRN= 97.66%, T_TRN= 72.71%, S_TST= 87.94%, T_TST= 72.47%
     E:025/300 #B:015, t=010.53m, L=09.5990, ACC : S_TRN= 96.93%, T_TRN= 72.66%, S_TST= 87.87%, T_TST= 72.36%
**   E:026/300 #B:015, t=010.86m, L=09.5821, ACC : S_TRN= 98.07%, T_TRN= 73.59%, S_TST= 87.97%, T_TST= 72.52%
**   E:027/300 #B:015, t=011.22m, L=09.5742, ACC : S_TRN= 98.70%, T_TRN= 72.45%, S_TST= 88.06%, T_TST= 72.68%
     E:028/300 #B:015, t=011.55m, L=09.5400, ACC : S_TRN= 98.75%, T_TRN= 71.98%, S_TST= 88.04%, T_TST= 72.70%
**++ E:029/300 #B:015, t=011.84m, L=09.5314, ACC : S_TRN= 98.54%, T_TRN= 72.19%, S_TST= 88.12%, T_TST= 72.83%
  ++ E:030/300 #B:015, t=012.40m, L=09.5261, ACC : S_TRN= 98.33%, T_TRN= 73.65%, S_TST= 88.06%, T_TST= 72.88%
  ++ E:031/300 #B:015, t=012.87m, L=09.5266, ACC : S_TRN= 98.49%, T_TRN= 75.73%, S_TST= 88.09%, T_TST= 72.90%
  ++ E:032/300 #B:015, t=013.29m, L=09.5009, ACC : S_TRN= 98.80%, T_TRN= 73.59%, S_TST= 88.11%, T_TST= 72.95%
  ++ E:033/300 #B:015, t=013.79m, L=09.4959, ACC : S_TRN= 97.97%, T_TRN= 71.77%, S_TST= 88.06%, T_TST= 73.08%
     E:034/300 #B:015, t=014.31m, L=09.5072, ACC : S_TRN= 98.80%, T_TRN= 71.88%, S_TST= 88.07%, T_TST= 72.95%
     E:035/300 #B:015, t=014.64m, L=09.4900, ACC : S_TRN= 98.49%, T_TRN= 72.40%, S_TST= 88.11%, T_TST= 72.97%
**   E:036/300 #B:015, t=014.94m, L=09.4866, ACC : S_TRN= 98.54%, T_TRN= 74.32%, S_TST= 88.16%, T_TST= 73.03%
     E:037/300 #B:015, t=015.28m, L=09.4998, ACC : S_TRN= 99.11%, T_TRN= 71.15%, S_TST= 88.02%, T_TST= 72.65%
     E:038/300 #B:015, t=015.56m, L=09.4788, ACC : S_TRN= 98.70%, T_TRN= 70.78%, S_TST= 88.14%, T_TST= 72.88%
     E:039/300 #B:015, t=015.85m, L=09.4598, ACC : S_TRN= 98.59%, T_TRN= 72.08%, S_TST= 88.07%, T_TST= 72.50%
     E:040/300 #B:015, t=016.16m, L=09.4719, ACC : S_TRN= 98.85%, T_TRN= 72.50%, S_TST= 88.02%, T_TST= 72.63%
     E:041/300 #B:015, t=016.40m, L=09.4807, ACC : S_TRN= 98.91%, T_TRN= 72.71%, S_TST= 88.02%, T_TST= 72.74%
     E:042/300 #B:015, t=016.74m, L=09.4619, ACC : S_TRN= 99.22%, T_TRN= 73.75%, S_TST= 87.99%, T_TST= 72.43%
     E:043/300 #B:015, t=017.12m, L=09.4408, ACC : S_TRN= 98.91%, T_TRN= 74.17%, S_TST= 87.84%, T_TST= 72.39%
