

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_dvd', feature_num=5000, gpus='3', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_dvd, experiment=kitchen_dvd, gpus=3, hostname=19_06_01_10_49_28, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_10_49_28, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 3
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_10_49_28_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.07m, L=10.8084, ACC : S_TRN= 61.04%, T_TRN= 52.40%, S_TST= 57.86%, T_TST= 51.53%
**++ E:001/300 #B:015, t=000.56m, L=10.6853, ACC : S_TRN= 69.64%, T_TRN= 55.68%, S_TST= 66.46%, T_TST= 54.88%
**++ E:002/300 #B:015, t=001.08m, L=10.5525, ACC : S_TRN= 77.86%, T_TRN= 56.93%, S_TST= 72.63%, T_TST= 59.26%
**++ E:003/300 #B:015, t=001.55m, L=10.3802, ACC : S_TRN= 80.10%, T_TRN= 60.36%, S_TST= 76.32%, T_TST= 61.68%
**++ E:004/300 #B:015, t=001.99m, L=10.2604, ACC : S_TRN= 86.67%, T_TRN= 63.33%, S_TST= 80.27%, T_TST= 64.70%
**++ E:005/300 #B:015, t=002.46m, L=10.1795, ACC : S_TRN= 89.43%, T_TRN= 65.31%, S_TST= 83.68%, T_TST= 67.48%
**++ E:006/300 #B:015, t=002.91m, L=10.0796, ACC : S_TRN= 90.78%, T_TRN= 69.01%, S_TST= 85.11%, T_TST= 68.99%
**++ E:007/300 #B:015, t=003.36m, L=10.0001, ACC : S_TRN= 91.51%, T_TRN= 70.36%, S_TST= 85.84%, T_TST= 69.66%
  ++ E:008/300 #B:015, t=003.85m, L=09.9724, ACC : S_TRN= 92.60%, T_TRN= 67.86%, S_TST= 85.48%, T_TST= 69.94%
**++ E:009/300 #B:015, t=004.23m, L=09.9523, ACC : S_TRN= 92.29%, T_TRN= 69.95%, S_TST= 86.48%, T_TST= 71.50%
**++ E:010/300 #B:015, t=004.68m, L=09.8707, ACC : S_TRN= 95.16%, T_TRN= 71.93%, S_TST= 86.80%, T_TST= 71.95%
**   E:011/300 #B:015, t=005.21m, L=09.8769, ACC : S_TRN= 93.96%, T_TRN= 70.47%, S_TST= 87.35%, T_TST= 71.64%
  ++ E:012/300 #B:015, t=005.52m, L=09.8429, ACC : S_TRN= 95.00%, T_TRN= 69.84%, S_TST= 87.25%, T_TST= 72.39%
**++ E:013/300 #B:015, t=005.95m, L=09.8079, ACC : S_TRN= 96.20%, T_TRN= 71.82%, S_TST= 87.50%, T_TST= 72.67%
**++ E:014/300 #B:015, t=006.42m, L=09.7913, ACC : S_TRN= 96.04%, T_TRN= 72.08%, S_TST= 87.55%, T_TST= 72.78%
**++ E:015/300 #B:015, t=006.90m, L=09.7556, ACC : S_TRN= 96.67%, T_TRN= 71.09%, S_TST= 87.84%, T_TST= 73.06%
**   E:016/300 #B:015, t=007.35m, L=09.7394, ACC : S_TRN= 95.73%, T_TRN= 69.27%, S_TST= 87.94%, T_TST= 72.62%
     E:017/300 #B:015, t=007.70m, L=09.7190, ACC : S_TRN= 96.46%, T_TRN= 71.35%, S_TST= 87.84%, T_TST= 72.48%
     E:018/300 #B:015, t=008.02m, L=09.6955, ACC : S_TRN= 96.30%, T_TRN= 70.16%, S_TST= 87.72%, T_TST= 72.11%
**   E:019/300 #B:015, t=008.27m, L=09.6904, ACC : S_TRN= 96.09%, T_TRN= 73.70%, S_TST= 88.02%, T_TST= 72.42%
     E:020/300 #B:015, t=008.56m, L=09.6573, ACC : S_TRN= 97.03%, T_TRN= 71.82%, S_TST= 87.87%, T_TST= 72.59%
     E:021/300 #B:015, t=008.86m, L=09.6652, ACC : S_TRN= 96.30%, T_TRN= 72.55%, S_TST= 87.97%, T_TST= 72.45%
     E:022/300 #B:015, t=009.17m, L=09.5998, ACC : S_TRN= 97.50%, T_TRN= 70.94%, S_TST= 87.86%, T_TST= 72.39%
**   E:023/300 #B:015, t=009.47m, L=09.6158, ACC : S_TRN= 97.66%, T_TRN= 71.35%, S_TST= 88.06%, T_TST= 72.39%
**   E:024/300 #B:015, t=009.80m, L=09.5810, ACC : S_TRN= 97.86%, T_TRN= 72.08%, S_TST= 88.29%, T_TST= 72.53%
     E:025/300 #B:015, t=010.18m, L=09.5932, ACC : S_TRN= 96.98%, T_TRN= 71.67%, S_TST= 88.14%, T_TST= 72.53%
     E:026/300 #B:015, t=010.51m, L=09.5696, ACC : S_TRN= 97.97%, T_TRN= 70.52%, S_TST= 88.24%, T_TST= 72.53%
**   E:027/300 #B:015, t=010.82m, L=09.5621, ACC : S_TRN= 98.39%, T_TRN= 71.67%, S_TST= 88.36%, T_TST= 72.73%
**   E:028/300 #B:015, t=011.22m, L=09.5493, ACC : S_TRN= 98.07%, T_TRN= 71.82%, S_TST= 88.39%, T_TST= 73.01%
     E:029/300 #B:015, t=011.56m, L=09.5380, ACC : S_TRN= 98.33%, T_TRN= 72.14%, S_TST= 88.23%, T_TST= 72.87%
     E:030/300 #B:015, t=011.85m, L=09.5188, ACC : S_TRN= 98.07%, T_TRN= 72.29%, S_TST= 88.16%, T_TST= 72.78%
     E:031/300 #B:015, t=012.14m, L=09.5233, ACC : S_TRN= 98.12%, T_TRN= 70.05%, S_TST= 88.29%, T_TST= 72.92%
     E:032/300 #B:015, t=012.42m, L=09.4930, ACC : S_TRN= 98.33%, T_TRN= 72.03%, S_TST= 88.31%, T_TST= 72.84%
     E:033/300 #B:015, t=012.72m, L=09.5081, ACC : S_TRN= 97.50%, T_TRN= 72.40%, S_TST= 88.31%, T_TST= 72.92%
     E:034/300 #B:015, t=013.01m, L=09.5014, ACC : S_TRN= 98.39%, T_TRN= 72.19%, S_TST= 88.28%, T_TST= 72.70%
     E:035/300 #B:015, t=013.27m, L=09.5009, ACC : S_TRN= 98.02%, T_TRN= 71.41%, S_TST= 88.16%, T_TST= 72.76%
     E:036/300 #B:015, t=013.53m, L=09.4859, ACC : S_TRN= 98.59%, T_TRN= 72.97%, S_TST= 88.26%, T_TST= 72.48%
     E:037/300 #B:015, t=013.86m, L=09.4918, ACC : S_TRN= 98.91%, T_TRN= 71.77%, S_TST= 88.28%, T_TST= 72.78%
     E:038/300 #B:015, t=014.19m, L=09.4725, ACC : S_TRN= 98.44%, T_TRN= 73.65%, S_TST= 88.34%, T_TST= 72.70%
**   E:039/300 #B:015, t=014.52m, L=09.4730, ACC : S_TRN= 98.28%, T_TRN= 70.94%, S_TST= 88.43%, T_TST= 72.36%
     E:040/300 #B:015, t=014.90m, L=09.4608, ACC : S_TRN= 98.70%, T_TRN= 72.66%, S_TST= 88.39%, T_TST= 72.42%
**   E:041/300 #B:015, t=015.27m, L=09.4494, ACC : S_TRN= 98.54%, T_TRN= 71.88%, S_TST= 88.46%, T_TST= 72.31%
     E:042/300 #B:015, t=015.54m, L=09.4522, ACC : S_TRN= 99.06%, T_TRN= 73.65%, S_TST= 88.31%, T_TST= 72.23%
     E:043/300 #B:015, t=015.85m, L=09.4606, ACC : S_TRN= 98.96%, T_TRN= 72.19%, S_TST= 88.28%, T_TST= 72.31%
     E:044/300 #B:015, t=016.14m, L=09.4531, ACC : S_TRN= 98.33%, T_TRN= 71.35%, S_TST= 88.43%, T_TST= 72.25%
