

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_kitchen, experiment=books_kitchen, gpus=1, hostname=19_06_01_12_32_54, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_12_32_54, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.24m, L=11.5517, ACC : S_TRN= 62.03%, T_TRN= 53.44%, S_TST= 56.39%, T_TST= 52.06%
**++ E:001/300 #B:015, t=000.80m, L=11.4678, ACC : S_TRN= 67.76%, T_TRN= 51.35%, S_TST= 62.40%, T_TST= 54.89%
**++ E:002/300 #B:015, t=001.20m, L=11.3687, ACC : S_TRN= 74.17%, T_TRN= 58.70%, S_TST= 67.73%, T_TST= 60.50%
**++ E:003/300 #B:015, t=001.69m, L=11.2788, ACC : S_TRN= 80.68%, T_TRN= 64.01%, S_TST= 72.88%, T_TST= 65.74%
**++ E:004/300 #B:015, t=002.19m, L=11.1671, ACC : S_TRN= 84.38%, T_TRN= 68.65%, S_TST= 77.04%, T_TST= 70.36%
**++ E:005/300 #B:015, t=002.78m, L=11.0938, ACC : S_TRN= 87.50%, T_TRN= 72.24%, S_TST= 79.10%, T_TST= 72.99%
**++ E:006/300 #B:015, t=003.27m, L=11.0081, ACC : S_TRN= 87.76%, T_TRN= 75.05%, S_TST= 80.76%, T_TST= 75.12%
**++ E:007/300 #B:015, t=003.74m, L=10.9283, ACC : S_TRN= 91.15%, T_TRN= 73.70%, S_TST= 82.11%, T_TST= 76.85%
**++ E:008/300 #B:015, t=004.23m, L=10.9046, ACC : S_TRN= 90.89%, T_TRN= 76.20%, S_TST= 82.58%, T_TST= 77.33%
**++ E:009/300 #B:015, t=004.75m, L=10.8574, ACC : S_TRN= 92.03%, T_TRN= 75.73%, S_TST= 83.05%, T_TST= 78.60%
**++ E:010/300 #B:015, t=005.22m, L=10.8451, ACC : S_TRN= 92.40%, T_TRN= 76.35%, S_TST= 83.45%, T_TST= 79.51%
**++ E:011/300 #B:015, t=005.65m, L=10.8180, ACC : S_TRN= 93.07%, T_TRN= 76.93%, S_TST= 83.83%, T_TST= 80.32%
**++ E:012/300 #B:015, t=006.17m, L=10.7943, ACC : S_TRN= 93.33%, T_TRN= 78.96%, S_TST= 84.03%, T_TST= 80.81%
  ++ E:013/300 #B:015, t=006.67m, L=10.7684, ACC : S_TRN= 94.11%, T_TRN= 79.01%, S_TST= 83.78%, T_TST= 80.84%
  ++ E:014/300 #B:015, t=007.12m, L=10.7576, ACC : S_TRN= 93.23%, T_TRN= 79.27%, S_TST= 83.83%, T_TST= 81.01%
**++ E:015/300 #B:015, t=007.54m, L=10.7435, ACC : S_TRN= 94.11%, T_TRN= 79.90%, S_TST= 84.05%, T_TST= 81.83%
**++ E:016/300 #B:015, t=008.02m, L=10.7320, ACC : S_TRN= 94.27%, T_TRN= 79.17%, S_TST= 84.26%, T_TST= 82.10%
     E:017/300 #B:015, t=008.59m, L=10.7315, ACC : S_TRN= 95.31%, T_TRN= 80.31%, S_TST= 84.12%, T_TST= 81.93%
  ++ E:018/300 #B:015, t=008.85m, L=10.6953, ACC : S_TRN= 94.32%, T_TRN= 78.96%, S_TST= 84.10%, T_TST= 82.22%
**++ E:019/300 #B:015, t=009.33m, L=10.7081, ACC : S_TRN= 95.26%, T_TRN= 79.69%, S_TST= 84.34%, T_TST= 82.39%
**++ E:020/300 #B:015, t=009.84m, L=10.7001, ACC : S_TRN= 94.27%, T_TRN= 81.09%, S_TST= 84.41%, T_TST= 82.81%
     E:021/300 #B:015, t=010.35m, L=10.6770, ACC : S_TRN= 95.47%, T_TRN= 80.52%, S_TST= 84.34%, T_TST= 82.72%
     E:022/300 #B:015, t=010.71m, L=10.6613, ACC : S_TRN= 95.68%, T_TRN= 80.89%, S_TST= 84.30%, T_TST= 82.79%
     E:023/300 #B:015, t=010.93m, L=10.6663, ACC : S_TRN= 95.73%, T_TRN= 81.72%, S_TST= 84.32%, T_TST= 82.66%
**   E:024/300 #B:015, t=011.23m, L=10.6665, ACC : S_TRN= 96.72%, T_TRN= 80.47%, S_TST= 84.50%, T_TST= 82.69%
  ++ E:025/300 #B:015, t=011.52m, L=10.6411, ACC : S_TRN= 96.67%, T_TRN= 81.93%, S_TST= 84.30%, T_TST= 82.89%
  ++ E:026/300 #B:015, t=012.03m, L=10.6419, ACC : S_TRN= 96.04%, T_TRN= 81.41%, S_TST= 84.46%, T_TST= 82.89%
  ++ E:027/300 #B:015, t=012.52m, L=10.6370, ACC : S_TRN= 96.72%, T_TRN= 81.77%, S_TST= 84.30%, T_TST= 82.89%
  ++ E:028/300 #B:015, t=013.09m, L=10.6385, ACC : S_TRN= 96.56%, T_TRN= 81.04%, S_TST= 84.34%, T_TST= 82.98%
  ++ E:029/300 #B:015, t=013.62m, L=10.5975, ACC : S_TRN= 97.08%, T_TRN= 82.45%, S_TST= 84.01%, T_TST= 83.11%
  ++ E:030/300 #B:015, t=014.05m, L=10.6035, ACC : S_TRN= 97.29%, T_TRN= 82.14%, S_TST= 84.19%, T_TST= 83.15%
     E:031/300 #B:015, t=014.50m, L=10.6212, ACC : S_TRN= 96.30%, T_TRN= 82.08%, S_TST= 84.05%, T_TST= 83.01%
  ++ E:032/300 #B:015, t=014.85m, L=10.5946, ACC : S_TRN= 96.35%, T_TRN= 82.34%, S_TST= 84.48%, T_TST= 83.40%
     E:033/300 #B:015, t=015.43m, L=10.5851, ACC : S_TRN= 97.19%, T_TRN= 82.08%, S_TST= 84.23%, T_TST= 83.18%
     E:034/300 #B:015, t=015.72m, L=10.5913, ACC : S_TRN= 96.72%, T_TRN= 82.81%, S_TST= 83.99%, T_TST= 83.28%
     E:035/300 #B:015, t=016.03m, L=10.5752, ACC : S_TRN= 97.24%, T_TRN= 82.71%, S_TST= 84.37%, T_TST= 83.26%
     E:036/300 #B:015, t=016.42m, L=10.5656, ACC : S_TRN= 97.55%, T_TRN= 82.40%, S_TST= 83.96%, T_TST= 83.33%
  ++ E:037/300 #B:015, t=016.76m, L=10.5936, ACC : S_TRN= 97.29%, T_TRN= 83.07%, S_TST= 84.14%, T_TST= 83.57%
  ++ E:038/300 #B:015, t=017.25m, L=10.5815, ACC : S_TRN= 96.77%, T_TRN= 82.08%, S_TST= 84.28%, T_TST= 83.57%
     E:039/300 #B:015, t=017.70m, L=10.5570, ACC : S_TRN= 96.09%, T_TRN= 81.51%, S_TST= 84.26%, T_TST= 83.53%
     E:040/300 #B:015, t=018.05m, L=10.5659, ACC : S_TRN= 97.55%, T_TRN= 81.93%, S_TST= 84.19%, T_TST= 83.48%
  ++ E:041/300 #B:015, t=018.35m, L=10.5611, ACC : S_TRN= 97.40%, T_TRN= 83.18%, S_TST= 84.21%, T_TST= 83.63%
  ++ E:042/300 #B:015, t=018.86m, L=10.5500, ACC : S_TRN= 96.82%, T_TRN= 84.01%, S_TST= 84.26%, T_TST= 83.72%
  ++ E:043/300 #B:015, t=019.43m, L=10.5625, ACC : S_TRN= 96.93%, T_TRN= 82.92%, S_TST= 84.34%, T_TST= 83.73%
  ++ E:044/300 #B:015, t=019.86m, L=10.5585, ACC : S_TRN= 97.34%, T_TRN= 82.24%, S_TST= 84.05%, T_TST= 83.85%
     E:045/300 #B:015, t=020.41m, L=10.5341, ACC : S_TRN= 96.61%, T_TRN= 82.76%, S_TST= 84.43%, T_TST= 83.80%
     E:046/300 #B:015, t=020.74m, L=10.5296, ACC : S_TRN= 96.35%, T_TRN= 83.54%, S_TST= 84.30%, T_TST= 83.75%
  ++ E:047/300 #B:015, t=021.14m, L=10.5451, ACC : S_TRN= 97.55%, T_TRN= 81.56%, S_TST= 84.19%, T_TST= 83.94%
     E:048/300 #B:015, t=021.65m, L=10.5336, ACC : S_TRN= 97.40%, T_TRN= 83.02%, S_TST= 84.17%, T_TST= 83.77%
     E:049/300 #B:015, t=021.99m, L=10.5299, ACC : S_TRN= 97.55%, T_TRN= 82.14%, S_TST= 84.34%, T_TST= 83.84%
     E:050/300 #B:015, t=022.36m, L=10.5250, ACC : S_TRN= 96.88%, T_TRN= 83.85%, S_TST= 84.23%, T_TST= 83.90%
     E:051/300 #B:015, t=022.70m, L=10.5098, ACC : S_TRN= 97.08%, T_TRN= 82.71%, S_TST= 84.14%, T_TST= 83.89%
     E:052/300 #B:015, t=023.04m, L=10.5180, ACC : S_TRN= 97.14%, T_TRN= 82.34%, S_TST= 84.08%, T_TST= 83.77%
     E:053/300 #B:015, t=023.34m, L=10.5100, ACC : S_TRN= 96.98%, T_TRN= 82.34%, S_TST= 84.19%, T_TST= 83.92%
