

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=1, hostname=19_06_01_12_32_54, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_12_32_54, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.23m, L=11.5350, ACC : S_TRN= 57.66%, T_TRN= 53.44%, S_TST= 55.24%, T_TST= 51.51%
**++ E:001/300 #B:015, t=000.69m, L=11.4337, ACC : S_TRN= 64.95%, T_TRN= 51.61%, S_TST= 59.59%, T_TST= 55.00%
**++ E:002/300 #B:015, t=001.19m, L=11.3310, ACC : S_TRN= 71.25%, T_TRN= 59.17%, S_TST= 63.75%, T_TST= 58.79%
**++ E:003/300 #B:015, t=001.77m, L=11.2451, ACC : S_TRN= 76.35%, T_TRN= 63.28%, S_TST= 68.82%, T_TST= 65.20%
**++ E:004/300 #B:015, t=002.22m, L=11.1266, ACC : S_TRN= 81.25%, T_TRN= 68.59%, S_TST= 73.09%, T_TST= 69.25%
**++ E:005/300 #B:015, t=002.75m, L=11.0520, ACC : S_TRN= 85.99%, T_TRN= 72.50%, S_TST= 76.24%, T_TST= 73.46%
**++ E:006/300 #B:015, t=003.22m, L=10.9923, ACC : S_TRN= 86.67%, T_TRN= 74.01%, S_TST= 77.89%, T_TST= 75.66%
**++ E:007/300 #B:015, t=003.70m, L=10.9129, ACC : S_TRN= 87.86%, T_TRN= 75.42%, S_TST= 79.64%, T_TST= 77.39%
**++ E:008/300 #B:015, t=004.20m, L=10.9006, ACC : S_TRN= 91.77%, T_TRN= 75.78%, S_TST= 80.90%, T_TST= 79.02%
**++ E:009/300 #B:015, t=004.72m, L=10.8414, ACC : S_TRN= 91.04%, T_TRN= 76.20%, S_TST= 81.96%, T_TST= 80.66%
**++ E:010/300 #B:015, t=005.20m, L=10.8377, ACC : S_TRN= 92.08%, T_TRN= 75.94%, S_TST= 82.93%, T_TST= 81.35%
**++ E:011/300 #B:015, t=005.66m, L=10.8287, ACC : S_TRN= 93.80%, T_TRN= 78.44%, S_TST= 83.32%, T_TST= 81.95%
**   E:012/300 #B:015, t=006.12m, L=10.7744, ACC : S_TRN= 93.02%, T_TRN= 79.27%, S_TST= 83.69%, T_TST= 81.92%
**++ E:013/300 #B:015, t=006.54m, L=10.7464, ACC : S_TRN= 92.66%, T_TRN= 79.27%, S_TST= 83.80%, T_TST= 82.24%
**++ E:014/300 #B:015, t=006.99m, L=10.7456, ACC : S_TRN= 93.28%, T_TRN= 80.99%, S_TST= 83.91%, T_TST= 82.44%
**++ E:015/300 #B:015, t=007.40m, L=10.7575, ACC : S_TRN= 93.75%, T_TRN= 79.84%, S_TST= 83.99%, T_TST= 83.10%
     E:016/300 #B:015, t=007.85m, L=10.7461, ACC : S_TRN= 94.90%, T_TRN= 79.48%, S_TST= 83.94%, T_TST= 83.03%
  ++ E:017/300 #B:015, t=008.19m, L=10.7126, ACC : S_TRN= 94.53%, T_TRN= 81.82%, S_TST= 83.63%, T_TST= 83.16%
  ++ E:018/300 #B:015, t=008.59m, L=10.7169, ACC : S_TRN= 94.74%, T_TRN= 80.83%, S_TST= 83.94%, T_TST= 83.82%
     E:019/300 #B:015, t=009.01m, L=10.6929, ACC : S_TRN= 95.62%, T_TRN= 79.58%, S_TST= 83.55%, T_TST= 83.78%
**++ E:020/300 #B:015, t=009.30m, L=10.6948, ACC : S_TRN= 95.42%, T_TRN= 82.03%, S_TST= 84.10%, T_TST= 83.85%
  ++ E:021/300 #B:015, t=009.82m, L=10.6785, ACC : S_TRN= 95.16%, T_TRN= 80.42%, S_TST= 83.77%, T_TST= 83.90%
  ++ E:022/300 #B:015, t=010.36m, L=10.6563, ACC : S_TRN= 95.21%, T_TRN= 81.15%, S_TST= 84.02%, T_TST= 84.10%
**++ E:023/300 #B:015, t=010.92m, L=10.6487, ACC : S_TRN= 95.62%, T_TRN= 81.67%, S_TST= 84.33%, T_TST= 84.21%
  ++ E:024/300 #B:015, t=011.43m, L=10.6493, ACC : S_TRN= 95.26%, T_TRN= 81.15%, S_TST= 84.10%, T_TST= 84.21%
  ++ E:025/300 #B:015, t=011.87m, L=10.6470, ACC : S_TRN= 95.94%, T_TRN= 81.41%, S_TST= 84.30%, T_TST= 84.83%
     E:026/300 #B:015, t=012.36m, L=10.6289, ACC : S_TRN= 95.57%, T_TRN= 81.72%, S_TST= 84.19%, T_TST= 84.47%
     E:027/300 #B:015, t=012.73m, L=10.6302, ACC : S_TRN= 96.51%, T_TRN= 82.55%, S_TST= 84.19%, T_TST= 84.39%
     E:028/300 #B:015, t=013.06m, L=10.6429, ACC : S_TRN= 96.72%, T_TRN= 82.55%, S_TST= 84.30%, T_TST= 84.64%
     E:029/300 #B:015, t=013.41m, L=10.6150, ACC : S_TRN= 96.41%, T_TRN= 82.81%, S_TST= 83.99%, T_TST= 84.69%
     E:030/300 #B:015, t=013.73m, L=10.6111, ACC : S_TRN= 95.89%, T_TRN= 80.62%, S_TST= 84.08%, T_TST= 84.78%
     E:031/300 #B:015, t=014.03m, L=10.6071, ACC : S_TRN= 96.20%, T_TRN= 82.34%, S_TST= 83.94%, T_TST= 84.64%
  ++ E:032/300 #B:015, t=014.34m, L=10.6036, ACC : S_TRN= 96.30%, T_TRN= 81.35%, S_TST= 84.08%, T_TST= 84.89%
     E:033/300 #B:015, t=014.82m, L=10.6025, ACC : S_TRN= 96.61%, T_TRN= 82.40%, S_TST= 83.88%, T_TST= 84.73%
     E:034/300 #B:015, t=015.15m, L=10.5767, ACC : S_TRN= 96.93%, T_TRN= 83.02%, S_TST= 84.16%, T_TST= 84.78%
     E:035/300 #B:015, t=015.49m, L=10.5600, ACC : S_TRN= 96.35%, T_TRN= 82.86%, S_TST= 84.13%, T_TST= 84.68%
     E:036/300 #B:015, t=015.81m, L=10.5793, ACC : S_TRN= 96.67%, T_TRN= 81.93%, S_TST= 84.30%, T_TST= 84.83%
  ++ E:037/300 #B:015, t=016.15m, L=10.5807, ACC : S_TRN= 96.67%, T_TRN= 82.86%, S_TST= 83.97%, T_TST= 85.03%
     E:038/300 #B:015, t=016.67m, L=10.5590, ACC : S_TRN= 96.35%, T_TRN= 82.19%, S_TST= 83.99%, T_TST= 84.81%
     E:039/300 #B:015, t=017.09m, L=10.5691, ACC : S_TRN= 96.77%, T_TRN= 80.99%, S_TST= 84.08%, T_TST= 84.83%
     E:040/300 #B:015, t=017.37m, L=10.5587, ACC : S_TRN= 96.88%, T_TRN= 82.08%, S_TST= 84.10%, T_TST= 84.54%
     E:041/300 #B:015, t=017.68m, L=10.5752, ACC : S_TRN= 96.77%, T_TRN= 83.12%, S_TST= 84.08%, T_TST= 84.58%
     E:042/300 #B:015, t=018.00m, L=10.5458, ACC : S_TRN= 97.14%, T_TRN= 82.40%, S_TST= 84.05%, T_TST= 84.68%
     E:043/300 #B:015, t=018.36m, L=10.5505, ACC : S_TRN= 97.66%, T_TRN= 82.24%, S_TST= 84.13%, T_TST= 84.66%
     E:044/300 #B:015, t=018.64m, L=10.5700, ACC : S_TRN= 97.50%, T_TRN= 83.23%, S_TST= 84.27%, T_TST= 84.79%
     E:045/300 #B:015, t=018.97m, L=10.5365, ACC : S_TRN= 97.08%, T_TRN= 82.29%, S_TST= 84.22%, T_TST= 84.68%
     E:046/300 #B:015, t=019.27m, L=10.5498, ACC : S_TRN= 97.40%, T_TRN= 82.19%, S_TST= 84.27%, T_TST= 84.73%
     E:047/300 #B:015, t=019.61m, L=10.5422, ACC : S_TRN= 97.08%, T_TRN= 81.25%, S_TST= 84.27%, T_TST= 84.78%
     E:048/300 #B:015, t=019.92m, L=10.5291, ACC : S_TRN= 96.82%, T_TRN= 83.54%, S_TST= 84.24%, T_TST= 84.98%
     E:049/300 #B:015, t=020.26m, L=10.5162, ACC : S_TRN= 96.72%, T_TRN= 83.02%, S_TST= 84.27%, T_TST= 84.83%
     E:050/300 #B:015, t=020.60m, L=10.5358, ACC : S_TRN= 96.20%, T_TRN= 83.23%, S_TST= 84.27%, T_TST= 84.79%
     E:051/300 #B:015, t=020.95m, L=10.5132, ACC : S_TRN= 97.66%, T_TRN= 81.82%, S_TST= 84.27%, T_TST= 85.00%
**   E:052/300 #B:015, t=021.30m, L=10.5319, ACC : S_TRN= 97.40%, T_TRN= 81.46%, S_TST= 84.44%, T_TST= 84.64%
     E:053/300 #B:015, t=021.64m, L=10.5084, ACC : S_TRN= 96.77%, T_TRN= 82.81%, S_TST= 84.38%, T_TST= 84.83%
     E:054/300 #B:015, t=021.96m, L=10.4943, ACC : S_TRN= 97.55%, T_TRN= 83.54%, S_TST= 84.05%, T_TST= 84.44%
     E:055/300 #B:015, t=022.37m, L=10.4821, ACC : S_TRN= 97.76%, T_TRN= 82.66%, S_TST= 84.22%, T_TST= 84.51%
     E:056/300 #B:015, t=022.71m, L=10.5096, ACC : S_TRN= 97.34%, T_TRN= 81.72%, S_TST= 83.99%, T_TST= 84.49%
     E:057/300 #B:015, t=023.04m, L=10.4898, ACC : S_TRN= 97.71%, T_TRN= 81.41%, S_TST= 84.10%, T_TST= 84.56%
     E:058/300 #B:015, t=023.35m, L=10.4758, ACC : S_TRN= 97.60%, T_TRN= 82.24%, S_TST= 84.16%, T_TST= 84.93%
     E:059/300 #B:015, t=023.69m, L=10.5003, ACC : S_TRN= 97.45%, T_TRN= 82.19%, S_TST= 84.02%, T_TST= 84.96%
     E:060/300 #B:015, t=023.98m, L=10.4768, ACC : S_TRN= 96.82%, T_TRN= 81.09%, S_TST= 84.02%, T_TST= 84.83%
