

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_books', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_books, experiment=electronics_books, gpus=1, hostname=19_06_01_12_32_54, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_12_32_54, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.26m, L=11.5296, ACC : S_TRN= 58.91%, T_TRN= 48.49%, S_TST= 56.64%, T_TST= 50.10%
**++ E:001/300 #B:015, t=000.82m, L=11.4329, ACC : S_TRN= 64.84%, T_TRN= 51.61%, S_TST= 63.16%, T_TST= 53.17%
**++ E:002/300 #B:015, t=001.32m, L=11.3369, ACC : S_TRN= 75.26%, T_TRN= 55.31%, S_TST= 69.35%, T_TST= 56.48%
**++ E:003/300 #B:015, t=001.81m, L=11.2302, ACC : S_TRN= 78.23%, T_TRN= 56.61%, S_TST= 74.78%, T_TST= 60.49%
**++ E:004/300 #B:015, t=002.34m, L=11.1058, ACC : S_TRN= 82.92%, T_TRN= 63.44%, S_TST= 79.37%, T_TST= 63.45%
**++ E:005/300 #B:015, t=002.79m, L=11.0369, ACC : S_TRN= 87.19%, T_TRN= 66.51%, S_TST= 81.82%, T_TST= 66.09%
**++ E:006/300 #B:015, t=003.30m, L=10.9668, ACC : S_TRN= 89.84%, T_TRN= 69.32%, S_TST= 83.49%, T_TST= 67.70%
**++ E:007/300 #B:015, t=003.86m, L=10.9023, ACC : S_TRN= 89.95%, T_TRN= 69.17%, S_TST= 84.19%, T_TST= 68.62%
**++ E:008/300 #B:015, t=004.39m, L=10.8884, ACC : S_TRN= 90.62%, T_TRN= 69.58%, S_TST= 84.91%, T_TST= 69.70%
**++ E:009/300 #B:015, t=004.93m, L=10.8499, ACC : S_TRN= 91.98%, T_TRN= 71.04%, S_TST= 85.43%, T_TST= 70.32%
**++ E:010/300 #B:015, t=005.43m, L=10.8286, ACC : S_TRN= 93.39%, T_TRN= 68.91%, S_TST= 85.94%, T_TST= 71.24%
**++ E:011/300 #B:015, t=005.94m, L=10.8067, ACC : S_TRN= 93.85%, T_TRN= 71.93%, S_TST= 86.29%, T_TST= 71.91%
  ++ E:012/300 #B:015, t=006.48m, L=10.7751, ACC : S_TRN= 93.23%, T_TRN= 72.08%, S_TST= 86.06%, T_TST= 72.41%
**++ E:013/300 #B:015, t=006.99m, L=10.7484, ACC : S_TRN= 93.33%, T_TRN= 71.25%, S_TST= 86.38%, T_TST= 72.74%
**++ E:014/300 #B:015, t=007.48m, L=10.7406, ACC : S_TRN= 94.58%, T_TRN= 70.31%, S_TST= 86.66%, T_TST= 72.92%
**++ E:015/300 #B:015, t=008.00m, L=10.7279, ACC : S_TRN= 94.27%, T_TRN= 70.31%, S_TST= 86.89%, T_TST= 73.37%
  ++ E:016/300 #B:015, t=008.68m, L=10.7204, ACC : S_TRN= 94.79%, T_TRN= 71.56%, S_TST= 86.83%, T_TST= 74.04%
**   E:017/300 #B:015, t=009.15m, L=10.6973, ACC : S_TRN= 95.57%, T_TRN= 70.57%, S_TST= 87.11%, T_TST= 73.68%
     E:018/300 #B:015, t=009.49m, L=10.6811, ACC : S_TRN= 95.68%, T_TRN= 72.08%, S_TST= 87.08%, T_TST= 73.73%
     E:019/300 #B:015, t=009.80m, L=10.6787, ACC : S_TRN= 94.84%, T_TRN= 70.36%, S_TST= 86.85%, T_TST= 73.95%
  ++ E:020/300 #B:015, t=010.04m, L=10.6735, ACC : S_TRN= 94.74%, T_TRN= 71.98%, S_TST= 86.69%, T_TST= 74.06%
  ++ E:021/300 #B:015, t=010.56m, L=10.6353, ACC : S_TRN= 96.35%, T_TRN= 72.92%, S_TST= 86.87%, T_TST= 74.22%
  ++ E:022/300 #B:015, t=011.09m, L=10.6383, ACC : S_TRN= 95.68%, T_TRN= 72.03%, S_TST= 87.10%, T_TST= 74.40%
  ++ E:023/300 #B:015, t=011.65m, L=10.6204, ACC : S_TRN= 96.30%, T_TRN= 72.29%, S_TST= 87.08%, T_TST= 74.49%
  ++ E:024/300 #B:015, t=012.18m, L=10.6225, ACC : S_TRN= 96.61%, T_TRN= 72.45%, S_TST= 87.01%, T_TST= 74.56%
     E:025/300 #B:015, t=012.65m, L=10.6161, ACC : S_TRN= 96.56%, T_TRN= 71.88%, S_TST= 87.08%, T_TST= 74.29%
  ++ E:026/300 #B:015, t=013.02m, L=10.5988, ACC : S_TRN= 96.51%, T_TRN= 72.24%, S_TST= 87.08%, T_TST= 74.74%
  ++ E:027/300 #B:015, t=013.57m, L=10.5914, ACC : S_TRN= 95.68%, T_TRN= 72.03%, S_TST= 86.57%, T_TST= 74.96%
  ++ E:028/300 #B:015, t=014.07m, L=10.5995, ACC : S_TRN= 96.82%, T_TRN= 75.36%, S_TST= 86.92%, T_TST= 75.01%
**   E:029/300 #B:015, t=014.60m, L=10.5896, ACC : S_TRN= 96.41%, T_TRN= 72.81%, S_TST= 87.33%, T_TST= 74.94%
**   E:030/300 #B:015, t=015.00m, L=10.5976, ACC : S_TRN= 96.77%, T_TRN= 73.59%, S_TST= 87.33%, T_TST= 74.71%
**   E:031/300 #B:015, t=015.31m, L=10.5703, ACC : S_TRN= 97.08%, T_TRN= 73.49%, S_TST= 87.33%, T_TST= 74.74%
     E:032/300 #B:015, t=015.73m, L=10.5665, ACC : S_TRN= 96.46%, T_TRN= 70.99%, S_TST= 87.11%, T_TST= 74.96%
     E:033/300 #B:015, t=016.15m, L=10.5634, ACC : S_TRN= 96.88%, T_TRN= 72.08%, S_TST= 86.96%, T_TST= 74.96%
     E:034/300 #B:015, t=016.57m, L=10.5562, ACC : S_TRN= 95.78%, T_TRN= 72.60%, S_TST= 87.24%, T_TST= 74.96%
     E:035/300 #B:015, t=016.95m, L=10.5324, ACC : S_TRN= 97.76%, T_TRN= 72.71%, S_TST= 87.15%, T_TST= 74.92%
     E:036/300 #B:015, t=017.28m, L=10.5563, ACC : S_TRN= 96.93%, T_TRN= 71.93%, S_TST= 87.27%, T_TST= 74.83%
  ++ E:037/300 #B:015, t=017.61m, L=10.5203, ACC : S_TRN= 96.77%, T_TRN= 74.27%, S_TST= 87.27%, T_TST= 75.05%
     E:038/300 #B:015, t=018.14m, L=10.5349, ACC : S_TRN= 97.29%, T_TRN= 72.86%, S_TST= 87.26%, T_TST= 74.62%
     E:039/300 #B:015, t=018.55m, L=10.5227, ACC : S_TRN= 97.24%, T_TRN= 72.66%, S_TST= 87.19%, T_TST= 74.69%
     E:040/300 #B:015, t=018.95m, L=10.5157, ACC : S_TRN= 97.19%, T_TRN= 71.82%, S_TST= 87.22%, T_TST= 74.51%
     E:041/300 #B:015, t=019.34m, L=10.5117, ACC : S_TRN= 97.55%, T_TRN= 71.46%, S_TST= 87.19%, T_TST= 74.74%
**   E:042/300 #B:015, t=019.72m, L=10.5212, ACC : S_TRN= 96.98%, T_TRN= 72.40%, S_TST= 87.38%, T_TST= 74.78%
     E:043/300 #B:015, t=020.20m, L=10.5205, ACC : S_TRN= 96.67%, T_TRN= 71.51%, S_TST= 87.27%, T_TST= 74.65%
**   E:044/300 #B:015, t=020.58m, L=10.5140, ACC : S_TRN= 97.08%, T_TRN= 72.55%, S_TST= 87.40%, T_TST= 74.78%
     E:045/300 #B:015, t=021.10m, L=10.4963, ACC : S_TRN= 97.40%, T_TRN= 71.15%, S_TST= 87.24%, T_TST= 74.65%
     E:046/300 #B:015, t=021.45m, L=10.4925, ACC : S_TRN= 97.40%, T_TRN= 72.24%, S_TST= 87.38%, T_TST= 74.69%
     E:047/300 #B:015, t=021.86m, L=10.4897, ACC : S_TRN= 97.40%, T_TRN= 71.41%, S_TST= 87.31%, T_TST= 74.47%
     E:048/300 #B:015, t=022.27m, L=10.5198, ACC : S_TRN= 96.41%, T_TRN= 72.45%, S_TST= 87.34%, T_TST= 74.42%
     E:049/300 #B:015, t=022.59m, L=10.5020, ACC : S_TRN= 97.34%, T_TRN= 72.03%, S_TST= 87.33%, T_TST= 74.65%
     E:050/300 #B:015, t=022.93m, L=10.4819, ACC : S_TRN= 96.98%, T_TRN= 74.53%, S_TST= 87.33%, T_TST= 74.54%
**   E:051/300 #B:015, t=023.27m, L=10.4702, ACC : S_TRN= 97.92%, T_TRN= 72.19%, S_TST= 87.45%, T_TST= 74.45%
