

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_dvd', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_dvd, experiment=electronics_dvd, gpus=1, hostname=19_06_01_12_32_54, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_12_32_54, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.24m, L=11.5301, ACC : S_TRN= 58.85%, T_TRN= 51.20%, S_TST= 57.42%, T_TST= 50.59%
**++ E:001/300 #B:015, t=000.65m, L=11.4273, ACC : S_TRN= 64.01%, T_TRN= 53.44%, S_TST= 63.14%, T_TST= 53.40%
**++ E:002/300 #B:015, t=001.09m, L=11.3348, ACC : S_TRN= 75.00%, T_TRN= 57.97%, S_TST= 69.83%, T_TST= 57.17%
**++ E:003/300 #B:015, t=001.69m, L=11.2244, ACC : S_TRN= 77.81%, T_TRN= 58.18%, S_TST= 74.21%, T_TST= 60.60%
**++ E:004/300 #B:015, t=002.22m, L=11.0947, ACC : S_TRN= 83.49%, T_TRN= 64.32%, S_TST= 79.65%, T_TST= 63.94%
**++ E:005/300 #B:015, t=002.68m, L=11.0267, ACC : S_TRN= 87.66%, T_TRN= 67.66%, S_TST= 81.75%, T_TST= 67.62%
**++ E:006/300 #B:015, t=003.22m, L=10.9599, ACC : S_TRN= 89.17%, T_TRN= 68.44%, S_TST= 83.70%, T_TST= 69.49%
**++ E:007/300 #B:015, t=003.86m, L=10.8979, ACC : S_TRN= 89.79%, T_TRN= 70.05%, S_TST= 84.65%, T_TST= 70.55%
**++ E:008/300 #B:015, t=004.40m, L=10.8768, ACC : S_TRN= 90.83%, T_TRN= 70.94%, S_TST= 85.50%, T_TST= 71.83%
**++ E:009/300 #B:015, t=004.92m, L=10.8465, ACC : S_TRN= 91.09%, T_TRN= 71.20%, S_TST= 85.83%, T_TST= 72.48%
**++ E:010/300 #B:015, t=005.35m, L=10.8199, ACC : S_TRN= 93.28%, T_TRN= 72.24%, S_TST= 85.87%, T_TST= 73.06%
**++ E:011/300 #B:015, t=005.84m, L=10.8061, ACC : S_TRN= 92.66%, T_TRN= 72.97%, S_TST= 85.97%, T_TST= 73.26%
  ++ E:012/300 #B:015, t=006.37m, L=10.7780, ACC : S_TRN= 93.75%, T_TRN= 72.60%, S_TST= 85.85%, T_TST= 73.34%
**++ E:013/300 #B:015, t=006.80m, L=10.7302, ACC : S_TRN= 92.86%, T_TRN= 72.14%, S_TST= 86.15%, T_TST= 73.79%
**++ E:014/300 #B:015, t=007.41m, L=10.7256, ACC : S_TRN= 94.64%, T_TRN= 72.92%, S_TST= 86.27%, T_TST= 74.07%
**   E:015/300 #B:015, t=007.94m, L=10.7259, ACC : S_TRN= 94.22%, T_TRN= 73.28%, S_TST= 86.45%, T_TST= 73.79%
**++ E:016/300 #B:015, t=008.33m, L=10.7130, ACC : S_TRN= 95.05%, T_TRN= 73.44%, S_TST= 86.50%, T_TST= 74.15%
**++ E:017/300 #B:015, t=008.83m, L=10.6930, ACC : S_TRN= 96.30%, T_TRN= 73.54%, S_TST= 86.78%, T_TST= 74.40%
**++ E:018/300 #B:015, t=009.37m, L=10.6797, ACC : S_TRN= 95.83%, T_TRN= 73.91%, S_TST= 86.94%, T_TST= 74.46%
     E:019/300 #B:015, t=009.90m, L=10.6689, ACC : S_TRN= 95.31%, T_TRN= 73.18%, S_TST= 86.85%, T_TST= 74.40%
  ++ E:020/300 #B:015, t=010.23m, L=10.6630, ACC : S_TRN= 95.26%, T_TRN= 73.96%, S_TST= 86.83%, T_TST= 74.60%
     E:021/300 #B:015, t=010.79m, L=10.6359, ACC : S_TRN= 95.78%, T_TRN= 76.67%, S_TST= 86.76%, T_TST= 74.18%
**   E:022/300 #B:015, t=011.05m, L=10.6373, ACC : S_TRN= 96.09%, T_TRN= 74.22%, S_TST= 87.17%, T_TST= 74.21%
     E:023/300 #B:015, t=011.42m, L=10.6341, ACC : S_TRN= 96.04%, T_TRN= 74.79%, S_TST= 87.06%, T_TST= 74.18%
     E:024/300 #B:015, t=011.72m, L=10.6104, ACC : S_TRN= 96.30%, T_TRN= 76.25%, S_TST= 86.94%, T_TST= 74.12%
**   E:025/300 #B:015, t=012.04m, L=10.6025, ACC : S_TRN= 96.67%, T_TRN= 76.41%, S_TST= 87.17%, T_TST= 73.87%
     E:026/300 #B:015, t=012.45m, L=10.5948, ACC : S_TRN= 95.89%, T_TRN= 73.91%, S_TST= 86.76%, T_TST= 74.04%
     E:027/300 #B:015, t=012.82m, L=10.5938, ACC : S_TRN= 95.52%, T_TRN= 75.16%, S_TST= 86.67%, T_TST= 74.34%
     E:028/300 #B:015, t=013.18m, L=10.5833, ACC : S_TRN= 96.35%, T_TRN= 73.65%, S_TST= 86.76%, T_TST= 74.51%
     E:029/300 #B:015, t=013.48m, L=10.5739, ACC : S_TRN= 95.47%, T_TRN= 73.65%, S_TST= 86.82%, T_TST= 74.26%
     E:030/300 #B:015, t=013.82m, L=10.5988, ACC : S_TRN= 96.51%, T_TRN= 75.94%, S_TST= 86.92%, T_TST= 74.26%
     E:031/300 #B:015, t=014.14m, L=10.5670, ACC : S_TRN= 96.88%, T_TRN= 74.17%, S_TST= 86.92%, T_TST= 74.48%
     E:032/300 #B:015, t=014.48m, L=10.5618, ACC : S_TRN= 95.73%, T_TRN= 75.21%, S_TST= 86.87%, T_TST= 74.32%
     E:033/300 #B:015, t=014.88m, L=10.5445, ACC : S_TRN= 96.51%, T_TRN= 72.03%, S_TST= 86.92%, T_TST= 74.23%
     E:034/300 #B:015, t=015.25m, L=10.5275, ACC : S_TRN= 95.00%, T_TRN= 74.17%, S_TST= 86.89%, T_TST= 74.43%
     E:035/300 #B:015, t=015.60m, L=10.5400, ACC : S_TRN= 97.24%, T_TRN= 76.46%, S_TST= 87.04%, T_TST= 74.26%
     E:036/300 #B:015, t=016.01m, L=10.5337, ACC : S_TRN= 96.46%, T_TRN= 75.00%, S_TST= 86.97%, T_TST= 74.01%
     E:037/300 #B:015, t=016.39m, L=10.5323, ACC : S_TRN= 97.03%, T_TRN= 75.21%, S_TST= 86.96%, T_TST= 73.95%
     E:038/300 #B:015, t=016.72m, L=10.5215, ACC : S_TRN= 97.19%, T_TRN= 75.47%, S_TST= 87.08%, T_TST= 74.09%
     E:039/300 #B:015, t=017.08m, L=10.5398, ACC : S_TRN= 96.93%, T_TRN= 72.92%, S_TST= 87.08%, T_TST= 74.12%
     E:040/300 #B:015, t=017.41m, L=10.5229, ACC : S_TRN= 96.88%, T_TRN= 75.52%, S_TST= 87.08%, T_TST= 74.07%
     E:041/300 #B:015, t=017.74m, L=10.5073, ACC : S_TRN= 97.03%, T_TRN= 75.73%, S_TST= 87.08%, T_TST= 74.23%
     E:042/300 #B:015, t=018.15m, L=10.5156, ACC : S_TRN= 96.88%, T_TRN= 74.43%, S_TST= 86.99%, T_TST= 74.46%
     E:043/300 #B:015, t=018.48m, L=10.5006, ACC : S_TRN= 96.41%, T_TRN= 76.20%, S_TST= 87.11%, T_TST= 74.57%
     E:044/300 #B:015, t=018.84m, L=10.4940, ACC : S_TRN= 96.72%, T_TRN= 75.83%, S_TST= 87.13%, T_TST= 74.23%
     E:045/300 #B:015, t=019.14m, L=10.4984, ACC : S_TRN= 96.67%, T_TRN= 75.62%, S_TST= 86.92%, T_TST= 74.54%
  ++ E:046/300 #B:015, t=019.49m, L=10.5028, ACC : S_TRN= 97.14%, T_TRN= 77.03%, S_TST= 87.06%, T_TST= 74.71%
  ++ E:047/300 #B:015, t=020.03m, L=10.4932, ACC : S_TRN= 97.34%, T_TRN= 74.79%, S_TST= 86.99%, T_TST= 74.71%
     E:048/300 #B:015, t=020.61m, L=10.4841, ACC : S_TRN= 96.25%, T_TRN= 75.05%, S_TST= 87.04%, T_TST= 74.48%
     E:049/300 #B:015, t=020.95m, L=10.4883, ACC : S_TRN= 96.56%, T_TRN= 75.42%, S_TST= 87.03%, T_TST= 74.46%
     E:050/300 #B:015, t=021.31m, L=10.4648, ACC : S_TRN= 96.41%, T_TRN= 76.30%, S_TST= 87.10%, T_TST= 74.43%
**   E:051/300 #B:015, t=021.62m, L=10.4681, ACC : S_TRN= 97.40%, T_TRN= 76.15%, S_TST= 87.17%, T_TST= 74.43%
     E:052/300 #B:015, t=022.06m, L=10.4570, ACC : S_TRN= 97.71%, T_TRN= 75.68%, S_TST= 87.15%, T_TST= 74.46%
  ++ E:053/300 #B:015, t=022.43m, L=10.4598, ACC : S_TRN= 96.67%, T_TRN= 75.89%, S_TST= 87.13%, T_TST= 74.71%
**++ E:054/300 #B:015, t=023.08m, L=10.4559, ACC : S_TRN= 97.08%, T_TRN= 74.69%, S_TST= 87.22%, T_TST= 74.79%
**   E:055/300 #B:015, t=023.64m, L=10.4502, ACC : S_TRN= 97.71%, T_TRN= 74.90%, S_TST= 87.26%, T_TST= 74.74%
  ++ E:056/300 #B:015, t=024.02m, L=10.4507, ACC : S_TRN= 97.76%, T_TRN= 75.21%, S_TST= 87.17%, T_TST= 74.85%
     E:057/300 #B:015, t=024.53m, L=10.4466, ACC : S_TRN= 97.29%, T_TRN= 75.00%, S_TST= 87.20%, T_TST= 74.65%
     E:058/300 #B:015, t=024.91m, L=10.4310, ACC : S_TRN= 97.29%, T_TRN= 76.20%, S_TST= 87.10%, T_TST= 74.82%
**   E:059/300 #B:015, t=025.29m, L=10.4492, ACC : S_TRN= 96.88%, T_TRN= 75.47%, S_TST= 87.27%, T_TST= 74.71%
**   E:060/300 #B:015, t=025.73m, L=10.4382, ACC : S_TRN= 97.81%, T_TRN= 75.78%, S_TST= 87.33%, T_TST= 74.74%
     E:061/300 #B:015, t=026.12m, L=10.4346, ACC : S_TRN= 97.34%, T_TRN= 72.71%, S_TST= 87.22%, T_TST= 74.79%
     E:062/300 #B:015, t=026.47m, L=10.4216, ACC : S_TRN= 97.81%, T_TRN= 74.84%, S_TST= 87.31%, T_TST= 74.60%
     E:063/300 #B:015, t=026.82m, L=10.4273, ACC : S_TRN= 97.71%, T_TRN= 74.69%, S_TST= 87.29%, T_TST= 74.62%
     E:064/300 #B:015, t=027.22m, L=10.4165, ACC : S_TRN= 97.34%, T_TRN= 74.38%, S_TST= 87.24%, T_TST= 74.71%
     E:065/300 #B:015, t=027.58m, L=10.4210, ACC : S_TRN= 97.40%, T_TRN= 75.31%, S_TST= 87.22%, T_TST= 74.68%
     E:066/300 #B:015, t=027.94m, L=10.4236, ACC : S_TRN= 97.66%, T_TRN= 73.18%, S_TST= 87.24%, T_TST= 74.68%
     E:067/300 #B:015, t=028.31m, L=10.4289, ACC : S_TRN= 96.51%, T_TRN= 73.65%, S_TST= 87.03%, T_TST= 74.60%
     E:068/300 #B:015, t=028.69m, L=10.4066, ACC : S_TRN= 97.97%, T_TRN= 74.17%, S_TST= 87.17%, T_TST= 74.48%
