

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_kitchen', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_kitchen, experiment=electronics_kitchen, gpus=1, hostname=19_06_01_12_32_54, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_12_32_54, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.24m, L=11.5416, ACC : S_TRN= 57.92%, T_TRN= 58.07%, S_TST= 57.23%, T_TST= 57.86%
**++ E:001/300 #B:015, t=000.80m, L=11.4427, ACC : S_TRN= 69.11%, T_TRN= 64.38%, S_TST= 65.85%, T_TST= 65.97%
**++ E:002/300 #B:015, t=001.27m, L=11.3255, ACC : S_TRN= 81.25%, T_TRN= 73.59%, S_TST= 76.89%, T_TST= 76.32%
**++ E:003/300 #B:015, t=001.74m, L=11.1874, ACC : S_TRN= 85.26%, T_TRN= 81.20%, S_TST= 81.36%, T_TST= 81.24%
**++ E:004/300 #B:015, t=002.22m, L=11.0337, ACC : S_TRN= 87.55%, T_TRN= 80.73%, S_TST= 83.49%, T_TST= 83.06%
**++ E:005/300 #B:015, t=002.75m, L=10.9744, ACC : S_TRN= 90.21%, T_TRN= 82.55%, S_TST= 84.62%, T_TST= 85.01%
**++ E:006/300 #B:015, t=003.19m, L=10.8929, ACC : S_TRN= 91.20%, T_TRN= 83.80%, S_TST= 85.34%, T_TST= 85.21%
**++ E:007/300 #B:015, t=003.76m, L=10.8246, ACC : S_TRN= 91.51%, T_TRN= 84.01%, S_TST= 85.71%, T_TST= 85.75%
**++ E:008/300 #B:015, t=004.17m, L=10.8165, ACC : S_TRN= 92.97%, T_TRN= 84.84%, S_TST= 86.02%, T_TST= 86.39%
**++ E:009/300 #B:015, t=004.76m, L=10.7686, ACC : S_TRN= 92.97%, T_TRN= 85.73%, S_TST= 86.20%, T_TST= 86.41%
**   E:010/300 #B:015, t=005.18m, L=10.7496, ACC : S_TRN= 93.96%, T_TRN= 85.00%, S_TST= 86.46%, T_TST= 86.36%
**++ E:011/300 #B:015, t=005.52m, L=10.7318, ACC : S_TRN= 93.39%, T_TRN= 85.57%, S_TST= 86.69%, T_TST= 86.56%
**   E:012/300 #B:015, t=005.99m, L=10.7199, ACC : S_TRN= 93.85%, T_TRN= 85.42%, S_TST= 86.71%, T_TST= 86.43%
**++ E:013/300 #B:015, t=006.31m, L=10.6881, ACC : S_TRN= 93.54%, T_TRN= 86.35%, S_TST= 86.90%, T_TST= 86.75%
**++ E:014/300 #B:015, t=006.79m, L=10.6714, ACC : S_TRN= 94.74%, T_TRN= 86.25%, S_TST= 86.94%, T_TST= 86.76%
  ++ E:015/300 #B:015, t=007.42m, L=10.6594, ACC : S_TRN= 94.43%, T_TRN= 86.67%, S_TST= 86.87%, T_TST= 86.81%
     E:016/300 #B:015, t=007.83m, L=10.6336, ACC : S_TRN= 94.95%, T_TRN= 85.62%, S_TST= 86.67%, T_TST= 86.58%
     E:017/300 #B:015, t=008.25m, L=10.6325, ACC : S_TRN= 95.31%, T_TRN= 87.08%, S_TST= 86.82%, T_TST= 86.75%
**   E:018/300 #B:015, t=008.58m, L=10.6365, ACC : S_TRN= 95.31%, T_TRN= 86.72%, S_TST= 87.01%, T_TST= 86.76%
     E:019/300 #B:015, t=008.87m, L=10.6355, ACC : S_TRN= 94.69%, T_TRN= 85.21%, S_TST= 86.75%, T_TST= 86.46%
     E:020/300 #B:015, t=009.17m, L=10.6284, ACC : S_TRN= 94.38%, T_TRN= 85.57%, S_TST= 86.99%, T_TST= 86.80%
**++ E:021/300 #B:015, t=009.47m, L=10.5919, ACC : S_TRN= 95.57%, T_TRN= 84.90%, S_TST= 87.11%, T_TST= 86.86%
**++ E:022/300 #B:015, t=009.97m, L=10.5896, ACC : S_TRN= 95.47%, T_TRN= 86.04%, S_TST= 87.31%, T_TST= 87.08%
**++ E:023/300 #B:015, t=010.55m, L=10.5964, ACC : S_TRN= 96.09%, T_TRN= 86.35%, S_TST= 87.56%, T_TST= 87.08%
     E:024/300 #B:015, t=011.15m, L=10.5853, ACC : S_TRN= 96.09%, T_TRN= 84.90%, S_TST= 87.33%, T_TST= 86.56%
     E:025/300 #B:015, t=011.45m, L=10.5898, ACC : S_TRN= 96.41%, T_TRN= 86.25%, S_TST= 87.40%, T_TST= 86.69%
     E:026/300 #B:015, t=011.78m, L=10.5603, ACC : S_TRN= 95.99%, T_TRN= 85.36%, S_TST= 87.06%, T_TST= 86.49%
     E:027/300 #B:015, t=012.11m, L=10.5598, ACC : S_TRN= 94.95%, T_TRN= 84.90%, S_TST= 87.13%, T_TST= 86.76%
     E:028/300 #B:015, t=012.40m, L=10.5612, ACC : S_TRN= 95.99%, T_TRN= 85.78%, S_TST= 87.04%, T_TST= 86.44%
     E:029/300 #B:015, t=012.75m, L=10.5411, ACC : S_TRN= 95.68%, T_TRN= 86.20%, S_TST= 87.26%, T_TST= 86.71%
     E:030/300 #B:015, t=013.10m, L=10.5493, ACC : S_TRN= 96.93%, T_TRN= 86.41%, S_TST= 87.40%, T_TST= 86.80%
     E:031/300 #B:015, t=013.39m, L=10.5570, ACC : S_TRN= 96.61%, T_TRN= 86.09%, S_TST= 87.26%, T_TST= 86.59%
     E:032/300 #B:015, t=013.74m, L=10.5239, ACC : S_TRN= 96.09%, T_TRN= 86.35%, S_TST= 87.27%, T_TST= 86.91%
     E:033/300 #B:015, t=014.05m, L=10.5445, ACC : S_TRN= 96.77%, T_TRN= 86.15%, S_TST= 87.15%, T_TST= 86.66%
     E:034/300 #B:015, t=014.40m, L=10.5287, ACC : S_TRN= 95.78%, T_TRN= 85.26%, S_TST= 87.19%, T_TST= 86.78%
     E:035/300 #B:015, t=014.70m, L=10.5232, ACC : S_TRN= 97.24%, T_TRN= 87.08%, S_TST= 87.24%, T_TST= 86.80%
     E:036/300 #B:015, t=015.07m, L=10.5326, ACC : S_TRN= 96.30%, T_TRN= 86.15%, S_TST= 87.22%, T_TST= 86.73%
     E:037/300 #B:015, t=015.43m, L=10.5023, ACC : S_TRN= 97.24%, T_TRN= 86.46%, S_TST= 87.22%, T_TST= 86.75%
     E:038/300 #B:015, t=015.78m, L=10.5088, ACC : S_TRN= 97.45%, T_TRN= 86.46%, S_TST= 87.29%, T_TST= 86.88%
     E:039/300 #B:015, t=016.13m, L=10.5058, ACC : S_TRN= 96.98%, T_TRN= 85.47%, S_TST= 87.33%, T_TST= 86.64%
     E:040/300 #B:015, t=016.47m, L=10.4956, ACC : S_TRN= 97.19%, T_TRN= 85.31%, S_TST= 87.26%, T_TST= 86.69%
     E:041/300 #B:015, t=016.78m, L=10.4921, ACC : S_TRN= 96.67%, T_TRN= 84.06%, S_TST= 87.20%, T_TST= 86.58%
     E:042/300 #B:015, t=017.15m, L=10.5019, ACC : S_TRN= 96.98%, T_TRN= 85.52%, S_TST= 87.27%, T_TST= 86.81%
     E:043/300 #B:015, t=017.51m, L=10.4866, ACC : S_TRN= 96.82%, T_TRN= 86.41%, S_TST= 87.34%, T_TST= 86.98%
     E:044/300 #B:015, t=017.79m, L=10.4734, ACC : S_TRN= 96.88%, T_TRN= 85.89%, S_TST= 87.41%, T_TST= 86.90%
     E:045/300 #B:015, t=018.17m, L=10.4768, ACC : S_TRN= 96.72%, T_TRN= 84.53%, S_TST= 87.40%, T_TST= 86.81%
     E:046/300 #B:015, t=018.53m, L=10.4804, ACC : S_TRN= 97.34%, T_TRN= 84.95%, S_TST= 87.43%, T_TST= 87.01%
  ++ E:047/300 #B:015, t=018.84m, L=10.4896, ACC : S_TRN= 97.45%, T_TRN= 85.73%, S_TST= 87.40%, T_TST= 87.13%
     E:048/300 #B:015, t=019.45m, L=10.4611, ACC : S_TRN= 96.30%, T_TRN= 86.88%, S_TST= 87.34%, T_TST= 86.95%
     E:049/300 #B:015, t=019.77m, L=10.4788, ACC : S_TRN= 96.88%, T_TRN= 85.62%, S_TST= 87.38%, T_TST= 86.80%
     E:050/300 #B:015, t=020.04m, L=10.4603, ACC : S_TRN= 96.56%, T_TRN= 86.51%, S_TST= 87.38%, T_TST= 87.12%
     E:051/300 #B:015, t=020.37m, L=10.4675, ACC : S_TRN= 97.34%, T_TRN= 86.25%, S_TST= 87.40%, T_TST= 87.05%
     E:052/300 #B:015, t=020.71m, L=10.4560, ACC : S_TRN= 97.40%, T_TRN= 85.57%, S_TST= 87.26%, T_TST= 86.95%
     E:053/300 #B:015, t=021.06m, L=10.4511, ACC : S_TRN= 96.51%, T_TRN= 85.78%, S_TST= 87.45%, T_TST= 86.95%
     E:054/300 #B:015, t=021.40m, L=10.4469, ACC : S_TRN= 96.77%, T_TRN= 85.78%, S_TST= 87.33%, T_TST= 86.80%
     E:055/300 #B:015, t=021.77m, L=10.4499, ACC : S_TRN= 97.24%, T_TRN= 87.08%, S_TST= 87.54%, T_TST= 87.05%
**   E:056/300 #B:015, t=022.14m, L=10.4625, ACC : S_TRN= 97.71%, T_TRN= 86.46%, S_TST= 87.61%, T_TST= 86.95%
     E:057/300 #B:015, t=022.55m, L=10.4366, ACC : S_TRN= 97.29%, T_TRN= 86.72%, S_TST= 87.52%, T_TST= 86.95%
  ++ E:058/300 #B:015, t=022.88m, L=10.4382, ACC : S_TRN= 97.24%, T_TRN= 86.61%, S_TST= 87.47%, T_TST= 87.18%
