

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_electronics', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_electronics, experiment=kitchen_electronics, gpus=1, hostname=19_06_01_12_32_54, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_12_32_54, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_12_32_54_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.24m, L=11.5344, ACC : S_TRN= 60.26%, T_TRN= 50.78%, S_TST= 57.83%, T_TST= 53.05%
**++ E:001/300 #B:015, t=000.68m, L=11.4405, ACC : S_TRN= 65.31%, T_TRN= 57.71%, S_TST= 64.17%, T_TST= 58.19%
**++ E:002/300 #B:015, t=001.20m, L=11.3376, ACC : S_TRN= 75.73%, T_TRN= 63.02%, S_TST= 71.15%, T_TST= 64.35%
**++ E:003/300 #B:015, t=001.76m, L=11.1935, ACC : S_TRN= 82.50%, T_TRN= 70.68%, S_TST= 77.63%, T_TST= 72.17%
**++ E:004/300 #B:015, t=002.34m, L=11.0407, ACC : S_TRN= 88.59%, T_TRN= 76.15%, S_TST= 82.56%, T_TST= 77.31%
**++ E:005/300 #B:015, t=002.82m, L=10.9451, ACC : S_TRN= 88.80%, T_TRN= 77.86%, S_TST= 84.61%, T_TST= 80.67%
**++ E:006/300 #B:015, t=003.32m, L=10.8811, ACC : S_TRN= 89.64%, T_TRN= 80.89%, S_TST= 85.85%, T_TST= 82.34%
**++ E:007/300 #B:015, t=003.88m, L=10.8104, ACC : S_TRN= 91.98%, T_TRN= 80.78%, S_TST= 86.59%, T_TST= 82.94%
**++ E:008/300 #B:015, t=004.38m, L=10.7780, ACC : S_TRN= 92.71%, T_TRN= 83.18%, S_TST= 87.20%, T_TST= 83.63%
**++ E:009/300 #B:015, t=004.95m, L=10.7568, ACC : S_TRN= 93.02%, T_TRN= 80.26%, S_TST= 87.67%, T_TST= 84.10%
**++ E:010/300 #B:015, t=005.45m, L=10.7385, ACC : S_TRN= 93.54%, T_TRN= 84.27%, S_TST= 87.69%, T_TST= 84.49%
**++ E:011/300 #B:015, t=005.95m, L=10.7159, ACC : S_TRN= 94.38%, T_TRN= 82.76%, S_TST= 87.79%, T_TST= 84.62%
**++ E:012/300 #B:015, t=006.52m, L=10.6889, ACC : S_TRN= 93.91%, T_TRN= 82.92%, S_TST= 88.07%, T_TST= 84.90%
**++ E:013/300 #B:015, t=007.01m, L=10.6506, ACC : S_TRN= 93.85%, T_TRN= 83.23%, S_TST= 88.24%, T_TST= 84.91%
**++ E:014/300 #B:015, t=007.50m, L=10.6816, ACC : S_TRN= 94.74%, T_TRN= 83.07%, S_TST= 88.53%, T_TST= 85.39%
**++ E:015/300 #B:015, t=008.11m, L=10.6626, ACC : S_TRN= 95.47%, T_TRN= 84.53%, S_TST= 88.68%, T_TST= 85.48%
**   E:016/300 #B:015, t=008.66m, L=10.6336, ACC : S_TRN= 95.16%, T_TRN= 84.79%, S_TST= 88.76%, T_TST= 85.23%
**++ E:017/300 #B:015, t=008.94m, L=10.6445, ACC : S_TRN= 95.31%, T_TRN= 84.58%, S_TST= 88.92%, T_TST= 85.51%
     E:018/300 #B:015, t=009.51m, L=10.6200, ACC : S_TRN= 95.68%, T_TRN= 82.71%, S_TST= 88.73%, T_TST= 85.46%
     E:019/300 #B:015, t=009.81m, L=10.5968, ACC : S_TRN= 95.52%, T_TRN= 85.47%, S_TST= 88.80%, T_TST= 85.43%
  ++ E:020/300 #B:015, t=010.17m, L=10.6031, ACC : S_TRN= 96.04%, T_TRN= 84.79%, S_TST= 88.80%, T_TST= 85.51%
  ++ E:021/300 #B:015, t=010.72m, L=10.5795, ACC : S_TRN= 95.68%, T_TRN= 83.85%, S_TST= 88.81%, T_TST= 85.76%
**   E:022/300 #B:015, t=011.22m, L=10.5883, ACC : S_TRN= 96.61%, T_TRN= 85.31%, S_TST= 88.98%, T_TST= 85.55%
     E:023/300 #B:015, t=011.58m, L=10.5761, ACC : S_TRN= 95.62%, T_TRN= 85.73%, S_TST= 88.81%, T_TST= 85.69%
     E:024/300 #B:015, t=011.91m, L=10.5770, ACC : S_TRN= 96.04%, T_TRN= 83.07%, S_TST= 88.78%, T_TST= 85.74%
  ++ E:025/300 #B:015, t=012.23m, L=10.5525, ACC : S_TRN= 95.68%, T_TRN= 84.17%, S_TST= 88.80%, T_TST= 85.88%
     E:026/300 #B:015, t=012.68m, L=10.5446, ACC : S_TRN= 96.67%, T_TRN= 85.68%, S_TST= 88.93%, T_TST= 85.81%
     E:027/300 #B:015, t=013.08m, L=10.5519, ACC : S_TRN= 96.72%, T_TRN= 85.47%, S_TST= 88.93%, T_TST= 85.83%
     E:028/300 #B:015, t=013.39m, L=10.5311, ACC : S_TRN= 96.30%, T_TRN= 84.22%, S_TST= 88.76%, T_TST= 85.81%
  ++ E:029/300 #B:015, t=013.79m, L=10.5414, ACC : S_TRN= 96.30%, T_TRN= 83.39%, S_TST= 88.92%, T_TST= 85.92%
     E:030/300 #B:015, t=014.36m, L=10.5185, ACC : S_TRN= 96.51%, T_TRN= 85.99%, S_TST= 88.78%, T_TST= 85.78%
     E:031/300 #B:015, t=014.70m, L=10.5124, ACC : S_TRN= 96.72%, T_TRN= 85.10%, S_TST= 88.92%, T_TST= 85.87%
     E:032/300 #B:015, t=015.05m, L=10.5041, ACC : S_TRN= 96.77%, T_TRN= 84.95%, S_TST= 88.97%, T_TST= 85.87%
     E:033/300 #B:015, t=015.44m, L=10.4982, ACC : S_TRN= 97.08%, T_TRN= 85.31%, S_TST= 88.97%, T_TST= 85.90%
**++ E:034/300 #B:015, t=015.82m, L=10.4815, ACC : S_TRN= 97.03%, T_TRN= 85.10%, S_TST= 89.20%, T_TST= 85.95%
     E:035/300 #B:015, t=016.42m, L=10.5275, ACC : S_TRN= 97.14%, T_TRN= 84.17%, S_TST= 89.12%, T_TST= 85.94%
  ++ E:036/300 #B:015, t=016.81m, L=10.5132, ACC : S_TRN= 96.56%, T_TRN= 84.17%, S_TST= 89.13%, T_TST= 86.01%
**++ E:037/300 #B:015, t=017.29m, L=10.5004, ACC : S_TRN= 96.20%, T_TRN= 84.11%, S_TST= 89.22%, T_TST= 86.01%
  ++ E:038/300 #B:015, t=017.90m, L=10.4750, ACC : S_TRN= 96.46%, T_TRN= 85.10%, S_TST= 89.12%, T_TST= 86.15%
  ++ E:039/300 #B:015, t=018.46m, L=10.5095, ACC : S_TRN= 96.46%, T_TRN= 84.79%, S_TST= 89.07%, T_TST= 86.15%
     E:040/300 #B:015, t=019.05m, L=10.4831, ACC : S_TRN= 97.03%, T_TRN= 84.95%, S_TST= 88.81%, T_TST= 85.95%
     E:041/300 #B:015, t=019.33m, L=10.4890, ACC : S_TRN= 96.72%, T_TRN= 84.17%, S_TST= 88.88%, T_TST= 86.01%
     E:042/300 #B:015, t=019.69m, L=10.4731, ACC : S_TRN= 96.35%, T_TRN= 84.58%, S_TST= 89.02%, T_TST= 86.04%
     E:043/300 #B:015, t=020.04m, L=10.4615, ACC : S_TRN= 97.45%, T_TRN= 84.95%, S_TST= 88.83%, T_TST= 86.02%
     E:044/300 #B:015, t=020.30m, L=10.4737, ACC : S_TRN= 97.14%, T_TRN= 85.00%, S_TST= 88.90%, T_TST= 86.13%
     E:045/300 #B:015, t=020.67m, L=10.4710, ACC : S_TRN= 97.08%, T_TRN= 86.09%, S_TST= 88.83%, T_TST= 85.95%
  ++ E:046/300 #B:015, t=021.01m, L=10.4783, ACC : S_TRN= 97.19%, T_TRN= 84.95%, S_TST= 88.97%, T_TST= 86.20%
     E:047/300 #B:015, t=021.56m, L=10.4604, ACC : S_TRN= 96.88%, T_TRN= 85.94%, S_TST= 89.12%, T_TST= 86.08%
     E:048/300 #B:015, t=021.99m, L=10.4507, ACC : S_TRN= 97.50%, T_TRN= 84.38%, S_TST= 88.92%, T_TST= 86.16%
  ++ E:049/300 #B:015, t=022.35m, L=10.4402, ACC : S_TRN= 97.29%, T_TRN= 85.68%, S_TST= 88.95%, T_TST= 86.20%
     E:050/300 #B:015, t=022.80m, L=10.4505, ACC : S_TRN= 97.24%, T_TRN= 85.68%, S_TST= 89.07%, T_TST= 86.13%
  ++ E:051/300 #B:015, t=023.15m, L=10.4384, ACC : S_TRN= 97.08%, T_TRN= 85.21%, S_TST= 89.10%, T_TST= 86.27%
     E:052/300 #B:015, t=023.69m, L=10.4206, ACC : S_TRN= 98.12%, T_TRN= 85.10%, S_TST= 88.95%, T_TST= 86.08%
     E:053/300 #B:015, t=024.01m, L=10.4524, ACC : S_TRN= 97.40%, T_TRN= 84.43%, S_TST= 89.02%, T_TST= 86.04%
     E:054/300 #B:015, t=024.36m, L=10.4446, ACC : S_TRN= 97.92%, T_TRN= 84.17%, S_TST= 89.03%, T_TST= 86.09%
     E:055/300 #B:015, t=024.73m, L=10.4459, ACC : S_TRN= 97.50%, T_TRN= 84.43%, S_TST= 89.15%, T_TST= 86.09%
     E:056/300 #B:015, t=025.11m, L=10.4296, ACC : S_TRN= 97.55%, T_TRN= 84.27%, S_TST= 89.03%, T_TST= 86.06%
     E:057/300 #B:015, t=025.45m, L=10.4145, ACC : S_TRN= 97.29%, T_TRN= 84.90%, S_TST= 89.20%, T_TST= 86.25%
**++ E:058/300 #B:015, t=025.83m, L=10.4169, ACC : S_TRN= 97.60%, T_TRN= 85.00%, S_TST= 89.25%, T_TST= 86.29%
**++ E:059/300 #B:015, t=026.48m, L=10.4199, ACC : S_TRN= 97.24%, T_TRN= 84.38%, S_TST= 89.30%, T_TST= 86.31%
     E:060/300 #B:015, t=027.08m, L=10.4126, ACC : S_TRN= 97.24%, T_TRN= 83.59%, S_TST= 89.23%, T_TST= 86.18%
     E:061/300 #B:015, t=027.51m, L=10.4164, ACC : S_TRN= 97.29%, T_TRN= 84.43%, S_TST= 89.27%, T_TST= 86.23%
     E:062/300 #B:015, t=027.87m, L=10.4163, ACC : S_TRN= 97.29%, T_TRN= 85.26%, S_TST= 89.25%, T_TST= 86.09%
     E:063/300 #B:015, t=028.20m, L=10.4066, ACC : S_TRN= 97.29%, T_TRN= 84.95%, S_TST= 89.17%, T_TST= 86.11%
     E:064/300 #B:015, t=028.59m, L=10.4163, ACC : S_TRN= 97.92%, T_TRN= 85.94%, S_TST= 89.23%, T_TST= 86.13%
