

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='dvd_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=dvd_electronics, experiment=dvd_electronics, gpus=6, hostname=19_06_01_15_51_47, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_15_51_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss
**++ E:000/300 #B:015, t=000.11m, L=00.5737, ACC : S_TRN= 89.84%, T_TRN= 72.19%, S_TST= 80.09%, T_TST= 74.58%
**   E:001/300 #B:015, t=000.69m, L=00.2209, ACC : S_TRN= 95.73%, T_TRN= 74.43%, S_TST= 81.29%, T_TST= 73.98%
     E:002/300 #B:015, t=000.97m, L=00.1125, ACC : S_TRN= 97.55%, T_TRN= 69.58%, S_TST= 79.95%, T_TST= 70.92%
**++ E:003/300 #B:015, t=001.17m, L=00.0754, ACC : S_TRN= 99.01%, T_TRN= 73.44%, S_TST= 81.48%, T_TST= 74.63%
     E:004/300 #B:015, t=001.61m, L=00.0379, ACC : S_TRN= 99.79%, T_TRN= 74.32%, S_TST= 80.37%, T_TST= 73.83%
**   E:005/300 #B:015, t=001.82m, L=00.0233, ACC : S_TRN= 99.53%, T_TRN= 73.12%, S_TST= 82.24%, T_TST= 73.72%
     E:006/300 #B:015, t=002.11m, L=00.0111, ACC : S_TRN= 100.00%, T_TRN= 75.05%, S_TST= 81.46%, T_TST= 74.30%
     E:007/300 #B:015, t=002.34m, L=00.0018, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 81.85%, T_TST= 74.35%
     E:008/300 #B:015, t=002.54m, L=00.0011, ACC : S_TRN= 100.00%, T_TRN= 73.80%, S_TST= 82.07%, T_TST= 74.21%
     E:009/300 #B:015, t=002.74m, L=00.0004, ACC : S_TRN= 100.00%, T_TRN= 74.06%, S_TST= 82.07%, T_TST= 74.30%
     E:010/300 #B:015, t=002.93m, L=00.0003, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 81.93%, T_TST= 74.55%
     E:011/300 #B:015, t=003.18m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 81.82%, T_TST= 74.48%
     E:012/300 #B:015, t=003.37m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 81.85%, T_TST= 74.48%
     E:013/300 #B:015, t=003.60m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 81.87%, T_TST= 74.51%
     E:014/300 #B:015, t=003.81m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 76.25%, S_TST= 81.99%, T_TST= 74.42%
     E:015/300 #B:015, t=004.01m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 81.85%, T_TST= 74.53%
     E:016/300 #B:015, t=004.22m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 81.85%, T_TST= 74.60%
     E:017/300 #B:015, t=004.45m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 81.79%, T_TST= 74.44%
     E:018/300 #B:015, t=004.67m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 74.58%, S_TST= 81.93%, T_TST= 74.39%
     E:019/300 #B:015, t=004.88m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.80%, S_TST= 81.87%, T_TST= 74.41%
     E:020/300 #B:015, t=005.08m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.07%, T_TST= 74.28%
     E:021/300 #B:015, t=005.29m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 82.01%, T_TST= 74.28%
     E:022/300 #B:015, t=005.51m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 81.99%, T_TST= 74.25%
     E:023/300 #B:015, t=005.72m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 82.01%, T_TST= 74.28%
     E:024/300 #B:015, t=005.95m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 82.04%, T_TST= 74.32%
     E:025/300 #B:015, t=006.18m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.70%, S_TST= 81.99%, T_TST= 74.34%
     E:026/300 #B:015, t=006.42m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 81.96%, T_TST= 74.35%
     E:027/300 #B:015, t=006.63m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 81.93%, T_TST= 74.37%
     E:028/300 #B:015, t=006.86m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.07%, S_TST= 81.93%, T_TST= 74.35%
     E:029/300 #B:015, t=007.06m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.92%, S_TST= 82.04%, T_TST= 74.19%
     E:030/300 #B:015, t=007.28m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.08%, S_TST= 82.07%, T_TST= 74.21%
     E:031/300 #B:015, t=007.50m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 81.90%, T_TST= 74.28%
     E:032/300 #B:015, t=007.71m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.73%, S_TST= 82.04%, T_TST= 74.23%
     E:033/300 #B:015, t=007.93m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 81.96%, T_TST= 74.30%
     E:034/300 #B:015, t=008.19m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 81.96%, T_TST= 74.28%
     E:035/300 #B:015, t=008.42m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.23%, S_TST= 81.99%, T_TST= 74.35%
     E:036/300 #B:015, t=008.64m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.16%, S_TST= 81.99%, T_TST= 74.41%
     E:037/300 #B:015, t=008.86m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.72%, S_TST= 81.93%, T_TST= 74.55%
     E:038/300 #B:015, t=009.08m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.81%, S_TST= 81.96%, T_TST= 74.53%
