

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='dvd_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=6, hostname=19_06_01_15_51_47, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_15_51_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_source_ss
**++ E:000/300 #B:015, t=000.07m, L=00.5737, ACC : S_TRN= 89.84%, T_TRN= 78.02%, S_TST= 80.09%, T_TST= 77.66%
**   E:001/300 #B:015, t=000.65m, L=00.2209, ACC : S_TRN= 95.73%, T_TRN= 79.84%, S_TST= 81.29%, T_TST= 77.43%
     E:002/300 #B:015, t=000.88m, L=00.1125, ACC : S_TRN= 97.55%, T_TRN= 75.36%, S_TST= 79.95%, T_TST= 76.10%
**   E:003/300 #B:015, t=001.06m, L=00.0754, ACC : S_TRN= 99.01%, T_TRN= 76.77%, S_TST= 81.48%, T_TST= 76.59%
     E:004/300 #B:015, t=001.32m, L=00.0399, ACC : S_TRN= 99.79%, T_TRN= 76.09%, S_TST= 80.70%, T_TST= 76.33%
**   E:005/300 #B:015, t=001.55m, L=00.0224, ACC : S_TRN= 99.43%, T_TRN= 75.78%, S_TST= 81.68%, T_TST= 76.55%
**   E:006/300 #B:015, t=001.84m, L=00.0109, ACC : S_TRN= 100.00%, T_TRN= 76.46%, S_TST= 81.68%, T_TST= 76.15%
     E:007/300 #B:015, t=002.19m, L=00.0072, ACC : S_TRN= 99.90%, T_TRN= 76.25%, S_TST= 81.43%, T_TST= 76.22%
     E:008/300 #B:015, t=002.41m, L=00.0018, ACC : S_TRN= 99.95%, T_TRN= 76.61%, S_TST= 81.60%, T_TST= 76.38%
     E:009/300 #B:015, t=002.62m, L=00.0927, ACC : S_TRN= 99.27%, T_TRN= 73.65%, S_TST= 80.84%, T_TST= 74.68%
     E:010/300 #B:015, t=002.85m, L=00.0220, ACC : S_TRN= 99.79%, T_TRN= 76.15%, S_TST= 81.60%, T_TST= 74.60%
     E:011/300 #B:015, t=003.09m, L=00.0064, ACC : S_TRN= 100.00%, T_TRN= 77.40%, S_TST= 81.37%, T_TST= 75.48%
     E:012/300 #B:015, t=003.33m, L=00.0015, ACC : S_TRN= 100.00%, T_TRN= 75.21%, S_TST= 81.65%, T_TST= 75.41%
     E:013/300 #B:015, t=003.56m, L=00.0007, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 81.48%, T_TST= 75.26%
**   E:014/300 #B:015, t=003.82m, L=00.0004, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 81.87%, T_TST= 75.21%
     E:015/300 #B:015, t=004.12m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 76.41%, S_TST= 81.82%, T_TST= 75.22%
     E:016/300 #B:015, t=004.38m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 75.31%, S_TST= 81.82%, T_TST= 75.22%
     E:017/300 #B:015, t=004.60m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 75.31%, S_TST= 81.82%, T_TST= 75.24%
     E:018/300 #B:015, t=004.83m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 74.84%, S_TST= 81.76%, T_TST= 75.41%
     E:019/300 #B:015, t=005.06m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 75.47%, S_TST= 81.82%, T_TST= 75.31%
     E:020/300 #B:015, t=005.30m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.06%, S_TST= 81.85%, T_TST= 75.34%
     E:021/300 #B:015, t=005.50m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 81.85%, T_TST= 75.36%
     E:022/300 #B:015, t=005.75m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.82%, S_TST= 81.85%, T_TST= 75.34%
**   E:023/300 #B:015, t=005.98m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.36%, S_TST= 81.90%, T_TST= 75.39%
**   E:024/300 #B:015, t=006.29m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.95%, S_TST= 81.90%, T_TST= 75.42%
**   E:025/300 #B:015, t=006.59m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 81.90%, T_TST= 75.34%
     E:026/300 #B:015, t=006.91m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 81.87%, T_TST= 75.32%
     E:027/300 #B:015, t=007.14m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 81.87%, T_TST= 75.34%
     E:028/300 #B:015, t=007.42m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.35%, S_TST= 81.79%, T_TST= 75.29%
     E:029/300 #B:015, t=007.63m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 81.82%, T_TST= 75.31%
     E:030/300 #B:015, t=007.87m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.53%, S_TST= 81.87%, T_TST= 75.31%
     E:031/300 #B:015, t=008.08m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.90%, S_TST= 81.87%, T_TST= 75.31%
     E:032/300 #B:015, t=008.30m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.56%, S_TST= 81.76%, T_TST= 75.26%
