

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='kitchen_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=kitchen_electronics, experiment=kitchen_electronics, gpus=6, hostname=19_06_01_15_51_47, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_15_51_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_source_ss
**++ E:000/300 #B:015, t=000.09m, L=00.4987, ACC : S_TRN= 86.98%, T_TRN= 77.24%, S_TST= 78.50%, T_TST= 78.79%
**++ E:001/300 #B:015, t=000.69m, L=00.1833, ACC : S_TRN= 97.34%, T_TRN= 81.72%, S_TST= 87.67%, T_TST= 83.88%
  ++ E:002/300 #B:015, t=001.27m, L=00.0856, ACC : S_TRN= 98.80%, T_TRN= 83.02%, S_TST= 87.10%, T_TST= 84.44%
     E:003/300 #B:015, t=001.68m, L=00.0443, ACC : S_TRN= 99.53%, T_TRN= 83.85%, S_TST= 87.33%, T_TST= 83.98%
     E:004/300 #B:015, t=001.91m, L=00.0289, ACC : S_TRN= 99.84%, T_TRN= 83.12%, S_TST= 86.80%, T_TST= 84.35%
     E:005/300 #B:015, t=002.11m, L=00.0233, ACC : S_TRN= 99.74%, T_TRN= 80.52%, S_TST= 86.36%, T_TST= 82.71%
     E:006/300 #B:015, t=002.35m, L=00.0035, ACC : S_TRN= 99.90%, T_TRN= 81.61%, S_TST= 87.23%, T_TST= 84.42%
     E:007/300 #B:015, t=002.58m, L=00.0099, ACC : S_TRN= 97.03%, T_TRN= 78.49%, S_TST= 81.18%, T_TST= 79.81%
     E:008/300 #B:015, t=002.80m, L=00.0381, ACC : S_TRN= 99.90%, T_TRN= 84.48%, S_TST= 86.39%, T_TST= 83.75%
     E:009/300 #B:015, t=003.06m, L=00.0050, ACC : S_TRN= 99.90%, T_TRN= 84.17%, S_TST= 87.15%, T_TST= 83.63%
     E:010/300 #B:015, t=003.29m, L=00.0009, ACC : S_TRN= 99.90%, T_TRN= 82.03%, S_TST= 87.22%, T_TST= 84.05%
     E:011/300 #B:015, t=003.54m, L=00.0058, ACC : S_TRN= 99.58%, T_TRN= 79.74%, S_TST= 85.72%, T_TST= 81.89%
     E:012/300 #B:015, t=003.77m, L=00.0083, ACC : S_TRN= 99.95%, T_TRN= 83.33%, S_TST= 85.42%, T_TST= 83.65%
     E:013/300 #B:015, t=004.00m, L=00.0012, ACC : S_TRN= 99.95%, T_TRN= 80.89%, S_TST= 86.31%, T_TST= 82.40%
     E:014/300 #B:015, t=004.23m, L=00.0064, ACC : S_TRN= 99.95%, T_TRN= 83.96%, S_TST= 86.12%, T_TST= 83.28%
     E:015/300 #B:015, t=004.44m, L=00.0015, ACC : S_TRN= 100.00%, T_TRN= 81.88%, S_TST= 86.53%, T_TST= 82.98%
     E:016/300 #B:015, t=004.67m, L=00.0003, ACC : S_TRN= 100.00%, T_TRN= 83.44%, S_TST= 86.51%, T_TST= 83.21%
     E:017/300 #B:015, t=004.88m, L=00.0002, ACC : S_TRN= 100.00%, T_TRN= 82.14%, S_TST= 86.48%, T_TST= 83.19%
     E:018/300 #B:015, t=005.11m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 81.61%, S_TST= 86.49%, T_TST= 83.26%
     E:019/300 #B:015, t=005.32m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 82.08%, S_TST= 86.54%, T_TST= 83.17%
     E:020/300 #B:015, t=005.56m, L=00.0001, ACC : S_TRN= 100.00%, T_TRN= 81.15%, S_TST= 86.54%, T_TST= 83.30%
     E:021/300 #B:015, t=005.79m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 82.08%, S_TST= 86.51%, T_TST= 83.30%
     E:022/300 #B:015, t=006.03m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 81.46%, S_TST= 86.58%, T_TST= 83.42%
     E:023/300 #B:015, t=006.25m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 80.57%, S_TST= 86.56%, T_TST= 83.45%
     E:024/300 #B:015, t=006.45m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 81.51%, S_TST= 86.58%, T_TST= 83.35%
     E:025/300 #B:015, t=006.69m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 80.26%, S_TST= 86.58%, T_TST= 83.42%
     E:026/300 #B:015, t=006.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 82.86%, S_TST= 86.59%, T_TST= 83.44%
     E:027/300 #B:015, t=007.14m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 83.18%, S_TST= 86.54%, T_TST= 83.52%
     E:028/300 #B:015, t=007.37m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 80.47%, S_TST= 86.54%, T_TST= 83.47%
     E:029/300 #B:015, t=007.61m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 81.46%, S_TST= 86.56%, T_TST= 83.49%
     E:030/300 #B:015, t=007.81m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 81.88%, S_TST= 86.54%, T_TST= 83.47%
     E:031/300 #B:015, t=008.04m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 80.94%, S_TST= 86.59%, T_TST= 83.44%
     E:032/300 #B:015, t=008.28m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 82.34%, S_TST= 86.56%, T_TST= 83.44%
     E:033/300 #B:015, t=008.51m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 82.08%, S_TST= 86.56%, T_TST= 83.44%
