

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='target', exp='electronics_dvd', feature_num=5000, gpus='7', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=target, exp=electronics_dvd, experiment=electronics_dvd, gpus=7, hostname=19_06_01_19_29_40, lambda_sal=0.0, lambda_ssl=0.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=1.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_19_29_40, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 7
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : target
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_19_29_40_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_target_ts
**++ E:000/300 #B:015, t=000.10m, L=00.6177, ACC : S_TRN= 73.07%, T_TRN= 89.38%, S_TST= 74.69%, T_TST= 79.84%
  ++ E:001/300 #B:015, t=000.78m, L=00.2272, ACC : S_TRN= 75.00%, T_TRN= 95.21%, S_TST= 73.03%, T_TST= 81.48%
     E:002/300 #B:015, t=001.34m, L=00.1242, ACC : S_TRN= 74.48%, T_TRN= 97.81%, S_TST= 74.39%, T_TST= 80.81%
  ++ E:003/300 #B:015, t=001.54m, L=00.0618, ACC : S_TRN= 71.82%, T_TRN= 99.17%, S_TST= 72.96%, T_TST= 81.73%
  ++ E:004/300 #B:015, t=002.10m, L=00.0457, ACC : S_TRN= 70.78%, T_TRN= 99.74%, S_TST= 72.19%, T_TST= 81.76%
  ++ E:005/300 #B:015, t=002.54m, L=00.0131, ACC : S_TRN= 70.36%, T_TRN= 99.90%, S_TST= 72.35%, T_TST= 81.87%
     E:006/300 #B:015, t=002.98m, L=00.0196, ACC : S_TRN= 68.28%, T_TRN= 99.90%, S_TST= 71.84%, T_TST= 81.07%
     E:007/300 #B:015, t=003.22m, L=00.0177, ACC : S_TRN= 66.41%, T_TRN= 98.65%, S_TST= 69.42%, T_TST= 79.42%
     E:008/300 #B:015, t=003.48m, L=00.0701, ACC : S_TRN= 73.96%, T_TRN= 99.58%, S_TST= 74.42%, T_TST= 80.01%
     E:009/300 #B:015, t=003.69m, L=00.0081, ACC : S_TRN= 73.44%, T_TRN= 100.00%, S_TST= 73.74%, T_TST= 81.32%
     E:010/300 #B:015, t=003.91m, L=00.0015, ACC : S_TRN= 73.80%, T_TRN= 100.00%, S_TST= 74.21%, T_TST= 80.51%
     E:011/300 #B:015, t=004.14m, L=00.0031, ACC : S_TRN= 71.98%, T_TRN= 100.00%, S_TST= 73.35%, T_TST= 81.76%
     E:012/300 #B:015, t=004.35m, L=00.0005, ACC : S_TRN= 73.28%, T_TRN= 100.00%, S_TST= 73.44%, T_TST= 81.68%
     E:013/300 #B:015, t=004.55m, L=00.0004, ACC : S_TRN= 72.55%, T_TRN= 100.00%, S_TST= 73.21%, T_TST= 81.68%
     E:014/300 #B:015, t=004.76m, L=00.0002, ACC : S_TRN= 73.75%, T_TRN= 100.00%, S_TST= 73.49%, T_TST= 81.71%
     E:015/300 #B:015, t=004.97m, L=00.0001, ACC : S_TRN= 70.89%, T_TRN= 100.00%, S_TST= 73.44%, T_TST= 81.76%
     E:016/300 #B:015, t=005.20m, L=00.0001, ACC : S_TRN= 74.11%, T_TRN= 100.00%, S_TST= 73.44%, T_TST= 81.79%
     E:017/300 #B:015, t=005.43m, L=00.0001, ACC : S_TRN= 72.92%, T_TRN= 100.00%, S_TST= 73.47%, T_TST= 81.79%
     E:018/300 #B:015, t=005.69m, L=00.0001, ACC : S_TRN= 74.17%, T_TRN= 100.00%, S_TST= 73.53%, T_TST= 81.73%
     E:019/300 #B:015, t=005.91m, L=00.0001, ACC : S_TRN= 73.02%, T_TRN= 100.00%, S_TST= 73.60%, T_TST= 81.82%
     E:020/300 #B:015, t=006.18m, L=00.0000, ACC : S_TRN= 73.80%, T_TRN= 100.00%, S_TST= 73.44%, T_TST= 81.46%
     E:021/300 #B:015, t=006.43m, L=00.0000, ACC : S_TRN= 72.40%, T_TRN= 100.00%, S_TST= 73.42%, T_TST= 81.46%
     E:022/300 #B:015, t=006.65m, L=00.0000, ACC : S_TRN= 71.72%, T_TRN= 100.00%, S_TST= 73.38%, T_TST= 81.48%
     E:023/300 #B:015, t=006.87m, L=00.0000, ACC : S_TRN= 71.04%, T_TRN= 100.00%, S_TST= 73.30%, T_TST= 81.51%
     E:024/300 #B:015, t=007.07m, L=00.0000, ACC : S_TRN= 72.14%, T_TRN= 100.00%, S_TST= 73.33%, T_TST= 81.54%
     E:025/300 #B:015, t=007.28m, L=00.0000, ACC : S_TRN= 72.34%, T_TRN= 100.00%, S_TST= 73.35%, T_TST= 81.57%
     E:026/300 #B:015, t=007.57m, L=00.0000, ACC : S_TRN= 73.54%, T_TRN= 100.00%, S_TST= 73.19%, T_TST= 81.62%
     E:027/300 #B:015, t=007.78m, L=00.0000, ACC : S_TRN= 72.60%, T_TRN= 100.00%, S_TST= 73.24%, T_TST= 81.54%
     E:028/300 #B:015, t=008.00m, L=00.0000, ACC : S_TRN= 71.35%, T_TRN= 100.00%, S_TST= 73.24%, T_TST= 81.54%
     E:029/300 #B:015, t=008.20m, L=00.0000, ACC : S_TRN= 72.60%, T_TRN= 100.00%, S_TST= 73.19%, T_TST= 81.60%
     E:030/300 #B:015, t=008.42m, L=00.0000, ACC : S_TRN= 72.76%, T_TRN= 100.00%, S_TST= 73.09%, T_TST= 81.62%
     E:031/300 #B:015, t=008.65m, L=00.0000, ACC : S_TRN= 73.23%, T_TRN= 100.00%, S_TST= 73.05%, T_TST= 81.57%
     E:032/300 #B:015, t=008.86m, L=00.0000, ACC : S_TRN= 72.19%, T_TRN= 100.00%, S_TST= 73.02%, T_TST= 81.51%
     E:033/300 #B:015, t=009.08m, L=00.0000, ACC : S_TRN= 72.50%, T_TRN= 100.00%, S_TST= 73.02%, T_TST= 81.57%
     E:034/300 #B:015, t=009.37m, L=00.0000, ACC : S_TRN= 73.02%, T_TRN= 100.00%, S_TST= 73.00%, T_TST= 81.57%
     E:035/300 #B:015, t=009.60m, L=00.0000, ACC : S_TRN= 72.71%, T_TRN= 100.00%, S_TST= 73.00%, T_TST= 81.54%
     E:036/300 #B:015, t=009.83m, L=00.0000, ACC : S_TRN= 75.05%, T_TRN= 100.00%, S_TST= 73.00%, T_TST= 81.54%
     E:037/300 #B:015, t=010.07m, L=00.0000, ACC : S_TRN= 73.49%, T_TRN= 100.00%, S_TST= 73.00%, T_TST= 81.54%
     E:038/300 #B:015, t=010.34m, L=00.0000, ACC : S_TRN= 70.57%, T_TRN= 100.00%, S_TST= 73.00%, T_TST= 81.54%
     E:039/300 #B:015, t=010.57m, L=00.0000, ACC : S_TRN= 70.16%, T_TRN= 100.00%, S_TST= 72.98%, T_TST= 81.54%
     E:040/300 #B:015, t=010.86m, L=00.0000, ACC : S_TRN= 70.68%, T_TRN= 100.00%, S_TST= 72.91%, T_TST= 81.51%
     E:041/300 #B:015, t=011.08m, L=00.0000, ACC : S_TRN= 71.30%, T_TRN= 100.00%, S_TST= 72.87%, T_TST= 81.40%
     E:042/300 #B:015, t=011.33m, L=00.0000, ACC : S_TRN= 70.52%, T_TRN= 100.00%, S_TST= 72.87%, T_TST= 81.51%
     E:043/300 #B:015, t=011.58m, L=00.0000, ACC : S_TRN= 74.38%, T_TRN= 100.00%, S_TST= 72.91%, T_TST= 81.54%
     E:044/300 #B:015, t=011.80m, L=00.0000, ACC : S_TRN= 71.82%, T_TRN= 100.00%, S_TST= 72.96%, T_TST= 81.57%
     E:045/300 #B:015, t=012.02m, L=00.0000, ACC : S_TRN= 72.40%, T_TRN= 100.00%, S_TST= 72.91%, T_TST= 81.54%
     E:046/300 #B:015, t=012.25m, L=00.0000, ACC : S_TRN= 70.05%, T_TRN= 100.00%, S_TST= 72.91%, T_TST= 81.51%
     E:047/300 #B:015, t=012.47m, L=00.0000, ACC : S_TRN= 71.20%, T_TRN= 100.00%, S_TST= 72.89%, T_TST= 81.48%
     E:048/300 #B:015, t=012.69m, L=00.0000, ACC : S_TRN= 73.12%, T_TRN= 100.00%, S_TST= 72.89%, T_TST= 81.48%
     E:049/300 #B:015, t=012.93m, L=00.0000, ACC : S_TRN= 72.19%, T_TRN= 100.00%, S_TST= 72.82%, T_TST= 81.43%
     E:050/300 #B:015, t=013.17m, L=00.0000, ACC : S_TRN= 70.68%, T_TRN= 100.00%, S_TST= 72.79%, T_TST= 81.43%
     E:051/300 #B:015, t=013.40m, L=00.0000, ACC : S_TRN= 73.07%, T_TRN= 100.00%, S_TST= 73.86%, T_TST= 81.48%
     E:052/300 #B:015, t=013.64m, L=00.0000, ACC : S_TRN= 73.23%, T_TRN= 100.00%, S_TST= 73.84%, T_TST= 81.46%
     E:053/300 #B:015, t=013.87m, L=00.0000, ACC : S_TRN= 71.82%, T_TRN= 100.00%, S_TST= 73.88%, T_TST= 81.51%
     E:054/300 #B:015, t=014.10m, L=00.0000, ACC : S_TRN= 74.43%, T_TRN= 100.00%, S_TST= 73.86%, T_TST= 81.48%
     E:055/300 #B:015, t=014.32m, L=00.0000, ACC : S_TRN= 73.96%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.51%
     E:056/300 #B:015, t=014.54m, L=00.0000, ACC : S_TRN= 73.44%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.43%
     E:057/300 #B:015, t=014.75m, L=00.0000, ACC : S_TRN= 73.28%, T_TRN= 100.00%, S_TST= 73.74%, T_TST= 81.43%
     E:058/300 #B:015, t=015.01m, L=00.0000, ACC : S_TRN= 75.21%, T_TRN= 100.00%, S_TST= 73.79%, T_TST= 81.43%
     E:059/300 #B:015, t=015.24m, L=00.0000, ACC : S_TRN= 72.03%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.40%
     E:060/300 #B:015, t=015.49m, L=00.0000, ACC : S_TRN= 73.39%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.40%
     E:061/300 #B:015, t=015.73m, L=00.0000, ACC : S_TRN= 75.21%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.40%
     E:062/300 #B:015, t=015.97m, L=00.0000, ACC : S_TRN= 72.76%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.40%
     E:063/300 #B:015, t=016.22m, L=00.0000, ACC : S_TRN= 71.88%, T_TRN= 100.00%, S_TST= 73.70%, T_TST= 81.40%
     E:064/300 #B:015, t=016.45m, L=00.0000, ACC : S_TRN= 74.79%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.40%
     E:065/300 #B:015, t=016.70m, L=00.0000, ACC : S_TRN= 73.44%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.37%
     E:066/300 #B:015, t=016.92m, L=00.0000, ACC : S_TRN= 74.64%, T_TRN= 100.00%, S_TST= 73.75%, T_TST= 81.40%
     E:067/300 #B:015, t=017.15m, L=00.0000, ACC : S_TRN= 72.97%, T_TRN= 100.00%, S_TST= 73.79%, T_TST= 81.40%
     E:068/300 #B:015, t=017.36m, L=00.0000, ACC : S_TRN= 72.86%, T_TRN= 100.00%, S_TST= 73.75%, T_TST= 81.43%
     E:069/300 #B:015, t=017.57m, L=00.0000, ACC : S_TRN= 71.67%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.40%
     E:070/300 #B:015, t=017.81m, L=00.0000, ACC : S_TRN= 74.43%, T_TRN= 100.00%, S_TST= 73.70%, T_TST= 81.40%
     E:071/300 #B:015, t=018.04m, L=00.0000, ACC : S_TRN= 73.91%, T_TRN= 100.00%, S_TST= 73.68%, T_TST= 81.46%
     E:072/300 #B:015, t=018.28m, L=00.0000, ACC : S_TRN= 73.39%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.46%
     E:073/300 #B:015, t=018.53m, L=00.0000, ACC : S_TRN= 72.34%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.46%
     E:074/300 #B:015, t=018.79m, L=00.0000, ACC : S_TRN= 73.59%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.46%
     E:075/300 #B:015, t=019.00m, L=00.0000, ACC : S_TRN= 73.80%, T_TRN= 100.00%, S_TST= 73.70%, T_TST= 81.46%
     E:076/300 #B:015, t=019.23m, L=00.0000, ACC : S_TRN= 72.08%, T_TRN= 100.00%, S_TST= 73.67%, T_TST= 81.46%
     E:077/300 #B:015, t=019.44m, L=00.0000, ACC : S_TRN= 73.85%, T_TRN= 100.00%, S_TST= 73.67%, T_TST= 81.46%
     E:078/300 #B:015, t=019.68m, L=00.0000, ACC : S_TRN= 73.80%, T_TRN= 100.00%, S_TST= 73.72%, T_TST= 81.37%
     E:079/300 #B:015, t=019.92m, L=00.0000, ACC : S_TRN= 73.12%, T_TRN= 100.00%, S_TST= 73.70%, T_TST= 81.46%
     E:080/300 #B:015, t=020.15m, L=00.0000, ACC : S_TRN= 73.96%, T_TRN= 100.00%, S_TST= 73.70%, T_TST= 81.46%
     E:081/300 #B:015, t=020.36m, L=00.0000, ACC : S_TRN= 74.69%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.46%
     E:082/300 #B:015, t=020.60m, L=00.0000, ACC : S_TRN= 74.58%, T_TRN= 100.00%, S_TST= 73.68%, T_TST= 81.46%
     E:083/300 #B:015, t=020.86m, L=00.0000, ACC : S_TRN= 72.29%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.46%
     E:084/300 #B:015, t=021.09m, L=00.0000, ACC : S_TRN= 71.77%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.46%
     E:085/300 #B:015, t=021.34m, L=00.0000, ACC : S_TRN= 73.44%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:086/300 #B:015, t=021.58m, L=00.0000, ACC : S_TRN= 74.01%, T_TRN= 100.00%, S_TST= 73.67%, T_TST= 81.48%
     E:087/300 #B:015, t=021.84m, L=00.0000, ACC : S_TRN= 73.85%, T_TRN= 100.00%, S_TST= 73.63%, T_TST= 81.46%
     E:088/300 #B:015, t=022.07m, L=00.0000, ACC : S_TRN= 73.96%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:089/300 #B:015, t=022.33m, L=00.0000, ACC : S_TRN= 73.54%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:090/300 #B:015, t=022.57m, L=00.0000, ACC : S_TRN= 74.38%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:091/300 #B:015, t=022.79m, L=00.0000, ACC : S_TRN= 74.53%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:092/300 #B:015, t=023.01m, L=00.0000, ACC : S_TRN= 71.88%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:093/300 #B:015, t=023.20m, L=00.0000, ACC : S_TRN= 73.96%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:094/300 #B:015, t=023.40m, L=00.0000, ACC : S_TRN= 72.97%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
     E:095/300 #B:015, t=023.63m, L=00.0000, ACC : S_TRN= 72.29%, T_TRN= 100.00%, S_TST= 73.65%, T_TST= 81.48%
