

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_kitchen, experiment=books_kitchen, gpus=6, hostname=19_06_01_21_00_43, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_21_00_43, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu
**++ E:000/300 #B:015, t=000.14m, L=05.2050, ACC : S_TRN= 85.78%, T_TRN= 75.68%, S_TST= 77.74%, T_TST= 77.48%
**++ E:001/300 #B:015, t=000.88m, L=04.5175, ACC : S_TRN= 93.65%, T_TRN= 76.88%, S_TST= 80.18%, T_TST= 78.72%
**   E:002/300 #B:015, t=001.57m, L=04.3629, ACC : S_TRN= 97.34%, T_TRN= 74.95%, S_TST= 81.16%, T_TST= 77.19%
     E:003/300 #B:015, t=001.92m, L=04.2639, ACC : S_TRN= 98.44%, T_TRN= 75.05%, S_TST= 80.85%, T_TST= 76.87%
     E:004/300 #B:015, t=002.13m, L=04.2215, ACC : S_TRN= 99.53%, T_TRN= 75.47%, S_TST= 81.10%, T_TST= 76.32%
     E:005/300 #B:015, t=002.41m, L=04.1946, ACC : S_TRN= 98.96%, T_TRN= 73.70%, S_TST= 79.26%, T_TST= 75.46%
**   E:006/300 #B:015, t=002.71m, L=04.1916, ACC : S_TRN= 99.95%, T_TRN= 73.91%, S_TST= 81.61%, T_TST= 76.01%
**   E:007/300 #B:015, t=003.00m, L=04.1730, ACC : S_TRN= 99.84%, T_TRN= 75.99%, S_TST= 81.90%, T_TST= 75.98%
     E:008/300 #B:015, t=003.34m, L=04.1723, ACC : S_TRN= 99.95%, T_TRN= 75.10%, S_TST= 81.52%, T_TST= 75.74%
     E:009/300 #B:015, t=003.56m, L=04.1764, ACC : S_TRN= 99.69%, T_TRN= 75.62%, S_TST= 80.45%, T_TST= 73.73%
     E:010/300 #B:015, t=003.78m, L=04.1883, ACC : S_TRN= 99.58%, T_TRN= 73.91%, S_TST= 80.13%, T_TST= 73.64%
     E:011/300 #B:015, t=004.03m, L=04.2038, ACC : S_TRN= 99.69%, T_TRN= 75.21%, S_TST= 80.60%, T_TST= 75.21%
     E:012/300 #B:015, t=004.26m, L=04.1802, ACC : S_TRN= 99.84%, T_TRN= 73.33%, S_TST= 79.84%, T_TST= 75.09%
     E:013/300 #B:015, t=004.54m, L=04.1710, ACC : S_TRN= 99.95%, T_TRN= 74.27%, S_TST= 80.29%, T_TST= 74.48%
     E:014/300 #B:015, t=004.79m, L=04.1963, ACC : S_TRN= 97.19%, T_TRN= 73.75%, S_TST= 77.96%, T_TST= 72.21%
     E:015/300 #B:015, t=005.01m, L=04.2228, ACC : S_TRN= 100.00%, T_TRN= 71.41%, S_TST= 80.49%, T_TST= 73.88%
     E:016/300 #B:015, t=005.23m, L=04.1770, ACC : S_TRN= 99.90%, T_TRN= 72.34%, S_TST= 80.18%, T_TST= 74.94%
     E:017/300 #B:015, t=005.47m, L=04.1778, ACC : S_TRN= 100.00%, T_TRN= 72.19%, S_TST= 81.08%, T_TST= 74.85%
     E:018/300 #B:015, t=005.75m, L=04.1694, ACC : S_TRN= 100.00%, T_TRN= 72.55%, S_TST= 81.16%, T_TST= 74.67%
     E:019/300 #B:015, t=005.97m, L=04.1749, ACC : S_TRN= 100.00%, T_TRN= 72.60%, S_TST= 80.63%, T_TST= 75.19%
     E:020/300 #B:015, t=006.21m, L=04.1676, ACC : S_TRN= 99.95%, T_TRN= 72.19%, S_TST= 80.40%, T_TST= 75.29%
     E:021/300 #B:015, t=006.44m, L=04.1711, ACC : S_TRN= 99.95%, T_TRN= 71.09%, S_TST= 80.27%, T_TST= 74.52%
     E:022/300 #B:015, t=006.65m, L=04.1725, ACC : S_TRN= 99.95%, T_TRN= 71.67%, S_TST= 80.92%, T_TST= 73.61%
     E:023/300 #B:015, t=006.91m, L=04.1714, ACC : S_TRN= 99.95%, T_TRN= 74.06%, S_TST= 80.04%, T_TST= 73.57%
     E:024/300 #B:015, t=007.18m, L=04.1792, ACC : S_TRN= 100.00%, T_TRN= 71.41%, S_TST= 80.07%, T_TST= 72.85%
     E:025/300 #B:015, t=007.41m, L=04.1805, ACC : S_TRN= 99.90%, T_TRN= 72.50%, S_TST= 79.84%, T_TST= 72.04%
     E:026/300 #B:015, t=007.64m, L=04.1967, ACC : S_TRN= 99.22%, T_TRN= 67.76%, S_TST= 79.60%, T_TST= 67.96%
     E:027/300 #B:015, t=007.85m, L=04.1981, ACC : S_TRN= 99.90%, T_TRN= 71.15%, S_TST= 80.43%, T_TST= 72.16%
     E:028/300 #B:015, t=008.12m, L=04.1893, ACC : S_TRN= 99.43%, T_TRN= 72.45%, S_TST= 79.96%, T_TST= 72.36%
     E:029/300 #B:015, t=008.39m, L=04.1855, ACC : S_TRN= 100.00%, T_TRN= 71.51%, S_TST= 80.90%, T_TST= 73.91%
     E:030/300 #B:015, t=008.65m, L=04.1701, ACC : S_TRN= 100.00%, T_TRN= 70.62%, S_TST= 81.12%, T_TST= 74.11%
     E:031/300 #B:015, t=008.88m, L=04.1677, ACC : S_TRN= 100.00%, T_TRN= 70.16%, S_TST= 81.23%, T_TST= 73.89%
     E:032/300 #B:015, t=009.09m, L=04.1789, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 81.01%, T_TST= 73.74%
     E:033/300 #B:015, t=009.32m, L=04.1738, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 80.94%, T_TST= 73.68%
     E:034/300 #B:015, t=009.55m, L=04.1686, ACC : S_TRN= 100.00%, T_TRN= 71.25%, S_TST= 80.87%, T_TST= 73.76%
     E:035/300 #B:015, t=009.80m, L=04.1689, ACC : S_TRN= 100.00%, T_TRN= 72.81%, S_TST= 80.90%, T_TST= 73.79%
