

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_electronics, experiment=dvd_electronics, gpus=6, hostname=19_06_01_21_00_43, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_21_00_43, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu
**++ E:000/300 #B:015, t=000.09m, L=05.1865, ACC : S_TRN= 86.67%, T_TRN= 70.16%, S_TST= 77.94%, T_TST= 73.46%
**++ E:001/300 #B:015, t=000.88m, L=04.5721, ACC : S_TRN= 93.70%, T_TRN= 70.99%, S_TST= 79.11%, T_TST= 73.68%
**++ E:002/300 #B:015, t=001.55m, L=04.3901, ACC : S_TRN= 96.25%, T_TRN= 72.55%, S_TST= 79.34%, T_TST= 74.25%
**   E:003/300 #B:015, t=002.11m, L=04.2499, ACC : S_TRN= 97.81%, T_TRN= 72.14%, S_TST= 80.34%, T_TST= 72.80%
     E:004/300 #B:015, t=002.43m, L=04.2738, ACC : S_TRN= 98.91%, T_TRN= 71.77%, S_TST= 78.36%, T_TST= 73.91%
  ++ E:005/300 #B:015, t=002.67m, L=04.2201, ACC : S_TRN= 99.48%, T_TRN= 73.12%, S_TST= 79.25%, T_TST= 74.44%
  ++ E:006/300 #B:015, t=003.10m, L=04.1801, ACC : S_TRN= 99.32%, T_TRN= 73.85%, S_TST= 79.48%, T_TST= 74.72%
     E:007/300 #B:015, t=003.50m, L=04.1810, ACC : S_TRN= 99.84%, T_TRN= 74.32%, S_TST= 79.87%, T_TST= 74.53%
     E:008/300 #B:015, t=003.73m, L=04.1960, ACC : S_TRN= 96.67%, T_TRN= 68.54%, S_TST= 75.01%, T_TST= 69.41%
     E:009/300 #B:015, t=003.96m, L=04.2255, ACC : S_TRN= 99.48%, T_TRN= 73.75%, S_TST= 79.31%, T_TST= 73.49%
     E:010/300 #B:015, t=004.19m, L=04.2006, ACC : S_TRN= 99.84%, T_TRN= 72.97%, S_TST= 79.87%, T_TST= 72.87%
     E:011/300 #B:015, t=004.47m, L=04.1755, ACC : S_TRN= 99.58%, T_TRN= 71.77%, S_TST= 79.31%, T_TST= 71.82%
     E:012/300 #B:015, t=004.70m, L=04.1821, ACC : S_TRN= 99.90%, T_TRN= 73.02%, S_TST= 80.28%, T_TST= 70.41%
     E:013/300 #B:015, t=004.94m, L=04.1756, ACC : S_TRN= 99.90%, T_TRN= 72.24%, S_TST= 79.53%, T_TST= 70.04%
     E:014/300 #B:015, t=005.16m, L=04.1789, ACC : S_TRN= 100.00%, T_TRN= 73.44%, S_TST= 79.92%, T_TST= 68.95%
     E:015/300 #B:015, t=005.41m, L=04.1934, ACC : S_TRN= 99.74%, T_TRN= 71.15%, S_TST= 79.50%, T_TST= 68.70%
     E:016/300 #B:015, t=005.66m, L=04.2083, ACC : S_TRN= 99.69%, T_TRN= 71.61%, S_TST= 80.20%, T_TST= 70.30%
     E:017/300 #B:015, t=005.89m, L=04.1758, ACC : S_TRN= 99.32%, T_TRN= 72.29%, S_TST= 77.97%, T_TST= 70.80%
     E:018/300 #B:015, t=006.12m, L=04.1850, ACC : S_TRN= 99.79%, T_TRN= 69.90%, S_TST= 78.53%, T_TST= 66.91%
     E:019/300 #B:015, t=006.34m, L=04.2128, ACC : S_TRN= 98.65%, T_TRN= 70.36%, S_TST= 79.34%, T_TST= 68.02%
     E:020/300 #B:015, t=006.56m, L=04.2219, ACC : S_TRN= 99.95%, T_TRN= 68.18%, S_TST= 79.34%, T_TST= 66.84%
     E:021/300 #B:015, t=006.81m, L=04.2085, ACC : S_TRN= 99.95%, T_TRN= 69.69%, S_TST= 79.25%, T_TST= 67.35%
     E:022/300 #B:015, t=007.04m, L=04.1938, ACC : S_TRN= 99.90%, T_TRN= 70.31%, S_TST= 79.62%, T_TST= 67.70%
     E:023/300 #B:015, t=007.25m, L=04.1950, ACC : S_TRN= 99.95%, T_TRN= 68.54%, S_TST= 79.78%, T_TST= 68.72%
     E:024/300 #B:015, t=007.49m, L=04.1943, ACC : S_TRN= 99.74%, T_TRN= 68.80%, S_TST= 77.13%, T_TST= 66.08%
     E:025/300 #B:015, t=007.72m, L=04.1828, ACC : S_TRN= 99.69%, T_TRN= 70.21%, S_TST= 80.03%, T_TST= 67.59%
     E:026/300 #B:015, t=007.97m, L=04.1900, ACC : S_TRN= 99.95%, T_TRN= 69.64%, S_TST= 80.15%, T_TST= 69.46%
     E:027/300 #B:015, t=008.24m, L=04.1831, ACC : S_TRN= 100.00%, T_TRN= 69.64%, S_TST= 79.67%, T_TST= 68.56%
     E:028/300 #B:015, t=008.48m, L=04.1803, ACC : S_TRN= 99.95%, T_TRN= 70.73%, S_TST= 78.61%, T_TST= 68.72%
     E:029/300 #B:015, t=008.71m, L=04.1772, ACC : S_TRN= 99.90%, T_TRN= 70.36%, S_TST= 78.78%, T_TST= 68.25%
     E:030/300 #B:015, t=008.94m, L=04.1762, ACC : S_TRN= 100.00%, T_TRN= 68.18%, S_TST= 79.06%, T_TST= 67.54%
     E:031/300 #B:015, t=009.16m, L=04.1735, ACC : S_TRN= 99.95%, T_TRN= 69.06%, S_TST= 79.25%, T_TST= 67.52%
     E:032/300 #B:015, t=009.37m, L=04.1806, ACC : S_TRN= 100.00%, T_TRN= 68.23%, S_TST= 79.09%, T_TST= 67.40%
     E:033/300 #B:015, t=009.63m, L=04.1769, ACC : S_TRN= 99.90%, T_TRN= 69.69%, S_TST= 78.81%, T_TST= 68.42%
     E:034/300 #B:015, t=009.84m, L=04.1667, ACC : S_TRN= 100.00%, T_TRN= 69.17%, S_TST= 78.78%, T_TST= 67.77%
     E:035/300 #B:015, t=010.07m, L=04.1728, ACC : S_TRN= 99.90%, T_TRN= 69.64%, S_TST= 79.34%, T_TST= 68.53%
     E:036/300 #B:015, t=010.28m, L=04.1717, ACC : S_TRN= 100.00%, T_TRN= 70.47%, S_TST= 78.83%, T_TST= 68.69%
     E:037/300 #B:015, t=010.51m, L=04.1698, ACC : S_TRN= 100.00%, T_TRN= 67.50%, S_TST= 79.17%, T_TST= 68.42%
