

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=6, hostname=19_06_01_21_00_43, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_21_00_43, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu
**++ E:000/300 #B:015, t=000.14m, L=05.1591, ACC : S_TRN= 88.28%, T_TRN= 77.14%, S_TST= 79.31%, T_TST= 79.29%
**   E:001/300 #B:015, t=000.90m, L=04.5053, ACC : S_TRN= 93.80%, T_TRN= 73.33%, S_TST= 79.81%, T_TST= 76.23%
**   E:002/300 #B:015, t=001.34m, L=04.3513, ACC : S_TRN= 97.19%, T_TRN= 73.28%, S_TST= 80.84%, T_TST= 75.95%
**   E:003/300 #B:015, t=001.58m, L=04.2516, ACC : S_TRN= 97.86%, T_TRN= 74.48%, S_TST= 81.07%, T_TST= 76.05%
     E:004/300 #B:015, t=001.92m, L=04.2258, ACC : S_TRN= 97.55%, T_TRN= 73.49%, S_TST= 77.38%, T_TST= 72.40%
     E:005/300 #B:015, t=002.10m, L=04.2423, ACC : S_TRN= 98.85%, T_TRN= 72.40%, S_TST= 79.81%, T_TST= 74.79%
     E:006/300 #B:015, t=002.40m, L=04.2149, ACC : S_TRN= 99.95%, T_TRN= 71.93%, S_TST= 80.81%, T_TST= 72.90%
     E:007/300 #B:015, t=002.66m, L=04.1801, ACC : S_TRN= 99.74%, T_TRN= 73.80%, S_TST= 79.75%, T_TST= 73.51%
     E:008/300 #B:015, t=002.88m, L=04.1778, ACC : S_TRN= 99.74%, T_TRN= 73.07%, S_TST= 80.28%, T_TST= 74.26%
     E:009/300 #B:015, t=003.08m, L=04.1862, ACC : S_TRN= 99.69%, T_TRN= 72.40%, S_TST= 79.64%, T_TST= 74.58%
     E:010/300 #B:015, t=003.31m, L=04.1814, ACC : S_TRN= 99.90%, T_TRN= 74.01%, S_TST= 80.42%, T_TST= 74.79%
     E:011/300 #B:015, t=003.53m, L=04.1746, ACC : S_TRN= 99.90%, T_TRN= 73.39%, S_TST= 80.45%, T_TST= 75.09%
     E:012/300 #B:015, t=003.75m, L=04.1665, ACC : S_TRN= 99.95%, T_TRN= 73.12%, S_TST= 80.81%, T_TST= 75.29%
     E:013/300 #B:015, t=003.98m, L=04.1658, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 80.54%, T_TST= 76.00%
     E:014/300 #B:015, t=004.21m, L=04.1631, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 80.37%, T_TST= 75.42%
     E:015/300 #B:015, t=004.44m, L=04.1776, ACC : S_TRN= 99.48%, T_TRN= 72.81%, S_TST= 79.36%, T_TST= 74.67%
     E:016/300 #B:015, t=004.73m, L=04.2010, ACC : S_TRN= 99.79%, T_TRN= 72.86%, S_TST= 80.87%, T_TST= 75.17%
     E:017/300 #B:015, t=004.94m, L=04.1701, ACC : S_TRN= 99.95%, T_TRN= 72.19%, S_TST= 80.51%, T_TST= 75.14%
     E:018/300 #B:015, t=005.15m, L=04.1675, ACC : S_TRN= 100.00%, T_TRN= 73.12%, S_TST= 78.92%, T_TST= 75.11%
     E:019/300 #B:015, t=005.41m, L=04.1705, ACC : S_TRN= 99.90%, T_TRN= 73.28%, S_TST= 78.78%, T_TST= 75.54%
     E:020/300 #B:015, t=005.65m, L=04.1774, ACC : S_TRN= 99.53%, T_TRN= 70.62%, S_TST= 79.87%, T_TST= 73.64%
     E:021/300 #B:015, t=005.89m, L=04.1723, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 80.48%, T_TST= 74.62%
     E:022/300 #B:015, t=006.09m, L=04.1682, ACC : S_TRN= 99.84%, T_TRN= 73.49%, S_TST= 79.34%, T_TST= 74.47%
     E:023/300 #B:015, t=006.35m, L=04.1708, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 79.34%, T_TST= 74.50%
     E:024/300 #B:015, t=006.56m, L=04.1668, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 80.01%, T_TST= 74.53%
     E:025/300 #B:015, t=006.83m, L=04.1639, ACC : S_TRN= 99.90%, T_TRN= 71.51%, S_TST= 79.67%, T_TST= 74.65%
     E:026/300 #B:015, t=007.06m, L=04.1863, ACC : S_TRN= 99.53%, T_TRN= 69.90%, S_TST= 78.53%, T_TST= 71.83%
     E:027/300 #B:015, t=007.29m, L=04.2169, ACC : S_TRN= 99.90%, T_TRN= 71.77%, S_TST= 78.25%, T_TST= 70.43%
     E:028/300 #B:015, t=007.52m, L=04.1864, ACC : S_TRN= 100.00%, T_TRN= 72.40%, S_TST= 79.36%, T_TST= 73.24%
     E:029/300 #B:015, t=007.78m, L=04.1721, ACC : S_TRN= 99.32%, T_TRN= 71.46%, S_TST= 77.02%, T_TST= 74.05%
     E:030/300 #B:015, t=008.02m, L=04.1708, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 79.22%, T_TST= 74.10%
     E:031/300 #B:015, t=008.28m, L=04.1670, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 79.00%, T_TST= 74.06%
     E:032/300 #B:015, t=008.51m, L=04.1673, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 78.11%, T_TST= 72.97%
     E:033/300 #B:015, t=008.75m, L=04.1653, ACC : S_TRN= 99.84%, T_TRN= 71.25%, S_TST= 79.59%, T_TST= 73.19%
     E:034/300 #B:015, t=008.99m, L=04.1686, ACC : S_TRN= 100.00%, T_TRN= 71.20%, S_TST= 78.00%, T_TST= 73.66%
     E:035/300 #B:015, t=009.21m, L=04.1641, ACC : S_TRN= 100.00%, T_TRN= 70.99%, S_TST= 79.39%, T_TST= 73.79%
     E:036/300 #B:015, t=009.44m, L=04.1612, ACC : S_TRN= 99.84%, T_TRN= 69.27%, S_TST= 79.14%, T_TST= 72.80%
     E:037/300 #B:015, t=009.69m, L=04.1695, ACC : S_TRN= 100.00%, T_TRN= 71.15%, S_TST= 79.11%, T_TST= 74.23%
