

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_books', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_books, experiment=kitchen_books, gpus=6, hostname=19_06_01_21_00_43, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_21_00_43, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_21_00_43_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu
**++ E:000/300 #B:015, t=000.14m, L=05.0939, ACC : S_TRN= 87.40%, T_TRN= 54.06%, S_TST= 80.17%, T_TST= 55.63%
**++ E:001/300 #B:015, t=000.92m, L=04.5448, ACC : S_TRN= 95.52%, T_TRN= 62.34%, S_TST= 85.48%, T_TST= 62.84%
**++ E:002/300 #B:015, t=001.59m, L=04.3332, ACC : S_TRN= 98.02%, T_TRN= 63.96%, S_TST= 85.57%, T_TST= 64.26%
  ++ E:003/300 #B:015, t=002.18m, L=04.2760, ACC : S_TRN= 98.12%, T_TRN= 64.64%, S_TST= 85.35%, T_TST= 65.98%
  ++ E:004/300 #B:015, t=002.62m, L=04.2239, ACC : S_TRN= 99.22%, T_TRN= 64.79%, S_TST= 85.26%, T_TST= 66.14%
  ++ E:005/300 #B:015, t=003.06m, L=04.2268, ACC : S_TRN= 99.90%, T_TRN= 67.40%, S_TST= 85.47%, T_TST= 66.41%
     E:006/300 #B:015, t=003.49m, L=04.1876, ACC : S_TRN= 96.93%, T_TRN= 62.08%, S_TST= 81.26%, T_TST= 63.96%
     E:007/300 #B:015, t=003.71m, L=04.2288, ACC : S_TRN= 99.58%, T_TRN= 65.94%, S_TST= 85.25%, T_TST= 65.24%
     E:008/300 #B:015, t=003.96m, L=04.1987, ACC : S_TRN= 99.74%, T_TRN= 65.47%, S_TST= 84.78%, T_TST= 65.55%
     E:009/300 #B:015, t=004.18m, L=04.1806, ACC : S_TRN= 99.74%, T_TRN= 66.51%, S_TST= 84.86%, T_TST= 65.64%
     E:010/300 #B:015, t=004.43m, L=04.1876, ACC : S_TRN= 99.95%, T_TRN= 65.89%, S_TST= 85.42%, T_TST= 65.94%
     E:011/300 #B:015, t=004.64m, L=04.1762, ACC : S_TRN= 100.00%, T_TRN= 66.35%, S_TST= 85.26%, T_TST= 66.38%
  ++ E:012/300 #B:015, t=004.87m, L=04.1690, ACC : S_TRN= 100.00%, T_TRN= 65.31%, S_TST= 85.00%, T_TST= 67.35%
     E:013/300 #B:015, t=005.27m, L=04.1668, ACC : S_TRN= 99.84%, T_TRN= 64.22%, S_TST= 84.15%, T_TST= 66.16%
     E:014/300 #B:015, t=005.52m, L=04.2020, ACC : S_TRN= 99.38%, T_TRN= 62.76%, S_TST= 83.62%, T_TST= 63.02%
     E:015/300 #B:015, t=005.77m, L=04.1962, ACC : S_TRN= 99.22%, T_TRN= 66.30%, S_TST= 84.19%, T_TST= 66.83%
     E:016/300 #B:015, t=006.00m, L=04.1991, ACC : S_TRN= 99.69%, T_TRN= 68.07%, S_TST= 84.86%, T_TST= 67.14%
     E:017/300 #B:015, t=006.23m, L=04.1978, ACC : S_TRN= 99.74%, T_TRN= 67.66%, S_TST= 83.92%, T_TST= 65.38%
     E:018/300 #B:015, t=006.49m, L=04.1762, ACC : S_TRN= 99.95%, T_TRN= 65.10%, S_TST= 85.03%, T_TST= 64.99%
     E:019/300 #B:015, t=006.71m, L=04.1737, ACC : S_TRN= 99.95%, T_TRN= 66.15%, S_TST= 85.13%, T_TST= 66.41%
     E:020/300 #B:015, t=006.98m, L=04.1730, ACC : S_TRN= 99.79%, T_TRN= 68.65%, S_TST= 84.59%, T_TST= 66.16%
     E:021/300 #B:015, t=007.23m, L=04.1713, ACC : S_TRN= 99.74%, T_TRN= 65.99%, S_TST= 83.94%, T_TST= 66.00%
     E:022/300 #B:015, t=007.45m, L=04.1870, ACC : S_TRN= 99.38%, T_TRN= 68.28%, S_TST= 84.31%, T_TST= 65.64%
     E:023/300 #B:015, t=007.68m, L=04.1962, ACC : S_TRN= 99.95%, T_TRN= 67.24%, S_TST= 84.22%, T_TST= 65.40%
     E:024/300 #B:015, t=007.91m, L=04.1801, ACC : S_TRN= 99.90%, T_TRN= 66.15%, S_TST= 84.52%, T_TST= 66.18%
     E:025/300 #B:015, t=008.19m, L=04.1779, ACC : S_TRN= 100.00%, T_TRN= 66.98%, S_TST= 84.64%, T_TST= 67.21%
     E:026/300 #B:015, t=008.42m, L=04.1795, ACC : S_TRN= 99.84%, T_TRN= 64.22%, S_TST= 84.04%, T_TST= 65.38%
     E:027/300 #B:015, t=008.67m, L=04.1785, ACC : S_TRN= 99.69%, T_TRN= 65.05%, S_TST= 83.95%, T_TST= 64.64%
     E:028/300 #B:015, t=008.91m, L=04.1795, ACC : S_TRN= 99.84%, T_TRN= 65.16%, S_TST= 83.04%, T_TST= 65.44%
     E:029/300 #B:015, t=009.13m, L=04.1760, ACC : S_TRN= 99.74%, T_TRN= 65.36%, S_TST= 84.31%, T_TST= 66.20%
     E:030/300 #B:015, t=009.36m, L=04.1818, ACC : S_TRN= 99.79%, T_TRN= 65.36%, S_TST= 83.95%, T_TST= 66.65%
     E:031/300 #B:015, t=009.59m, L=04.1653, ACC : S_TRN= 100.00%, T_TRN= 65.47%, S_TST= 84.44%, T_TST= 67.12%
     E:032/300 #B:015, t=009.86m, L=04.1690, ACC : S_TRN= 100.00%, T_TRN= 67.34%, S_TST= 84.63%, T_TST= 66.92%
     E:033/300 #B:015, t=010.10m, L=04.1684, ACC : S_TRN= 100.00%, T_TRN= 66.93%, S_TST= 84.68%, T_TST= 67.01%
     E:034/300 #B:015, t=010.33m, L=04.1651, ACC : S_TRN= 100.00%, T_TRN= 66.30%, S_TST= 83.97%, T_TST= 66.70%
     E:035/300 #B:015, t=010.57m, L=04.1695, ACC : S_TRN= 100.00%, T_TRN= 69.17%, S_TST= 84.37%, T_TST= 67.23%
     E:036/300 #B:015, t=010.82m, L=04.1674, ACC : S_TRN= 100.00%, T_TRN= 67.03%, S_TST= 84.24%, T_TST= 65.82%
     E:037/300 #B:015, t=011.04m, L=04.1652, ACC : S_TRN= 100.00%, T_TRN= 66.98%, S_TST= 84.44%, T_TST= 65.71%
     E:038/300 #B:015, t=011.33m, L=04.1658, ACC : S_TRN= 100.00%, T_TRN= 65.68%, S_TST= 84.37%, T_TST= 65.89%
     E:039/300 #B:015, t=011.62m, L=04.1665, ACC : S_TRN= 100.00%, T_TRN= 67.03%, S_TST= 84.31%, T_TST= 66.07%
     E:040/300 #B:015, t=011.88m, L=04.1638, ACC : S_TRN= 100.00%, T_TRN= 67.03%, S_TST= 84.36%, T_TST= 66.14%
     E:041/300 #B:015, t=012.11m, L=04.1646, ACC : S_TRN= 99.84%, T_TRN= 65.47%, S_TST= 84.14%, T_TST= 65.60%
     E:042/300 #B:015, t=012.32m, L=04.1629, ACC : S_TRN= 100.00%, T_TRN= 66.35%, S_TST= 84.59%, T_TST= 65.29%
     E:043/300 #B:015, t=012.56m, L=04.1628, ACC : S_TRN= 100.00%, T_TRN= 66.25%, S_TST= 84.59%, T_TST= 65.33%
     E:044/300 #B:015, t=012.81m, L=04.1616, ACC : S_TRN= 100.00%, T_TRN= 67.14%, S_TST= 84.78%, T_TST= 65.38%
     E:045/300 #B:015, t=013.03m, L=04.1618, ACC : S_TRN= 100.00%, T_TRN= 67.19%, S_TST= 84.66%, T_TST= 65.91%
     E:046/300 #B:015, t=013.28m, L=04.1649, ACC : S_TRN= 100.00%, T_TRN= 66.88%, S_TST= 84.64%, T_TST= 65.73%
