

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_electronics, experiment=books_electronics, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.14m, L=09.8971, ACC : S_TRN= 85.00%, T_TRN= 64.79%, S_TST= 75.90%, T_TST= 63.42%
**++ E:001/300 #B:015, t=000.75m, L=08.9389, ACC : S_TRN= 91.30%, T_TRN= 71.30%, S_TST= 80.94%, T_TST= 73.40%
  ++ E:002/300 #B:015, t=001.54m, L=08.6108, ACC : S_TRN= 95.89%, T_TRN= 73.33%, S_TST= 80.76%, T_TST= 73.95%
  ++ E:003/300 #B:015, t=002.09m, L=08.4765, ACC : S_TRN= 97.24%, T_TRN= 73.96%, S_TST= 80.74%, T_TST= 75.22%
**   E:004/300 #B:015, t=002.69m, L=08.4158, ACC : S_TRN= 99.38%, T_TRN= 70.78%, S_TST= 81.12%, T_TST= 74.46%
     E:005/300 #B:015, t=003.03m, L=08.3907, ACC : S_TRN= 99.22%, T_TRN= 71.15%, S_TST= 80.58%, T_TST= 73.74%
     E:006/300 #B:015, t=003.32m, L=08.3868, ACC : S_TRN= 99.48%, T_TRN= 72.50%, S_TST= 81.01%, T_TST= 73.93%
**   E:007/300 #B:015, t=003.54m, L=08.3765, ACC : S_TRN= 99.69%, T_TRN= 72.03%, S_TST= 81.46%, T_TST= 74.21%
     E:008/300 #B:015, t=003.87m, L=08.3578, ACC : S_TRN= 99.53%, T_TRN= 73.07%, S_TST= 80.52%, T_TST= 73.88%
     E:009/300 #B:015, t=004.11m, L=08.3484, ACC : S_TRN= 99.84%, T_TRN= 72.55%, S_TST= 80.58%, T_TST= 73.54%
     E:010/300 #B:015, t=004.39m, L=08.3802, ACC : S_TRN= 99.84%, T_TRN= 70.73%, S_TST= 81.12%, T_TST= 72.21%
     E:011/300 #B:015, t=004.63m, L=08.3871, ACC : S_TRN= 99.58%, T_TRN= 67.29%, S_TST= 80.25%, T_TST= 68.95%
     E:012/300 #B:015, t=004.85m, L=08.3656, ACC : S_TRN= 99.95%, T_TRN= 69.01%, S_TST= 80.18%, T_TST= 72.03%
     E:013/300 #B:015, t=005.06m, L=08.3621, ACC : S_TRN= 99.69%, T_TRN= 69.01%, S_TST= 79.60%, T_TST= 72.87%
     E:014/300 #B:015, t=005.29m, L=08.3584, ACC : S_TRN= 99.79%, T_TRN= 70.52%, S_TST= 79.57%, T_TST= 71.10%
     E:015/300 #B:015, t=005.55m, L=08.3713, ACC : S_TRN= 99.90%, T_TRN= 69.69%, S_TST= 79.93%, T_TST= 70.41%
     E:016/300 #B:015, t=005.84m, L=08.3511, ACC : S_TRN= 99.90%, T_TRN= 69.22%, S_TST= 79.75%, T_TST= 70.53%
     E:017/300 #B:015, t=006.06m, L=08.3483, ACC : S_TRN= 99.95%, T_TRN= 68.44%, S_TST= 79.82%, T_TST= 70.45%
     E:018/300 #B:015, t=006.33m, L=08.3483, ACC : S_TRN= 100.00%, T_TRN= 68.54%, S_TST= 79.73%, T_TST= 69.16%
     E:019/300 #B:015, t=006.58m, L=08.3532, ACC : S_TRN= 99.90%, T_TRN= 71.20%, S_TST= 79.53%, T_TST= 72.70%
     E:020/300 #B:015, t=006.83m, L=08.3520, ACC : S_TRN= 100.00%, T_TRN= 68.39%, S_TST= 79.71%, T_TST= 71.48%
     E:021/300 #B:015, t=007.08m, L=08.3652, ACC : S_TRN= 99.90%, T_TRN= 70.94%, S_TST= 79.82%, T_TST= 70.64%
     E:022/300 #B:015, t=007.31m, L=08.3610, ACC : S_TRN= 100.00%, T_TRN= 68.65%, S_TST= 80.00%, T_TST= 70.01%
     E:023/300 #B:015, t=007.54m, L=08.3542, ACC : S_TRN= 100.00%, T_TRN= 67.14%, S_TST= 80.16%, T_TST= 70.62%
     E:024/300 #B:015, t=007.76m, L=08.3488, ACC : S_TRN= 100.00%, T_TRN= 68.59%, S_TST= 80.22%, T_TST= 70.01%
     E:025/300 #B:015, t=008.00m, L=08.3536, ACC : S_TRN= 100.00%, T_TRN= 68.91%, S_TST= 80.34%, T_TST= 70.99%
     E:026/300 #B:015, t=008.22m, L=08.3477, ACC : S_TRN= 100.00%, T_TRN= 68.91%, S_TST= 80.27%, T_TST= 70.81%
     E:027/300 #B:015, t=008.48m, L=08.3440, ACC : S_TRN= 100.00%, T_TRN= 68.54%, S_TST= 80.13%, T_TST= 70.78%
     E:028/300 #B:015, t=008.74m, L=08.3412, ACC : S_TRN= 100.00%, T_TRN= 70.73%, S_TST= 80.18%, T_TST= 70.87%
     E:029/300 #B:015, t=009.01m, L=08.3802, ACC : S_TRN= 99.17%, T_TRN= 68.80%, S_TST= 78.95%, T_TST= 71.40%
     E:030/300 #B:015, t=009.26m, L=08.3555, ACC : S_TRN= 99.84%, T_TRN= 68.33%, S_TST= 79.26%, T_TST= 72.17%
     E:031/300 #B:015, t=009.50m, L=08.3382, ACC : S_TRN= 99.90%, T_TRN= 67.34%, S_TST= 79.87%, T_TST= 72.43%
     E:032/300 #B:015, t=009.71m, L=08.3460, ACC : S_TRN= 99.90%, T_TRN= 69.48%, S_TST= 79.82%, T_TST= 71.92%
     E:033/300 #B:015, t=009.95m, L=08.3405, ACC : S_TRN= 100.00%, T_TRN= 68.70%, S_TST= 79.98%, T_TST= 72.15%
