

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_kitchen, experiment=books_kitchen, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_books_kitchen_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.04m, L=09.8840, ACC : S_TRN= 81.56%, T_TRN= 73.96%, S_TST= 74.89%, T_TST= 75.58%
**   E:001/300 #B:015, t=000.65m, L=08.8515, ACC : S_TRN= 92.19%, T_TRN= 75.42%, S_TST= 80.16%, T_TST= 75.31%
**++ E:002/300 #B:015, t=000.97m, L=08.6105, ACC : S_TRN= 95.42%, T_TRN= 77.08%, S_TST= 80.87%, T_TST= 76.50%
**   E:003/300 #B:015, t=001.66m, L=08.4635, ACC : S_TRN= 98.23%, T_TRN= 75.21%, S_TST= 81.14%, T_TST= 76.25%
**   E:004/300 #B:015, t=002.05m, L=08.4186, ACC : S_TRN= 99.01%, T_TRN= 73.96%, S_TST= 81.14%, T_TST= 74.43%
  ++ E:005/300 #B:015, t=002.39m, L=08.3749, ACC : S_TRN= 99.53%, T_TRN= 74.79%, S_TST= 80.94%, T_TST= 77.34%
     E:006/300 #B:015, t=002.81m, L=08.3554, ACC : S_TRN= 99.43%, T_TRN= 75.47%, S_TST= 80.72%, T_TST= 76.28%
     E:007/300 #B:015, t=003.03m, L=08.3392, ACC : S_TRN= 99.58%, T_TRN= 76.61%, S_TST= 80.45%, T_TST= 76.33%
     E:008/300 #B:015, t=003.28m, L=08.3508, ACC : S_TRN= 99.84%, T_TRN= 76.93%, S_TST= 80.02%, T_TST= 76.40%
     E:009/300 #B:015, t=003.51m, L=08.3611, ACC : S_TRN= 99.48%, T_TRN= 75.62%, S_TST= 80.00%, T_TST= 75.73%
     E:010/300 #B:015, t=003.74m, L=08.3635, ACC : S_TRN= 95.73%, T_TRN= 74.58%, S_TST= 76.91%, T_TST= 73.10%
     E:011/300 #B:015, t=003.98m, L=08.3881, ACC : S_TRN= 99.27%, T_TRN= 74.32%, S_TST= 78.81%, T_TST= 72.55%
     E:012/300 #B:015, t=004.21m, L=08.3451, ACC : S_TRN= 99.32%, T_TRN= 72.29%, S_TST= 78.68%, T_TST= 72.58%
     E:013/300 #B:015, t=004.47m, L=08.3441, ACC : S_TRN= 99.84%, T_TRN= 72.97%, S_TST= 78.84%, T_TST= 73.37%
     E:014/300 #B:015, t=004.73m, L=08.3596, ACC : S_TRN= 99.74%, T_TRN= 71.98%, S_TST= 79.44%, T_TST= 71.39%
     E:015/300 #B:015, t=004.97m, L=08.3462, ACC : S_TRN= 99.95%, T_TRN= 73.65%, S_TST= 79.33%, T_TST= 73.37%
     E:016/300 #B:015, t=005.24m, L=08.3520, ACC : S_TRN= 99.79%, T_TRN= 73.96%, S_TST= 79.01%, T_TST= 70.60%
     E:017/300 #B:015, t=005.47m, L=08.3547, ACC : S_TRN= 99.90%, T_TRN= 71.61%, S_TST= 79.55%, T_TST= 71.66%
     E:018/300 #B:015, t=005.72m, L=08.3438, ACC : S_TRN= 99.95%, T_TRN= 72.76%, S_TST= 79.08%, T_TST= 70.09%
     E:019/300 #B:015, t=005.99m, L=08.3493, ACC : S_TRN= 99.74%, T_TRN= 71.25%, S_TST= 78.61%, T_TST= 69.62%
     E:020/300 #B:015, t=006.23m, L=08.3641, ACC : S_TRN= 99.69%, T_TRN= 67.71%, S_TST= 78.81%, T_TST= 70.29%
     E:021/300 #B:015, t=006.52m, L=08.3348, ACC : S_TRN= 99.64%, T_TRN= 68.80%, S_TST= 78.01%, T_TST= 69.05%
     E:022/300 #B:015, t=006.74m, L=08.3590, ACC : S_TRN= 99.95%, T_TRN= 69.43%, S_TST= 79.10%, T_TST= 71.02%
     E:023/300 #B:015, t=006.97m, L=08.3498, ACC : S_TRN= 99.95%, T_TRN= 72.45%, S_TST= 79.37%, T_TST= 70.14%
     E:024/300 #B:015, t=007.21m, L=08.3375, ACC : S_TRN= 99.58%, T_TRN= 72.40%, S_TST= 78.66%, T_TST= 71.17%
     E:025/300 #B:015, t=007.48m, L=08.3710, ACC : S_TRN= 99.32%, T_TRN= 70.00%, S_TST= 78.59%, T_TST= 70.04%
     E:026/300 #B:015, t=007.69m, L=08.3687, ACC : S_TRN= 99.74%, T_TRN= 68.96%, S_TST= 79.22%, T_TST= 69.45%
     E:027/300 #B:015, t=007.94m, L=08.3571, ACC : S_TRN= 99.79%, T_TRN= 67.76%, S_TST= 79.40%, T_TST= 68.97%
     E:028/300 #B:015, t=008.17m, L=08.3643, ACC : S_TRN= 99.95%, T_TRN= 71.30%, S_TST= 79.91%, T_TST= 70.26%
     E:029/300 #B:015, t=008.40m, L=08.3478, ACC : S_TRN= 99.79%, T_TRN= 69.32%, S_TST= 80.07%, T_TST= 69.84%
     E:030/300 #B:015, t=008.67m, L=08.3412, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 79.71%, T_TST= 70.82%
     E:031/300 #B:015, t=008.92m, L=08.3433, ACC : S_TRN= 100.00%, T_TRN= 68.59%, S_TST= 79.96%, T_TST= 70.95%
     E:032/300 #B:015, t=009.16m, L=08.3552, ACC : S_TRN= 100.00%, T_TRN= 68.91%, S_TST= 80.07%, T_TST= 70.77%
     E:033/300 #B:015, t=009.41m, L=08.3484, ACC : S_TRN= 99.95%, T_TRN= 69.74%, S_TST= 79.73%, T_TST= 71.84%
     E:034/300 #B:015, t=009.67m, L=08.3428, ACC : S_TRN= 99.90%, T_TRN= 71.51%, S_TST= 80.00%, T_TST= 71.72%
     E:035/300 #B:015, t=009.90m, L=08.3418, ACC : S_TRN= 99.95%, T_TRN= 69.48%, S_TST= 79.98%, T_TST= 71.66%
     E:036/300 #B:015, t=010.17m, L=08.3530, ACC : S_TRN= 100.00%, T_TRN= 68.65%, S_TST= 80.07%, T_TST= 72.35%
     E:037/300 #B:015, t=010.41m, L=08.3465, ACC : S_TRN= 99.90%, T_TRN= 70.94%, S_TST= 79.66%, T_TST= 70.45%
     E:038/300 #B:015, t=010.66m, L=08.3611, ACC : S_TRN= 99.95%, T_TRN= 71.61%, S_TST= 79.57%, T_TST= 71.77%
     E:039/300 #B:015, t=010.91m, L=08.3443, ACC : S_TRN= 100.00%, T_TRN= 67.81%, S_TST= 80.20%, T_TST= 71.59%
