

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_books', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_books, experiment=dvd_books, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_books_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.09m, L=09.7861, ACC : S_TRN= 84.58%, T_TRN= 73.39%, S_TST= 75.57%, T_TST= 75.07%
**++ E:001/300 #B:015, t=000.69m, L=08.8335, ACC : S_TRN= 93.33%, T_TRN= 73.85%, S_TST= 80.20%, T_TST= 76.57%
**   E:002/300 #B:015, t=001.49m, L=08.5843, ACC : S_TRN= 95.42%, T_TRN= 71.98%, S_TST= 80.37%, T_TST= 70.84%
**   E:003/300 #B:015, t=001.79m, L=08.4720, ACC : S_TRN= 97.50%, T_TRN= 75.42%, S_TST= 81.04%, T_TST= 75.52%
  ++ E:004/300 #B:015, t=002.11m, L=08.4419, ACC : S_TRN= 98.59%, T_TRN= 74.79%, S_TST= 80.51%, T_TST= 76.64%
     E:005/300 #B:015, t=002.63m, L=08.4145, ACC : S_TRN= 95.36%, T_TRN= 72.45%, S_TST= 75.46%, T_TST= 71.94%
     E:006/300 #B:015, t=002.90m, L=08.4162, ACC : S_TRN= 99.01%, T_TRN= 75.68%, S_TST= 80.01%, T_TST= 75.52%
     E:007/300 #B:015, t=003.14m, L=08.3569, ACC : S_TRN= 99.48%, T_TRN= 73.70%, S_TST= 79.81%, T_TST= 76.28%
     E:008/300 #B:015, t=003.36m, L=08.3456, ACC : S_TRN= 99.90%, T_TRN= 76.46%, S_TST= 80.51%, T_TST= 76.33%
     E:009/300 #B:015, t=003.59m, L=08.3481, ACC : S_TRN= 99.74%, T_TRN= 74.64%, S_TST= 79.92%, T_TST= 74.74%
     E:010/300 #B:015, t=003.81m, L=08.3563, ACC : S_TRN= 99.69%, T_TRN= 74.06%, S_TST= 79.31%, T_TST= 74.94%
     E:011/300 #B:015, t=004.04m, L=08.3597, ACC : S_TRN= 99.58%, T_TRN= 72.92%, S_TST= 79.42%, T_TST= 74.31%
     E:012/300 #B:015, t=004.28m, L=08.3534, ACC : S_TRN= 99.79%, T_TRN= 73.75%, S_TST= 78.56%, T_TST= 75.52%
     E:013/300 #B:015, t=004.48m, L=08.3444, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 79.25%, T_TST= 75.79%
     E:014/300 #B:015, t=004.72m, L=08.3334, ACC : S_TRN= 99.95%, T_TRN= 74.48%, S_TST= 79.22%, T_TST= 74.94%
     E:015/300 #B:015, t=004.95m, L=08.3601, ACC : S_TRN= 99.64%, T_TRN= 70.78%, S_TST= 79.17%, T_TST= 72.83%
     E:016/300 #B:015, t=005.16m, L=08.3388, ACC : S_TRN= 99.27%, T_TRN= 72.14%, S_TST= 79.28%, T_TST= 75.52%
     E:017/300 #B:015, t=005.36m, L=08.3507, ACC : S_TRN= 99.74%, T_TRN= 72.03%, S_TST= 79.03%, T_TST= 74.18%
     E:018/300 #B:015, t=005.61m, L=08.3468, ACC : S_TRN= 99.74%, T_TRN= 71.82%, S_TST= 79.45%, T_TST= 70.44%
     E:019/300 #B:015, t=005.85m, L=08.3525, ACC : S_TRN= 99.90%, T_TRN= 72.29%, S_TST= 78.95%, T_TST= 74.38%
     E:020/300 #B:015, t=006.08m, L=08.3379, ACC : S_TRN= 99.95%, T_TRN= 72.03%, S_TST= 78.61%, T_TST= 74.89%
     E:021/300 #B:015, t=006.33m, L=08.3398, ACC : S_TRN= 99.79%, T_TRN= 70.42%, S_TST= 79.00%, T_TST= 73.44%
     E:022/300 #B:015, t=006.54m, L=08.3287, ACC : S_TRN= 99.79%, T_TRN= 73.02%, S_TST= 79.53%, T_TST= 72.30%
     E:023/300 #B:015, t=006.75m, L=08.3572, ACC : S_TRN= 99.79%, T_TRN= 73.85%, S_TST= 78.53%, T_TST= 73.57%
     E:024/300 #B:015, t=006.97m, L=08.3384, ACC : S_TRN= 99.74%, T_TRN= 71.35%, S_TST= 79.59%, T_TST= 73.26%
     E:025/300 #B:015, t=007.19m, L=08.3512, ACC : S_TRN= 99.06%, T_TRN= 70.78%, S_TST= 77.72%, T_TST= 71.67%
     E:026/300 #B:015, t=007.43m, L=08.3502, ACC : S_TRN= 99.58%, T_TRN= 68.80%, S_TST= 78.44%, T_TST= 69.07%
     E:027/300 #B:015, t=007.63m, L=08.3600, ACC : S_TRN= 99.48%, T_TRN= 68.33%, S_TST= 78.64%, T_TST= 70.55%
     E:028/300 #B:015, t=007.86m, L=08.3610, ACC : S_TRN= 99.43%, T_TRN= 72.24%, S_TST= 79.00%, T_TST= 73.53%
     E:029/300 #B:015, t=008.08m, L=08.3459, ACC : S_TRN= 99.53%, T_TRN= 70.42%, S_TST= 78.92%, T_TST= 74.51%
     E:030/300 #B:015, t=008.31m, L=08.3410, ACC : S_TRN= 99.84%, T_TRN= 72.71%, S_TST= 78.86%, T_TST= 74.22%
     E:031/300 #B:015, t=008.54m, L=08.3521, ACC : S_TRN= 99.48%, T_TRN= 70.10%, S_TST= 78.36%, T_TST= 74.15%
     E:032/300 #B:015, t=008.78m, L=08.3378, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 79.14%, T_TST= 74.11%
     E:033/300 #B:015, t=009.04m, L=08.3286, ACC : S_TRN= 99.95%, T_TRN= 71.41%, S_TST= 78.72%, T_TST= 74.54%
     E:034/300 #B:015, t=009.24m, L=08.3264, ACC : S_TRN= 99.90%, T_TRN= 71.41%, S_TST= 79.11%, T_TST= 74.09%
     E:035/300 #B:015, t=009.46m, L=08.3265, ACC : S_TRN= 99.95%, T_TRN= 71.88%, S_TST= 78.95%, T_TST= 74.47%
     E:036/300 #B:015, t=009.70m, L=08.3265, ACC : S_TRN= 100.00%, T_TRN= 71.56%, S_TST= 78.95%, T_TST= 74.45%
     E:037/300 #B:015, t=009.94m, L=08.3317, ACC : S_TRN= 99.84%, T_TRN= 72.03%, S_TST= 78.92%, T_TST= 74.42%
