

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_electronics, experiment=dvd_electronics, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.07m, L=09.8472, ACC : S_TRN= 85.99%, T_TRN= 64.11%, S_TST= 77.36%, T_TST= 62.98%
**++ E:001/300 #B:015, t=000.68m, L=08.9096, ACC : S_TRN= 92.97%, T_TRN= 72.71%, S_TST= 79.14%, T_TST= 74.25%
**   E:002/300 #B:015, t=001.50m, L=08.6268, ACC : S_TRN= 95.47%, T_TRN= 72.71%, S_TST= 80.65%, T_TST= 70.71%
**++ E:003/300 #B:015, t=001.94m, L=08.4820, ACC : S_TRN= 96.77%, T_TRN= 75.00%, S_TST= 81.26%, T_TST= 74.39%
  ++ E:004/300 #B:015, t=002.51m, L=08.4352, ACC : S_TRN= 99.01%, T_TRN= 74.90%, S_TST= 81.12%, T_TST= 75.06%
  ++ E:005/300 #B:015, t=003.00m, L=08.4319, ACC : S_TRN= 98.91%, T_TRN= 73.59%, S_TST= 79.89%, T_TST= 75.22%
     E:006/300 #B:015, t=003.50m, L=08.4013, ACC : S_TRN= 99.11%, T_TRN= 74.11%, S_TST= 80.42%, T_TST= 72.70%
     E:007/300 #B:015, t=003.74m, L=08.3925, ACC : S_TRN= 99.17%, T_TRN= 70.47%, S_TST= 80.84%, T_TST= 70.15%
     E:008/300 #B:015, t=003.96m, L=08.3815, ACC : S_TRN= 98.59%, T_TRN= 69.79%, S_TST= 79.22%, T_TST= 70.32%
     E:009/300 #B:015, t=004.18m, L=08.3685, ACC : S_TRN= 99.48%, T_TRN= 70.00%, S_TST= 79.53%, T_TST= 67.77%
     E:010/300 #B:015, t=004.44m, L=08.3539, ACC : S_TRN= 99.74%, T_TRN= 68.96%, S_TST= 80.51%, T_TST= 67.56%
**   E:011/300 #B:015, t=004.64m, L=08.3762, ACC : S_TRN= 99.79%, T_TRN= 70.05%, S_TST= 81.29%, T_TST= 70.81%
     E:012/300 #B:015, t=004.92m, L=08.3630, ACC : S_TRN= 99.84%, T_TRN= 71.98%, S_TST= 80.98%, T_TST= 71.24%
     E:013/300 #B:015, t=005.16m, L=08.3406, ACC : S_TRN= 99.79%, T_TRN= 70.00%, S_TST= 80.48%, T_TST= 71.78%
     E:014/300 #B:015, t=005.42m, L=08.3424, ACC : S_TRN= 99.95%, T_TRN= 73.65%, S_TST= 80.62%, T_TST= 70.50%
     E:015/300 #B:015, t=005.68m, L=08.3747, ACC : S_TRN= 99.95%, T_TRN= 71.09%, S_TST= 80.01%, T_TST= 70.20%
     E:016/300 #B:015, t=005.90m, L=08.3448, ACC : S_TRN= 100.00%, T_TRN= 70.21%, S_TST= 80.95%, T_TST= 70.25%
     E:017/300 #B:015, t=006.12m, L=08.3526, ACC : S_TRN= 99.95%, T_TRN= 71.67%, S_TST= 80.79%, T_TST= 70.27%
     E:018/300 #B:015, t=006.35m, L=08.3433, ACC : S_TRN= 99.90%, T_TRN= 70.42%, S_TST= 81.01%, T_TST= 69.58%
     E:019/300 #B:015, t=006.59m, L=08.3395, ACC : S_TRN= 100.00%, T_TRN= 71.20%, S_TST= 80.90%, T_TST= 69.32%
     E:020/300 #B:015, t=006.81m, L=08.3284, ACC : S_TRN= 99.84%, T_TRN= 71.30%, S_TST= 79.81%, T_TST= 70.45%
**   E:021/300 #B:015, t=007.04m, L=08.3331, ACC : S_TRN= 100.00%, T_TRN= 70.47%, S_TST= 81.34%, T_TST= 70.22%
     E:022/300 #B:015, t=007.29m, L=08.3411, ACC : S_TRN= 99.90%, T_TRN= 70.73%, S_TST= 80.42%, T_TST= 70.37%
     E:023/300 #B:015, t=007.51m, L=08.3316, ACC : S_TRN= 100.00%, T_TRN= 69.64%, S_TST= 80.84%, T_TST= 70.36%
     E:024/300 #B:015, t=007.76m, L=08.3459, ACC : S_TRN= 100.00%, T_TRN= 70.05%, S_TST= 79.95%, T_TST= 68.35%
     E:025/300 #B:015, t=008.02m, L=08.3354, ACC : S_TRN= 100.00%, T_TRN= 70.52%, S_TST= 80.20%, T_TST= 69.18%
     E:026/300 #B:015, t=008.26m, L=08.3326, ACC : S_TRN= 100.00%, T_TRN= 69.32%, S_TST= 80.45%, T_TST= 69.83%
     E:027/300 #B:015, t=008.48m, L=08.3489, ACC : S_TRN= 99.79%, T_TRN= 69.74%, S_TST= 80.42%, T_TST= 70.01%
     E:028/300 #B:015, t=008.75m, L=08.3340, ACC : S_TRN= 99.90%, T_TRN= 70.62%, S_TST= 80.48%, T_TST= 69.64%
     E:029/300 #B:015, t=009.03m, L=08.3324, ACC : S_TRN= 99.90%, T_TRN= 71.98%, S_TST= 80.34%, T_TST= 69.76%
     E:030/300 #B:015, t=009.30m, L=08.3337, ACC : S_TRN= 99.84%, T_TRN= 70.42%, S_TST= 80.45%, T_TST= 69.83%
     E:031/300 #B:015, t=009.51m, L=08.3312, ACC : S_TRN= 100.00%, T_TRN= 70.57%, S_TST= 80.48%, T_TST= 69.11%
     E:032/300 #B:015, t=009.74m, L=08.3271, ACC : S_TRN= 100.00%, T_TRN= 69.43%, S_TST= 79.95%, T_TST= 69.11%
     E:033/300 #B:015, t=009.97m, L=08.3297, ACC : S_TRN= 100.00%, T_TRN= 69.48%, S_TST= 80.31%, T_TST= 69.90%
     E:034/300 #B:015, t=010.19m, L=08.3278, ACC : S_TRN= 100.00%, T_TRN= 69.69%, S_TST= 80.17%, T_TST= 70.15%
     E:035/300 #B:015, t=010.42m, L=08.3277, ACC : S_TRN= 100.00%, T_TRN= 69.95%, S_TST= 80.26%, T_TST= 69.86%
     E:036/300 #B:015, t=010.62m, L=08.3314, ACC : S_TRN= 100.00%, T_TRN= 69.38%, S_TST= 80.20%, T_TST= 69.83%
     E:037/300 #B:015, t=010.84m, L=08.3332, ACC : S_TRN= 100.00%, T_TRN= 69.79%, S_TST= 80.23%, T_TST= 69.81%
