

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.05m, L=09.7553, ACC : S_TRN= 85.00%, T_TRN= 76.25%, S_TST= 77.02%, T_TST= 77.06%
**   E:001/300 #B:015, t=000.66m, L=08.7461, ACC : S_TRN= 93.80%, T_TRN= 75.16%, S_TST= 79.70%, T_TST= 75.85%
**   E:002/300 #B:015, t=000.94m, L=08.5804, ACC : S_TRN= 95.68%, T_TRN= 76.20%, S_TST= 80.54%, T_TST= 76.18%
     E:003/300 #B:015, t=001.43m, L=08.4543, ACC : S_TRN= 96.56%, T_TRN= 74.22%, S_TST= 80.40%, T_TST= 75.29%
     E:004/300 #B:015, t=001.60m, L=08.4231, ACC : S_TRN= 99.48%, T_TRN= 75.68%, S_TST= 80.12%, T_TST= 75.34%
     E:005/300 #B:015, t=001.84m, L=08.3694, ACC : S_TRN= 99.32%, T_TRN= 74.38%, S_TST= 78.78%, T_TST= 75.31%
     E:006/300 #B:015, t=002.08m, L=08.3488, ACC : S_TRN= 99.69%, T_TRN= 71.61%, S_TST= 79.34%, T_TST= 74.28%
**   E:007/300 #B:015, t=002.26m, L=08.3711, ACC : S_TRN= 99.48%, T_TRN= 71.93%, S_TST= 80.67%, T_TST= 74.95%
     E:008/300 #B:015, t=002.62m, L=08.3653, ACC : S_TRN= 99.53%, T_TRN= 73.49%, S_TST= 79.17%, T_TST= 74.30%
     E:009/300 #B:015, t=002.84m, L=08.3450, ACC : S_TRN= 99.79%, T_TRN= 74.79%, S_TST= 80.15%, T_TST= 74.13%
     E:010/300 #B:015, t=003.04m, L=08.3375, ACC : S_TRN= 99.95%, T_TRN= 74.90%, S_TST= 80.37%, T_TST= 74.62%
     E:011/300 #B:015, t=003.34m, L=08.3380, ACC : S_TRN= 99.38%, T_TRN= 74.74%, S_TST= 78.95%, T_TST= 74.42%
     E:012/300 #B:015, t=003.58m, L=08.3583, ACC : S_TRN= 99.69%, T_TRN= 72.55%, S_TST= 78.97%, T_TST= 73.68%
     E:013/300 #B:015, t=003.83m, L=08.3486, ACC : S_TRN= 99.90%, T_TRN= 73.12%, S_TST= 79.64%, T_TST= 73.86%
     E:014/300 #B:015, t=004.06m, L=08.3537, ACC : S_TRN= 99.43%, T_TRN= 73.85%, S_TST= 78.81%, T_TST= 74.70%
     E:015/300 #B:015, t=004.31m, L=08.3355, ACC : S_TRN= 99.90%, T_TRN= 73.65%, S_TST= 79.59%, T_TST= 74.84%
     E:016/300 #B:015, t=004.54m, L=08.3410, ACC : S_TRN= 100.00%, T_TRN= 71.72%, S_TST= 79.09%, T_TST= 72.40%
     E:017/300 #B:015, t=004.76m, L=08.3381, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 79.25%, T_TST= 72.21%
     E:018/300 #B:015, t=004.97m, L=08.3332, ACC : S_TRN= 99.90%, T_TRN= 73.18%, S_TST= 78.78%, T_TST= 73.05%
     E:019/300 #B:015, t=005.20m, L=08.3351, ACC : S_TRN= 99.90%, T_TRN= 73.80%, S_TST= 78.83%, T_TST= 72.20%
     E:020/300 #B:015, t=005.44m, L=08.3296, ACC : S_TRN= 100.00%, T_TRN= 71.35%, S_TST= 79.53%, T_TST= 72.20%
     E:021/300 #B:015, t=005.68m, L=08.3278, ACC : S_TRN= 100.00%, T_TRN= 71.72%, S_TST= 78.58%, T_TST= 72.43%
     E:022/300 #B:015, t=005.92m, L=08.3292, ACC : S_TRN= 100.00%, T_TRN= 71.51%, S_TST= 79.39%, T_TST= 72.25%
     E:023/300 #B:015, t=006.15m, L=08.3304, ACC : S_TRN= 99.95%, T_TRN= 71.04%, S_TST= 79.45%, T_TST= 72.77%
     E:024/300 #B:015, t=006.39m, L=08.3535, ACC : S_TRN= 99.95%, T_TRN= 72.14%, S_TST= 79.25%, T_TST= 72.04%
     E:025/300 #B:015, t=006.62m, L=08.3357, ACC : S_TRN= 99.64%, T_TRN= 71.25%, S_TST= 77.61%, T_TST= 70.11%
     E:026/300 #B:015, t=006.86m, L=08.3512, ACC : S_TRN= 99.64%, T_TRN= 70.36%, S_TST= 78.17%, T_TST= 70.29%
     E:027/300 #B:015, t=007.05m, L=08.3380, ACC : S_TRN= 99.69%, T_TRN= 71.15%, S_TST= 78.39%, T_TST= 69.94%
     E:028/300 #B:015, t=007.29m, L=08.3370, ACC : S_TRN= 99.79%, T_TRN= 70.62%, S_TST= 78.86%, T_TST= 69.84%
     E:029/300 #B:015, t=007.52m, L=08.3406, ACC : S_TRN= 100.00%, T_TRN= 69.58%, S_TST= 79.28%, T_TST= 71.66%
     E:030/300 #B:015, t=007.75m, L=08.3319, ACC : S_TRN= 100.00%, T_TRN= 71.67%, S_TST= 79.59%, T_TST= 71.14%
     E:031/300 #B:015, t=007.96m, L=08.3266, ACC : S_TRN= 100.00%, T_TRN= 70.16%, S_TST= 79.75%, T_TST= 71.76%
     E:032/300 #B:015, t=008.18m, L=08.3333, ACC : S_TRN= 100.00%, T_TRN= 71.98%, S_TST= 79.62%, T_TST= 71.77%
     E:033/300 #B:015, t=008.38m, L=08.3316, ACC : S_TRN= 100.00%, T_TRN= 71.77%, S_TST= 79.73%, T_TST= 71.67%
     E:034/300 #B:015, t=008.61m, L=08.3261, ACC : S_TRN= 100.00%, T_TRN= 68.91%, S_TST= 79.70%, T_TST= 71.69%
     E:035/300 #B:015, t=008.84m, L=08.3294, ACC : S_TRN= 100.00%, T_TRN= 70.83%, S_TST= 79.73%, T_TST= 71.71%
