

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_books', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_books, experiment=electronics_books, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.07m, L=09.6546, ACC : S_TRN= 87.29%, T_TRN= 67.60%, S_TST= 80.87%, T_TST= 68.94%
**   E:001/300 #B:015, t=000.68m, L=08.7802, ACC : S_TRN= 93.59%, T_TRN= 63.85%, S_TST= 81.66%, T_TST= 63.40%
**++ E:002/300 #B:015, t=001.20m, L=08.5709, ACC : S_TRN= 96.56%, T_TRN= 69.53%, S_TST= 85.13%, T_TST= 69.79%
     E:003/300 #B:015, t=001.71m, L=08.4453, ACC : S_TRN= 97.81%, T_TRN= 69.48%, S_TST= 84.88%, T_TST= 68.49%
     E:004/300 #B:015, t=001.94m, L=08.4180, ACC : S_TRN= 98.44%, T_TRN= 64.69%, S_TST= 83.98%, T_TST= 67.95%
     E:005/300 #B:015, t=002.12m, L=08.4031, ACC : S_TRN= 98.44%, T_TRN= 65.52%, S_TST= 84.44%, T_TST= 66.45%
     E:006/300 #B:015, t=002.37m, L=08.4270, ACC : S_TRN= 99.11%, T_TRN= 66.41%, S_TST= 84.35%, T_TST= 66.05%
     E:007/300 #B:015, t=002.55m, L=08.3717, ACC : S_TRN= 99.69%, T_TRN= 64.58%, S_TST= 83.19%, T_TST= 64.99%
     E:008/300 #B:015, t=002.75m, L=08.3725, ACC : S_TRN= 99.38%, T_TRN= 65.73%, S_TST= 83.77%, T_TST= 65.31%
     E:009/300 #B:015, t=003.00m, L=08.3674, ACC : S_TRN= 99.74%, T_TRN= 65.42%, S_TST= 84.47%, T_TST= 65.20%
     E:010/300 #B:015, t=003.27m, L=08.3392, ACC : S_TRN= 99.90%, T_TRN= 65.16%, S_TST= 84.51%, T_TST= 64.77%
     E:011/300 #B:015, t=003.54m, L=08.3497, ACC : S_TRN= 99.64%, T_TRN= 65.31%, S_TST= 83.93%, T_TST= 64.75%
     E:012/300 #B:015, t=003.80m, L=08.3409, ACC : S_TRN= 99.64%, T_TRN= 65.89%, S_TST= 84.35%, T_TST= 64.19%
     E:013/300 #B:015, t=004.06m, L=08.3347, ACC : S_TRN= 99.53%, T_TRN= 65.94%, S_TST= 83.93%, T_TST= 64.10%
     E:014/300 #B:015, t=004.30m, L=08.3499, ACC : S_TRN= 99.95%, T_TRN= 66.25%, S_TST= 84.12%, T_TST= 64.86%
     E:015/300 #B:015, t=004.52m, L=08.3436, ACC : S_TRN= 99.90%, T_TRN= 65.73%, S_TST= 84.42%, T_TST= 64.50%
     E:016/300 #B:015, t=004.78m, L=08.3422, ACC : S_TRN= 99.43%, T_TRN= 63.44%, S_TST= 83.79%, T_TST= 62.91%
     E:017/300 #B:015, t=005.03m, L=08.3451, ACC : S_TRN= 100.00%, T_TRN= 62.29%, S_TST= 83.93%, T_TST= 62.82%
     E:018/300 #B:015, t=005.24m, L=08.3440, ACC : S_TRN= 97.40%, T_TRN= 60.52%, S_TST= 80.83%, T_TST= 61.32%
     E:019/300 #B:015, t=005.50m, L=08.3626, ACC : S_TRN= 99.90%, T_TRN= 61.51%, S_TST= 83.89%, T_TST= 63.43%
     E:020/300 #B:015, t=005.74m, L=08.3329, ACC : S_TRN= 99.79%, T_TRN= 63.59%, S_TST= 84.26%, T_TST= 64.21%
     E:021/300 #B:015, t=006.04m, L=08.3485, ACC : S_TRN= 99.84%, T_TRN= 65.10%, S_TST= 83.26%, T_TST= 64.01%
     E:022/300 #B:015, t=006.29m, L=08.3516, ACC : S_TRN= 99.79%, T_TRN= 63.44%, S_TST= 84.19%, T_TST= 62.40%
     E:023/300 #B:015, t=006.52m, L=08.3608, ACC : S_TRN= 99.53%, T_TRN= 62.19%, S_TST= 82.61%, T_TST= 61.59%
     E:024/300 #B:015, t=006.74m, L=08.3426, ACC : S_TRN= 99.74%, T_TRN= 63.96%, S_TST= 83.65%, T_TST= 62.37%
     E:025/300 #B:015, t=006.98m, L=08.3562, ACC : S_TRN= 100.00%, T_TRN= 60.99%, S_TST= 84.07%, T_TST= 62.02%
     E:026/300 #B:015, t=007.23m, L=08.3586, ACC : S_TRN= 99.53%, T_TRN= 61.61%, S_TST= 82.70%, T_TST= 62.33%
     E:027/300 #B:015, t=007.49m, L=08.3374, ACC : S_TRN= 100.00%, T_TRN= 60.05%, S_TST= 83.07%, T_TST= 61.52%
     E:028/300 #B:015, t=007.72m, L=08.3286, ACC : S_TRN= 100.00%, T_TRN= 58.96%, S_TST= 82.66%, T_TST= 61.03%
     E:029/300 #B:015, t=007.95m, L=08.3414, ACC : S_TRN= 99.69%, T_TRN= 61.72%, S_TST= 82.42%, T_TST= 62.49%
     E:030/300 #B:015, t=008.15m, L=08.3393, ACC : S_TRN= 99.74%, T_TRN= 62.45%, S_TST= 82.38%, T_TST= 62.58%
     E:031/300 #B:015, t=008.38m, L=08.3374, ACC : S_TRN= 99.95%, T_TRN= 60.78%, S_TST= 82.34%, T_TST= 62.31%
     E:032/300 #B:015, t=008.61m, L=08.3266, ACC : S_TRN= 100.00%, T_TRN= 60.94%, S_TST= 83.42%, T_TST= 62.24%
     E:033/300 #B:015, t=008.88m, L=08.3420, ACC : S_TRN= 99.74%, T_TRN= 63.33%, S_TST= 81.80%, T_TST= 61.90%
     E:034/300 #B:015, t=009.11m, L=08.3277, ACC : S_TRN= 100.00%, T_TRN= 62.24%, S_TST= 83.49%, T_TST= 62.37%
     E:035/300 #B:015, t=009.34m, L=08.3431, ACC : S_TRN= 100.00%, T_TRN= 63.28%, S_TST= 83.86%, T_TST= 61.28%
