

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_kitchen, experiment=electronics_kitchen, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_kitchen_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.09m, L=09.5700, ACC : S_TRN= 87.03%, T_TRN= 74.95%, S_TST= 80.73%, T_TST= 75.16%
**++ E:001/300 #B:015, t=000.72m, L=08.7850, ACC : S_TRN= 94.79%, T_TRN= 79.32%, S_TST= 85.02%, T_TST= 78.87%
**++ E:002/300 #B:015, t=001.56m, L=08.5313, ACC : S_TRN= 96.67%, T_TRN= 81.35%, S_TST= 85.60%, T_TST= 82.99%
**   E:003/300 #B:015, t=002.20m, L=08.4439, ACC : S_TRN= 98.02%, T_TRN= 80.83%, S_TST= 85.67%, T_TST= 82.79%
**   E:004/300 #B:015, t=002.54m, L=08.4288, ACC : S_TRN= 98.54%, T_TRN= 80.73%, S_TST= 85.78%, T_TST= 81.55%
     E:005/300 #B:015, t=002.94m, L=08.4008, ACC : S_TRN= 98.91%, T_TRN= 81.09%, S_TST= 85.48%, T_TST= 80.37%
**   E:006/300 #B:015, t=003.22m, L=08.3966, ACC : S_TRN= 99.58%, T_TRN= 78.54%, S_TST= 85.78%, T_TST= 81.61%
     E:007/300 #B:015, t=003.56m, L=08.3616, ACC : S_TRN= 99.69%, T_TRN= 79.32%, S_TST= 85.60%, T_TST= 80.15%
     E:008/300 #B:015, t=003.79m, L=08.3740, ACC : S_TRN= 99.90%, T_TRN= 80.52%, S_TST= 84.77%, T_TST= 79.78%
     E:009/300 #B:015, t=004.07m, L=08.3741, ACC : S_TRN= 99.79%, T_TRN= 80.83%, S_TST= 85.35%, T_TST= 81.90%
     E:010/300 #B:015, t=004.36m, L=08.3609, ACC : S_TRN= 100.00%, T_TRN= 79.64%, S_TST= 85.25%, T_TST= 81.75%
     E:011/300 #B:015, t=004.61m, L=08.3869, ACC : S_TRN= 99.74%, T_TRN= 80.94%, S_TST= 83.45%, T_TST= 79.66%
     E:012/300 #B:015, t=004.88m, L=08.3634, ACC : S_TRN= 99.38%, T_TRN= 78.65%, S_TST= 83.98%, T_TST= 81.08%
     E:013/300 #B:015, t=005.13m, L=08.3520, ACC : S_TRN= 99.95%, T_TRN= 80.21%, S_TST= 84.58%, T_TST= 81.55%
     E:014/300 #B:015, t=005.38m, L=08.3492, ACC : S_TRN= 99.84%, T_TRN= 81.56%, S_TST= 85.07%, T_TST= 81.18%
     E:015/300 #B:015, t=005.64m, L=08.3438, ACC : S_TRN= 100.00%, T_TRN= 80.21%, S_TST= 84.60%, T_TST= 81.14%
     E:016/300 #B:015, t=005.90m, L=08.3376, ACC : S_TRN= 99.84%, T_TRN= 80.99%, S_TST= 83.35%, T_TST= 79.81%
     E:017/300 #B:015, t=006.18m, L=08.3463, ACC : S_TRN= 100.00%, T_TRN= 78.96%, S_TST= 84.39%, T_TST= 80.72%
     E:018/300 #B:015, t=006.42m, L=08.3391, ACC : S_TRN= 100.00%, T_TRN= 79.48%, S_TST= 84.47%, T_TST= 80.93%
     E:019/300 #B:015, t=006.67m, L=08.3382, ACC : S_TRN= 99.95%, T_TRN= 80.42%, S_TST= 83.33%, T_TST= 79.56%
     E:020/300 #B:015, t=006.93m, L=08.3401, ACC : S_TRN= 100.00%, T_TRN= 79.27%, S_TST= 84.12%, T_TST= 81.13%
     E:021/300 #B:015, t=007.17m, L=08.3333, ACC : S_TRN= 100.00%, T_TRN= 77.55%, S_TST= 84.18%, T_TST= 81.24%
     E:022/300 #B:015, t=007.39m, L=08.3447, ACC : S_TRN= 99.95%, T_TRN= 78.91%, S_TST= 83.74%, T_TST= 79.81%
     E:023/300 #B:015, t=007.69m, L=08.3849, ACC : S_TRN= 99.69%, T_TRN= 80.42%, S_TST= 83.63%, T_TST= 80.56%
     E:024/300 #B:015, t=007.93m, L=08.3444, ACC : S_TRN= 99.84%, T_TRN= 79.58%, S_TST= 83.66%, T_TST= 80.44%
     E:025/300 #B:015, t=008.16m, L=08.3466, ACC : S_TRN= 99.90%, T_TRN= 80.26%, S_TST= 83.84%, T_TST= 80.27%
     E:026/300 #B:015, t=008.42m, L=08.3379, ACC : S_TRN= 99.84%, T_TRN= 80.16%, S_TST= 83.88%, T_TST= 80.08%
     E:027/300 #B:015, t=008.69m, L=08.3331, ACC : S_TRN= 99.64%, T_TRN= 79.43%, S_TST= 84.02%, T_TST= 79.68%
     E:028/300 #B:015, t=008.95m, L=08.3463, ACC : S_TRN= 99.01%, T_TRN= 78.44%, S_TST= 82.49%, T_TST= 79.21%
     E:029/300 #B:015, t=009.24m, L=08.3577, ACC : S_TRN= 99.90%, T_TRN= 77.55%, S_TST= 83.51%, T_TST= 79.18%
     E:030/300 #B:015, t=009.51m, L=08.3369, ACC : S_TRN= 100.00%, T_TRN= 77.71%, S_TST= 83.35%, T_TST= 78.91%
     E:031/300 #B:015, t=009.77m, L=08.3316, ACC : S_TRN= 100.00%, T_TRN= 78.54%, S_TST= 83.42%, T_TST= 79.11%
     E:032/300 #B:015, t=010.03m, L=08.3332, ACC : S_TRN= 100.00%, T_TRN= 76.20%, S_TST= 83.66%, T_TST= 79.56%
     E:033/300 #B:015, t=010.27m, L=08.3288, ACC : S_TRN= 100.00%, T_TRN= 77.29%, S_TST= 83.74%, T_TST= 79.61%
     E:034/300 #B:015, t=010.54m, L=08.3252, ACC : S_TRN= 100.00%, T_TRN= 78.59%, S_TST= 83.66%, T_TST= 79.61%
     E:035/300 #B:015, t=010.77m, L=08.3263, ACC : S_TRN= 100.00%, T_TRN= 78.80%, S_TST= 83.77%, T_TST= 79.61%
     E:036/300 #B:015, t=011.04m, L=08.3291, ACC : S_TRN= 100.00%, T_TRN= 78.39%, S_TST= 83.88%, T_TST= 79.63%
     E:037/300 #B:015, t=011.31m, L=08.3299, ACC : S_TRN= 100.00%, T_TRN= 78.02%, S_TST= 83.82%, T_TST= 79.70%
     E:038/300 #B:015, t=011.56m, L=08.3278, ACC : S_TRN= 100.00%, T_TRN= 78.18%, S_TST= 83.81%, T_TST= 79.71%
     E:039/300 #B:015, t=011.81m, L=08.3253, ACC : S_TRN= 100.00%, T_TRN= 77.29%, S_TST= 83.86%, T_TST= 79.71%
