

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_books', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_books, experiment=kitchen_books, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.08m, L=09.7298, ACC : S_TRN= 81.30%, T_TRN= 65.21%, S_TST= 74.95%, T_TST= 64.68%
**++ E:001/300 #B:015, t=000.69m, L=08.8203, ACC : S_TRN= 95.78%, T_TRN= 66.04%, S_TST= 87.17%, T_TST= 65.60%
  ++ E:002/300 #B:015, t=001.53m, L=08.5342, ACC : S_TRN= 96.77%, T_TRN= 65.36%, S_TST= 85.84%, T_TST= 66.56%
  ++ E:003/300 #B:015, t=002.10m, L=08.4545, ACC : S_TRN= 98.12%, T_TRN= 67.60%, S_TST= 86.17%, T_TST= 67.64%
     E:004/300 #B:015, t=002.66m, L=08.4254, ACC : S_TRN= 98.39%, T_TRN= 64.22%, S_TST= 84.95%, T_TST= 66.32%
     E:005/300 #B:015, t=002.91m, L=08.4230, ACC : S_TRN= 99.69%, T_TRN= 67.40%, S_TST= 86.39%, T_TST= 64.55%
     E:006/300 #B:015, t=003.18m, L=08.3605, ACC : S_TRN= 99.84%, T_TRN= 65.16%, S_TST= 85.74%, T_TST= 65.78%
     E:007/300 #B:015, t=003.41m, L=08.3964, ACC : S_TRN= 99.11%, T_TRN= 60.26%, S_TST= 84.26%, T_TST= 60.74%
     E:008/300 #B:015, t=003.66m, L=08.4126, ACC : S_TRN= 99.58%, T_TRN= 64.64%, S_TST= 85.43%, T_TST= 65.22%
     E:009/300 #B:015, t=003.89m, L=08.3499, ACC : S_TRN= 99.74%, T_TRN= 65.78%, S_TST= 85.33%, T_TST= 64.70%
     E:010/300 #B:015, t=004.13m, L=08.3476, ACC : S_TRN= 99.95%, T_TRN= 64.84%, S_TST= 85.21%, T_TST= 65.73%
     E:011/300 #B:015, t=004.35m, L=08.3345, ACC : S_TRN= 99.95%, T_TRN= 64.69%, S_TST= 85.06%, T_TST= 66.61%
     E:012/300 #B:015, t=004.61m, L=08.3624, ACC : S_TRN= 99.74%, T_TRN= 64.48%, S_TST= 84.54%, T_TST= 64.61%
     E:013/300 #B:015, t=004.87m, L=08.3549, ACC : S_TRN= 99.01%, T_TRN= 64.27%, S_TST= 83.43%, T_TST= 65.76%
     E:014/300 #B:015, t=005.12m, L=08.3750, ACC : S_TRN= 99.79%, T_TRN= 65.16%, S_TST= 83.99%, T_TST= 63.74%
     E:015/300 #B:015, t=005.38m, L=08.3501, ACC : S_TRN= 99.69%, T_TRN= 65.94%, S_TST= 84.36%, T_TST= 65.62%
     E:016/300 #B:015, t=005.64m, L=08.3423, ACC : S_TRN= 99.74%, T_TRN= 64.74%, S_TST= 84.22%, T_TST= 64.79%
     E:017/300 #B:015, t=005.89m, L=08.3467, ACC : S_TRN= 99.79%, T_TRN= 65.05%, S_TST= 84.29%, T_TST= 64.30%
     E:018/300 #B:015, t=006.13m, L=08.3397, ACC : S_TRN= 99.95%, T_TRN= 62.24%, S_TST= 84.29%, T_TST= 64.50%
     E:019/300 #B:015, t=006.38m, L=08.3362, ACC : S_TRN= 99.48%, T_TRN= 64.79%, S_TST= 85.15%, T_TST= 64.08%
     E:020/300 #B:015, t=006.62m, L=08.3350, ACC : S_TRN= 100.00%, T_TRN= 63.85%, S_TST= 84.81%, T_TST= 64.01%
     E:021/300 #B:015, t=006.90m, L=08.3442, ACC : S_TRN= 99.90%, T_TRN= 64.48%, S_TST= 84.37%, T_TST= 62.91%
     E:022/300 #B:015, t=007.15m, L=08.3516, ACC : S_TRN= 99.90%, T_TRN= 65.89%, S_TST= 84.89%, T_TST= 64.46%
     E:023/300 #B:015, t=007.36m, L=08.3475, ACC : S_TRN= 99.74%, T_TRN= 65.10%, S_TST= 84.42%, T_TST= 62.58%
     E:024/300 #B:015, t=007.61m, L=08.3403, ACC : S_TRN= 99.64%, T_TRN= 62.50%, S_TST= 84.42%, T_TST= 62.91%
     E:025/300 #B:015, t=007.88m, L=08.4250, ACC : S_TRN= 99.32%, T_TRN= 61.04%, S_TST= 83.75%, T_TST= 60.74%
     E:026/300 #B:015, t=008.11m, L=08.3794, ACC : S_TRN= 99.84%, T_TRN= 61.77%, S_TST= 84.27%, T_TST= 62.84%
     E:027/300 #B:015, t=008.39m, L=08.3401, ACC : S_TRN= 99.90%, T_TRN= 61.93%, S_TST= 85.01%, T_TST= 63.65%
     E:028/300 #B:015, t=008.64m, L=08.3449, ACC : S_TRN= 100.00%, T_TRN= 64.22%, S_TST= 83.85%, T_TST= 62.19%
     E:029/300 #B:015, t=008.92m, L=08.3520, ACC : S_TRN= 99.90%, T_TRN= 65.05%, S_TST= 84.34%, T_TST= 64.90%
     E:030/300 #B:015, t=009.18m, L=08.3359, ACC : S_TRN= 100.00%, T_TRN= 62.34%, S_TST= 83.62%, T_TST= 62.67%
     E:031/300 #B:015, t=009.44m, L=08.3479, ACC : S_TRN= 100.00%, T_TRN= 61.25%, S_TST= 83.90%, T_TST= 63.27%
     E:032/300 #B:015, t=009.70m, L=08.3497, ACC : S_TRN= 100.00%, T_TRN= 61.82%, S_TST= 84.05%, T_TST= 62.78%
     E:033/300 #B:015, t=009.92m, L=08.3483, ACC : S_TRN= 100.00%, T_TRN= 62.86%, S_TST= 83.82%, T_TST= 61.52%
