

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_dvd', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_dvd, experiment=kitchen_dvd, gpus=6, hostname=19_06_01_22_28_04, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_22_28_04, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_22_28_04_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_dvd_0_large_ss_tu_su
**++ E:000/300 #B:015, t=000.13m, L=09.6944, ACC : S_TRN= 86.77%, T_TRN= 60.42%, S_TST= 79.58%, T_TST= 63.27%
**   E:001/300 #B:015, t=000.75m, L=08.9223, ACC : S_TRN= 95.89%, T_TRN= 63.59%, S_TST= 85.63%, T_TST= 62.41%
  ++ E:002/300 #B:015, t=001.29m, L=08.5654, ACC : S_TRN= 94.48%, T_TRN= 69.79%, S_TST= 81.90%, T_TST= 70.75%
  ++ E:003/300 #B:015, t=001.73m, L=08.4776, ACC : S_TRN= 98.65%, T_TRN= 71.77%, S_TST= 85.48%, T_TST= 71.14%
**++ E:004/300 #B:015, t=002.22m, L=08.3962, ACC : S_TRN= 98.96%, T_TRN= 72.24%, S_TST= 85.74%, T_TST= 71.83%
     E:005/300 #B:015, t=002.81m, L=08.3717, ACC : S_TRN= 99.53%, T_TRN= 72.03%, S_TST= 85.65%, T_TST= 71.39%
     E:006/300 #B:015, t=003.05m, L=08.3692, ACC : S_TRN= 99.74%, T_TRN= 68.33%, S_TST= 84.19%, T_TST= 67.23%
     E:007/300 #B:015, t=003.32m, L=08.3845, ACC : S_TRN= 99.32%, T_TRN= 70.26%, S_TST= 84.76%, T_TST= 69.77%
     E:008/300 #B:015, t=003.55m, L=08.3744, ACC : S_TRN= 99.01%, T_TRN= 64.27%, S_TST= 83.55%, T_TST= 65.48%
     E:009/300 #B:015, t=003.83m, L=08.3727, ACC : S_TRN= 99.48%, T_TRN= 67.24%, S_TST= 84.54%, T_TST= 69.52%
     E:010/300 #B:015, t=004.03m, L=08.3547, ACC : S_TRN= 99.84%, T_TRN= 69.38%, S_TST= 84.74%, T_TST= 70.58%
     E:011/300 #B:015, t=004.26m, L=08.3394, ACC : S_TRN= 99.90%, T_TRN= 70.26%, S_TST= 84.39%, T_TST= 71.36%
     E:012/300 #B:015, t=004.52m, L=08.3330, ACC : S_TRN= 99.53%, T_TRN= 69.27%, S_TST= 84.39%, T_TST= 71.14%
     E:013/300 #B:015, t=004.76m, L=08.3566, ACC : S_TRN= 99.17%, T_TRN= 70.99%, S_TST= 83.65%, T_TST= 70.05%
     E:014/300 #B:015, t=004.95m, L=08.3696, ACC : S_TRN= 99.74%, T_TRN= 70.68%, S_TST= 84.29%, T_TST= 69.99%
     E:015/300 #B:015, t=005.19m, L=08.3538, ACC : S_TRN= 99.95%, T_TRN= 71.35%, S_TST= 84.14%, T_TST= 71.00%
     E:016/300 #B:015, t=005.43m, L=08.3361, ACC : S_TRN= 100.00%, T_TRN= 69.32%, S_TST= 84.64%, T_TST= 70.52%
     E:017/300 #B:015, t=005.67m, L=08.3457, ACC : S_TRN= 99.79%, T_TRN= 66.25%, S_TST= 84.34%, T_TST= 66.48%
     E:018/300 #B:015, t=005.95m, L=08.3668, ACC : S_TRN= 100.00%, T_TRN= 68.96%, S_TST= 84.49%, T_TST= 70.27%
     E:019/300 #B:015, t=006.19m, L=08.3399, ACC : S_TRN= 100.00%, T_TRN= 69.48%, S_TST= 84.81%, T_TST= 71.19%
     E:020/300 #B:015, t=006.44m, L=08.3309, ACC : S_TRN= 99.84%, T_TRN= 68.80%, S_TST= 84.86%, T_TST= 70.27%
     E:021/300 #B:015, t=006.70m, L=08.3411, ACC : S_TRN= 99.84%, T_TRN= 69.95%, S_TST= 85.10%, T_TST= 71.53%
     E:022/300 #B:015, t=006.94m, L=08.3523, ACC : S_TRN= 99.53%, T_TRN= 70.47%, S_TST= 84.63%, T_TST= 69.02%
     E:023/300 #B:015, t=007.17m, L=08.3598, ACC : S_TRN= 99.69%, T_TRN= 70.21%, S_TST= 85.03%, T_TST= 71.81%
     E:024/300 #B:015, t=007.41m, L=08.3742, ACC : S_TRN= 100.00%, T_TRN= 70.10%, S_TST= 85.16%, T_TST= 69.83%
     E:025/300 #B:015, t=007.62m, L=08.3456, ACC : S_TRN= 100.00%, T_TRN= 70.10%, S_TST= 85.53%, T_TST= 70.80%
     E:026/300 #B:015, t=007.88m, L=08.3489, ACC : S_TRN= 100.00%, T_TRN= 69.95%, S_TST= 85.25%, T_TST= 69.07%
     E:027/300 #B:015, t=008.13m, L=08.3544, ACC : S_TRN= 99.79%, T_TRN= 68.18%, S_TST= 85.00%, T_TST= 67.32%
     E:028/300 #B:015, t=008.37m, L=08.3395, ACC : S_TRN= 100.00%, T_TRN= 66.67%, S_TST= 84.98%, T_TST= 68.21%
     E:029/300 #B:015, t=008.59m, L=08.3391, ACC : S_TRN= 99.69%, T_TRN= 68.70%, S_TST= 84.78%, T_TST= 66.48%
     E:030/300 #B:015, t=008.86m, L=08.3722, ACC : S_TRN= 100.00%, T_TRN= 69.38%, S_TST= 84.49%, T_TST= 67.04%
     E:031/300 #B:015, t=009.09m, L=08.3774, ACC : S_TRN= 99.90%, T_TRN= 68.12%, S_TST= 84.51%, T_TST= 70.30%
     E:032/300 #B:015, t=009.35m, L=08.3348, ACC : S_TRN= 100.00%, T_TRN= 67.71%, S_TST= 85.00%, T_TST= 69.52%
     E:033/300 #B:015, t=009.58m, L=08.3747, ACC : S_TRN= 99.84%, T_TRN= 63.80%, S_TST= 84.83%, T_TST= 64.86%
