

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='7', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=7, hostname=19_06_01_23_43_33, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_23_43_33, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 7
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.15m, L=10.5732, ACC : S_TRN= 86.46%, T_TRN= 74.17%, S_TST= 78.92%, T_TST= 77.70%
**++ E:001/300 #B:015, t=000.84m, L=09.7626, ACC : S_TRN= 93.65%, T_TRN= 76.51%, S_TST= 80.81%, T_TST= 80.47%
**++ E:002/300 #B:015, t=001.70m, L=09.4598, ACC : S_TRN= 96.67%, T_TRN= 75.94%, S_TST= 81.09%, T_TST= 80.87%
  ++ E:003/300 #B:015, t=002.25m, L=09.2957, ACC : S_TRN= 98.54%, T_TRN= 77.19%, S_TST= 80.90%, T_TST= 81.41%
  ++ E:004/300 #B:015, t=002.74m, L=09.1657, ACC : S_TRN= 99.27%, T_TRN= 78.23%, S_TST= 80.48%, T_TST= 81.82%
**   E:005/300 #B:015, t=003.41m, L=09.0996, ACC : S_TRN= 99.27%, T_TRN= 77.19%, S_TST= 81.34%, T_TST= 81.23%
     E:006/300 #B:015, t=003.87m, L=09.0659, ACC : S_TRN= 99.74%, T_TRN= 78.65%, S_TST= 80.51%, T_TST= 81.35%
**   E:007/300 #B:015, t=004.16m, L=09.0414, ACC : S_TRN= 99.64%, T_TRN= 77.81%, S_TST= 81.60%, T_TST= 80.93%
     E:008/300 #B:015, t=004.58m, L=09.0475, ACC : S_TRN= 99.69%, T_TRN= 77.40%, S_TST= 81.01%, T_TST= 80.52%
     E:009/300 #B:015, t=004.95m, L=09.0434, ACC : S_TRN= 99.95%, T_TRN= 78.44%, S_TST= 80.95%, T_TST= 79.61%
     E:010/300 #B:015, t=005.33m, L=09.0346, ACC : S_TRN= 99.90%, T_TRN= 77.71%, S_TST= 81.15%, T_TST= 79.14%
     E:011/300 #B:015, t=005.68m, L=09.0376, ACC : S_TRN= 99.90%, T_TRN= 78.39%, S_TST= 80.90%, T_TST= 78.42%
     E:012/300 #B:015, t=006.09m, L=09.0340, ACC : S_TRN= 99.84%, T_TRN= 78.59%, S_TST= 81.37%, T_TST= 78.30%
     E:013/300 #B:015, t=006.40m, L=09.0368, ACC : S_TRN= 99.95%, T_TRN= 75.94%, S_TST= 81.54%, T_TST= 77.29%
     E:014/300 #B:015, t=006.71m, L=09.0360, ACC : S_TRN= 100.00%, T_TRN= 77.19%, S_TST= 80.81%, T_TST= 75.11%
     E:015/300 #B:015, t=007.04m, L=09.0299, ACC : S_TRN= 97.66%, T_TRN= 78.07%, S_TST= 76.05%, T_TST= 76.37%
     E:016/300 #B:015, t=007.32m, L=11.2097, ACC : S_TRN= 51.77%, T_TRN= 50.26%, S_TST= 49.97%, T_TST= 50.58%
     E:017/300 #B:015, t=007.62m, L=10.8403, ACC : S_TRN= 81.88%, T_TRN= 63.75%, S_TST= 71.78%, T_TST= 62.49%
     E:018/300 #B:015, t=007.93m, L=10.2613, ACC : S_TRN= 96.15%, T_TRN= 79.01%, S_TST= 81.29%, T_TST= 80.62%
**   E:019/300 #B:015, t=008.23m, L=09.7021, ACC : S_TRN= 98.23%, T_TRN= 77.76%, S_TST= 83.41%, T_TST= 81.14%
**++ E:020/300 #B:015, t=008.66m, L=09.4795, ACC : S_TRN= 98.96%, T_TRN= 78.85%, S_TST= 83.66%, T_TST= 81.97%
     E:021/300 #B:015, t=009.24m, L=09.4001, ACC : S_TRN= 99.69%, T_TRN= 77.45%, S_TST= 82.93%, T_TST= 81.58%
     E:022/300 #B:015, t=009.57m, L=09.3627, ACC : S_TRN= 99.90%, T_TRN= 79.90%, S_TST= 82.88%, T_TST= 80.29%
     E:023/300 #B:015, t=009.85m, L=09.3231, ACC : S_TRN= 99.84%, T_TRN= 77.81%, S_TST= 82.85%, T_TST= 80.25%
     E:024/300 #B:015, t=010.16m, L=09.2927, ACC : S_TRN= 100.00%, T_TRN= 80.31%, S_TST= 82.74%, T_TST= 81.26%
     E:025/300 #B:015, t=010.48m, L=09.2813, ACC : S_TRN= 100.00%, T_TRN= 79.58%, S_TST= 82.77%, T_TST= 78.84%
     E:026/300 #B:015, t=010.79m, L=09.2765, ACC : S_TRN= 100.00%, T_TRN= 79.58%, S_TST= 82.60%, T_TST= 80.44%
     E:027/300 #B:015, t=011.07m, L=09.2383, ACC : S_TRN= 100.00%, T_TRN= 78.44%, S_TST= 82.57%, T_TST= 79.68%
     E:028/300 #B:015, t=011.41m, L=09.2355, ACC : S_TRN= 100.00%, T_TRN= 77.34%, S_TST= 81.54%, T_TST= 79.26%
     E:029/300 #B:015, t=011.75m, L=09.2289, ACC : S_TRN= 100.00%, T_TRN= 77.76%, S_TST= 82.26%, T_TST= 78.91%
     E:030/300 #B:015, t=012.07m, L=09.2180, ACC : S_TRN= 100.00%, T_TRN= 77.14%, S_TST= 82.38%, T_TST= 78.60%
     E:031/300 #B:015, t=012.41m, L=09.2278, ACC : S_TRN= 100.00%, T_TRN= 79.79%, S_TST= 82.57%, T_TST= 78.32%
     E:032/300 #B:015, t=012.70m, L=09.2293, ACC : S_TRN= 100.00%, T_TRN= 78.44%, S_TST= 82.40%, T_TST= 77.65%
     E:033/300 #B:015, t=012.95m, L=09.2085, ACC : S_TRN= 100.00%, T_TRN= 77.60%, S_TST= 82.49%, T_TST= 77.51%
     E:034/300 #B:015, t=013.26m, L=09.2038, ACC : S_TRN= 100.00%, T_TRN= 79.38%, S_TST= 82.68%, T_TST= 76.70%
     E:035/300 #B:015, t=013.57m, L=09.2227, ACC : S_TRN= 100.00%, T_TRN= 77.50%, S_TST= 82.52%, T_TST= 77.09%
     E:036/300 #B:015, t=013.90m, L=09.1974, ACC : S_TRN= 100.00%, T_TRN= 79.17%, S_TST= 82.63%, T_TST= 76.57%
