

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_books', feature_num=5000, gpus='7', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_books, experiment=electronics_books, gpus=7, hostname=19_06_01_23_43_33, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_23_43_33, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 7
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.20m, L=10.5716, ACC : S_TRN= 89.64%, T_TRN= 68.59%, S_TST= 83.15%, T_TST= 69.79%
**++ E:001/300 #B:015, t=000.99m, L=09.7354, ACC : S_TRN= 96.67%, T_TRN= 71.15%, S_TST= 84.56%, T_TST= 72.32%
**   E:002/300 #B:015, t=001.87m, L=09.4088, ACC : S_TRN= 97.92%, T_TRN= 70.00%, S_TST= 85.16%, T_TST= 70.95%
**   E:003/300 #B:015, t=002.34m, L=09.2562, ACC : S_TRN= 99.06%, T_TRN= 68.54%, S_TST= 85.30%, T_TST= 70.97%
**   E:004/300 #B:015, t=002.70m, L=09.1449, ACC : S_TRN= 99.27%, T_TRN= 69.69%, S_TST= 85.58%, T_TST= 70.80%
     E:005/300 #B:015, t=003.09m, L=09.0938, ACC : S_TRN= 99.53%, T_TRN= 70.31%, S_TST= 84.63%, T_TST= 70.15%
     E:006/300 #B:015, t=003.45m, L=09.0729, ACC : S_TRN= 99.48%, T_TRN= 70.47%, S_TST= 85.44%, T_TST= 70.88%
     E:007/300 #B:015, t=003.83m, L=09.0434, ACC : S_TRN= 99.58%, T_TRN= 69.38%, S_TST= 85.11%, T_TST= 68.67%
     E:008/300 #B:015, t=004.13m, L=09.0474, ACC : S_TRN= 99.95%, T_TRN= 67.86%, S_TST= 84.60%, T_TST= 68.65%
     E:009/300 #B:015, t=004.45m, L=09.0401, ACC : S_TRN= 99.74%, T_TRN= 70.05%, S_TST= 85.30%, T_TST= 67.30%
     E:010/300 #B:015, t=004.80m, L=09.0389, ACC : S_TRN= 99.95%, T_TRN= 72.03%, S_TST= 85.11%, T_TST= 69.68%
     E:011/300 #B:015, t=005.22m, L=09.0375, ACC : S_TRN= 99.95%, T_TRN= 69.79%, S_TST= 84.81%, T_TST= 67.10%
     E:012/300 #B:015, t=005.51m, L=09.0316, ACC : S_TRN= 99.95%, T_TRN= 70.78%, S_TST= 85.09%, T_TST= 67.84%
     E:013/300 #B:015, t=005.85m, L=09.0292, ACC : S_TRN= 99.95%, T_TRN= 69.17%, S_TST= 84.37%, T_TST= 67.68%
     E:014/300 #B:015, t=006.23m, L=09.0351, ACC : S_TRN= 100.00%, T_TRN= 69.11%, S_TST= 84.00%, T_TST= 65.46%
     E:015/300 #B:015, t=006.59m, L=09.0249, ACC : S_TRN= 100.00%, T_TRN= 69.69%, S_TST= 84.40%, T_TST= 66.99%
     E:016/300 #B:015, t=006.99m, L=09.0320, ACC : S_TRN= 100.00%, T_TRN= 69.69%, S_TST= 84.60%, T_TST= 65.69%
     E:017/300 #B:015, t=007.37m, L=09.0298, ACC : S_TRN= 100.00%, T_TRN= 69.27%, S_TST= 84.74%, T_TST= 66.07%
     E:018/300 #B:015, t=007.71m, L=09.0255, ACC : S_TRN= 100.00%, T_TRN= 70.16%, S_TST= 85.11%, T_TST= 67.28%
     E:019/300 #B:015, t=008.03m, L=09.0267, ACC : S_TRN= 100.00%, T_TRN= 70.52%, S_TST= 84.88%, T_TST= 67.23%
     E:020/300 #B:015, t=008.40m, L=09.0250, ACC : S_TRN= 100.00%, T_TRN= 69.53%, S_TST= 85.07%, T_TST= 66.61%
     E:021/300 #B:015, t=008.75m, L=09.0226, ACC : S_TRN= 100.00%, T_TRN= 69.32%, S_TST= 85.18%, T_TST= 66.94%
     E:022/300 #B:015, t=009.08m, L=09.0239, ACC : S_TRN= 100.00%, T_TRN= 70.31%, S_TST= 84.95%, T_TST= 66.54%
     E:023/300 #B:015, t=009.40m, L=09.0215, ACC : S_TRN= 100.00%, T_TRN= 68.70%, S_TST= 84.53%, T_TST= 65.82%
     E:024/300 #B:015, t=009.70m, L=09.0221, ACC : S_TRN= 100.00%, T_TRN= 68.33%, S_TST= 84.54%, T_TST= 66.20%
     E:025/300 #B:015, t=010.09m, L=09.0238, ACC : S_TRN= 100.00%, T_TRN= 69.79%, S_TST= 84.67%, T_TST= 65.89%
     E:026/300 #B:015, t=010.46m, L=09.0217, ACC : S_TRN= 100.00%, T_TRN= 70.26%, S_TST= 84.12%, T_TST= 65.80%
     E:027/300 #B:015, t=010.84m, L=09.0267, ACC : S_TRN= 100.00%, T_TRN= 69.64%, S_TST= 84.74%, T_TST= 64.77%
     E:028/300 #B:015, t=011.15m, L=09.0277, ACC : S_TRN= 100.00%, T_TRN= 68.54%, S_TST= 84.62%, T_TST= 65.91%
     E:029/300 #B:015, t=011.48m, L=09.0213, ACC : S_TRN= 100.00%, T_TRN= 70.52%, S_TST= 84.54%, T_TST= 65.44%
     E:030/300 #B:015, t=011.88m, L=09.0276, ACC : S_TRN= 100.00%, T_TRN= 69.84%, S_TST= 84.32%, T_TST= 65.53%
     E:031/300 #B:015, t=012.23m, L=09.0200, ACC : S_TRN= 100.00%, T_TRN= 68.39%, S_TST= 84.40%, T_TST= 64.79%
     E:032/300 #B:015, t=012.57m, L=09.0203, ACC : S_TRN= 100.00%, T_TRN= 68.49%, S_TST= 84.49%, T_TST= 64.37%
     E:033/300 #B:015, t=012.93m, L=09.0237, ACC : S_TRN= 100.00%, T_TRN= 69.79%, S_TST= 83.86%, T_TST= 64.55%
     E:034/300 #B:015, t=013.22m, L=09.0281, ACC : S_TRN= 100.00%, T_TRN= 69.43%, S_TST= 84.28%, T_TST= 63.16%
     E:035/300 #B:015, t=013.55m, L=09.0227, ACC : S_TRN= 100.00%, T_TRN= 71.46%, S_TST= 84.53%, T_TST= 64.12%
     E:036/300 #B:015, t=013.90m, L=09.0220, ACC : S_TRN= 100.00%, T_TRN= 72.40%, S_TST= 83.95%, T_TST= 63.49%
     E:037/300 #B:015, t=014.23m, L=09.0190, ACC : S_TRN= 100.00%, T_TRN= 69.95%, S_TST= 84.07%, T_TST= 63.18%
     E:038/300 #B:015, t=014.55m, L=09.0216, ACC : S_TRN= 100.00%, T_TRN= 70.68%, S_TST= 84.19%, T_TST= 63.74%
     E:039/300 #B:015, t=014.89m, L=09.0202, ACC : S_TRN= 100.00%, T_TRN= 69.53%, S_TST= 84.14%, T_TST= 64.95%
