

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_dvd', feature_num=5000, gpus='7', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_dvd, experiment=electronics_dvd, gpus=7, hostname=19_06_01_23_43_33, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_23_43_33, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 7
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.19m, L=10.7712, ACC : S_TRN= 86.25%, T_TRN= 63.65%, S_TST= 82.22%, T_TST= 67.82%
**++ E:001/300 #B:015, t=000.98m, L=09.7989, ACC : S_TRN= 96.09%, T_TRN= 67.92%, S_TST= 85.28%, T_TST= 70.64%
**++ E:002/300 #B:015, t=001.87m, L=09.4431, ACC : S_TRN= 97.81%, T_TRN= 64.79%, S_TST= 85.32%, T_TST= 71.03%
**   E:003/300 #B:015, t=002.55m, L=09.2560, ACC : S_TRN= 99.17%, T_TRN= 68.02%, S_TST= 85.57%, T_TST= 69.80%
     E:004/300 #B:015, t=002.92m, L=09.1510, ACC : S_TRN= 99.58%, T_TRN= 67.60%, S_TST= 84.65%, T_TST= 70.33%
     E:005/300 #B:015, t=003.22m, L=09.0959, ACC : S_TRN= 99.95%, T_TRN= 68.59%, S_TST= 84.62%, T_TST= 69.99%
     E:006/300 #B:015, t=003.51m, L=09.0649, ACC : S_TRN= 99.69%, T_TRN= 67.40%, S_TST= 83.91%, T_TST= 68.18%
     E:007/300 #B:015, t=003.91m, L=09.0629, ACC : S_TRN= 100.00%, T_TRN= 67.08%, S_TST= 84.46%, T_TST= 70.33%
     E:008/300 #B:015, t=004.12m, L=09.0382, ACC : S_TRN= 99.95%, T_TRN= 67.86%, S_TST= 84.42%, T_TST= 68.46%
     E:009/300 #B:015, t=004.44m, L=09.0488, ACC : S_TRN= 100.00%, T_TRN= 64.43%, S_TST= 84.19%, T_TST= 68.27%
     E:010/300 #B:015, t=004.88m, L=09.0318, ACC : S_TRN= 100.00%, T_TRN= 67.50%, S_TST= 84.40%, T_TST= 67.37%
     E:011/300 #B:015, t=005.15m, L=09.0324, ACC : S_TRN= 100.00%, T_TRN= 67.81%, S_TST= 84.37%, T_TST= 68.63%
     E:012/300 #B:015, t=005.48m, L=09.0291, ACC : S_TRN= 100.00%, T_TRN= 66.61%, S_TST= 84.26%, T_TST= 67.76%
     E:013/300 #B:015, t=005.82m, L=09.0261, ACC : S_TRN= 100.00%, T_TRN= 66.88%, S_TST= 84.39%, T_TST= 67.23%
     E:014/300 #B:015, t=006.17m, L=09.0299, ACC : S_TRN= 100.00%, T_TRN= 64.64%, S_TST= 84.62%, T_TST= 68.04%
     E:015/300 #B:015, t=006.44m, L=09.0227, ACC : S_TRN= 100.00%, T_TRN= 66.93%, S_TST= 84.18%, T_TST= 66.87%
     E:016/300 #B:015, t=006.78m, L=09.0260, ACC : S_TRN= 100.00%, T_TRN= 66.04%, S_TST= 84.26%, T_TST= 66.73%
     E:017/300 #B:015, t=007.09m, L=09.0268, ACC : S_TRN= 100.00%, T_TRN= 64.90%, S_TST= 84.30%, T_TST= 66.90%
     E:018/300 #B:015, t=007.42m, L=09.0238, ACC : S_TRN= 100.00%, T_TRN= 66.09%, S_TST= 84.32%, T_TST= 67.37%
     E:019/300 #B:015, t=007.67m, L=09.0244, ACC : S_TRN= 100.00%, T_TRN= 67.45%, S_TST= 84.30%, T_TST= 68.49%
     E:020/300 #B:015, t=008.01m, L=09.0268, ACC : S_TRN= 100.00%, T_TRN= 65.78%, S_TST= 84.26%, T_TST= 66.54%
     E:021/300 #B:015, t=008.31m, L=09.0236, ACC : S_TRN= 100.00%, T_TRN= 65.83%, S_TST= 84.10%, T_TST= 67.37%
     E:022/300 #B:015, t=008.65m, L=09.0198, ACC : S_TRN= 100.00%, T_TRN= 66.09%, S_TST= 84.37%, T_TST= 67.07%
     E:023/300 #B:015, t=008.95m, L=09.0241, ACC : S_TRN= 100.00%, T_TRN= 66.20%, S_TST= 84.69%, T_TST= 65.53%
     E:024/300 #B:015, t=009.24m, L=09.0226, ACC : S_TRN= 100.00%, T_TRN= 66.46%, S_TST= 84.30%, T_TST= 65.76%
     E:025/300 #B:015, t=009.52m, L=09.0198, ACC : S_TRN= 100.00%, T_TRN= 67.55%, S_TST= 84.40%, T_TST= 66.54%
     E:026/300 #B:015, t=009.86m, L=09.0259, ACC : S_TRN= 100.00%, T_TRN= 67.92%, S_TST= 84.02%, T_TST= 66.06%
     E:027/300 #B:015, t=010.17m, L=09.0260, ACC : S_TRN= 100.00%, T_TRN= 67.34%, S_TST= 84.35%, T_TST= 66.34%
     E:028/300 #B:015, t=010.47m, L=10.8815, ACC : S_TRN= 74.79%, T_TRN= 54.37%, S_TST= 67.61%, T_TST= 52.51%
     E:029/300 #B:015, t=010.82m, L=10.0831, ACC : S_TRN= 95.94%, T_TRN= 65.52%, S_TST= 83.47%, T_TST= 66.31%
     E:030/300 #B:015, t=011.15m, L=09.6629, ACC : S_TRN= 98.02%, T_TRN= 68.65%, S_TST= 84.49%, T_TST= 70.36%
**   E:031/300 #B:015, t=011.40m, L=09.3929, ACC : S_TRN= 99.27%, T_TRN= 69.17%, S_TST= 85.69%, T_TST= 70.55%
**   E:032/300 #B:015, t=011.84m, L=09.2862, ACC : S_TRN= 99.69%, T_TRN= 65.89%, S_TST= 85.85%, T_TST= 68.43%
     E:033/300 #B:015, t=012.17m, L=09.2186, ACC : S_TRN= 100.00%, T_TRN= 68.33%, S_TST= 85.69%, T_TST= 69.05%
     E:034/300 #B:015, t=012.50m, L=09.1882, ACC : S_TRN= 99.90%, T_TRN= 68.70%, S_TST= 85.23%, T_TST= 67.43%
     E:035/300 #B:015, t=012.83m, L=09.1449, ACC : S_TRN= 100.00%, T_TRN= 66.56%, S_TST= 85.39%, T_TST= 66.01%
     E:036/300 #B:015, t=013.16m, L=09.1310, ACC : S_TRN= 100.00%, T_TRN= 66.98%, S_TST= 84.97%, T_TST= 64.58%
     E:037/300 #B:015, t=013.49m, L=09.1190, ACC : S_TRN= 100.00%, T_TRN= 66.72%, S_TST= 85.16%, T_TST= 65.62%
