

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_electronics', feature_num=5000, gpus='7', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_electronics, experiment=kitchen_electronics, gpus=7, hostname=19_06_01_23_43_33, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_23_43_33, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 7
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_23_43_33_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_electronics_0_large_ss_tu_su_ta
**++ E:000/300 #B:015, t=000.19m, L=10.6349, ACC : S_TRN= 89.69%, T_TRN= 78.39%, S_TST= 84.86%, T_TST= 81.25%
**++ E:001/300 #B:015, t=001.02m, L=09.7486, ACC : S_TRN= 95.42%, T_TRN= 80.36%, S_TST= 87.20%, T_TST= 83.40%
**++ E:002/300 #B:015, t=001.91m, L=09.4215, ACC : S_TRN= 97.76%, T_TRN= 78.59%, S_TST= 87.40%, T_TST= 84.21%
**++ E:003/300 #B:015, t=002.65m, L=09.2698, ACC : S_TRN= 98.70%, T_TRN= 79.69%, S_TST= 87.40%, T_TST= 84.33%
**   E:004/300 #B:015, t=003.41m, L=09.1557, ACC : S_TRN= 98.96%, T_TRN= 81.25%, S_TST= 87.67%, T_TST= 83.61%
**   E:005/300 #B:015, t=003.91m, L=09.1244, ACC : S_TRN= 99.58%, T_TRN= 79.84%, S_TST= 87.79%, T_TST= 83.47%
     E:006/300 #B:015, t=004.38m, L=09.0850, ACC : S_TRN= 99.64%, T_TRN= 78.80%, S_TST= 87.18%, T_TST= 83.37%
     E:007/300 #B:015, t=004.74m, L=09.0628, ACC : S_TRN= 99.84%, T_TRN= 82.03%, S_TST= 87.23%, T_TST= 83.14%
     E:008/300 #B:015, t=005.14m, L=09.0618, ACC : S_TRN= 99.90%, T_TRN= 80.68%, S_TST= 87.47%, T_TST= 82.75%
     E:009/300 #B:015, t=005.56m, L=09.0512, ACC : S_TRN= 99.79%, T_TRN= 79.48%, S_TST= 86.63%, T_TST= 81.66%
     E:010/300 #B:015, t=005.88m, L=09.0604, ACC : S_TRN= 99.84%, T_TRN= 79.95%, S_TST= 86.88%, T_TST= 82.89%
     E:011/300 #B:015, t=006.24m, L=09.0475, ACC : S_TRN= 99.90%, T_TRN= 80.73%, S_TST= 86.17%, T_TST= 77.33%
     E:012/300 #B:015, t=006.61m, L=09.0375, ACC : S_TRN= 99.95%, T_TRN= 79.22%, S_TST= 86.17%, T_TST= 78.07%
     E:013/300 #B:015, t=006.95m, L=09.0342, ACC : S_TRN= 100.00%, T_TRN= 80.42%, S_TST= 86.26%, T_TST= 77.56%
     E:014/300 #B:015, t=007.27m, L=09.0446, ACC : S_TRN= 100.00%, T_TRN= 81.20%, S_TST= 86.16%, T_TST= 78.98%
     E:015/300 #B:015, t=007.58m, L=09.0461, ACC : S_TRN= 100.00%, T_TRN= 80.16%, S_TST= 85.42%, T_TST= 75.67%
     E:016/300 #B:015, t=007.91m, L=09.0532, ACC : S_TRN= 99.90%, T_TRN= 80.05%, S_TST= 85.23%, T_TST= 75.20%
     E:017/300 #B:015, t=008.24m, L=09.0798, ACC : S_TRN= 99.32%, T_TRN= 80.99%, S_TST= 84.69%, T_TST= 75.25%
     E:018/300 #B:015, t=008.63m, L=09.0584, ACC : S_TRN= 99.90%, T_TRN= 80.52%, S_TST= 85.32%, T_TST= 76.22%
     E:019/300 #B:015, t=008.99m, L=09.0435, ACC : S_TRN= 99.95%, T_TRN= 80.62%, S_TST= 85.80%, T_TST= 77.17%
     E:020/300 #B:015, t=009.34m, L=09.0383, ACC : S_TRN= 99.84%, T_TRN= 79.84%, S_TST= 86.02%, T_TST= 77.43%
     E:021/300 #B:015, t=009.67m, L=09.0372, ACC : S_TRN= 99.95%, T_TRN= 81.41%, S_TST= 85.82%, T_TST= 77.61%
     E:022/300 #B:015, t=009.98m, L=09.0343, ACC : S_TRN= 99.84%, T_TRN= 79.90%, S_TST= 85.84%, T_TST= 76.89%
     E:023/300 #B:015, t=010.30m, L=09.0332, ACC : S_TRN= 100.00%, T_TRN= 80.05%, S_TST= 85.01%, T_TST= 75.29%
     E:024/300 #B:015, t=010.63m, L=09.0344, ACC : S_TRN= 100.00%, T_TRN= 81.98%, S_TST= 85.52%, T_TST= 77.24%
     E:025/300 #B:015, t=010.95m, L=09.0269, ACC : S_TRN= 100.00%, T_TRN= 80.16%, S_TST= 85.20%, T_TST= 76.08%
     E:026/300 #B:015, t=011.29m, L=09.0384, ACC : S_TRN= 100.00%, T_TRN= 81.25%, S_TST= 85.26%, T_TST= 75.37%
     E:027/300 #B:015, t=011.62m, L=09.0395, ACC : S_TRN= 100.00%, T_TRN= 81.56%, S_TST= 84.91%, T_TST= 75.18%
     E:028/300 #B:015, t=012.01m, L=09.0341, ACC : S_TRN= 100.00%, T_TRN= 80.42%, S_TST= 85.32%, T_TST= 76.52%
     E:029/300 #B:015, t=012.36m, L=09.0327, ACC : S_TRN= 100.00%, T_TRN= 81.72%, S_TST= 85.37%, T_TST= 76.91%
     E:030/300 #B:015, t=012.67m, L=09.0261, ACC : S_TRN= 100.00%, T_TRN= 80.68%, S_TST= 85.03%, T_TST= 74.48%
     E:031/300 #B:015, t=012.99m, L=09.0310, ACC : S_TRN= 99.48%, T_TRN= 80.68%, S_TST= 82.09%, T_TST= 69.44%
     E:032/300 #B:015, t=013.32m, L=09.0353, ACC : S_TRN= 100.00%, T_TRN= 79.06%, S_TST= 84.02%, T_TST= 71.77%
     E:033/300 #B:015, t=013.63m, L=09.0252, ACC : S_TRN= 100.00%, T_TRN= 82.45%, S_TST= 84.15%, T_TST= 71.80%
     E:034/300 #B:015, t=013.98m, L=09.0320, ACC : S_TRN= 100.00%, T_TRN= 81.20%, S_TST= 84.04%, T_TST= 72.17%
     E:035/300 #B:015, t=014.31m, L=09.0375, ACC : S_TRN= 100.00%, T_TRN= 80.68%, S_TST= 83.67%, T_TST= 70.78%
     E:036/300 #B:015, t=014.61m, L=09.0292, ACC : S_TRN= 100.00%, T_TRN= 80.47%, S_TST= 83.45%, T_TST= 71.33%
     E:037/300 #B:015, t=014.98m, L=09.0286, ACC : S_TRN= 100.00%, T_TRN= 80.21%, S_TST= 83.38%, T_TST= 71.70%
     E:038/300 #B:015, t=015.34m, L=09.0238, ACC : S_TRN= 100.00%, T_TRN= 80.21%, S_TST= 84.02%, T_TST= 73.58%
     E:039/300 #B:015, t=015.67m, L=09.0356, ACC : S_TRN= 100.00%, T_TRN= 80.83%, S_TST= 83.60%, T_TST= 72.91%
     E:040/300 #B:015, t=015.95m, L=09.0310, ACC : S_TRN= 100.00%, T_TRN= 80.99%, S_TST= 83.75%, T_TST= 72.87%
     E:041/300 #B:015, t=016.25m, L=09.0287, ACC : S_TRN= 100.00%, T_TRN= 80.21%, S_TST= 83.43%, T_TST= 72.45%
     E:042/300 #B:015, t=016.59m, L=09.0286, ACC : S_TRN= 100.00%, T_TRN= 79.58%, S_TST= 83.52%, T_TST= 73.12%
