

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='books_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=books_electronics, experiment=books_electronics, gpus=6, hostname=19_06_02_01_24_47, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_02_01_24_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : BOOKS: train: count=2000, test: count=4465
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_books_electronics_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.16m, L=11.5818, ACC : S_TRN= 81.04%, T_TRN= 72.55%, S_TST= 75.23%, T_TST= 71.82%
**++ E:001/300 #B:015, t=000.89m, L=10.8662, ACC : S_TRN= 90.68%, T_TRN= 74.32%, S_TST= 81.37%, T_TST= 76.41%
**++ E:002/300 #B:015, t=001.69m, L=10.4385, ACC : S_TRN= 95.21%, T_TRN= 76.09%, S_TST= 82.60%, T_TST= 77.47%
**   E:003/300 #B:015, t=002.43m, L=10.1076, ACC : S_TRN= 97.76%, T_TRN= 75.68%, S_TST= 83.07%, T_TST= 77.42%
     E:004/300 #B:015, t=002.89m, L=09.9338, ACC : S_TRN= 99.11%, T_TRN= 75.26%, S_TST= 82.37%, T_TST= 77.36%
     E:005/300 #B:015, t=003.18m, L=09.8228, ACC : S_TRN= 99.11%, T_TRN= 76.46%, S_TST= 80.67%, T_TST= 76.41%
     E:006/300 #B:015, t=003.51m, L=09.7955, ACC : S_TRN= 99.53%, T_TRN= 75.62%, S_TST= 80.81%, T_TST= 75.48%
     E:007/300 #B:015, t=003.89m, L=09.7687, ACC : S_TRN= 99.69%, T_TRN= 75.00%, S_TST= 77.33%, T_TST= 71.89%
     E:008/300 #B:015, t=004.27m, L=09.7601, ACC : S_TRN= 99.95%, T_TRN= 74.74%, S_TST= 78.39%, T_TST= 74.32%
     E:009/300 #B:015, t=004.66m, L=09.7375, ACC : S_TRN= 99.95%, T_TRN= 74.01%, S_TST= 77.65%, T_TST= 75.06%
     E:010/300 #B:015, t=004.98m, L=09.7315, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 76.37%, T_TST= 71.89%
     E:011/300 #B:015, t=005.37m, L=09.7211, ACC : S_TRN= 100.00%, T_TRN= 75.73%, S_TST= 78.66%, T_TST= 74.04%
     E:012/300 #B:015, t=005.75m, L=09.7245, ACC : S_TRN= 99.90%, T_TRN= 75.62%, S_TST= 76.53%, T_TST= 72.47%
     E:013/300 #B:015, t=006.13m, L=09.7232, ACC : S_TRN= 99.90%, T_TRN= 75.00%, S_TST= 77.13%, T_TST= 74.67%
     E:014/300 #B:015, t=006.52m, L=09.7222, ACC : S_TRN= 100.00%, T_TRN= 76.09%, S_TST= 75.88%, T_TST= 72.01%
     E:015/300 #B:015, t=006.91m, L=09.7178, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 77.27%, T_TST= 73.42%
     E:016/300 #B:015, t=007.29m, L=09.7205, ACC : S_TRN= 100.00%, T_TRN= 74.48%, S_TST= 78.41%, T_TST= 74.27%
     E:017/300 #B:015, t=007.70m, L=09.7176, ACC : S_TRN= 100.00%, T_TRN= 77.14%, S_TST= 78.77%, T_TST= 73.67%
     E:018/300 #B:015, t=008.07m, L=09.7204, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 77.02%, T_TST= 73.21%
     E:019/300 #B:015, t=008.47m, L=09.7230, ACC : S_TRN= 100.00%, T_TRN= 76.09%, S_TST= 78.21%, T_TST= 73.21%
     E:020/300 #B:015, t=008.89m, L=09.7269, ACC : S_TRN= 100.00%, T_TRN= 76.25%, S_TST= 78.25%, T_TST= 73.47%
     E:021/300 #B:015, t=009.32m, L=09.7210, ACC : S_TRN= 100.00%, T_TRN= 75.62%, S_TST= 77.89%, T_TST= 73.47%
     E:022/300 #B:015, t=009.69m, L=09.7312, ACC : S_TRN= 100.00%, T_TRN= 76.82%, S_TST= 79.62%, T_TST= 73.03%
     E:023/300 #B:015, t=010.03m, L=09.7260, ACC : S_TRN= 100.00%, T_TRN= 75.26%, S_TST= 77.63%, T_TST= 74.07%
     E:024/300 #B:015, t=010.44m, L=09.7404, ACC : S_TRN= 100.00%, T_TRN= 76.56%, S_TST= 79.17%, T_TST= 74.00%
     E:025/300 #B:015, t=010.82m, L=09.7237, ACC : S_TRN= 100.00%, T_TRN= 75.89%, S_TST= 77.02%, T_TST= 72.52%
     E:026/300 #B:015, t=011.24m, L=09.7213, ACC : S_TRN= 100.00%, T_TRN= 75.62%, S_TST= 75.54%, T_TST= 71.11%
     E:027/300 #B:015, t=011.63m, L=09.7304, ACC : S_TRN= 100.00%, T_TRN= 76.30%, S_TST= 79.13%, T_TST= 73.24%
     E:028/300 #B:015, t=011.99m, L=09.7240, ACC : S_TRN= 100.00%, T_TRN= 75.00%, S_TST= 75.68%, T_TST= 71.22%
     E:029/300 #B:015, t=012.40m, L=09.7205, ACC : S_TRN= 100.00%, T_TRN= 74.53%, S_TST= 77.83%, T_TST= 72.98%
     E:030/300 #B:015, t=012.78m, L=09.7219, ACC : S_TRN= 100.00%, T_TRN= 75.05%, S_TST= 76.10%, T_TST= 72.24%
     E:031/300 #B:015, t=013.18m, L=09.7204, ACC : S_TRN= 100.00%, T_TRN= 77.66%, S_TST= 76.10%, T_TST= 71.40%
     E:032/300 #B:015, t=013.54m, L=09.7141, ACC : S_TRN= 100.00%, T_TRN= 73.80%, S_TST= 76.66%, T_TST= 71.06%
     E:033/300 #B:015, t=013.90m, L=09.7192, ACC : S_TRN= 100.00%, T_TRN= 77.34%, S_TST= 76.80%, T_TST= 71.55%
     E:034/300 #B:015, t=014.30m, L=09.7148, ACC : S_TRN= 100.00%, T_TRN= 75.36%, S_TST= 76.22%, T_TST= 70.78%
     E:035/300 #B:015, t=014.70m, L=09.7167, ACC : S_TRN= 100.00%, T_TRN= 74.22%, S_TST= 74.02%, T_TST= 70.43%
     E:036/300 #B:015, t=015.11m, L=09.7201, ACC : S_TRN= 100.00%, T_TRN= 75.52%, S_TST= 73.80%, T_TST= 68.86%
     E:037/300 #B:015, t=015.51m, L=09.7134, ACC : S_TRN= 100.00%, T_TRN= 76.25%, S_TST= 75.12%, T_TST= 70.23%
     E:038/300 #B:015, t=015.96m, L=09.7181, ACC : S_TRN= 100.00%, T_TRN= 74.69%, S_TST= 71.22%, T_TST= 67.45%
