

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_electronics, experiment=dvd_electronics, gpus=6, hostname=19_06_02_01_24_47, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_02_01_24_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.15m, L=11.5124, ACC : S_TRN= 85.05%, T_TRN= 73.91%, S_TST= 77.11%, T_TST= 75.18%
**++ E:001/300 #B:015, t=000.88m, L=10.8183, ACC : S_TRN= 93.39%, T_TRN= 76.41%, S_TST= 80.54%, T_TST= 78.81%
**++ E:002/300 #B:015, t=001.40m, L=10.4269, ACC : S_TRN= 94.64%, T_TRN= 77.03%, S_TST= 82.04%, T_TST= 80.25%
**   E:003/300 #B:015, t=002.15m, L=10.1110, ACC : S_TRN= 97.86%, T_TRN= 77.55%, S_TST= 82.24%, T_TST= 79.65%
**   E:004/300 #B:015, t=002.60m, L=09.9154, ACC : S_TRN= 98.44%, T_TRN= 76.51%, S_TST= 82.88%, T_TST= 79.33%
     E:005/300 #B:015, t=002.96m, L=09.8186, ACC : S_TRN= 99.58%, T_TRN= 77.76%, S_TST= 79.50%, T_TST= 77.52%
     E:006/300 #B:015, t=003.33m, L=09.7945, ACC : S_TRN= 99.84%, T_TRN= 76.25%, S_TST= 81.04%, T_TST= 78.42%
     E:007/300 #B:015, t=003.72m, L=09.7832, ACC : S_TRN= 99.84%, T_TRN= 75.31%, S_TST= 74.26%, T_TST= 71.85%
     E:008/300 #B:015, t=004.06m, L=09.7621, ACC : S_TRN= 99.90%, T_TRN= 77.24%, S_TST= 79.28%, T_TST= 77.17%
     E:009/300 #B:015, t=004.45m, L=09.7451, ACC : S_TRN= 99.95%, T_TRN= 74.22%, S_TST= 75.04%, T_TST= 75.02%
     E:010/300 #B:015, t=004.91m, L=09.7279, ACC : S_TRN= 99.95%, T_TRN= 75.26%, S_TST= 76.10%, T_TST= 74.81%
     E:011/300 #B:015, t=005.30m, L=09.7309, ACC : S_TRN= 99.84%, T_TRN= 78.12%, S_TST= 76.05%, T_TST= 73.98%
     E:012/300 #B:015, t=005.78m, L=09.7338, ACC : S_TRN= 99.90%, T_TRN= 77.03%, S_TST= 74.87%, T_TST= 74.41%
     E:013/300 #B:015, t=006.20m, L=09.7260, ACC : S_TRN= 100.00%, T_TRN= 76.56%, S_TST= 76.32%, T_TST= 75.11%
     E:014/300 #B:015, t=006.60m, L=09.7272, ACC : S_TRN= 100.00%, T_TRN= 77.14%, S_TST= 76.16%, T_TST= 74.14%
     E:015/300 #B:015, t=006.98m, L=09.7293, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 76.32%, T_TST= 75.18%
     E:016/300 #B:015, t=007.39m, L=09.7187, ACC : S_TRN= 100.00%, T_TRN= 76.25%, S_TST= 75.57%, T_TST= 73.86%
     E:017/300 #B:015, t=007.76m, L=09.7238, ACC : S_TRN= 100.00%, T_TRN= 77.34%, S_TST= 75.85%, T_TST= 74.69%
     E:018/300 #B:015, t=008.13m, L=09.7390, ACC : S_TRN= 100.00%, T_TRN= 76.56%, S_TST= 77.83%, T_TST= 75.62%
     E:019/300 #B:015, t=008.52m, L=09.7309, ACC : S_TRN= 100.00%, T_TRN= 75.16%, S_TST= 77.80%, T_TST= 76.27%
     E:020/300 #B:015, t=008.91m, L=09.7344, ACC : S_TRN= 100.00%, T_TRN= 76.93%, S_TST= 76.88%, T_TST= 75.07%
     E:021/300 #B:015, t=009.31m, L=09.7301, ACC : S_TRN= 100.00%, T_TRN= 76.82%, S_TST= 76.58%, T_TST= 74.35%
     E:022/300 #B:015, t=009.58m, L=09.7322, ACC : S_TRN= 100.00%, T_TRN= 76.98%, S_TST= 78.19%, T_TST= 74.65%
     E:023/300 #B:015, t=010.01m, L=09.7292, ACC : S_TRN= 100.00%, T_TRN= 76.20%, S_TST= 76.02%, T_TST= 73.30%
     E:024/300 #B:015, t=010.40m, L=09.7238, ACC : S_TRN= 100.00%, T_TRN= 76.15%, S_TST= 75.32%, T_TST= 72.47%
     E:025/300 #B:015, t=010.80m, L=09.7374, ACC : S_TRN= 100.00%, T_TRN= 77.60%, S_TST= 74.40%, T_TST= 72.47%
     E:026/300 #B:015, t=011.23m, L=09.7170, ACC : S_TRN= 100.00%, T_TRN= 76.20%, S_TST= 75.24%, T_TST= 73.42%
     E:027/300 #B:015, t=011.56m, L=09.7254, ACC : S_TRN= 100.00%, T_TRN= 76.46%, S_TST= 74.01%, T_TST= 73.49%
     E:028/300 #B:015, t=011.95m, L=09.7270, ACC : S_TRN= 100.00%, T_TRN= 76.88%, S_TST= 76.74%, T_TST= 74.23%
     E:029/300 #B:015, t=012.36m, L=09.7278, ACC : S_TRN= 100.00%, T_TRN= 76.93%, S_TST= 74.96%, T_TST= 73.47%
     E:030/300 #B:015, t=012.81m, L=09.7242, ACC : S_TRN= 100.00%, T_TRN= 76.09%, S_TST= 75.57%, T_TST= 73.90%
     E:031/300 #B:015, t=013.20m, L=09.7200, ACC : S_TRN= 100.00%, T_TRN= 75.73%, S_TST= 74.96%, T_TST= 72.40%
     E:032/300 #B:015, t=013.57m, L=09.7199, ACC : S_TRN= 100.00%, T_TRN= 76.09%, S_TST= 75.71%, T_TST= 74.11%
     E:033/300 #B:015, t=013.94m, L=09.7239, ACC : S_TRN= 100.00%, T_TRN= 78.65%, S_TST= 75.60%, T_TST= 72.70%
     E:034/300 #B:015, t=014.31m, L=09.7203, ACC : S_TRN= 100.00%, T_TRN= 77.40%, S_TST= 74.48%, T_TST= 73.75%
     E:035/300 #B:015, t=014.71m, L=09.7166, ACC : S_TRN= 100.00%, T_TRN= 75.83%, S_TST= 74.29%, T_TST= 73.54%
     E:036/300 #B:015, t=015.13m, L=09.7248, ACC : S_TRN= 100.00%, T_TRN= 75.26%, S_TST= 74.57%, T_TST= 71.10%
     E:037/300 #B:015, t=015.53m, L=09.7170, ACC : S_TRN= 100.00%, T_TRN= 77.60%, S_TST= 74.23%, T_TST= 74.30%
     E:038/300 #B:015, t=015.92m, L=09.7187, ACC : S_TRN= 100.00%, T_TRN= 76.67%, S_TST= 74.90%, T_TST= 73.19%
     E:039/300 #B:015, t=016.30m, L=09.7225, ACC : S_TRN= 100.00%, T_TRN= 76.98%, S_TST= 74.18%, T_TST= 72.68%
     E:040/300 #B:015, t=016.71m, L=09.7177, ACC : S_TRN= 100.00%, T_TRN= 74.48%, S_TST= 73.65%, T_TST= 72.45%
