

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='dvd_kitchen', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=dvd_kitchen, experiment=dvd_kitchen, gpus=6, hostname=19_06_02_01_24_47, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_02_01_24_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : KITCHEN: train: count=2000, test: count=5945

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_kitchen_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.16m, L=11.5914, ACC : S_TRN= 86.20%, T_TRN= 77.03%, S_TST= 79.87%, T_TST= 76.00%
**++ E:001/300 #B:015, t=001.03m, L=10.7904, ACC : S_TRN= 93.70%, T_TRN= 75.78%, S_TST= 81.60%, T_TST= 80.71%
**++ E:002/300 #B:015, t=001.49m, L=10.3917, ACC : S_TRN= 94.90%, T_TRN= 78.07%, S_TST= 82.29%, T_TST= 81.35%
  ++ E:003/300 #B:015, t=002.18m, L=10.1173, ACC : S_TRN= 97.71%, T_TRN= 78.91%, S_TST= 81.93%, T_TST= 82.61%
**   E:004/300 #B:015, t=002.73m, L=09.9509, ACC : S_TRN= 98.70%, T_TRN= 78.54%, S_TST= 82.40%, T_TST= 82.25%
     E:005/300 #B:015, t=003.12m, L=09.8409, ACC : S_TRN= 98.96%, T_TRN= 78.54%, S_TST= 80.48%, T_TST= 80.29%
     E:006/300 #B:015, t=003.42m, L=09.8067, ACC : S_TRN= 99.64%, T_TRN= 78.59%, S_TST= 79.25%, T_TST= 78.62%
     E:007/300 #B:015, t=003.77m, L=09.7850, ACC : S_TRN= 99.74%, T_TRN= 78.07%, S_TST= 77.16%, T_TST= 75.83%
     E:008/300 #B:015, t=004.14m, L=09.7588, ACC : S_TRN= 99.95%, T_TRN= 78.28%, S_TST= 76.88%, T_TST= 76.53%
     E:009/300 #B:015, t=004.57m, L=09.7433, ACC : S_TRN= 99.95%, T_TRN= 78.33%, S_TST= 75.10%, T_TST= 73.22%
     E:010/300 #B:015, t=004.95m, L=09.7362, ACC : S_TRN= 99.95%, T_TRN= 79.74%, S_TST= 74.62%, T_TST= 74.48%
     E:011/300 #B:015, t=005.32m, L=09.7283, ACC : S_TRN= 100.00%, T_TRN= 78.49%, S_TST= 75.07%, T_TST= 74.62%
     E:012/300 #B:015, t=005.75m, L=09.7221, ACC : S_TRN= 100.00%, T_TRN= 77.29%, S_TST= 73.51%, T_TST= 72.62%
     E:013/300 #B:015, t=006.11m, L=09.7299, ACC : S_TRN= 100.00%, T_TRN= 80.36%, S_TST= 74.74%, T_TST= 72.35%
     E:014/300 #B:015, t=006.52m, L=09.7250, ACC : S_TRN= 100.00%, T_TRN= 78.80%, S_TST= 73.90%, T_TST= 72.97%
     E:015/300 #B:015, t=006.92m, L=09.7252, ACC : S_TRN= 100.00%, T_TRN= 78.85%, S_TST= 76.49%, T_TST= 75.79%
     E:016/300 #B:015, t=007.32m, L=09.7229, ACC : S_TRN= 100.00%, T_TRN= 79.95%, S_TST= 74.51%, T_TST= 71.77%
     E:017/300 #B:015, t=007.71m, L=09.7242, ACC : S_TRN= 100.00%, T_TRN= 78.59%, S_TST= 74.23%, T_TST= 72.57%
     E:018/300 #B:015, t=008.09m, L=09.7240, ACC : S_TRN= 100.00%, T_TRN= 78.70%, S_TST= 73.48%, T_TST= 70.98%
     E:019/300 #B:015, t=008.47m, L=09.7258, ACC : S_TRN= 100.00%, T_TRN= 77.97%, S_TST= 73.98%, T_TST= 72.55%
     E:020/300 #B:015, t=008.89m, L=09.7237, ACC : S_TRN= 100.00%, T_TRN= 80.94%, S_TST= 72.67%, T_TST= 71.84%
     E:021/300 #B:015, t=009.31m, L=09.7242, ACC : S_TRN= 100.00%, T_TRN= 80.10%, S_TST= 72.53%, T_TST= 70.73%
     E:022/300 #B:015, t=009.71m, L=09.7237, ACC : S_TRN= 99.84%, T_TRN= 79.22%, S_TST= 74.21%, T_TST= 72.73%
     E:023/300 #B:015, t=010.09m, L=09.7351, ACC : S_TRN= 100.00%, T_TRN= 79.84%, S_TST= 74.26%, T_TST= 72.16%
     E:024/300 #B:015, t=010.47m, L=09.7239, ACC : S_TRN= 100.00%, T_TRN= 78.49%, S_TST= 77.24%, T_TST= 75.36%
     E:025/300 #B:015, t=010.83m, L=09.7337, ACC : S_TRN= 100.00%, T_TRN= 78.70%, S_TST= 73.79%, T_TST= 71.71%
     E:026/300 #B:015, t=011.14m, L=09.7269, ACC : S_TRN= 100.00%, T_TRN= 79.11%, S_TST= 74.23%, T_TST= 72.62%
     E:027/300 #B:015, t=011.51m, L=09.7383, ACC : S_TRN= 100.00%, T_TRN= 79.22%, S_TST= 74.07%, T_TST= 70.65%
     E:028/300 #B:015, t=011.88m, L=09.7259, ACC : S_TRN= 100.00%, T_TRN= 77.97%, S_TST= 75.04%, T_TST= 73.62%
     E:029/300 #B:015, t=012.25m, L=09.7259, ACC : S_TRN= 100.00%, T_TRN= 79.27%, S_TST= 75.66%, T_TST= 73.25%
     E:030/300 #B:015, t=012.64m, L=09.7214, ACC : S_TRN= 100.00%, T_TRN= 79.64%, S_TST= 69.97%, T_TST= 68.56%
     E:031/300 #B:015, t=013.02m, L=09.7233, ACC : S_TRN= 100.00%, T_TRN= 78.49%, S_TST= 71.00%, T_TST= 66.26%
     E:032/300 #B:015, t=013.38m, L=09.7213, ACC : S_TRN= 100.00%, T_TRN= 78.39%, S_TST= 68.91%, T_TST= 66.56%
     E:033/300 #B:015, t=013.79m, L=09.7215, ACC : S_TRN= 100.00%, T_TRN= 77.60%, S_TST= 70.44%, T_TST= 65.97%
     E:034/300 #B:015, t=014.10m, L=09.7156, ACC : S_TRN= 100.00%, T_TRN= 80.94%, S_TST= 71.33%, T_TST= 65.95%
     E:035/300 #B:015, t=014.44m, L=09.7192, ACC : S_TRN= 100.00%, T_TRN= 77.34%, S_TST= 70.30%, T_TST= 66.83%
     E:036/300 #B:015, t=014.83m, L=09.7291, ACC : S_TRN= 100.00%, T_TRN= 78.80%, S_TST= 70.97%, T_TST= 66.41%
