

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='electronics_dvd', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=electronics_dvd, experiment=electronics_dvd, gpus=6, hostname=19_06_02_01_24_47, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_02_01_24_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : DVD: train: count=2000, test: count=3586

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_dvd_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.21m, L=11.4325, ACC : S_TRN= 88.12%, T_TRN= 69.06%, S_TST= 81.87%, T_TST= 69.07%
**++ E:001/300 #B:015, t=001.06m, L=10.6470, ACC : S_TRN= 93.39%, T_TRN= 70.62%, S_TST= 84.83%, T_TST= 74.79%
**   E:002/300 #B:015, t=001.90m, L=10.2845, ACC : S_TRN= 97.19%, T_TRN= 72.34%, S_TST= 86.50%, T_TST= 72.81%
**   E:003/300 #B:015, t=002.35m, L=10.0219, ACC : S_TRN= 97.45%, T_TRN= 72.55%, S_TST= 86.55%, T_TST= 72.81%
     E:004/300 #B:015, t=002.72m, L=09.8849, ACC : S_TRN= 98.07%, T_TRN= 72.19%, S_TST= 85.64%, T_TST= 72.81%
     E:005/300 #B:015, t=003.04m, L=09.8322, ACC : S_TRN= 99.69%, T_TRN= 72.40%, S_TST= 85.67%, T_TST= 71.47%
     E:006/300 #B:015, t=003.44m, L=09.7982, ACC : S_TRN= 99.38%, T_TRN= 71.35%, S_TST= 82.63%, T_TST= 69.13%
     E:007/300 #B:015, t=003.79m, L=09.7686, ACC : S_TRN= 99.69%, T_TRN= 70.31%, S_TST= 80.73%, T_TST= 68.21%
     E:008/300 #B:015, t=004.15m, L=09.7518, ACC : S_TRN= 99.84%, T_TRN= 72.03%, S_TST= 81.08%, T_TST= 68.91%
     E:009/300 #B:015, t=004.51m, L=09.7515, ACC : S_TRN= 99.95%, T_TRN= 69.90%, S_TST= 76.61%, T_TST= 66.34%
     E:010/300 #B:015, t=004.83m, L=09.7318, ACC : S_TRN= 99.90%, T_TRN= 71.72%, S_TST= 78.67%, T_TST= 68.01%
     E:011/300 #B:015, t=005.19m, L=09.7312, ACC : S_TRN= 99.95%, T_TRN= 71.35%, S_TST= 78.74%, T_TST= 66.79%
     E:012/300 #B:015, t=005.56m, L=09.7294, ACC : S_TRN= 100.00%, T_TRN= 71.35%, S_TST= 77.40%, T_TST= 66.76%
     E:013/300 #B:015, t=005.88m, L=09.7250, ACC : S_TRN= 100.00%, T_TRN= 71.04%, S_TST= 78.05%, T_TST= 68.04%
     E:014/300 #B:015, t=006.27m, L=09.7228, ACC : S_TRN= 99.95%, T_TRN= 71.88%, S_TST= 75.06%, T_TST= 67.07%
     E:015/300 #B:015, t=006.63m, L=09.7202, ACC : S_TRN= 99.95%, T_TRN= 71.25%, S_TST= 75.66%, T_TST= 68.21%
     E:016/300 #B:015, t=006.98m, L=09.7231, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 72.21%, T_TST= 66.12%
     E:017/300 #B:015, t=007.32m, L=09.7271, ACC : S_TRN= 100.00%, T_TRN= 71.88%, S_TST= 81.32%, T_TST= 69.80%
     E:018/300 #B:015, t=007.69m, L=09.7292, ACC : S_TRN= 100.00%, T_TRN= 70.42%, S_TST= 79.30%, T_TST= 69.07%
     E:019/300 #B:015, t=007.98m, L=09.7278, ACC : S_TRN= 100.00%, T_TRN= 71.20%, S_TST= 76.71%, T_TST= 66.84%
     E:020/300 #B:015, t=008.29m, L=09.7256, ACC : S_TRN= 100.00%, T_TRN= 71.41%, S_TST= 78.23%, T_TST= 66.76%
     E:021/300 #B:015, t=008.61m, L=09.7304, ACC : S_TRN= 100.00%, T_TRN= 70.57%, S_TST= 74.44%, T_TST= 66.65%
     E:022/300 #B:015, t=008.96m, L=09.7319, ACC : S_TRN= 100.00%, T_TRN= 71.25%, S_TST= 76.25%, T_TST= 68.43%
     E:023/300 #B:015, t=009.31m, L=09.7329, ACC : S_TRN= 100.00%, T_TRN= 70.36%, S_TST= 74.32%, T_TST= 67.71%
     E:024/300 #B:015, t=009.63m, L=09.7293, ACC : S_TRN= 100.00%, T_TRN= 71.35%, S_TST= 76.84%, T_TST= 68.32%
     E:025/300 #B:015, t=009.93m, L=09.7360, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 76.50%, T_TST= 67.37%
     E:026/300 #B:015, t=010.31m, L=09.7275, ACC : S_TRN= 99.95%, T_TRN= 71.98%, S_TST= 76.24%, T_TST= 68.46%
     E:027/300 #B:015, t=010.67m, L=09.7239, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 77.89%, T_TST= 68.29%
     E:028/300 #B:015, t=011.07m, L=09.7258, ACC : S_TRN= 100.00%, T_TRN= 71.67%, S_TST= 75.41%, T_TST= 66.82%
     E:029/300 #B:015, t=011.44m, L=09.7324, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 77.45%, T_TST= 67.93%
     E:030/300 #B:015, t=011.79m, L=09.7295, ACC : S_TRN= 100.00%, T_TRN= 71.41%, S_TST= 73.81%, T_TST= 66.01%
     E:031/300 #B:015, t=012.15m, L=09.7222, ACC : S_TRN= 100.00%, T_TRN= 72.40%, S_TST= 76.54%, T_TST= 67.07%
     E:032/300 #B:015, t=012.56m, L=09.7243, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 76.01%, T_TST= 67.12%
     E:033/300 #B:015, t=012.91m, L=09.7225, ACC : S_TRN= 100.00%, T_TRN= 71.20%, S_TST= 71.61%, T_TST= 64.84%
     E:034/300 #B:015, t=013.23m, L=09.7129, ACC : S_TRN= 100.00%, T_TRN= 71.35%, S_TST= 70.81%, T_TST= 64.28%
     E:035/300 #B:015, t=013.62m, L=09.7211, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 72.82%, T_TST= 64.22%
     E:036/300 #B:015, t=014.01m, L=09.7221, ACC : S_TRN= 100.00%, T_TRN= 70.83%, S_TST= 71.52%, T_TST= 64.05%
     E:037/300 #B:015, t=014.31m, L=09.7244, ACC : S_TRN= 100.00%, T_TRN= 70.94%, S_TST= 75.60%, T_TST= 66.62%
     E:038/300 #B:015, t=014.63m, L=09.7203, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 71.40%, T_TST= 64.64%
