

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss_tu_su_ta_sa.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='large', exp='kitchen_books', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=large, exp=kitchen_books, experiment=kitchen_books, gpus=6, hostname=19_06_02_01_24_47, lambda_sal=1.0, lambda_ssl=1.0, lambda_sul=1.0, lambda_tal=1.0, lambda_tsl=0.0, lambda_tul=1.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_02_01_24_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : KITCHEN: train: count=2000, test: count=5945
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : large
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_02_01_24_47_cl-gpusrv1.nis.csa.iisc.ac.in_kitchen_books_0_large_ss_tu_su_ta_sa
**++ E:000/300 #B:015, t=000.21m, L=11.3948, ACC : S_TRN= 88.07%, T_TRN= 66.77%, S_TST= 82.49%, T_TST= 69.41%
**++ E:001/300 #B:015, t=001.10m, L=10.6730, ACC : S_TRN= 93.75%, T_TRN= 69.53%, S_TST= 85.67%, T_TST= 71.47%
**   E:002/300 #B:015, t=001.79m, L=10.3269, ACC : S_TRN= 96.82%, T_TRN= 70.16%, S_TST= 86.86%, T_TST= 71.44%
  ++ E:003/300 #B:015, t=002.23m, L=10.0912, ACC : S_TRN= 97.14%, T_TRN= 66.88%, S_TST= 86.61%, T_TST= 71.78%
     E:004/300 #B:015, t=002.81m, L=09.9266, ACC : S_TRN= 99.01%, T_TRN= 69.48%, S_TST= 86.73%, T_TST= 71.04%
     E:005/300 #B:015, t=003.14m, L=09.8499, ACC : S_TRN= 98.49%, T_TRN= 69.95%, S_TST= 86.41%, T_TST= 71.27%
     E:006/300 #B:015, t=003.47m, L=09.8239, ACC : S_TRN= 99.74%, T_TRN= 69.90%, S_TST= 85.37%, T_TST= 71.49%
     E:007/300 #B:015, t=003.81m, L=09.8008, ACC : S_TRN= 99.79%, T_TRN= 68.96%, S_TST= 83.18%, T_TST= 69.79%
     E:008/300 #B:015, t=004.13m, L=09.7771, ACC : S_TRN= 99.90%, T_TRN= 69.43%, S_TST= 82.49%, T_TST= 69.09%
     E:009/300 #B:015, t=004.52m, L=09.7504, ACC : S_TRN= 99.95%, T_TRN= 69.22%, S_TST= 81.90%, T_TST= 70.12%
     E:010/300 #B:015, t=004.90m, L=09.7364, ACC : S_TRN= 100.00%, T_TRN= 68.75%, S_TST= 78.64%, T_TST= 68.91%
     E:011/300 #B:015, t=005.32m, L=09.7371, ACC : S_TRN= 99.90%, T_TRN= 68.80%, S_TST= 79.14%, T_TST= 69.05%
     E:012/300 #B:015, t=005.70m, L=09.7342, ACC : S_TRN= 99.79%, T_TRN= 67.34%, S_TST= 78.97%, T_TST= 68.67%
     E:013/300 #B:015, t=006.07m, L=09.7342, ACC : S_TRN= 100.00%, T_TRN= 70.57%, S_TST= 77.34%, T_TST= 68.44%
     E:014/300 #B:015, t=006.45m, L=09.7352, ACC : S_TRN= 99.84%, T_TRN= 69.17%, S_TST= 73.71%, T_TST= 65.58%
     E:015/300 #B:015, t=006.77m, L=09.7285, ACC : S_TRN= 99.95%, T_TRN= 68.65%, S_TST= 80.32%, T_TST= 70.08%
     E:016/300 #B:015, t=007.15m, L=09.7311, ACC : S_TRN= 99.90%, T_TRN= 69.64%, S_TST= 77.48%, T_TST= 68.65%
     E:017/300 #B:015, t=007.53m, L=09.7265, ACC : S_TRN= 100.00%, T_TRN= 69.06%, S_TST= 77.88%, T_TST= 68.29%
     E:018/300 #B:015, t=007.91m, L=09.7369, ACC : S_TRN= 99.95%, T_TRN= 69.32%, S_TST= 79.48%, T_TST= 70.12%
     E:019/300 #B:015, t=008.24m, L=09.7358, ACC : S_TRN= 100.00%, T_TRN= 68.33%, S_TST= 77.46%, T_TST= 68.13%
     E:020/300 #B:015, t=008.58m, L=09.7333, ACC : S_TRN= 99.95%, T_TRN= 71.04%, S_TST= 79.46%, T_TST= 69.52%
     E:021/300 #B:015, t=008.95m, L=09.7263, ACC : S_TRN= 99.95%, T_TRN= 69.06%, S_TST= 79.06%, T_TST= 69.68%
     E:022/300 #B:015, t=009.33m, L=09.7258, ACC : S_TRN= 99.95%, T_TRN= 69.53%, S_TST= 78.35%, T_TST= 69.99%
     E:023/300 #B:015, t=009.71m, L=09.7263, ACC : S_TRN= 100.00%, T_TRN= 69.32%, S_TST= 77.48%, T_TST= 69.76%
     E:024/300 #B:015, t=010.08m, L=09.7247, ACC : S_TRN= 100.00%, T_TRN= 68.33%, S_TST= 76.52%, T_TST= 69.09%
     E:025/300 #B:015, t=010.47m, L=09.7334, ACC : S_TRN= 100.00%, T_TRN= 69.69%, S_TST= 78.37%, T_TST= 69.34%
     E:026/300 #B:015, t=010.82m, L=09.7211, ACC : S_TRN= 100.00%, T_TRN= 68.80%, S_TST= 72.68%, T_TST= 66.14%
     E:027/300 #B:015, t=011.20m, L=09.7329, ACC : S_TRN= 99.90%, T_TRN= 68.33%, S_TST= 80.30%, T_TST= 69.29%
     E:028/300 #B:015, t=011.57m, L=09.7364, ACC : S_TRN= 100.00%, T_TRN= 69.95%, S_TST= 78.28%, T_TST= 69.36%
     E:029/300 #B:015, t=011.96m, L=09.7407, ACC : S_TRN= 99.95%, T_TRN= 70.36%, S_TST= 77.95%, T_TST= 69.25%
     E:030/300 #B:015, t=012.35m, L=09.7255, ACC : S_TRN= 100.00%, T_TRN= 69.17%, S_TST= 79.23%, T_TST= 70.66%
     E:031/300 #B:015, t=012.66m, L=09.7240, ACC : S_TRN= 100.00%, T_TRN= 70.16%, S_TST= 79.16%, T_TST= 69.85%
     E:032/300 #B:015, t=013.01m, L=09.7304, ACC : S_TRN= 100.00%, T_TRN= 70.52%, S_TST= 78.08%, T_TST= 69.70%
     E:033/300 #B:015, t=013.39m, L=09.7166, ACC : S_TRN= 100.00%, T_TRN= 70.52%, S_TST= 78.87%, T_TST= 68.98%
     E:034/300 #B:015, t=013.72m, L=09.7214, ACC : S_TRN= 100.00%, T_TRN= 69.17%, S_TST= 78.81%, T_TST= 68.82%
     E:035/300 #B:015, t=014.06m, L=09.7256, ACC : S_TRN= 100.00%, T_TRN= 69.90%, S_TST= 76.89%, T_TST= 68.51%
     E:036/300 #B:015, t=014.38m, L=09.7214, ACC : S_TRN= 100.00%, T_TRN= 67.71%, S_TST= 78.74%, T_TST= 68.49%
